word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
kaufen|kaufen|A1|519|to buy, purchase|покупать, купить|erwerben; anschaffen; erstehen|Ich möchte ein neues Auto kaufen.|I want to buy a new car.|Я хочу купить новую машину.|Ich möchte ein neues Auto erwerben.|ein Auto kaufen; billig kaufen; online kaufen; neu kaufen|A basic verb meaning to acquire something in exchange for money. Often used transitively with an accusative object.
kaufen|Kauf|B1|1434|purchase, buy|покупка|Anschaffung; Erwerb|Der Kauf des Hauses war eine gute Entscheidung.|The purchase of the house was a good decision.|Покупка дома была хорошим решением.|Der Erwerb des Hauses war eine gute Entscheidung.|einen Kauf tätigen; beim Kauf; Kauf auf Raten; Kauf auf Rechnung|Masculine noun (der Kauf, Plural: Käufe). Refers to the act of buying or the thing bought. Commonly used in business and legal contexts, as well as daily life.
kaufen|Kaufanreiz|C2|54931|buying incentive, incentive to purchase|стимул к покупке, покупательский стимул|Kaufimpuls; Kaufmotivation|Rabatte bieten einen starken Kaufanreiz für Kunden.|Discounts offer a strong buying incentive for customers.|Скидки дают сильный стимул к покупке для клиентов.|Rabatte bieten einen starken Kaufimpuls für Kunden.|einen Kaufanreiz schaffen; zusätzlicher Kaufanreiz; Kaufanreize bieten|Masculine noun (der Kaufanreiz). Typically used in marketing and economics. Refers to anything that motivates a consumer to purchase a product.
kaufen|Kaufempfehlung|C1|22284|buy recommendation, recommendation to buy|рекомендация к покупке|Kauftipp; Anschaffungsempfehlung|Die Zeitschrift gab eine klare Kaufempfehlung für dieses Smartphone ab.|The magazine gave a clear buy recommendation for this smartphone.|Журнал дал четкую рекомендацию к покупке этого смартфона.|Die Zeitschrift gab einen klaren Kauftipp für dieses Smartphone ab.|eine Kaufempfehlung aussprechen; eine Kaufempfehlung abgeben; klare Kaufempfehlung|Feminine noun (die Kaufempfehlung). Often used in consumer advice, stock market reviews, and product testing contexts. Usually takes the preposition 'für' + accusative.
kaufen|Kaufentscheidung|C1|14753|purchase decision, buying decision|решение о покупке|Kaufbeschluss|Der Preis spielt eine wichtige Rolle bei der Kaufentscheidung.|Price plays an important role in the purchase decision.|Цена играет важную роль в принятии решения о покупке.|Der Preis spielt eine wichtige Rolle beim Kaufbeschluss.|eine Kaufentscheidung treffen; die Kaufentscheidung beeinflussen; bewusste Kaufentscheidung|Feminine noun (die Kaufentscheidung). Refers to the mental process or final decision of a consumer to buy a product. Commonly paired with the verb 'treffen' (to make).
kaufen|Käufer|B1|3057|buyer, purchaser, customer|покупатель|Abnehmer; Erwerber; Kunde|Der Käufer war mit der Qualität der Ware sehr zufrieden.|The buyer was very satisfied with the quality of the goods.|Покупатель был очень доволен качеством товара.|Der Kunde war mit der Qualität der Ware sehr zufrieden.|potenzieller Käufer; einen Käufer finden; privater Käufer; Käufer und Verkäufer|Masculine noun (der Käufer, plural unchanged). Standard word for a person or entity that buys something. Can be formal (in contracts) or informal.
kaufen|Kaufherr|C2|147595|merchant (historical), merchant lord|крупный купец, патриций-торговец|Großkaufmann; Handelsherr|Der reiche Kaufherr besaß mehrere Handelsschiffe im Hafen.|The wealthy merchant lord owned several merchant ships in the harbor.|Богатый купец владел несколькими торговыми судами в порту.|Der reiche Handelsherr besaß mehrere Handelsschiffe im Hafen.|reicher Kaufherr; angesehener Kaufherr; Hamburger Kaufherr|Masculine noun (der Kaufherr, plural: Kaufherren). An archaic, historical, or literary term, most famously used to describe rich, upper-class merchants in Hanseatic cities.
kaufen|Kaufinteressent|C2|25361|prospective buyer, interested buyer|потенциальный покупатель, заинтересованное в покупке лицо|potenzieller Käufer|Der Makler zeigt das Haus heute einem Kaufinteressenten.|The real estate agent is showing the house to a prospective buyer today.|Агент по недвижимости сегодня показывает дом потенциальному покупателю.|Der Makler zeigt das Haus heute einem potenziellen Käufer.|potenzielle Kaufinteressenten; sich an Kaufinteressenten wenden; Kaufinteressenten finden|Masculine weak noun (der Kaufinteressent, genitive: -en, plural: -en). Widely used in real estate and high-value sales markets. Feminine form: Kaufinteressentin.
kaufen|Kaufkraft|C1|12449|purchasing power|покупательная способность|Geldwert; Konsumkraft|Durch die Inflation sinkt die Kaufkraft der Bevölkerung.|Inflation reduces the purchasing power of the population.|Из-за инфляции снижается покупательная способность населения.|Durch die Inflation sinkt die Konsumkraft der Bevölkerung.|hohe Kaufkraft; sinkende Kaufkraft; Kaufkraft stärken; Kaufkraft der Verbraucher|Feminine noun (die Kaufkraft, usually singular). An economic term indicating the value of money in terms of what it can buy, or the financial capacity of a market segment.
kaufen|Kaufladen|C2|70847|play store, toy shop, grocery store (old-fashioned)|детский игровой магазинчик, бакалейная лавка|Krämerladen; Tante-Emma-Laden|Die Kinder spielen gerne mit ihrem kleinen Kaufladen aus Holz.|The children like to play with their little wooden toy store.|Дети любят играть со своим маленьким деревянным игрушечным магазинчиком.|Die Kinder spielen gerne mit ihrem kleinen Krämerladen aus Holz.|im Kaufladen spielen; hölzerner Kaufladen; Kaufladen für Kinder|Masculine noun (der Kaufladen, plural: Kaufläden). Primarily used to refer to a child's toy shop (miniature market stall). Historically, it meant a small local grocery store.
kaufen|Kauflaune|C2|47518|consumer mood, buying mood, propensity to buy|покупательское настроение, готовность делать покупки|Konsumstimmung; Kauflust; Kaufbereitschaft|Das gute Wetter hebt die Kauflaune der Kunden in der Innenstadt.|The good weather lifts the buying mood of customers downtown.|Хорошая погода поднимает покупательское настроение покупателей в центре города.|Das gute Wetter hebt die Konsumstimmung der Kunden in der Innenstadt.|in bester Kauflaune sein; die Kauflaune trübt sich; Kauflaune wecken|Feminine noun (die Kauflaune). Colloquial and economic journalism term describing consumers' eagerness or good mood for spending money.
kaufen|Kaufleute|C2|203530|merchants, businessmen, businesswomen, traders|купцы, торговцы, коммерсанты|Geschäftsleute; Händler|Viele Kaufleute trafen sich auf der Messe, um Verträge abzuschließen.|Many merchants met at the trade fair to conclude contracts.|Многие торговцы встретились на ярмарке, чтобы заключить договоры.|Viele Geschäftsleute trafen sich auf der Messe, um Verträge abzuschließen.|ehrbare Kaufleute; Kaufleute und Händler; angehende Kaufleute|Plural noun (die Kaufleute). It serves as the plural of Kaufmann and Kauffrau. Can refer to people certified in commercial business or traditional merchants.
kaufen|Kauflust|C2|47125|eagerness to buy, buying mood, inclination to purchase|желание покупать, покупательский задор|Kaufbereitschaft; Kauflaune; Konsumlust|Die sinkenden Preise kurbeln die Kauflust der Verbraucher an.|Falling prices boost consumers' eagerness to buy.|Падающие цены подстегивают желание потребителей делать покупки.|Die sinkenden Preise kurbeln die Kaufbereitschaft der Verbraucher an.|die Kauflust anregen; Kauflust wecken; gedämpfte Kauflust|Feminine noun (die Kauflust). Expresses the active desire or appetite to buy things. Often used in economic and trade reports.
kaufen|Kaufmann|B2|4314|merchant, businessman, commercial clerk|купец, коммерсант, специалист по торговле|Händler; Geschäftsmann|Er machte eine Ausbildung zum Kaufmann im Einzelhandel.|He did an apprenticeship to become a retail commercial clerk.|Он прошел обучение на специалиста по розничной торговле.|Er machte eine Ausbildung zum Geschäftsmann im Einzelhandel.|eingetragener Kaufmann; gelernter Kaufmann; Kaufmann im Groß- und Außenhandel|Masculine noun (der Kaufmann, plural: Kaufleute or Kaufmänner). Historically a merchant, today in Germany it also designates a professionally trained administrative or retail employee.
kaufen|Kaufwut|C2|140235|buying frenzy, shopaholism, buying mania|мания покупок, покупательская лихорадка|Kaufrausch; Konsumrausch; Kaufsucht|Vor Weihnachten verfallen viele Menschen in eine regelrechte Kaufwut.|Before Christmas, many people fall into a real buying frenzy.|Перед Рождеством многие люди впадают в настоящую покупательскую лихорадку.|Vor Weihnachten verfallen viele Menschen in einen regelrechten Kaufrausch.|in Kaufwut verfallen; die allgemeine Kaufwut; zügellose Kaufwut|Feminine noun (die Kaufwut). A critical or hyperbolic term, indicating obsessive, uncontrolled purchasing behavior (almost like an obsession or madness, 'Wut').
kaufen|Kaufzwang|C2|102898|obligation to buy, compulsive buying|обязанность совершить покупку, навязчивое желание покупать|Kaufverpflichtung; Kaufsucht|Der Eintritt zur Ausstellung ist frei, es besteht kein Kaufzwang.|Admission to the exhibition is free, there is no obligation to buy.|Вход на выставку свободный, обязательства совершать покупки нет.|Der Eintritt zur Ausstellung ist frei, es besteht keine Kaufverpflichtung.|ohne Kaufzwang; kein Kaufzwang; psychologischer Kaufzwang|Masculine noun (der Kaufzwang). Can mean a formal business obligation to buy (e.g., at a sales presentation), or a psychological compulsion to shop (compulsive buying disorder).
kaufen|abkaufen|C1|16788|to buy from (someone), believe (colloquial)|перекупать у кого-то, покупать у кого-то; поверить (разг.)|abnehmen; aberkaufen; glauben|Er wollte mir mein altes Fahrrad abkaufen.|He wanted to buy my old bicycle from me.|Он хотел купить у меня мой старый велосипед.|Er wollte mir mein altes Fahrrad abnehmen.|jemandem etwas abkaufen; eine Geschichte abkaufen|Separable verb (kauft ab, kaufte ab, abgekauft). Requires a dative object (the seller) and an accusative object (the item). Figuratively, 'jemandem eine Lüge abkaufen' means to believe someone's story/lie.
kaufen|ankaufen|C2|29275|to buy up, purchase, acquire (especially as a dealer)|скупать, закупать, приобретать|aufkaufen; erwerben|Die Galerie möchte Gemälde junger Künstler ankaufen.|The gallery wants to purchase paintings by young artists.|Галерея хочет приобрести картины молодых художников.|Die Galerie möchte Gemälde junger Künstler erwerben.|Altgold ankaufen; Bücher ankaufen; gewerblich ankaufen|Separable verb (kauft an, kaufte an, angekauft). Commonly used by businesses, collectors, or institutions to describe buying items from the public or suppliers (e.g., gold, books, art).
kaufen|aufkaufen|C1|17076|to buy up, corner (the market), acquire completely|скупать, выкупать (целиком)|wegkaufen; einheimsen|Ein großer Konzern hat alle kleineren Konkurrenten aufgekauft.|A large corporation bought up all the smaller competitors.|Крупный концерн скупил всех более мелких конкурентов.|Ein großer Konzern hat alle kleineren Konkurrenten geschluckt.|Grundstücke aufkaufen; Aktien aufkaufen; den Markt aufkaufen|Separable verb (kauft auf, kaufte auf, aufgekauft). Often carries a slightly negative or aggressive connotation (monopolizing, buying everything available on the market).
kaufen|einkaufen|A2|4191|to shop, buy groceries|делать покупки, закупаться|shoppen; Einkäufe machen|Samstags gehen wir meistens im Supermarkt einkaufen.|On Saturdays we usually go shopping in the supermarket.|По субботам мы обычно ходим за покупками в супермаркет.|Samstags machen wir meistens Einkäufe im Supermarkt.|einkaufen gehen; im Supermarkt einkaufen; billig einkaufen|Separable verb (kauft ein, kaufte ein, eingekauft). Used intransitively for general shopping (especially groceries and daily needs). If used transitively (sich einkaufen in), it means to buy shares or a partnership in a company.
kaufen|erkaufen|C1|19118|to buy, purchase (figuratively at a high personal cost or sacrifice)|купить ценой чего-то, выкупить, обрести дорогой ценой|erringen; erwerben|Sie hat sich den Erfolg mit harter Arbeit erkauft.|She purchased her success with hard work.|Она купила свой успех упорным трудом.|Sie hat sich den Erfolg durch harte Arbeit errungen.|teuer erkaufen; sich die Freiheit erkaufen; Frieden erkaufen|Inseparable verb (erkauft, erkaufte, erkauft). Almost always used figuratively. 'Sich etwas erkaufen' suggests obtaining something valuable, but having to pay a heavy, non-monetary price for it (e.g., freedom, success, peace).
kaufen|freikaufen|C2|38542|to ransom, buy someone's freedom|выкупать (из плена, тюрьмы)|auslösen; befreien|Die Familie versuchte, die Geisel freizukaufen.|The family tried to ransom the hostage.|Семья пыталась выкупить заложника.|Die Familie versuchte, die Geisel auszulösen.|eine Geisel freikaufen; Gefangene freikaufen; sich freikaufen|Separable verb (kauft frei, kaufte frei, freigekauft). Used when paying money (ransom) to free a hostage, prisoner, or slave. Reflexive 'sich freikaufen' means to buy one's own freedom or release from an obligation.
kaufen|nachkaufen|C2|25101|to buy more of, repurchase, buy later|докупать, докупить, покупать взамен или дополнительно|dazukaufen; nachbestellen; nacherwerben|Ich muss noch ein paar Zutaten für das Rezept nachkaufen.|I still need to buy some more ingredients for the recipe.|Мне нужно докупить еще несколько ингредиентов для рецепта.|Ich muss noch ein paar Zutaten für das Rezept dazukaufen.|Aktien nachkaufen; fehlende Vorräte nachkaufen; Wein nachkaufen|Separable verb (kauft nach, kaufte nach, nachgekauft). Used when you already have some of something but need to purchase additional quantities, or to replace something that has run out.
kaufen|verkaufen|A2|702|to sell|продавать, продать|veräußern; abgeben; vertreiben|Wir wollen unser altes Auto verkaufen.|We want to sell our old car.|Мы хотим продать нашу старую машину.|Wir wollen unser altes Auto veräußern.|ein Haus verkaufen; gut verkaufen; teuer verkaufen; sich gut verkaufen|Inseparable verb (verkauft, verkaufte, verkauft). The exact opposite of 'kaufen'. Reflexive 'sich verkaufen' means to present oneself (e.g., in a job interview) or, figuratively, to compromise one's values for money.
kaufen|zukaufen|C2|32188|to buy in addition, purchase additionally|прикупать, докупать, приобретать дополнительно|hinzukaufen; dazuerwerben|Das Unternehmen musste zusätzliche Stromkapazitäten zukaufen.|The company had to purchase additional electricity capacities.|Компании пришлось дополнительно закупать электроэнергию.|Das Unternehmen musste zusätzliche Stromkapazitäten hinzukaufen.|Land zukaufen; Dienstleistungen zukaufen; Energie zukaufen|Separable verb (kauft zu, kaufte zu, zugekauft). Frequently used in business, agriculture, or manufacturing when an entity has to acquire external resources or components rather than producing them internally.
kaufen|zurückkaufen|C2|28677|to buy back, repurchase|выкупать обратно, перекупать назад|rückerwerben; wiederkaufen|Der Staat möchte die privatisierten Netze zurückkaufen.|The state wants to buy back the privatized networks.|Государство хочет выкупить обратно приватизированные сети.|Der Staat möchte die privatisierten Netze wiederkaufen.|eigene Aktien zurückkaufen; das Grundstück zurückkaufen; Rechte zurückkaufen|Separable verb (kauft zurück, kaufte zurück, zurückgekauft). Used when a seller buys back something they previously owned or sold. Often used with shares, real estate, or licenses.
kaufen|zusammenkaufen|C2|65548|to buy up, gather by buying, acquire from various sources|скупать в разных местах, набрать покупок|zusammenerwerben; zusammenraffen|Er hat sich die Ausrüstung mühsam auf Flohmärkten zusammengekauft.|He laboriously gathered the equipment by buying it at flea markets.|Он с трудом собрал снаряжение, скупая его на блошиных рынках.|Er hat sich die Ausrüstung mühsam auf Flohmärkten zusammengestellt.|alles Mögliche zusammenkaufen; sich eine Sammlung zusammenkaufen|Separable verb (kauft zusammen, kaufte zusammen, zusammengekauft). Often reflexive ('sich etwas zusammenkaufen') or transitive. It implies purchasing various individual items from different sources over time to form a collection or set.
