word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
tun|tun|B1|10065|to do; to make; to put|делать; поступать; класть|machen; handeln; setzen; legen|Was kann ich für Sie tun?|What can I do for you?|Что я могу для вас сделать?|Was kann ich für Sie machen?|etwas Gutes tun; nichts zu tun haben; seine Pflicht tun; Butter aufs Brot tun|'tun' is highly versatile and frequently replaces 'machen' in everyday speech, though 'machen' is often preferred in formal contexts for producing something. 'tun' also serves as an auxiliary in some dialects, which is non-standard.
tun|abtun|C2|254802|to dismiss; to shrug off; to discard|отделываться; сбрасывать со счетов; отвергать; снимать|herabspielen; verwerfen; beiseiteschieben; ablegen|Er wollte das Problem als Kleinigkeit abtun.|He wanted to dismiss the problem as a trifle.|Он хотел отмахнуться от проблемы как от пустяка.|Er wollte das Problem als Kleinigkeit herabspielen.|ein Argument als lächerlich abtun; eine Warnung abtun; Kleider abtun|Often used in the sense of dismissing suggestions, concerns, or ideas as irrelevant or minor. Grammatically, it is a separable verb (er tut es ab).
tun|antun|C2|237517|to do to (someone); to inflict; to appeal to|причинять (вред); наносить; привлекать; надевать|zufügen; gefallen; anziehen|Warum hast du mir das angetan?|Why did you do this to me?|Зачем ты так поступил со мной? (Зачем ты причинил мне это?)|Warum hast du mir das zugefügt?|jemandem Leid antun; sich etwas antun; angetan sein von etwas|Commonly used in 'jemandem etwas antun' (to cause harm or pain to someone) or 'sich etwas antun' (to harm oneself/commit suicide). The passive-like adjective phrase 'angetan sein von' means 'to be charmed/impressed by'.
tun|auftun|C2|253451|to open up; to find; to locate; to serve (food)|открывать; раздобыть (находить); накладывать (еду)|öffnen; auftreiben; aufgabeln; servieren|Wo hast du nur dieses seltene Buch aufgetan?|Where on earth did you find this rare book?|Где же ты раздобыл эту редкую книгу?|Wo hast du nur dieses seltene Buch aufgetrieben?|eine neue Quelle auftun; sich auftun; Essen auftun|'sich auftun' describes a chasm, opportunities, or horizons opening up. In colloquial speech, 'etwas auftun' means to track down or acquire something hard to find.
tun|austun|C2|253297|to extinguish; to remove; to rent out|гасить; тушить; вынимать; сдавать в аренду|auslöschen; ausmachen; entfernen; vermieten|Du musst das Licht austun, wenn du gehst.|You have to turn off the light when you leave.|Ты должен выключить свет, когда уходишь.|Du musst das Licht ausmachen, wenn du gehst.|das Licht austun; die Kerze austun; das Feuer austun|Regional (mainly Southern German/Austrian/Swiss) and colloquial synonym for 'ausmachen' or 'auslöschen' (lights, fire).
tun|betun|C2|162869|to fuss over; to busy oneself; to behave|суетиться; заботиться; ухаживать (за кем-то)|sich bemühen; bemühen; herumscharren; sich anstellen|Sie betut sich sehr um das Wohl ihrer Gäste.|She fusses a lot over the well-being of her guests.|Она очень заботится о благополучии своих гостей.|Sie bemüht sich sehr um das Wohl ihrer Gäste.|sich um jemanden betun; besorgt betun|Mostly used reflexively ('sich betun') or as a participle ('betulich'). It carries a nuance of over-attentiveness, fussiness, or acting busy.
tun|dartun|C2|246776|to demonstrate; to explain; to prove|доказывать; разъяснять; излагать|darlegen; beweisen; demonstrieren; aufzeigen|Er konnte seinen Standpunkt überzeugend dartun.|He was able to demonstrate his point of view convincingly.|Он смог убедительно изложить свою точку зрения.|Er konnte seinen Standpunkt überzeugend darlegen.|seine Unschuld dartun; Gründe dartun; eine Wahrheit dartun|Elevated style, formal register. It is separable (er tut dar) and often replaceable by 'darlegen' or 'beweisen'.
tun|dazutun|C2|253672|to add; to contribute|добавлять; прибавлять|hinzufügen; hinzugeben; beitragen; beigeben|Du musst noch etwas Salz dazutun.|You need to add some more salt.|Тебе нужно добавить еще немного соли.|Du musst noch etwas Salz hinzufügen.|Zucker dazutun; nichts dazutun können; sein Scherflein dazutun|Colloquial or informal alternative to 'hinzufügen'. Usually implies putting ingredients in food or adding physical items.
tun|dicktun|C2|254109|to brag; to show off; to act big|важничать; хвастаться; задирать нос|angeben; prahlen; sich aufspielen; großtun|Er muss immer vor seinen Freunden dicktun.|He always has to brag in front of his friends.|Ему всегда нужно хвастаться перед своими друзьями.|Er muss immer vor seinen Freunden angeben.|mit dem Geld dicktun; vor den Kumpels dicktun|Very colloquial, often derogatory. Means acting as if one is very important, strong, or rich. Separable (er tut dick).
tun|dicketun|C2|248626|to brag; to boast; to show off|важничать; хвастаться; напускать на себя важность|prahlen; angeben; dicktun; sich aufspielen|Es bringt nichts, hier so dicketun zu wollen.|There is no point in trying to show off so much here.|Нет смысла пытаться так важничать здесь.|Es bringt nichts, hier so prahlen zu wollen.|dicketun mit dem Auto; dicketun vor anderen|A spelling and regional variant of 'dicktun'. Used in identical contexts to express disapproval of boasting.
