word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
denken|denken|A1|3417|to think|думать|nachdenken; überlegen; meinen; glauben|Ich denke, dass er recht hat.|I think that he is right.|Я думаю, что он прав.|Ich glaube, dass er recht hat.|an jemanden denken; über etwas nachdenken; laut denken; logisch denken|Commonly used with 'an' + accusative (to think of someone/something) or 'über' + accusative (to have an opinion about). Can also take a 'dass' clause.
denken|Denkakt|C2|196107|act of thinking / cognitive act|акт мышления / мыслительный акт|Denkvorgang; Geistesakt; Denkbewegung|Jeder bewusste Denkakt erfordert Konzentration.|Every conscious act of thinking requires concentration.|Каждое сознательное мысленное действие требует концентрации.|Jeder bewusste Denkvorgang erfordert Konzentration.|ein bewusster Denkakt; ein logischer Denkakt; ein komplexer Denkakt|Highly formal and philosophical term. Refers specifically to the single, isolated mental event of thinking.
denken|Denkansatz|C2|47034|intellectual approach / conceptual approach|подход к решению проблемы / отправная точка мышления|Lösungsansatz; Herangehensweise; Denkmodell|Sein neuer Denkansatz überraschte das gesamte Team.|His new intellectual approach surprised the entire team.|Его новый подход к мышлению удивил всю команду.|Seine neue Herangehensweise überraschte das gesamte Team.|ein neuer Denkansatz; ein interessanter Denkansatz; einen Denkansatz verfolgen|Frequently used in academic, business, and political discussions to describe a basic conceptual starting point or methodology for solving a problem.
denken|Denkanstoß|C1|21568|food for thought / impulse / stimulus|пища для размышлений / импульс к размышлению|Impuls; Anregung; Denkanreiz|Dieses Buch gibt einen wichtigen Denkanstoß.|This book provides important food for thought.|Эта книга дает важный импульс для размышлений.|Dieses Buch gibt eine wichtige Anregung.|einen Denkanstoß geben; einen Denkanstoß liefern; ein wichtiger Denkanstoß|Typically used with the verbs 'geben' or 'liefern'. It implies an external stimulus that triggers deeper cognitive processes or changes someone's perspective.
denken|Denkart|C2|87131|way of thinking / mindset / mentality|образ мыслей / менталитет|Denkweise; Mentalität; Gesinnung|Seine altmodische Denkart passt nicht in unsere Zeit.|His old-fashioned way of thinking does not fit into our time.|Его старомодный образ мыслей не подходит к нашему времени.|Seine altmodische Denkweise passt nicht in unsere Zeit.|eine moderne Denkart; eine traditionelle Denkart; die vorherrschende Denkart|A somewhat formal and literary synonym for 'Denkweise' or 'Mentalität'. It often refers to a structured, cultural, or philosophical mindset.
denken|Denkaufgabe|C2|100053|mental puzzle / intellectual task|задача на сообразительность / мысленная задача|Rätsel; Denksportaufgabe; Knobelaufgabe|Die Mathematiklehrerin gab uns eine schwierige Denkaufgabe.|The math teacher gave us a difficult mental puzzle.|Учительница математики задала нам сложную задачу на сообразительность.|Die Mathematiklehrerin gab uns eine schwierige Knobelaufgabe.|eine knifflige Denkaufgabe; eine mathematische Denkaufgabe; jemandem eine Denkaufgabe stellen|Often used in educational contexts or casual settings referring to riddles, logical puzzles, or challenging tasks that require active cognitive effort.
denken|denkbar|B2|3244|conceivable / thinkable / possible|мыслимый / возможный / допустимый|vorstellbar; möglich; plausibel|Ein solches Szenario ist durchaus denkbar.|Such a scenario is entirely conceivable.|Такой сценарий вполне мыслим.|Ein solches Szenario ist durchaus vorstellbar.|durchaus denkbar; kaum denkbar; alle denkbaren Möglichkeiten; in jeder denkbaren Weise|Used to express possibility. Frequently paired with intensifiers like 'durchaus' (thoroughly) or negative particles like 'kaum' (hardly) or 'nicht' (not).
denken|Denker|C1|12824|thinker / philosopher|мыслитель / философ|Philosoph; Intellektueller; Vordenker|Sokrates war ein berühmter griechischer Denker.|Socrates was a famous Greek thinker.|Сократ был знаменитым греческим мыслителем.|Sokrates war ein berühmter griechischer Philosoph.|ein großer Denker; ein freier Denker; Denker und Dichter|Refers to an intellectual, scholar, or philosopher. The compound 'Dichter und Denker' (poets and thinkers) is a famous historical description of the German nation.
denken|denkfähig|C2|146480|capable of thinking / rational|способный мыслить / мыслящий|vernunftbegabt; verständig; rational; denkend|Der Patient war nach der Narkose schnell wieder denkfähig.|The patient was quickly capable of thinking again after the anesthesia.|Пациент быстро пришел в себя и стал способен мыслить после наркоза.|Der Patient war nach der Narkose schnell wieder vernunftbegabt.|wieder denkfähig sein; ein denkfähiges Wesen; geistig denkfähig|Descriptive adjective often used in psychological, medical, or philosophical contexts to describe the baseline state of being able to form coherent thoughts.
denken|denkfaul|C2|111264|mentally lazy / intellectually lazy|ленивый умом / ленивый к размышлению|träge; unreflektiert; bequem|Er ist zu denkfaul, um sich eine eigene Meinung zu bilden.|He is too mentally lazy to form his own opinion.|Он слишком ленив умом, чтобы составить собственное мнение.|Er ist zu bequem, um sich eine eigene Meinung zu bilden.|denkfaul werden; ein denkfauler Mensch; eine denkfaule Gesellschaft|A pejorative adjective describing someone who actively avoids intellectual effort or critical reflection.
