word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
schalten|schalten|B2|3502|to switch, to shift gears, to rule, to manage|переключать (передачи), управлять, хозяйничать|steuern; regieren; den Gang wechseln; betätigen|Er musste in den dritten Gang schalten.|He had to shift into third gear.|Ему пришлось переключиться на третью передачу.|Er musste den dritten Gang einlegen.|den Gang schalten; eine Anzeige schalten; schalten und walten|Primarily used for shifting gears in a vehicle (often with 'in' + accusative) or placing an advertisement ('eine Anzeige schalten'). The idiom 'schalten und walten' means to act or rule exactly as one pleases.
schalten|beschalten|C2|165867|to wire, to equip with components, to connect (telecom)|оснащать контактами, подключать, коммутировать|verdrahten; belegen; anschließen; bestücken|Die Techniker müssen die neue Telefonleitung beschalten.|The technicians have to connect the new telephone line.|Техникам нужно подключить новую телефонную линию.|Die Techniker müssen die neue Telefonleitung verdrahten.|eine Leitung beschalten; Kontakte beschalten; Ausgänge beschalten|A highly technical term mostly used in electronics, telecommunications, and electrical engineering. It refers to wiring or assigning connections to physical ports.
schalten|durchschalten|C2|98012|to switch through, to connect (calls), to shift through all gears|соединять (по телефону), последовательно переключать передачи|verbinden; durchstellen; alle Gänge einlegen|Die Telefonzentrale hat den Anruf direkt durchgeschaltet.|The switchboard connected the call directly.|Телефонная станция напрямую соединила звонок.|Die Telefonzentrale hat den Anruf direkt durchgestellt.|einen Anruf durchschalten; die Gänge durchschalten; Signale durchschalten|Used in telecommunications to mean connecting a caller through to someone else, or in driving to describe shifting through all gears in sequence.
schalten|heraufschalten|C2|224783|to shift up (gears), to scale up|переключаться на более высокую передачу, повышать темп|hochschalten; heraufsetzen; beschleunigen|Vor der Autobahnauffahrt sollte man heraufschalten.|You should shift up before the highway entrance ramp.|Перед въездом на автомагистраль следует переключиться на повышенную передачу.|Vor der Autobahnauffahrt sollte man hochschalten.|in den nächsten Gang heraufschalten; einen Gang heraufschalten|A formal or technical equivalent of 'hochschalten'. Primarily refers to physical driving, but can occasionally be used metaphorically to mean increasing intensity.
schalten|herunterschalten|C2|95346|to downshift, to shift down, to slow down|переключаться на пониженную передачу, снижать темп, сбавлять обороты|runterschalten; zurückschalten; drosseln; verlangsamen|Vor der scharfen Kurve musste er herunterschalten.|Before the sharp curve, he had to shift down.|Перед крутым поворотом ему пришлось переключиться на пониженную передачу.|Vor der scharfen Kurve musste er runterschalten.|einen Gang herunterschalten; das Tempo herunterschalten|Very common in both literal (driving) and metaphorical contexts (e.g., advising someone to slow down their lifestyle or work pace).
schalten|hinaufschalten|C2|217453|to shift up (gears)|переключить на передачу выше (в гору)|hochschalten; heraufschalten|Bei Steigungen muss man rechtzeitig hinaufschalten.|On inclines, you need to shift up in good time.|На подъемах нужно своевременно переключаться на передачу выше.|Bei Steigungen muss man rechtzeitig hochschalten.|rechtzeitig hinaufschalten; einen Gang hinaufschalten|A geographical or directional variant of 'heraufschalten' or 'hochschalten', indicating shifting up specifically while moving uphill or forward. It is relatively rare.
schalten|hintereinanderschalten|C2|164527|to connect in series, to cascade|соединять последовательно|in Reihe schalten; seriell schalten; nacheinanderschalten|Man muss die Batterien hintereinanderschalten, um die Spannung zu erhöhen.|You must connect the batteries in series to increase the voltage.|Нужно соединить батареи последовательно, чтобы увеличить напряжение.|Man muss die Batterien in Reihe schalten, um die Spannung zu erhöhen.|Batterien hintereinanderschalten; Module hintereinanderschalten; Widerstände hintereinanderschalten|An electrical engineering term denoting a series connection, where current passes sequentially through each component.
schalten|hinunterschalten|C2|207348|to shift down (gears)|переключать на передачу ниже (под гору)|herunterschalten; runterschalten; zurückschalten|Wir müssen beim Bergabfahren hinunterschalten.|We need to shift down when driving downhill.|Нам нужно переключиться на пониженную передачу при спуске с горы.|Wir müssen beim Bergabfahren runterschalten.|beim Bergabfahren hinunterschalten; in den zweiten Gang hinunterschalten|A directional variant of 'herunterschalten', usually applied when driving downhill ('hinunter'). Equivalent in meaning to 'herunterschalten'.
schalten|hochschalten|C2|87833|to shift up (gears), to step up, to accelerate|переключаться на повышенную передачу, ускорять темп, наращивать обороты|heraufschalten; hinaufschalten; beschleunigen|Du fährst zu hochtourig, du solltest hochschalten.|You are driving at too high RPMs, you should shift up.|Ты едешь на слишком высоких оборотах, тебе следует переключиться на передачу выше.|Du fährst zu hochtourig, du solltest heraufschalten.|einen Gang hochschalten; einen Gang zulegen|The most common and natural German verb for shifting up gears in driving. It can be used figuratively to mean putting in more effort or speeding up a process.
schalten|nachschalten|C2|140558|to connect downstream, to connect subsequently|подключать на следующем этапе, устанавливать далее по схеме|nachordnen; dahinterschalten; folgend anschließen|Dem Filter ist ein weiterer Reinigungsschritt nachgeschaltet.|A further purification step is connected downstream of the filter.|За фильтром следует еще один этап очистки.|Dem Filter ist ein weiterer Reinigungsschritt nachgeordnet.|ein nachgeschalteter Prozess; nachgeschaltete Stufe; Geräte nachschalten|A technical term. It is very frequently used in the passive or as an adjective ('nachgeschaltet') to describe subsequent processing stages or downstream devices.
