word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
ringen|ringen|B2|6820|to wrestle, struggle, fight|бороться, стремиться, вырывать|kämpfen; streiten; sich abmühen; ringen|Sie mussten hart um eine Einigung ringen.|They had to struggle hard for an agreement.|Им пришлось упорно бороться за соглашение.|Sie mussten hart um eine Einigung kämpfen.|um Atem ringen; nach Luft ringen; mit den Händen ringen; um eine Lösung ringen|Often used figuratively with 'um' (+ accusative) meaning to struggle for something (e.g., breath, decision, words) or 'mit' (+ dative) meaning to struggle with something (e.g., doubts, death).
ringen|Ringer|C1|13521|wrestler|борец|Kämpfer; Athlet|Der Ringer gewann die Goldmedaille bei den Olympischen Spielen.|The wrestler won the gold medal at the Olympic Games.|Борец завоевал золотую медаль на Олимпийских играх.|Der Athlet gewann die Goldmedaille bei den Olympischen Spielen.|griechisch-römischer Ringer; Ringer im Schwergewicht; professioneller Ringer|Specifically refers to an athlete who practices wrestling (Ringen) as a sport. Can occasionally be used metaphorically for someone who struggles.
ringen|Ringkampf|C2|55611|wrestling match, struggle|борьба, поединок по борьбе|Ringerwettkampf; Zweikampf; Ringen|Der Ringkampf zog viele Zuschauer in die Halle.|The wrestling match drew many spectators to the arena.|Борцовский поединок привлек в зал много зрителей.|Der Zweikampf zog viele Zuschauer in die Halle.|einen Ringkampf austragen; spannender Ringkampf; sportlicher Ringkampf|Refers to both the literal sport of wrestling and metaphorically to a fierce, direct struggle between two opponents or entities.
ringen|abringen|C2|24693|to wrest, extract, force (something out of someone)|вырывать, вымучивать, добиваться с трудом|abgewinnen; entlocken; abtrampeln|Ich konnte ihm schließlich ein Versprechen abringen.|I was finally able to wrest a promise from him.|В конце концов мне удалось добиться от него обещания.|Ich konnte ihm schließlich ein Versprechen entlocken.|jemandem ein Lächeln abringen; ein Geständnis abringen; ein Versprechen abringen; Respekt abringen|Requires a dative object (the person) and an accusative object (the thing): 'jemandem etwas abringen'. Implies obtaining something with great effort or against the other person's will.
ringen|ausringen|C2|172350|to wring out (laundry), to finish wrestling|выжимать (белье), закончить борьбу|auswringen; auspressen; zu Ende kämpfen|Vor dem Aufhängen muss man die Wäsche gründlich ausringen.|Before hanging it up, you have to wring out the laundry thoroughly.|Перед тем как вешать, нужно тщательно выжать белье.|Vor dem Aufhängen muss man die Wäsche gründlich auswringen.|die Wäsche ausringen; ein nasses Handtuch ausringen; die Kleidung ausringen|Mainly used in regional or older German to mean wringing out wet fabrics (where 'auswringen' is more common in modern standard German). Rarely used to mean finishing a match.
ringen|durchringen|C1|17998|to struggle through, force oneself to (do something)|решиться, пересилить себя|sich entschließen; überwinden; durchbeißen|Nach langem Zögern konnte er sich zu einer Entscheidung durchringen.|After long hesitation, he managed to bring himself to a decision.|После долгих колебаний он смог решиться на принятие решения.|Nach langem Zögern konnte er sich zu einer Entscheidung entschließen.|sich zu einer Entscheidung durchringen; sich zu einer Beichte durchringen; sich dazu durchringen, etwas zu tun|Always reflexive ('sich durchringen') and requires the preposition 'zu' (+ dative). It implies a prolonged, difficult internal conflict before finally taking action.
ringen|einringen|C2|212291|to surround, encircle, corner|окружать, кольцевать, загонять в круг|umringen; einkreisen; umstellen|Die Jäger wollten das Wild im Wald einringen.|The hunters wanted to encircle the game in the forest.|Охотники хотели окружить дичь в лесу.|Die Jäger wollten das Wild im Wald einkreisen.|ein Tier einringen; das Gebiet einringen; den Gegner einringen|A rare verb, mostly used in hunting (to surround game) or sports/wrestling (getting into the ring, forming a ring). Not to be confused with 'einläuten' (to ring in, usher in).
ringen|entringen|C2|104493|to wrest away, snatch from|вырвать, освободить из цепких рук|entreißen; abnehmen; befreien|Er konnte dem Dieb die Beute entringen.|He managed to wrest the loot away from the thief.|Ему удалось вырвать добычу из рук вора.|Er konnte dem Dieb die Beute entreißen.|jemandem die Waffe entringen; dem Tod entringen; der Vergessenheit entringen|Used in elevated or poetic register. Requires a dative of the person/thing from which something is taken, and an accusative of the object ('jemandem etwas entringen').
ringen|erringen|B2|4835|to achieve, win, gain (through effort)|завоевать, добиться, одержать (победу)|erzielen; erlangen; gewinnen; erkämpfen|Die Mannschaft konnte einen wichtigen Sieg erringen.|The team was able to achieve an important victory.|Команда смогла одержать важную победу.|Die Mannschaft konnte einen wichtigen Sieg erzielen.|einen Sieg erringen; die Meisterschaft erringen; einen Erfolg erringen; die Unabhängigkeit erringen|Typically paired with positive abstract nouns like 'Sieg' (victory) or 'Erfolg' (success). It stresses that the outcome was achieved through hard work, struggle, or competition.
ringen|losringen|C2|211276|to tear oneself away, break free (by wrestling/struggling)|вырваться (из чьих-то объятий, борьбы)|sich losreißen; sich befreien; entkommen|Es gelang ihm, sich aus dem Griff des Gegners loszuringen.|He managed to break free from his opponent's grip.|Ему удалось вырваться из захвата соперника.|Es gelang ihm, sich aus dem Griff des Gegners loszureißen.|sich aus einer Umarmung losringen; sich gewaltsam losringen|Always reflexive ('sich losringen'). Describes physical effort to free oneself from a hold, but can also be used figuratively to break free from difficult circumstances.
