word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
steuern|steuern|B2|2452|to steer; to control; to regulate|управлять; направлять; регулировать|lenken; regeln; kontrollieren; leiten|Der Kapitän muss das Schiff sicher durch den Sturm steuern.|The captain must steer the ship safely through the storm.|Капитан должен безопасно провести корабль через шторм.|Der Kapitän muss das Schiff sicher durch den Sturm lenken.|ein Auto steuern; ein Schiff steuern; die Wirtschaft steuern; Prozesse steuern|The verb 'steuern' can refer to physical steering of a vehicle (requires accusative) or abstract control/regulation of systems. Do not confuse with 'Steuern zahlen' (paying taxes), which is derived from the noun 'die Steuer'.
steuern|steuerbar|C2|23952|controllable; steerable; taxable|управляемый; регулируемый; подлежащий налогообложению|lenkbar; regulierbar; kontrollierbar; steuerpflichtig|Die Drohne ist auch bei starkem Wind leicht steuerbar.|The drone is easily controllable even in strong winds.|Дрон легко управляем даже при сильном ветре.|Die Drohne ist auch bei starkem Wind leicht lenkbar.|leicht steuerbar; steuerbares Einkommen; elektronisch steuerbar|'steuerbar' has two distinct meanings depending on context: in technical/physical contexts, it means 'controllable' or 'steerable' (related to steering). In legal and financial contexts, it means 'taxable' (related to taxes).
steuern|Steuergerät|C2|43308|control unit; electronic control unit (ECU)|блок управления; контроллер|Steuerungseinheit; Kontrollgerät|Das Steuergerät des Motors muss ausgetauscht werden.|The engine control unit needs to be replaced.|Блок управления двигателем необходимо заменить.|Die Steuerungseinheit des Motors muss ausgetauscht werden.|elektronisches Steuergerät; Steuergerät defekt; Steuergerät programmieren|Primarily used in automotive, industrial, and electrical engineering. Represents a physical hardware unit that controls electronic systems.
steuern|Steuerknüppel|C2|68185|control stick; joystick|штурвал; ручка управления; джойстик|Steuerhebel; Joystick|Der Pilot zog den Steuerknüppel nach hinten, um an Höhe zu gewinnen.|The pilot pulled the control stick back to gain altitude.|Пилот потянул штурвал на себя, чтобы набрать высоту.|Der Pilot zog den Steuerhebel nach hinten, um an Höhe zu gewinnen.|den Steuerknüppel bewegen; Steuerknüppel umklammern; Steuerknüppel im Flugzeug|Typically used in aviation (aircraft control stick) or computer gaming. Formed from 'Steuer' (control/steering) and 'Knüppel' (stick/club).
steuern|Steuermann|C1|21666|helmsman; navigator; coxswain|штурман; рулевой|Navigator; Rudergänger|Der Steuermann hielt das Schiff auch bei Nacht auf Kurs.|The helmsman kept the ship on course even at night.|Штурман держал корабль на курсе даже ночью.|Der Navigator hielt das Schiff auch bei Nacht auf Kurs.|erfahrener Steuermann; der Steuermann des Bootes; Steuermann an Bord|A nautical term. While historically masculine, it is still widely used as a standard term for the person steering a vessel. The female counterpart is 'Steuerfrau'.
steuern|Steuerrad|C2|60359|steering wheel (of a ship); helm|штурвал; рулевое колесо|Steuer; Lenkrad; Helm|Er packte das Steuerrad mit beiden Händen, um den Kurs zu korrigieren.|He grabbed the steering wheel with both hands to correct the course.|Он схватил штурвал обеими руками, чтобы скорректировать курс.|Er packte das Lenkrad mit beiden Händen, um den Kurs zu korrigieren.|am Steuerrad stehen; das Steuerrad drehen; hölzernes Steuerrad|Mostly used for maritime steering wheels (ships). For automobiles, 'Lenkrad' is the standard term. 'Steuerrad' can sometimes be used metaphorically in leadership or political contexts.
steuern|Steuerruder|C2|119423|rudder; steering rudder|руль направления; руль (судна)|Ruder; Heckruder; Seitenruder|Das Steuerruder des Flugzeugs reagierte nicht mehr auf die Befehle.|The aircraft's rudder was no longer responding to commands.|Руль направления самолета больше не реагировал на команды.|Das Ruder des Flugzeugs reagierte nicht mehr auf die Befehle.|das Steuerruder betätigen; defektes Steuerruder; Steuerruder eines Schiffes|Refers to the physical control surface at the rear of a ship or aircraft used to steer.
steuern|Steuerung|B2|6611|control; steering; regulation; management|управление; регулирование; контроль|Lenkung; Regelung; Kontrolle; Führung|Die automatische Steuerung der Heizung spart viel Energie.|The automatic control of the heating system saves a lot of energy.|Автоматическое управление отоплением экономит много энергии.|Die automatische Regelung der Heizung spart viel Energie.|automatische Steuerung; elektronische Steuerung; die Steuerung übernehmen|A very common noun. Used in technical, mechanical, and administrative contexts. Often contrasted with 'Regelung' (which implies a closed-loop system with feedback, whereas 'Steuerung' can be open-loop control).
steuern|ansteuern|C1|11384|to head for; to target; to control; to activate|направляться к; держать курс на; активировать; управлять|anfahren; anlaufen; anpeilen; anregen|Wir müssen den nächsten Hafen ansteuern, um Proviant zu kaufen.|We need to head for the nearest port to buy provisions.|Нам нужно направиться в ближайший порт, чтобы купить провизию.|Wir müssen den nächsten Hafen anlaufen, um Proviant zu kaufen.|ein Ziel ansteuern; den Hafen ansteuern; Ventile elektrisch ansteuern|Separable verb. Has two primary meanings: 1) physically navigating towards a destination (like a harbor); 2) in electronics, applying a control signal to a component (like a pixel or electronic valve).
steuern|aussteuern|C2|73569|to level (audio); to modulate; to cease benefit payments|настраивать уровень (звука); прекращать выплату пособия; выравнивать|pegeln; regulieren; ausgliedern|Der Tontechniker must das Mikrofon richtig aussteuern, um Verzerrungen zu vermeiden.|The sound technician needs to level the microphone correctly to avoid distortion.|Звукорежиссеру необходимо правильно настроить уровень микрофона, чтобы избежать искажений.|Der Tontechniker muss das Mikrofon richtig pegeln, um Verzerrungen zu vermeiden.|ein Signal aussteuern; optimal aussteuern; aus dem Krankengeld ausgesteuert werden|Separable verb. Most commonly used in audio technology (leveling signals). In social security context, 'ausgesteuert werden' is a passive construction meaning that a person has exhausted their sickness benefits and is removed from the insurance payouts.
