word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
fallen|fallen|A2|561|to fall, drop|падать, упасть|stürzen; sinken; abfallen|Die Blätter fallen im Herbst von den Bäumen.|The leaves fall from the trees in autumn.|Листья падают с деревьев осенью.|Die Blätter sinken im Herbst von den Bäumen herab.|zu Boden fallen; in Ohnmacht fallen; vom Himmel fallen|Verb of motion, takes 'sein' in perfect tense. Can be used literally (physical falling) or figuratively (e.g., temperatures falling, or falling in battle).
fallen|fliegen|B1|66613|to fly|летать, лететь|schweben; jetten; reisen (per Flugzeug)|Die Vögel fliegen im Winter nach Süden.|The birds fly south in winter.|Птицы летят на юг зимой.|Die Vögel schweben im Winter nach Süden.|nach Hause fliegen; Business Class fliegen; ins Ausland fliegen|Auxiliary verb 'sein' is used for movement to a destination, 'haben' can occasionally be used when focusing on the action of piloting/flying without a specific destination.
fallen|purzeln|C1|22417|to tumble, roll, fall down (rapidly/clumsily)|кувыркаться, валиться, скатываться|stolpern; stürzen; fallen|Die Kinder purzelten vor Freude über die Wiese.|The children tumbled across the meadow with joy.|Дети от радости кувыркались по лугу.|Die Kinder stürzten vor Freude über die Wiese.|die Treppe hinunterpurzeln; die Preise purzeln|Often used colloquially, especially for clumsy, playful falls, or metaphorically for rapidly dropping prices. Takes 'sein'.
fallen|rutschen|B2|3962|to slide, slip|скользить, сползать|gleiten; schlittern; ausgleiten|Auf dem nassen Boden kann man leicht rutschen.|One can easily slip on the wet floor.|На мокром полу можно легко поскользнуться.|Auf dem nassen Boden kann man leicht ausgleiten.|auf dem Eis rutschen; auf den Knien rutschen; der Rutsch ins neue Jahr|Takes 'sein' when indicating movement. Often used in the idiom 'guten Rutsch' (happy New Year).
fallen|schlittern|C2|23461|to slither, slide, drift (into a crisis)|скользить, катиться (в кризис)|rutschen; gleiten; schlüpfen|Das Land droht in eine schwere Wirtschaftskrise zu schlittern.|The country is in danger of sliding into a severe economic crisis.|Страна рискует скатиться в тяжелый экономический кризис.|Das Land droht in eine schwere Wirtschaftskrise zu rutschen.|in eine Krise schlittern; auf dem Eis schlittern; in die Pleite schlittern|Often used figuratively to describe a slow, uncontrolled descent into an undesirable situation. Takes 'sein'.
fallen|abfallen|C1|17260|to fall off, decrease, waste|отпадать, снижаться, осыпаться|herunterfallen; sinken; nachlassen|Die Blätter fallen allmählich von den Zweigen ab.|The leaves are gradually falling off the branches.|Листья постепенно опадают с веток.|Die Blätter fallen allmählich von den Zweigen herunter.|vom Glauben abfallen; die Last fällt ab; Druck fällt ab|Separable verb. 'von etwas abfallen' means to fall off or break away. Also used to describe falling pressure or performance levels. Takes 'sein'.
fallen|anfallen|B2|7622|to accrue, arise, attack|возникать, накапливаться, нападать|entstehen; vorkommen; angreifen|Bei diesem Projekt werden hohe Kosten anfallen.|High costs will accrue during this project.|В ходе этого проекта возникнут большие расходы.|Bei diesem Projekt werden hohe Kosten entstehen.|Kosten fallen an; Gebühren fallen an; Arbeit fällt an; jemanden anfallen|Separable verb. Can mean 'to attack' (transitive, takes accusative: 'der Hund fiel ihn an') or 'to accrue/be incurred' (intransitive, takes 'sein': 'Kosten fallen an').
fallen|anheimfallen|C2|64393|to fall prey to, devolve upon|доставаться, становиться жертвой, подвергаться|verfallen; ausgeliefert sein; anheimgegeben werden|Seine Güter fielen schließlich dem Staat anheim.|His estates eventually fell to the state.|Его имущество в конце концов досталось государству.|Seine Güter fielen schließlich dem Staat zu.|dem Vergessen anheimfallen; dem Wahnsinn anheimfallen|Elevated/literary style. Takes dative case of the target (dem Staat, dem Vergessen). Conjugates with 'sein'.
fallen|aufeinanderfallen|C2|203250|to fall on top of each other, coincide|падать друг на друга, совпадать|kollidieren; zusammenfallen; sich überschneiden|Die Termine fielen unglücklicherweise aufeinander.|The appointments unfortunately coincided.|Встречи, к сожалению, совпали по времени.|Die Termine fielen unglücklicherweise zusammen.|Termine fallen aufeinander; Ereignisse fallen aufeinander|Literal or figurative (mostly of dates/events overlapping). Separable. Conjugates with 'sein'.
fallen|auffallen|B2|2911|to attract attention, stand out, notice|бросаться в глаза, обращать на себя внимание|hervorstechen; aufflackern; ins Auge springen|Mir ist aufgefallen, dass du müde aussiehst.|I noticed that you look tired.|Я заметил, что ты выглядишь усталым.|Mir sprang ins Auge, dass du müde aussiehst.|unangenehm auffallen; positiv auffallen; jemandem fällt etwas auf|Very common. Impersonal construction 'jemandem (Dative) auffallen'. Separable. Takes 'sein'.
