word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
stürzen|stürzen|B2|2118|to fall, to tumble, to overthrow|падать, валиться, свергать|fallen; umkippen; stürzen; entmachten|Der Radfahrer stürzte schwer auf der nassen Straße.|The cyclist fell heavily on the wet road.|Велосипедист тяжело упал на мокрой дороге.|Der Radfahrer fiel schwer auf der nassen Straße.|schwer stürzen; von der Leiter stürzen; eine Regierung stürzen; sich in die Arbeit stürzen|Highly versatile verb. Intransitive (with 'sein') for falling or tumbling over physically. Transitive (with 'haben') when overthrowing political entities or governments. The reflexive 'sich stürzen auf/in' means to plunge or throw oneself into work or adventure.
stürzen|abstürzen|C1|10791|to crash, to fall down, to plunge|зависнуть (о ПК), упасть, разбиться, рухнуть|herabstürzen; versagen; hängenbleiben|Mein Computer ist gestern während der Arbeit abgestürzt.|My computer crashed yesterday during work.|Мой компьютер вчера завис во время работы.|Mein Computer ist gestern während der Arbeit hängengeblieben.|ein Flugzeug stürzt ab; der Computer stürzt ab; im Gebirge abstürzen; finanziell abstürzen|Conjugated with 'sein'. Primarily indicates heavy falling from high altitude (mountaineers, airplanes) or, very commonly in modern times, computer systems/software crashing. Colloquially can also mean heavy social decline or extreme intoxication.
stürzen|anstürzen|C2|186536|to rush forward, to storm towards|устремляться, бросаться вперед, налетать|heranstürmen; anrennen; herbeieilen|Die Kinder stürzten wild an, als der Eiswagen kam.|The children rushed forward wildly when the ice cream truck arrived.|Дети неистово бросились вперед, когда подъехал фургон с мороженым.|Die Kinder rannten wild heran, als der Eiswagen kam.|wild anstürzen; ungestüm anstürzen; auf den Gegner anstürzen|Conjugated with 'sein'. Indicates a rapid, storm-like approaching motion of a group or force. It has a slightly literary or dramatic tone and is less common than simple 'heranstürmen'.
stürzen|bestürzen|C2|69173|to dismay, to shock, to appall|ошеломлять, поражать, приводить в замешательство|schockieren; entsetzen; erschrecken; fassungslos machen|Die Nachricht von seinem plötzlichen Tod bestürzte alle.|The news of his sudden death shocked everyone.|Известие о его внезапной смерти ошеломило всех.|Die Nachricht von seinem plötzlichen Tod schockierte alle.|tief bestürzen; jemanden bestürzen; eine Nachricht bestürzt|Transitive verb, conjugated with 'haben'. Unlike other 'stürzen' prefixes, this concerns mental state, meaning to throw into emotional confusion or dismay. Very frequently found as the adjective 'bestürzt' (dismayed, appalled).
stürzen|einstürzen|C1|20074|to collapse, to cave in, to fall down|рушиться, обрушиваться, оседать|zusammenbrechen; kollabieren; einfallen|Das alte Gebäude droht jeden Moment einzustürzen.|The old building is in danger of collapsing at any moment.|Старое здание рискует рухнуть в любой момент.|Das alte Gebäude droht jeden Moment zusammenzubrechen.|ein Haus stürzt ein; eine Brücke stürzt ein; ein Bergwerk stürzt ein; die Decke stürzt ein|Conjugated with 'sein'. Used for physical objects (structures, buildings, mines, bridges, walls) caving in or falling apart completely. Figuratively used with structures like 'ein Kartenhaus' (house of cards).
stürzen|herabstürzen|C2|75454|to plunge down, to fall down, to hurtle down|низвергаться, падать вниз, обрушиваться сверху|hinabstürzen; herunterfallen; hinunterstürzen|Das Wasser stürzt tosend von den Felsen herab.|The water plunges thunderingly down from the rocks.|Вода с грохотом низвергается со скал.|Das Wasser stürzt tosend von den Felsen hinab.|vom Felsen herabstürzen; tosend herabstürzen; Lawinen stürzen herab; Steine stürzen herab|Conjugated with 'sein'. Emphasizes falling downwards from a high point towards the observer's physical or mental standpoint. Very common for natural elements like waterfalls, avalanches, or debris.
stürzen|hereinstürzen|C2|147906|to rush in, to burst in, to collapse inward|врываться, вбегать, обрушиваться внутрь|hereinplatzen; hereinstürmen; hereinbrechen|Plötzlich stürzte der Wind durch das offene Fenster herein.|Suddenly the wind rushed in through the open window.|Вдруг ветер ворвался через открытое окно.|Plötzlich brach der Wind durch das open Fenster herein.|ins Zimmer hereinstürzen; die Decke stürzt herein; die Fluten stürzen herein|Conjugated with 'sein'. Expresses violent, fast movement entering a space (towards the speaker). Can be people rushing inside in excitement/panic, or elements like storm, floods, or a ceiling caving inwards.
stürzen|herausstürzen|C2|164788|to rush out, to burst out, to pour out|выбегать, бросаться наружу, вываливаться|herausrennen; hinausstürzen; herauseilen|Die Menschen stürzten in Panik aus dem brennenden Haus heraus.|People rushed out of the burning house in a panic.|Люди в панике выбегали из горящего дома.|Die Menschen rannten in Panik aus dem brennenden Haus heraus.|aus der Tür herausstürzen; panisch herausstürzen; das Wasser stürzt heraus|Conjugated with 'sein'. Direct antonym of 'hereinstürzen'. Focuses on rushing out of an enclosed area towards the observer. Often carries a connotation of emergency, haste, or high velocity.
stürzen|hinabstürzen|C2|75084|to plunge down, to fall down, to precipitate|низвергаться, срываться вниз, падать с высоты|herabstürzen; hinunterfallen; hinabfallen|Der Abenteurer blickte in den Abgrund, in den er fast hinabstürzte.|The adventurer looked into the abyss into which he almost plunged.|Авантюрист посмотрел в пропасть, в которую едва не сорвался.|Der Abenteurer blickte in den Abgrund, in den er fast hinabfiel.|in die Tiefe hinabstürzen; in den Abgrund hinabstürzen; die Klippe hinabstürzen|Conjugated with 'sein'. Similar to 'herabstürzen', but the prefix 'hin-' stresses movement away from the speaker/starting viewpoint towards a deep destination. Commonly used with abyss, depths, cliff edges, etc.
stürzen|hinunterstürzen|C2|71526|to fall down, to gulp down, to swallow quickly|падать вниз, опрокидывать (напиток), проглатывать залпом|herabstürzen; hinabwerfen; herunterschlucken|Er stürzte das kalte Bier in einem Zug hinunter.|He gulped down the cold beer in one draft.|Он выпил холодное пиво залпом.|Er schluckte das kalte Bier in einem Zug hinunter.|ein Getränk hinunterstürzen; die Treppe hinunterstürzen; ein Bier hinunterstürzen|Double behavior: Intransitive (with 'sein') for falling downwards (e.g. falling down stairs). Transitive (with 'haben') meaning to quickly gulp down beverages (colloquially also 'runterstürzen').
stürzen|nachstürzen|C2|199533|to plunge after, to rush after, to pour more (liquids)|бросаться вслед, устремляться вдогонку, доливать|hinterherlaufen; nachrennen; hinterherrennen|Als er seinen Freund fallen sah, stürzte er ihm sofort nach.|When he saw his friend fall, he immediately plunged after him.|Увидев, как его друг падает, он тут же бросился за ним вслед.|Als er seinen Freund fallen sah, rannte er ihm sofort hinterher.|jemandem nachstürzen; hinterher nachstürzen; blindlings nachstürzen|Conjugated with 'sein'. Usually demands dative object ('jemandem nachstürzen'). Means rushing after someone who has already left or fallen down. Rarely used in transitive terms for hastily adding/pouring extra liquid.
stürzen|umstürzen|C2|35114|to topple over, to overthrow, to knock down|опрокидывать, опрокидываться, совершать переворот|umfallen; umwerfen; stürzen; kippen|Der starke Wind ließ die alten Bäume im Wald umstürzen.|The strong wind caused the old trees in the forest to topple over.|Сильный ветер повалил старые деревья в лесу.|Der starke Wind ließ die alten Bäume im Wald umfallen.|Bäume stürzen um; das Glas stürzt um; Regierungen umstürzen; Pläne umstürzen|Dual-behavior verb. Intransitive (with 'sein') for falling over or toppling (a glass, a tree, a statue). Transitive (with 'haben') when physically knocking something over or politically overthrowing a state, plans, or systems.
stürzen|vorbeistürzen|C2|210095|to rush past, to hurtle past|проноситься мимо, промчаться мимо|vorbeirauschen; vorbeirennen; vorbeifliegen|Die Reiter stürzten im Galopp an uns vorbei.|The riders rushed past us at a gallop.|Всадники промчались мимо нас галопом.|Die Reiter rannten im Galopp an uns vorbei.|an jemandem vorbeistürzen; im Eiltempo vorbeistürzen; eilig vorbeistürzen|Conjugated with 'sein'. Focuses on high-speed motion passing alongside someone or something ('an + Dativ vorbeistürzen'). Captures highly dramatic or hurried contexts.
stürzen|zurückstürzen|C2|167029|to rush back, to fall back, to plunge back|бросаться назад, отпрянуть, падать обратно|zurückweichen; zurücklaufen; zurückeilen|Nach dem Schock stürzte er erschrocken in sein Zimmer zurück.|After the shock, he rushed back into his room in terror.|После шока он в испуге бросился обратно в свою комнату.|Nach dem Schock eilte er erschrocken in sein Zimmer zurück.|zurückstürzen ins Bett; ins Zimmer zurückstürzen; zurückstürzen vor Schrecken|Conjugated with 'sein'. Highlights an extremely hurried return to a place of origin, often motivated by panic, fear, or urgency. Can also mean physical falling backwards (e.g., onto a bed).
