word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
hören|hören|A1|539|to hear; to listen to|слышать; слушать|lauschen; vernehmen; anhören; zuhören|Ich kann die Vögel draußen singen hören.|I can hear the birds singing outside.|Я слышу, как снаружи поют птицы.|Ich kann vernehmen, wie die Vögel draußen singen.|Musik hören; auf jemanden hören; Radio hören; gut hören; von sich hören lassen|Can mean 'to perceive sound' (hear) or 'to pay attention/obey' (auf jemanden hören). In the sense of listening actively, it is often used with an object (Musik hören) or replaced by 'zuhören'.
hören|hellhörig|C2|28518|thin-walled (building); alert / vigilant (figurative)|с плохой звукоизоляцией (о доме); чуткий / бдительный (перен.)|geräuschempfindlich; wachsam; feinfühlig; aufmerksam|Die neue Wohnung ist leider sehr hellhörig.|Unfortunately, the new apartment is very thin-walled.|Новая квартира, к сожалению, с очень плохой звукоизоляцией.|Die neue Wohnung ist leider sehr geräuschempfindlich gebaut.|ein hellhöriges Haus; eine hellhörige Wohnung; hellhörig werden (become suspicious/alert)|Used in two contexts: physically for buildings where sounds easily pass through walls; and figuratively to describe becoming alert or suspicious ('hellhörig werden').
hören|hörbar|C1|11612|audible|слышимый; разборчивый|vernehmbar; wahrnehmbar|Seine Stimme war kaum hörbar.|His voice was barely audible.|Его голос был едва слышим.|Seine Stimme war kaum vernehmbar.|kaum hörbar; deutlich hörbar; ein hörbares Aufseufzen|Derived from 'hören' + suffix '-bar' (able to be). Commonly paired with intensifiers like 'kaum' (barely) or 'deutlich' (clearly).
hören|hörenswert|C2|34312|worth hearing; worth listening to|заслуживающий внимания; стоит послушать|empfehlenswert; beachtenswert; lohnenswert|Der Podcast ist absolut hörenswert.|The podcast is absolutely worth listening to.|Этот подкаст абсолютно точно стоит послушать.|Der Podcast ist absolut empfehlenswert.|ein hörenswertes Konzert; hörenswerte Musik; absolut hörenswert sein|Formed from 'hören' + '-wert' (worthy of). Used to recommend acoustic mediums like podcasts, concerts, albums, or speeches.
hören|hörig|C2|51899|submissive; subservient; under someone's spell|рабски зависимый; слепо преданный|abhängig; unterwürfig; willenlos|Sie ist ihrem Ehemann völlig hörig.|She is completely submissive to her husband.|Она находится в полной, рабской зависимости от своего мужа.|Sie ist von ihrem Ehemann völlig abhängig.|jemandem hörig sein; eine hörige Beziehung; sexuell hörig sein|Usually takes a dative object ('jemandem hörig sein'). It has a strong negative, pathological connotation of toxic emotional or physical dependency.
hören|schwerhörig|C2|42846|hard of hearing|слабослышащий; глуховатый|gehörgeschädigt; schwerhörend|Im Alter wurde mein Großvater etwas schwerhörig.|In his old age, my grandfather became somewhat hard of hearing.|К старости мой дедушка стал немного глуховат.|Im Alter wurde mein Großvater etwas gehörgeschädigt.|schwerhörig sein; schwerhörig werden; ein schwerhöriger Patient|Standard polite medical and everyday term to describe hearing loss. It is less absolute than 'taub' (deaf).
hören|Gehör|B2|3609|hearing (sense); ear (for music); attention|слух (музыкальный, физический); внимание|Gehörsinn; Audition; Aufmerksamkeit|Er hat ein feines Gehör für Musik.|He has a fine ear for music.|У него тонкий музыкальный слух.|Er hat einen feinen Gehörsinn für Musik.|Gehör finden (to be heard); das Gehör verlieren; ein gutes Gehör haben; Gehör schenken|Noun 'das Gehör'. Often used physically as the sense of hearing, or figuratively in idioms like 'Gehör finden' (to find an audience, to be listened to).
hören|Hörapparat|C2|146693|hearing aid|слуховой аппарат|Hörgerät; Hörhilfe|Er muss einen Hörapparat tragen.|He has to wear a hearing aid.|Ему приходится носить слуховой аппарат.|Er muss ein Hörgerät tragen.|einen Hörapparat tragen; einen Hörapparat anpassen; modernen Hörapparat kaufen|'der Hörapparat'. A slightly older or technical term. In modern everyday German, 'Hörgerät' is much more frequently used.
hören|Hörbereich|C2|149651|hearing range; auditory range|диапазон слышимости; область слухового восприятия|Hörgrenze; Frequenzbereich des Gehörs|Ultraschall liegt außerhalb des menschlichen Hörbereichs.|Ultrasound lies outside the human hearing range.|Ультразвук находится за пределами диапазона слышимости человека.|Ultraschall liegt außerhalb des menschlichen Frequenzbereichs des Gehörs.|außerhalb des Hörbereichs; den Hörbereich messen; menschlicher Hörbereich|'der Hörbereich'. A medical or technical scientific term describing the frequency span or spatial limits in which a creature can hear.
hören|Hörbuch|C1|10558|audiobook|аудиокнига|Audiobuch; gesprochenes Buch|Ich höre beim Autofahren gerne ein Hörbuch.|I like to listen to an audiobook while driving.|Мне нравится слушать аудиокнигу во время вождения.|Ich höre beim Autofahren gerne ein Audiobuch.|ein Hörbuch hören; ein spannendes Hörbuch; Hörbuch als Download|'das Hörbuch'. Extremely common word in the digital media landscape.
