word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
klopfen|klopfen|B2|35003|to knock; to beat (heart)|стучать; колотиться (о сердце)|pochen; hämmern; schlagen|Jemand klopft laut an die Tür.|Someone is knocking loudly on the door.|Кто-то громко стучит в дверь.|Jemand pocht laut an die Tür.|an die Tür klopfen; das Herz klopft; auf Holz klopfen; auf den Busch klopfen|Standard verb for knocking on a door or for the heartbeat. When knocking on a door, the preposition 'an' is typical, followed by the accusative or dative ('an die Tür' vs 'an der Tür'). In idioms, 'auf Holz klopfen' means 'touch wood' to prevent bad luck.
klopfen|klopffest|C2|181949|knock-resistant; anti-knock (fuel)|детонационностойкий; антидетонационный|klopffrei; oktanzahlstark|Für diesen Motor benötigt man besonders klopffestes Benzin.|Particularly knock-resistant petrol is required for this engine.|Для этого двигателя требуется особенно детонационностойкий бензин.|Für diesen Motor benötigt man besonders klopffreien Kraftstoff.|klopffestes Benzin; klopffester Kraftstoff; klopffeste Verbrennung|An adjective primarily used in automotive engineering and thermodynamics. It describes fuel that resists premature ignition (knocking) inside an internal combustion engine, which relates to a higher octane number.
klopfen|Antiklopfmittel|C2|185931|anti-knock agent|антидетонатор; антидетонационная присадка|Klopfschutzmittel; Kraftstoffzusatz|Blei wurde früher als Antiklopfmittel im Benzin verwendet.|Lead was previously used as an anti-knock agent in petrol.|Раньше свинец использовался в качестве антидетонационной присадки в бензине.|Blei wurde früher als Klopfschutzmittel im Benzin verwendet.|bleifreies Antiklopfmittel; Antiklopfmittel beimischen; giftiges Antiklopfmittel|Noun, neuter ('das'). A chemical fuel additive used to prevent engine knocking by raising the fuel's octane rating. Historically, lead compounds were used, but they have been replaced by cleaner alternatives.
klopfen|Geklopfe|C2|162194|continuous knocking; annoying banging|непрерывный стук; надоедливое постукивание|Hämmern; Geklopfe; Poltern; Klopfen|Das ständige Geklopfe der Bauarbeiter nervt die Nachbarn.|The constant banging of the construction workers is annoying the neighbors.|Постоянный стук строителей раздражает соседей.|Das ständige Hämmern der Bauarbeiter nervt die Nachbarn.|ständiges Geklopfe; nerviges Geklopfe; Geklopfe an der Wand|Noun, neuter ('das'). Created with the prefix 'Ge-' and suffix '-e' from the verb 'klopfen', indicating a continuous, repetitive, and usually annoying or undesirable knocking action.
klopfen|Herzklopfen|C2|32508|heartbeat; palpitations; racing heart|сердцебиение; трепет|Herzrasen; Herzschlag; Palpitation|Vor Aufregung bekam sie starkes Herzklopfen.|She got strong palpitations from excitement.|От волнения у неё сильно забилось сердце.|Vor Aufregung bekam sie starkes Herzrasen.|Herzklopfen bekommen; heftiges Herzklopfen; mit Herzklopfen warten; Herzklopfen verursachen|Noun, neuter ('das'). It represents the physical sensation of one's heart beating fast, usually caused by stress, excitement, romance, or fear. It is both a medical term and a common romantic trope.
klopfen|Klopfer|C2|49342|knocker (door/carpet); bad joke; blunder|колотушка; выбивалка; плоская шутка; ляп|Türklopfer; Teppichklopfer; Kalauer; Patzer|Er klopfte den alten Teppich mit einem Klopfer aus.|He beat the old carpet with a carpet beater.|Он выбил старый ковёр выбивалкой.|Er klopfte den alten Teppich mit einem Teppichklopfer aus.|historischer Klopfer; ein starker Klopfer; ein dicker Klopfer|Noun, masculine ('der'). Can mean a physical device (door knocker, carpet beater). In colloquial speech, 'ein Klopfer' can also mean a glaring mistake, a bad pun, or an outrageous joke ('Das ist ja ein Ding/ein Klopfer!').
klopfen|Klopffechter|C2|185136|brawler; aggressive polemicist|забияка; крикун; грубый полемист|Raufbold; Streithammel; Polemiker|Der Politiker gebärdete sich in der Debatte wie ein Klopffechter.|The politician behaved like a brawler in the debate.|Политик вёл себя в дебатах как забияка.|Der Politiker gebärdete sich in der Debatte wie ein Raufbold.|sich wie ein Klopffechter benehmen; literarischer Klopffechter|Noun, masculine ('der'). Historically, a professional show-fencer. Today, it is used figuratively and in a highly literary register to describe someone who argues in an aggressive, primitive, or overly polemical style.
klopfen|Klopffestigkeit|C2|151146|knock resistance; octane rating|детонационная стойкость|Oktanzahl; Antiklopfeigenschaft|Die Klopffestigkeit des Treibstoffs wird durch die Oktanzahl bestimmt.|The knock resistance of the fuel is determined by the octane number.|Детонационная стойкость топлива определяется октановым числом.|Die Oktanzahl des Treibstoffs wird durch die Oktanzahl bestimmt.|hohe Klopffestigkeit; Klopffestigkeit erhöhen; Klopffestigkeit von Benzin|Noun, feminine ('die'). A technical term describing the capacity of a fuel to resist self-ignition inside gasoline engines. Standardized via the Research Octane Number (RON).
klopfen|Klopfgeist|C2|165352|poltergeist; knocking spirit|полтергейст; шумный дух|Poltergeist; Spukgeist; Geist|Die Bewohner glaubten, ein Klopfgeist spuke im Keller.|The residents believed a poltergeist was haunting the basement.|Жители верили, что в подвале буянит шумный дух.|Die Bewohner glaubten, ein Poltergeist spuke im Keller.|an einen Klopfgeist glauben; Spuk eines Klopfgeists|Noun, masculine ('der'). A spirit that supposedly manifests by making rapping or knocking noises. Derived from folklore; the synonym 'Poltergeist' is much more common globally.
klopfen|Klopfholz|C2|188757|wooden mallet; planer (printing/crafts)|деревянный молоток; киянка; колотушка|Holzhammer; Schlägel|Der Handwerker schlägt mit dem Klopfholz auf das Werkstück.|The craftsman strikes the workpiece with the wooden mallet.|Ремесленник бьёт по заготовке деревянной киянкой.|Der Handwerker schlägt mit dem Holzhammer auf das Werkstück.|ein stabiles Klopfholz; mit dem Klopfholz bearbeiten|Noun, neuter ('das'). A special wooden tool (like a mallet) used in bookbinding, printing, or woodworking to smooth materials or gently drive joints without damaging surfaces.
