word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
fegen|fegen|C1|10326|to sweep; to rush/dash|подметать; мчаться|kehren; sausen; jagen|Sie muss täglich den Hof fegen.|She has to sweep the yard daily.|Ей приходится подметать двор каждый день.|Sie muss täglich den Hof kehren.|die Straße fegen; Staub fegen; den Boden fegen; durch die Straßen fegen|'fegen' primarily means to clean a floor or surface with a broom. In Southern Germany and Austria, 'kehren' is much more common for this. Colloquially, it can also mean to move or run very quickly (e.g., 'der Wind fegt über das Feld').
fegen|abfegen|C2|144794|to sweep off; to sweep clean|сметать; очищать метлой|abkehren; absäubern; abpinseln|Er musste zuerst den Tisch abfegen.|He had to sweep the table clean first.|Сначала ему пришлось смахнуть крошки со стола.|Er musste zuerst den Tisch abkehren.|Krümel abfegen; den Tisch abfegen; Staub abfegen; Schnee vom Auto abfegen|'abfegen' means to remove dust, crumbs, or snow from a specific surface. It usually takes the surface being cleaned as a direct object in the accusative case.
fegen|auffegen|C2|143448|to sweep up (into a dustpan)|подметать; собирать метлой (в совок)|aufkehren; aufsammeln|Kannst du bitte den Dreck auffegen?|Could you please sweep up the dirt?|Можешь, пожалуйста, подмести грязь?|Kannst du bitte den Dreck aufkehren?|Scherben auffegen; Dreck auffegen; den Staub auffegen; Laub auffegen|'auffegen' specifically implies sweeping debris, dirt, or shattered glass together and picking it up (usually onto a dustpan or 'Kehrblech') to discard it.
fegen|ausfegen|C2|117663|to sweep out; to clean out by sweeping|выметать; вымести изнутри|auskehren; reinigen|Wir müssen die Garage gründlich ausfegen.|We need to sweep the garage out thoroughly.|Нам нужно тщательно вымести гараж.|Wir müssen die Garage gründlich auskehren.|die Garage ausfegen; das Zimmer ausfegen; die Werkstatt ausfegen|'ausfegen' means to sweep the interior of an enclosed space, such as a room, garage, or shed, to make sure all accumulated dirt is removed.
fegen|beiseitefegen|C2|237174|to sweep aside; to brush aside|сметать в сторону; отбрасывать|beiseiteschieben; wegfegen; ignorieren|Sie fegte alle Bedenken beiseite.|She swept all concerns aside.|Она отмела все сомнения в сторону.|Sie schob alle Bedenken beiseite.|Bedenken beiseitefegen; Argumente beiseitefegen; Zweifel beiseitefegen|'beiseitefegen' is almost exclusively used in a metaphorical sense. It describes quickly and decisively dismissing objections, concerns, or arguments as if they were dust.
fegen|blankfegen|C2|258775|to sweep clean; to sweep bare|выметать начисто; опустошать|leeren; leerräumen|Der Sturm hat die Straßen völlig blankgefegt.|The storm swept the streets completely bare.|Шторм полностью опустошил улицы.|Der Sturm hat die Straßen völlig leergefegt.|die Straßen blankfegen; die Plätze blankfegen|'blankfegen' is used to describe a wind, storm, or event that leaves an area completely empty, clean, or devoid of people. It is very similar to 'leerfegen'.
fegen|zusammenfegen|C2|102363|to sweep together; to gather by sweeping|сметать в кучу; собирать вместе|zusammenkehren; anhäufen|Er half mir, das trockene Laub zusammenzufegen.|He helped me sweep the dry leaves together.|Он помог мне смести сухие листья в кучу.|Er half mir, das trockene Laub zusammenzukehren.|Laub zusammenfegen; Schmutz zusammenfegen; Reste zusammenfegen|'zusammenfegen' is used when scattered dry objects (like fallen leaves, dust, or trash) are swept into a single pile for easier collection.
fegen|durchfegen|C2|131473|to sweep through; to sweep thoroughly|тщательно подметать; проноситься ураганом|durchkehren; durchsausen; durchstürmen|Ich muss am Wochenende das ganze Haus durchfegen.|I need to sweep through the whole house this weekend.|Мне нужно подмести весь дом в выходные.|Ich muss am Wochenende das ganze Haus durchkehren.|das Haus durchfegen; der Wind fegt durch die Gassen|Literally means sweeping through an entire space. Figuratively, it can describe a strong wind rushing through a corridor or area, or metaphorically cleansing/reorganizing a system.
fegen|fortfegen|C2|181569|to sweep away; to blow away|уносить; сметать (ветром)|wegfegen; wegpusten; wegblasen|Eine Windböe hat die Hüte fortgefegt.|A gust of wind swept the hats away.|Порыв ветра унес шляпы.|Eine Windböe hat die Hüte weggefegt.|Staub fortfegen; vom Wind fortgefegt werden; Hindernisse fortfegen|'fortfegen' describes a swift removal of objects, usually caused by natural forces like wind or water. It can also be used abstractly to represent clearing away obstacles.
fegen|reinfegen|C2|189140|to sweep in; to rush in|заметать внутрь; влетать (о ветре, человеке)|hineinfegen; reinstürmen; reinplatzen|Der Wind hat den Staub durch das Fenster reingefegt.|The wind swept the dust in through the window.|Ветер занес пыль через окно.|Der Wind hat den Staub durch das Fenster hineingetrieben.|Schmutz reinfegen; ins Zimmer reinfegen|'reinfegen' is a colloquial variant of 'hineinfegen'. It means to sweep dirt inside or, when describing persons or storms, to rush dynamically inside.
