word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
reden|reden|A2|1260|to talk; to speak|говорить; разговаривать|sprechen; plauschen; quatschen|Wir müssen über deine Zukunft reden.|We need to talk about your future.|Нам нужно поговорить о твоем будущем.|Wir müssen über deine Zukunft sprechen.|über jemanden oder etwas reden; mit jemandem reden; Klartext reden; gut reden|'reden' is slightly more informal than 'sprechen' and focuses on the act of talking or having a conversation. It governs with 'mit' (dative) and 'über' (accusative) or 'von' (dative).
reden|anreden|C2|40947|to address; to speak to|обращаться (к кому-либо); заговаривать|ansprechen; adressieren|Wie soll ich den Chef anreden?|How should I address the boss?|Как мне обращаться к боссу?|Wie soll ich den Chef ansprechen?|jemanden höflich anreden; jemanden mit Sie anreden; jemanden mit dem Vornamen anreden|'anreden' means to address someone in a specific way (e.g., using 'Sie' or 'Du', or a specific title). It takes a direct accusative object and is often used in formal or linguistic contexts.
reden|ausreden|C2|31552|to finish speaking; to talk someone out of something|высказаться; договорить; отговорить кого-либо от чего-либо|aussprechen; abbringen von; ausreden lassen|Bitte lass mich zuerst ausreden!|Please let me finish speaking first!|Пожалуйста, дай мне сначала высказаться!|Bitte lass mich zuerst aussprechen!|jemanden ausreden lassen; sich eine Idee ausreden; jemandem etwas ausreden|'ausreden' can be intransitive meaning 'to finish speaking' (often in imperative: 'Lass mich ausreden!'). It can also be transitive 'jemandem etwas ausreden' (to talk someone out of something), requiring Dative (person) and Accusative (thing).
reden|bauchreden|C2|180033|to ventriloquize; to speak from the stomach|заниматься чревовещанием; говорить чревовещанием|bauchsprechen|Der Puppenspieler kann perfekt bauchreden.|The puppeteer can ventriloquize perfectly.|Кукольник отлично умеет чревовещать.|Der Puppenspieler kann perfekt mit dem Bauch sprechen.|perfekt bauchreden; als Bauchredner auftreten|A rare and specific verb. Usually, the noun 'Bauchredner' (ventriloquist) or the description 'mit dem Bauch sprechen' is more common in modern everyday German.
reden|bereden|C2|46518|to discuss; to talk over|обсуждать; обговаривать|besprechen; diskutieren; beratschlagen|Wir müssen das Problem morgen bereden.|We need to discuss the problem tomorrow.|Нам нужно обсудить эту проблему завтра.|Wir müssen das Problem morgen besprechen.|ein Problem bereden; Angelegenheiten bereden; alles in Ruhe bereden|'bereden' is a synonym of 'besprechen', meaning to discuss a topic thoroughly. It is slightly more informal or regional than 'besprechen' and takes a direct accusative object.
reden|daherreden|C2|78762|to babble; to talk nonsense; to talk foolishly|болтать чепуху; нести вздор|faseln; quatschen; daherschwatzen|Er weiß nichts und redet nur dumm daher.|He knows nothing and just talks foolishly.|Он ничего не знает и просто несёт глупый вздор.|Er weiß nichts und faselt nur dumm herum.|dumm daherreden; wirres Zeug daherreden; ohne Sinn daherreden|Often used with 'dumm', 'wirr', or 'blöd'. It has a strong negative, pejorative connotation, implying that the speaker is talking without thinking or without substance. It is a separable verb.
reden|dahinreden|C2|191093|to talk aimlessly; to talk without reflection|говорить попусту; болтать без умолку|drauflosreden; dahinschwatzen|Er redete ohne Konzept einfach so vor sich hin und dahin.|Without a plan, he just talked aimlessly to himself.|Без какого-либо плана он просто болтал попусту.|Er schwatze ohne Konzept einfach so vor sich hin.|vor sich hin dahinreden; ohne nachzudenken dahinreden|Rather rare in modern usage. It usually describes talking continuously without paying attention to the reaction of others or without a specific goal. Separable.
reden|durcheinanderreden|C2|155410|to talk all at once; to talk in a confused manner|говорить одновременно; перебивать друг друга|durcheinandersprechen; gleichzeitig reden|Alle Kinder wollten gleichzeitig antworten und redeten durcheinander.|All the children wanted to answer at the same time and talked all at once.|Все дети хотели ответить одновременно и говорили наперебой.|Alle Kinder wollten gleichzeitig antworten und sprachen durcheinander.|wild durcheinanderreden; alle redeten durcheinander|A combination of 'durcheinander' and 'reden'. It is used when multiple people talk at the same time, making it hard to understand anyone, or when one person talks in a chaotic, unstructured way. Separable.
reden|einreden|C1|18578|to persuade; to convince (of something false); to drill into|внушать; убеждать (в чём-то ложном)|einbläuen; suggerieren; weismachen|Du darfst dir nicht einreden, dass du schuld bist.|You must not convince yourself that you are to blame.|Ты не должен внушать себе, что виноват.|Du darfst dir nicht einbilden, dass du schuld bist.|jemandem Schuldgefühle einreden; sich Mut einreden; jemandem etwas einreden|Commonly used reflexively ('sich [Dativ] etwas einreden') meaning 'to convince oneself of something'. Non-reflexively, it means to persuade someone else, often negatively (e.g., to talk them into believing a lie). Separable.
reden|festreden|C2|191131|to commit oneself in speech; to get bogged down in talking|заговориться; запутаться в своих словах; увлечься речью|sich verrennen; sich festquatschen|Der Politiker hat sich bei der Debatte völlig festgeredet.|The politician got completely bogged down during the debate.|Политик полностью запутался в своих словах во время дебатов.|Der Politiker hat sich bei der Debatte völlig festgequatscht.|sich in Ausreden festreden; sich völlig festreden|Usually used reflexively ('sich festreden') to describe when someone speaks so much or so stubbornly on a point that they lose their way, make mistakes, or cannot change their position anymore. Separable.
reden|kleinreden|C2|41080|to play down; to downplay; to trivialize|преуменьшать; умалять (значение)|verharmlosen; herunterspielen; bagatellisieren|Wir sollten den Erfolg unserer Konkurrenz nicht kleinreden.|We should not play down the success of our competition.|Нам не следует преуменьшать успех наших конкурентов.|Wir sollten den Erfolg unserer Konkurrenz nicht herunterspielen.|Probleme kleinreden; den Erfolg kleinreden; die Gefahren kleinreden|Highly common in media and politics. It means to talk about something (an achievement, a danger, or a crisis) in a way that makes it seem less important or significant than it actually is. Separable.
reden|mitreden|C1|10971|to have a say; to join in the conversation|иметь право голоса; участвовать в разговоре|mitbestimmen; teilhaben; sich beteiligen|Bei diesem Thema kann ich leider nicht mitreden.|Unfortunately, I cannot join the conversation on this topic.|К сожалению, я не могу ничего сказать по этой теме.|Bei diesem Thema kann ich mich leider nicht beteiligen.|ein Wort mitreden; überall mitreden wollen; kompetent mitreden|Often used in the context of having the competence or the legal/social right to participate in a decision or discussion. Usually used with the preposition 'bei' (+ dative). Separable.
reden|nachreden|C2|130309|to repeat (someone's words); to gossip about someone|повторять вслед за кем-то; сплетничать; злословить|nachsprechen; nachplappern; lästern|Du solltest nicht alles unüberlegt nachreden.|You shouldn't repeat everything without thinking.|Тебе не следует бездумно повторять всё подряд.|Du solltest nicht alles unüberlegt nachsprechen.|jemandem Schlechtes nachreden; Worte nachreden; blind nachreden|Has two meanings: 1) To repeat words after someone (often mechanically like a parrot). 2) 'jemandem etwas (Böses/Schlechtes) nachreden' meaning to gossip or speak ill of someone behind their back. Separable.
reden|schlechtreden|C2|58764|to badmouth; to criticize; to speak ill of|очернять; критиковать; хаять; ругать|madigmachen; verunglimpfen; tadeln|Warum musst du immer meine Ideen schlechtreden?|Why do you always have to badmouth my ideas?|Почему ты всегда должен очернять мои идеи?|Warum musst du immer meine Ideen madigmachen?|alles schlechtreden; Projekte schlechtreden; die Leistung schlechtreden|'schlechtreden' means to present something in a bad light, often unfairly. Similar to 'kleinreden', but with a focus on active negativity and finding faults rather than just downplaying size or importance. Separable.
reden|schönreden|C2|30899|to sugarcoat; to gloss over; to beautify with words|приукрашивать; представлять в лучшем свете|beschönigen; idealisieren; verharmlosen|Man darf die schlechte wirtschaftliche Lage nicht schönreden.|One must not sugarcoat the bad economic situation.|Нельзя приукрашивать плохое экономическое положение.|Man darf die schlechte wirtschaftliche Lage nicht beschönigen.|die Situation schönreden; Probleme schönreden; sich die Realität schönreden|The direct opposite of 'schlechtreden'. It means to make a bad situation, decision, or fact look good or harmless through talk. Very common in political discussions. Separable.
