word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
schließen|schließen|A1|462|to close; to shut; to conclude|закрывать; закрываться; делать вывод|zumachen; beenden; folgern|Bitte schließen Sie die Tür, wenn Sie gehen.|Please close the door when you leave.|Пожалуйста, закройте дверь, когда будете уходить.|Bitte machen Sie die Tür zu, wenn Sie gehen.|ein Geschäft schließen; Frieden schließen; eine Lücke schließen; aus etwas schließen|'Schließen' is the standard, more formal verb for closing (e.g., doors, eyes, books, businesses) and for concluding agreements (e.g., 'einen Vertrag schließen'). In colloquial speech, 'zumachen' is often preferred for doors and windows. When used as 'schließen aus', it means 'to conclude/infer from'.
schließen|abschließen|B2|1258|to lock; to complete; to sign (a contract)|запирать на ключ; завершать; заключать (договор)|zuschließen; beenden; fertigstellen; vereinbaren|Er hat die Wohnungstür sorgfältig abgeschlossen.|He locked the apartment door carefully.|Он тщательно запер входную дверь квартиры.|Er hat die Wohnungstür sorgfältig zugeschlossen.|ein Studium abschließen; einen Vertrag abschließen; die Tür abschließen; eine Versicherung abschließen|'Abschließen' is a versatile prefix verb. When referring to doors or locks, it means physically locking with a key (unlike just 'schließen'). Figuratively, it means completing a process, university studies, or finalizing a deal/insurance.
schließen|aufschließen|C1|12101|to unlock; to catch up (with); to open up (a market)|отпирать; догонять (в развитии); осваивать|aufmachen; entriegeln; einholen; erschließen|Kannst du bitte das Fahrradschloss aufschließen?|Can you please unlock the bicycle lock?|Можешь, пожалуйста, отпереть велосипедный замок?|Kannst du bitte das Fahrradschloss aufmachen?|die Tür aufschließen; zur Weltspitze aufschließen; neue Märkte aufschließen|'Aufschließen' primarily means to unlock something with a key. Figuratively, 'zu jemandem aufschließen' means to catch up with or close the gap to a competitor or leader (in sports, business, or technology).
schließen|ausschließen|B2|1622|to exclude; to rule out; to lock out|исключать; не допускать; запирать снаружи|ausgrenzen; verwerfen; aussperren; unmöglich machen|Wir können diese Möglichkeit nicht völlig ausschließen.|We cannot completely rule out this possibility.|Мы не можем полностью исключить эту возможность.|Wir können diese Möglichkeit nicht völlig verwerfen.|eine Möglichkeit ausschließen; jemanden aus der Gruppe ausschließen; Fehler ausschließen; gegenseitig ausschließen|'Ausschließen' means to exclude people or rule out opportunities/factors. 'Sich ausschließen' means to lock oneself out of a house (often replaced colloquially by 'sich aussperren'). 'Gegenseitig ausschließen' means 'mutually exclusive'.
schließen|einschließen|B2|7457|to lock in; to include; to surround|запирать внутри; включать в себя; окружать|einsperren; beinhalten; umgeben; mitzählen|Der Preis schließt alle Nebenkosten ein.|The price includes all additional costs.|Цена включает в себя все дополнительные расходы.|Der Preis beinhaltet alle Nebenkosten.|jemanden im Zimmer einschließen; eine Klausel einschließen; sich selbst einschließen|'Einschließen' can mean physically locking someone or something inside a room/safe, or abstractly including components, items, or people in a whole (similar to 'beinhalten' or 'inkludieren').
schließen|herumschließen|C2|234438|to wrap around; to clasp around (physical context)|обхватывать; застегивать вокруг|herumlegen; umfassen; umschlingen|Sie ließ ihre Finger fest um die Tasse herumschließen.|She let her fingers close tightly around the cup.|Она крепко обхватила чашку пальцами.|Sie ließ ihre Finger fest um die Tasse umschlingen.|die Finger herumschließen; die Arme herumschließen|'Herumschließen' is extremely rare and mostly literary. It describes closing physical objects (like hands, fingers, or bands) around something. Usually, 'schließen um' or 'herumlegen' is used instead.
schließen|verschließen|B2|4229|to close tightly; to seal; to block out (emotions/reality)|запирать; запечатывать; закрывать (глаза на что-то)|versiegeln; zusperren; verriegeln; ignorieren|Man darf die Augen vor den Problemen nicht verschließen.|One must not close one's eyes to the problems.|Нельзя закрывать глаза на проблемы.|Man darf die Augen vor den Problemen nicht ignorieren.|die Augen verschließen vor; die Tür sicher verschließen; eine Flasche verschließen|'Verschließen' denotes sealing something securely (like a container) or closing access. Figuratively, 'sich verschließen' means to be closed off/unreceptive to ideas, while 'die Augen vor etwas verschließen' means to ignore a problem.
schließen|wegschließen|C2|63173|to lock away; to lock up (in a safe place)|запирать; прятать под замок|einsperren; wegsperren; wegtun; wegschaffen|Du solltest die wichtigen Dokumente im Tresor wegschließen.|You should lock the important documents away in the safe.|Тебе следует спрятать важные документы в сейф под замок.|Du solltest die wichtigen Dokumente im Tresor wegsperren.|Wertsachen wegschließen; Dokumente wegschließen; Gefangene wegschließen|'Wegschließen' emphasizes putting something in a secure, inaccessible location and locking it. It is often used for valuable items, confidential documents, or colloquially/negatively for locking up people.
schließen|zusammenschließen|B2|8956|to unite; to merge; to pool resources|объединяться; сплачиваться|vereinigen; verbünden; fusionieren; integrieren|Die beiden Firmen wollen sich im nächsten Jahr zusammenschließen.|The two companies want to merge next year.|Обе компании хотят объединиться в следующем году.|Die beiden Firmen wollen im nächsten Jahr fusionieren.|sich zu einer Allianz zusammenschließen; Firmen zusammenschließen; Kräfte zusammenschließen|Mostly used reflexively ('sich zusammenschließen'). It describes the physical, political, or economic union of distinct groups, entities, or companies.
schließen|zuschließen|C2|85915|to lock (a door/drawer)|запирать на замок|absperren; abschließen; verriegeln|Vergiss bitte nicht, das Auto ordentlich zuzuschließen.|Please don't forget to lock the car properly.|Пожалуйста, не забудь как следует запереть машину.|Vergiss bitte nicht, das Auto ordentlich abzuschließen.|die Haustür zuschließen; ein Schloss zuschließen|'Zuschließen' specifically means locking a physical mechanism with a key or deadbolt. While 'schließen' means to close, 'zuschließen' ensures it is locked. It is highly synonymous with 'abschließen' in physical contexts.
