word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
streben|streben|B2|61232|to strive, to aspire, to head towards|стремиться, добиваться, направляться|trachten; anstreben; eifern; drängen|Er strebt nach höherem Wissen.|He strives for higher knowledge.|Он стремится к более глубоким знаниям.|Er trachtet nach höherem Wissen.|nach Erfolg streben; nach Macht streben; nach oben streben; zum Ausgang streben|Often paired with the preposition 'nach' + Dativ. It is a formal and literary verb. It describes a purposeful drive towards a goal, both abstractly (knowledge, power) and physically (towards a place).
streben|Strebe|C1|11429|strut, brace, prop, support|подпорка, распорка, стойка|Stütze; Balken; Träger; Verstrebung|Die hölzerne Strebe stabilisiert das Dach.|The wooden strut stabilizes the roof.|Деревянная подпорка стабилизирует крышу.|Die hölzerne Stütze stabilisiert das Dach.|diagonale Strebe; Strebe einbauen; stützende Strebe|A technical noun primarily used in engineering, architecture, or construction. It refers to a structural element designed to resist compression or tension.
streben|Streber|C2|45104|overachiever, nerd, careerist, brown-nosed student|зубрила, ботаник, карьерист|Musterschüler; Karrierist; Strebsamer|In der Schule wurde er oft als Streber beschimpft.|At school, he was often called a nerd.|В школе его часто обзывали зубрилой.|In der Schule wurde er oft als Musterschüler bezeichnet.|ein ehrgeiziger Streber; als Streber gelten; unbeliebter Streber|A highly pejorative colloquial noun, especially among children and in academic settings. In professional life, it characterizes a ruthless careerist who tries to win favor from superiors.
streben|strebsam|C2|60639|industrious, ambitious, assiduous|прилежный, старательный, честолюбивый|ehrgeizig; fleißig; zielstrebig; arbeitsam|Sie ist eine strebsame Studentin, die immer gute Noten schreibt.|She is an industrious student who always gets good grades.|Она прилежная студентка, которая всегда получает хорошие оценки.|Sie ist eine fleißige Studentin, die immer gute Noten schreibt.|ein strebsamer junger Mann; fleißig und strebsam sein|An adjective with a neutral or slightly positive connotation, describing someone who works hard to achieve goals. Unlike 'Streber', it is rarely used as a direct insult.
streben|anstreben|B2|5016|to strive for, to aim at, to aspire to|стремиться к, добиваться, нацеливаться на|erstreben; beabsichtigen; abzielen auf; verfolgen|Wir streben eine friedliche Lösung des Konflikts an.|We are aiming for a peaceful solution to the conflict.|Мы стремимся к мирному решению конфликта.|Wir erstreben eine friedliche Lösung des Konflikts.|eine Reform anstreben; eine Karriere anstreben; ein Ziel anstreben; einen Kompromiss anstreben|A transitive verb taking a direct accusative object (unlike 'streben nach'). It is highly common in business, political, and formal contexts.
streben|aufstreben|C2|116275|to rise, to emerge, to prosper, to shoot up|стремиться вверх, пробиваться, развиваться|emporsteigen; aufsteigen; florieren; gedeihen|Das Land gehört zu den aufstrebenden Wirtschaftsmächten.|The country is one of the emerging economic powers.|Эта страна относится к развивающимся экономическим державам.|Das Land gehört zu den aufsteigenden Wirtschaftsmächten.|ein aufstrebendes Talent; aufstrebende Märkte; eine aufstrebende Stadt|Most frequently used in its present participle form 'aufstrebend' (emerging, up-and-coming). It highlights rapid upward development, growth, or social/economic advancement.
streben|aufwärtsstreben|C2|183133|to strive upward, to aim for progress|стремиться вверх, стремиться к росту|aufsteigen wollen; emporstreben; vorankommen|Er will in seiner Karriere stets aufwärtsstreben.|He always wants to strive upward in his career.|Он всегда хочет стремиться вверх в своей карьере.|Er will in seiner Karriere stets emporstreben.|beruflich aufwärtsstreben; nach Erfolg aufwärtsstreben|Often written as two separate words ('aufwärts streben'). It emphasizes a continuous desire for upward mobility, progress, or physical elevation.
streben|bestreben|C1|16303|to endeavor, to strive, to make an effort|стремиться, стараться, силиться|sich bemühen; sich anstrengen; trachten; versuchen|Sie bestrebte sich, alle Aufgaben pünktlich zu erledigen.|She endeavored to complete all tasks on time.|Она старалась выполнить все задания вовремя.|Sie bemühte sich, alle Aufgaben pünktlich zu erledigen.|sich bestreben etwas zu tun; stets bestrebt sein|Almost exclusively used as a reflexive verb 'sich bestreben' or as the adjective/participle 'bestrebt sein' ('stets bestrebt sein, etwas zu tun'). Very formal and literary.
streben|emporstreben|C2|178021|to strive upward, to rise high, to tower up|стремиться ввысь, тянуться вверх|aufragen; emporsteigen; aufstreben|Die Wolkenkratzer streben in den Himmel empor.|The skyscrapers tower up into the sky.|Небоскребы устремляются ввысь, в небо.|Die Wolkenkratzer ragen in den Himmel auf.|dem Licht emporstreben; gen Himmel emporstreben|A descriptive, somewhat poetic verb used to describe plants growing towards light, tall architectural structures, or metaphorically, social climbing.
streben|entgegenstreben|C2|98388|to strive towards, to hasten to meet|стремиться навстречу, устремляться к|entgegengehen; zulaufen auf; zusteuern auf|Die Kinder strebten ihren Eltern freudig entgegen.|The children joyfully ran to meet their parents.|Дети радостно устремились навстречу родителям.|Die Kinder liefen ihren Eltern freudig entgegen.|dem Ziel entgegenstreben; dem Frühling entgegenstreben|Expresses intentional, physical, or metaphorical movement towards someone or something that might also be moving towards the subject. Takes a Dative object.
streben|erstreben|C2|31562|to strive for, to aspire to, to attain|стремиться к, добиваться, желать|anstreben; ersehennen; begehren; erzielen|Er will ein hohes Amt im Staat erstreben.|He wants to strive for a high office in the state.|Он хочет добиться высокой должности в государстве.|Er will ein hohes Amt im Staat anstreben.|ein erstrebenswertes Ziel; ein Ideal erstreben|A highly formal transitive verb, very close to 'anstreben'. It often implies a desire for an idealized, highly valued target or condition.
streben|fortstreben|C2|196135|to strive to get away, to want to leave|стремиться уйти, рваться прочь|wegstreben; fortwollen; weglaufen wollen|Sie fühlte ein starkes Bedürfnis, aus dieser Kleinstadt fortzustreben.|She felt a strong urge to get away from this small town.|Она чувствовала сильное желание вырваться из этого маленького городка.|Sie fühlte ein starkes Bedürfnis, aus dieser Kleinstadt wegzustreben.|von zu Hause fortstreben; aus der Heimat fortstreben|A formal and literary verb expressing an intense inner urge to leave a current place, relationship, or situation.
streben|hinstreben|C2|145963|to strive towards, to tend towards|стремиться к, тяготеть к|tendieren zu; zustreben; hinführen|Alle seine Gedanken strebten zu ihr hin.|All his thoughts gravitated towards her.|Все его мысли стремились к ней.|Alle seine Gedanken tendierten zu ihr.|zu einem Ziel hinstreben; ins Freie hinstreben|Usually constructed with 'zu' or 'nach' + Dativ. It describes a physical, psychological, or directional attraction/tendency towards a specific focus.
streben|hochstreben|C2|222581|to strive high, to aspire to rise socially/physically|стремиться ввысь, высоко метить|emporstreben; hoch hinaus wollen; aufsteigen wollen|Er wollte in der Gesellschaft immer hochstreben.|He always wanted to rise high in society.|Он всегда хотел высоко подняться в обществе.|Er wollte in der Gesellschaft immer emporstreben.|gesellschaftlich hochstreben; hochstrebende Pläne|Used physically for growth directed upward or figuratively for strong social, financial, or professional ambition.
streben|nachstreben|C2|126418|to emulate, to strive to copy, to pursue|подражать, стремиться к, гнаться за|nacheifern; nachahmen; anstreben; folgen|Viele Jugendliche streben ihren Idolen nach.|Many young people strive to emulate their idols.|Многие молодые люди стремятся подражать своим кумирам.|Viele Jugendliche eifern ihren Idolen nach.|einem Ideal nachstreben; dem Vorbild nachstreben; Reichtum nachstreben|Takes a Dative object. It refers to actively pursuing a standard or trying to emulate a person or role model.
streben|verstreben|C2|149733|to brace, to strut, to reinforce|укреплять подпорками, скреплять распорками|abstützen; verstärken; versteifen; absichern|Die Bauarbeiter müssen das Gerüst sicher verstreben.|The construction workers must securely brace the scaffolding.|Строители должны надежно укрепить леса подпорками.|Die Bauarbeiter müssen das Gerüst sicher abstützen.|ein Gerüst verstreben; Balken verstreben; eine Konstruktion verstreben|A specialized technical verb used in carpentry and construction. It means to reinforce a framework using diagonal pieces to resist physical forces.
streben|voranstreben|C2|206320|to press forward, to strive ahead|стремиться вперед, продвигаться|vorwärtskommen; voranschreiten; vordringen|Trotz aller Hindernisse müssen wir mutig voranstreben.|Despite all obstacles, we must courageously press forward.|Несмотря на все препятствия, мы должны смело стремиться вперед.|Trotz aller Hindernisse müssen wir mutig voranschreiten.|zielstrebig voranstreben; unermüdlich voranstreben|A formal and motivational verb emphasizing persistent, energetic progress and development towards the future.
streben|vorwärtsstreben|C2|177581|to strive forward, to aim for progress|стремиться вперед, стремиться к прогрессу|vorankommen wollen; vorwärtskommen; Fortschritte machen|Die moderne Gesellschaft muss ständig vorwärtsstreben.|Modern society must constantly strive forward.|Современное общество должно постоянно стремиться вперед.|Die moderne Gesellschaft muss ständig vorankommen.|ein unbändiges Vorwärtsstreben; unaufhaltsam vorwärtsstreben|Describes an internal or collective drive toward technological, social, or personal development and advancement. Frequently split into two words: 'vorwärts streben'.
streben|wegstreben|C2|178210|to strive to get away, to pull away|стремиться прочь, рваться уйти|wegwollen; sich entfernen; fortstreben|Er spürte, dass seine Gedanken von dem Thema wegstrebten.|He felt his thoughts drifting away from the subject.|Он почувствовал, что его мысли уходят в сторону от этой темы.|Er spürte, dass seine Gedanken von dem Thema wegliefen.|von der Heimat wegstreben; vom Zentrum wegstreben|Expresses physical, psychological, or structural force pulling away from a certain core, origin, or baseline.
streben|widerstreben|C2|106784|to react against, to conflict with, to go against the grain|противиться, претить, вызывать отвращение|zuwiderlaufen; missfallen; abschrecken; widersprechen|Es widerstrebt mir, eine Lüge zu erzählen.|It goes against my grain to tell a lie.|Мне претит говорить неправду.|Es läuft mir zuwider, eine Lüge zu erzählen.|jemandem zutiefst widerstreben; der Vernunft widerstreben|An impersonal construction: 'es widerstrebt jemandem (Dativ), etwas zu tun'. It describes strong inner reluctance, moral conflict, or gut-level aversion.
streben|zustreben|C2|64051|to head towards, to strive for, to converge on|устремляться к, направляться к|zulaufen auf; sich zubewegen; entgegengehen|Die Wanderer strebten der rettenden Hütte zu.|The hikers headed towards the life-saving hut.|Пешеходы устремились к спасительной хижине.|Die Wanderer bewegten sich auf die rettende Hütte zu.|dem Ziel zustreben; dem Ausgang zustreben; dem Ende zustreben|Requires a Dative object. It expresses straight, purposeful, and dynamic movement (physical or metaphorical) towards a final destination.
