word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
heilen|heilen|B2|6672|to heal; to cure|исцелять; лечить; заживать|gesunden; kurieren; lindern; verheilen|Der Arzt konnte die schwere Wunde vollständig heilen.|The doctor was able to completely heal the severe wound.|Врач смог полностью вылечить тяжелую рану.|Der Arzt konnte die schwere Verletzung vollständig kurieren.|eine Wunde heilen; einen Kranken heilen; Krankheiten heilen; die Zeit heilt alle Wunden|Can be used transitively (jemanden/etwas heilen - to cure/heal someone/something) or intransitively (die Wunde heilt - the wound heals). Often used in figurative contexts, such as 'die Zeit heilt alle Wunden' (time heals all wounds).
heilen|Heil|B1|7724|salvation; welfare; well-being|спасение; благо; благополучие|Segen; Wohl; Rettung; Erlösung|Sie suchte ihr Heil in der Flucht.|She sought her salvation in flight.|Она искала свое спасение в бегстве.|Sie suchte ihre Rettung in der Flucht.|sein Heil in etwas suchen; das ewige Heil; zum Heil der Menschheit|Highly formal, literary, or religious word. In everyday language, it is mostly used in the fixed expression 'sein Heil in der Flucht suchen' (to flee as a last resort). Historically associated with the Nazi greeting, which must be avoided in modern standard communication.
heilen|Heilanstalt|C2|80898|sanatorium; mental asylum; clinic|лечебница; санаторий; психиатрическая больница|Sanatorium; Klinik; Krankenhaus; Nervenheilanstalt|Der Kranke wurde in eine Heilanstalt eingewiesen.|The patient was admitted to a sanatorium.|Больной был направлен в лечебницу.|Der Kranke wurde in ein Sanatorium eingewiesen.|in eine Heilanstalt einweisen; eine psychiatrische Heilanstalt|An older, somewhat dated term, historically often used for psychiatric hospitals ('Irrenanstalt' or 'Nervenheilanstalt') or specialized long-term clinics (e.g., for tuberculosis). In modern German, words like 'Klinik' or 'Fachkrankenhaus' are preferred.
heilen|Heilbad|C2|26087|spa; health resort; medicinal bath|курорт с минеральными водами; водолечебница|Kurort; Thermalbad; Solbad|Wir verbringen unseren Urlaub in einem bekannten Heilbad in Bayern.|We are spending our vacation at a famous spa in Bavaria.|Мы проводим наш отпуск на известном бальнеологическом курорте в Баварии.|Wir verbringen unseren Urlaub in einem bekannten Kurort in Bayern.|ein staatlich anerkanntes Heilbad; ein Heilbad besuchen; ein Kurort und Heilbad|Refers to both the town itself (a spa resort, often officially designated as 'staatlich anerkanntes Heilbad') and the actual facility containing thermal or medicinal waters.
heilen|Heilbehandlung|C2|43208|medical treatment; curative treatment|терапевтическое лечение; курс лечения|Therapie; Behandlung; Kur; Heilverfahren|Die Krankenkasse übernimmt die Kosten für die Heilbehandlung.|The health insurance company covers the costs for the medical treatment.|Больничная касса покрывает расходы на терапевтическое лечение.|Die Krankenkasse übernimmt die Kosten für die Therapie.|die Heilbehandlung bezahlen; eine medizinische Heilbehandlung; die Kosten der Heilbehandlung|A formal medical and legal/administrative term. It is widely used by health insurance providers ('Krankenkassen') to describe a structured, professional course of medical treatment.
heilen|Heiler|C2|24955|healer|целитель; знахарь|Medizinmann; Gesundbeter; Wunderheiler; Heilpraktiker|Viele Menschen suchen Rat bei einem traditionellen Heiler.|Many people seek advice from a traditional healer.|Многие люди ищут совета у традиционного целителя.|Viele Menschen suchen Rat bei einem traditionellen Medizinmann.|ein traditioneller Heiler; ein Geistheiler; Wunderheiler; Heiler und Schamanen|Refers strictly to alternative, esoteric, spiritual, or traditional non-academic medical practitioners. It does not refer to medical doctors (Ärzte).
heilen|Heilkunde|C2|47169|medicine; medical science; healing arts|медицина; врачевание|Medizin; Heilkunst; Arzneikunde|Die Naturheilkunde erfreut sich wachsender Beliebtheit.|Naturopathy is enjoying growing popularity.|Натуропатия пользуется растущей популярностью.|Die Naturmedizin erfreut sich wachsender Beliebtheit.|die Ausübung der Heilkunde; traditionelle Heilkunde; Naturheilkunde|A formal term for the study or practice of medicine, most frequently found in compound nouns like 'Naturheilkunde' (naturopathy/alternative medicine) or in official legal texts concerning the permission to practice medicine.
heilen|Heilkunst|C2|52517|art of healing; medical science|искусство врачевания; медицина|Heilkunde; Medizin; Therapie|In der Antike war die Heilkunst eng mit der Philosophie verbunden.|In antiquity, the art of healing was closely connected with philosophy.|В древности искусство врачевания было тесно связано с философией.|In der Antike war die Heilkunde eng mit der Philosophie verbunden.|die Kunst der Heilkunst; altindische Heilkunst; die traditionelle Heilkunst|An elevated, literary term emphasizing the art and skill aspects of medicine. Often used in historical contexts or when referring to ancient or non-Western medical traditions (e.g., 'Tibetische Heilkunst').
heilen|Heilkur|C2|121426|health cure; spa treatment|курс лечения; санаторно-курортное лечение|Kur; Sanatoriumsbehandlung; Heilbehandlung|Der Arzt verschrieb ihm eine dreiwöchige Heilkur an der Nordsee.|The doctor prescribed him a three-week health cure at the North Sea.|Врач прописал ему трехнедельный курс санаторного лечения на Северном море.|Der Arzt verschrieb ihm eine dreiwöchige Kur an der Nordsee.|eine Heilkur machen; eine Heilkur verschreiben; eine Heilkur absolvieren|A classic German concept, often shortened to just 'Kur'. It involves spending weeks at a spa town or specialized clinic for therapies, mineral baths, and rest, typically funded or co-funded by public health insurance.
heilen|Heilmethode|C2|35539|healing method; therapeutic method; cure|метод лечения; терапевтический метод|Heilverfahren; Therapieform; Behandlungsmethode|Akupunktur ist eine jahrtausendealte Heilmethode.|Acupuncture is an ancient healing method.|Иглоукалывание — это терапевтический метод с тысячелетней историей.|Akupunktur ist ein jahrtausendealtes Heilverfahren.|eine alternative Heilmethode; eine anerkannte Heilmethode; neue Heilmethoden entwickeln|Often used when discussing alternative, holistic, or natural therapeutic approaches, though it can technically refer to any medical technique. 'Behandlungsmethode' is more common in mainstream, scientific medicine.
heilen|Heilmittel|B2|16706|remedy; medicine; cure|лечебное средство; лекарство|Medikament; Arzneimittel; Medizin; Heiltrank|Kamillentee ist ein bewährtes Heilmittel gegen Bauchschmerzen.|Chamomile tea is a proven remedy for stomach aches.|Ромашковый чай — проверенное средство от болей в животе.|Kamillentee ist ein bewährtes Medikament gegen Bauchschmerzen.|ein wirksames Heilmittel; natürliche Heilmittel; ein Heilmittel gegen Krebs|Can refer to a physical cure/medicine or, metaphorically, to a solution for a non-medical problem. In German health insurance contexts, 'Heilmittel' refers specifically to non-drug therapies like physical therapy, while drugs are called 'Arzneimittel'.
heilen|Heilpraktiker|C1|16092|alternative practitioner; naturopath|специалист по альтернативной медицине; натуропат|Naturheiler; Homöopath|Sie geht lieber zum Heilpraktiker als zum Schulmediziner.|She prefers going to a naturopath rather than a conventional doctor.|Она предпочитает ходить к натуропату, а не к традиционному врачу.|Sie geht lieber zum Naturheiler als zum Schulmediziner.|die Ausbildung zum Heilpraktiker; eine Praxis für Heilpraktiker; einen Heilpraktiker aufsuchen|A uniquely German professional designation. They are non-medical practitioners who are legally licensed to practice medicine (excluding dentistry, infectious diseases, and writing prescriptions for controlled drugs) after passing a state-monitored exam.
heilen|Heilquelle|C2|55400|mineral spring; healing spring|целебный источник; минеральный источник|Thermalquelle; Mineralquelle; Gesundbrunnen|Das Wasser dieser Heilquelle ist reich an Mineralien.|The water from this healing spring is rich in minerals.|Вода из этого целебного источника богата минералами.|Das Wasser dieser Mineralquelle ist reich an Mineralien.|eine staatlich anerkannte Heilquelle; das Wasser einer Heilquelle; eine heiße Heilquelle|A natural spring with mineral-rich or thermal water that has certified therapeutic effects. It is a key asset for towns wishing to be designated as a 'Heilbad' (spa town).
heilen|Heilung|B1|9167|cure; recovery; healing|излечение; выздоровление; заживление|Genesung; Gesundung; Besserung; Abheilung|Die Heilung der Wunde dauerte mehrere Wochen.|The healing of the wound took several weeks.|Заживление раны заняло несколько недель.|Die Abheilung der Wunde dauerte mehrere Wochen.|eine vollständige Heilung; Aussicht auf Heilung; die Heilung fördern|Can denote either the process of getting better or the successful final result of a medical treatment. Also used figuratively, e.g., the healing of diplomatic relations.
heilen|Heilverfahren|C2|62618|medical treatment; healing process; therapeutic method|метод лечения; терапевтическая процедура|Therapie; Heilmethode; Behandlung; Kur|Dieses neuartige Heilverfahren hat hervorragende Erfolgsquoten.|This novel therapeutic method has excellent success rates.|Этот инновационный метод лечения имеет отличные показатели эффективности.|Diese neuartige Therapie hat hervorragende Erfolgsquoten.|ein medizinisches Heilverfahren; das Heilverfahren einleiten; alternative Heilverfahren|Similar to 'Heilmethode', but 'Heilverfahren' often refers to a formalized, structured, or officially approved medical, therapeutic, or rehabilitation process (e.g., in worker's compensation schemes).
heilen|abheilen|C2|68116|to heal up; to clear up (of wounds, skin)|заживать; проходить (о ранах, коже)|verheilen; abklingen; abtrocknen; zuheilen|Die Entzündung wird nach einigen Tagen abheilen.|The inflammation will heal up after a few days.|Воспаление пройдет через несколько дней.|Die Entzündung wird nach einigen Tagen abklingen.|eine Wunde heilt ab; der Ausschlag heilt ab; narbenfrei abheilen|An intransitive verb conjugated with 'sein' (ist abgeheilt). Used specifically for localized biological processes like wounds, rashes, burns, or skin inflammations returning to a healthy state.
heilen|ausheilen|C2|47490|to heal completely; to cure fully|полностью вылечить; долечить; полностью зажить|auskurieren; verheilen; genesen|Man muss eine Erkältung gründlich ausheilen, um Rückfälle zu vermeiden.|One must completely cure a cold to avoid relapses.|Нужно полностью вылечить простуду, чтобы избежать рецидивов.|Man muss eine Erkältung gründlich auskurieren, um Rückfälle zu vermeiden.|eine Krankheit ausheilen; eine Verletzung vollständig ausheilen lassen; ein Infekt heilt aus|Can be used transitively (eine Krankheit ausheilen) or intransitively (ist ausgeheilt). It strongly emphasizes the completeness of the recovery process, warning against starting physical activity too early.
heilen|verheilen|C2|31117|to heal; to scar over|заживать; затягиваться (о ране)|abheilen; zuwachsen; vernarben; zuheilen|Die Schnittwunde ist gut verheilt.|The cut has healed well.|Порез хорошо зажил.|Die Schnittwunde ist gut abgeheilt.|eine Wunde ist gut verheilt; narbenlos verheilen; langsam verheilen|Intransitive verb conjugated with 'sein'. It refers specifically to wounds, cuts, bone fractures, or surgery scars closing up and forming new tissue.
