word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
kratzen|kratzen|B1|169229|to scratch; to scrape|чесать; царапать; скрести|jucken; schaben; schrammen|Die Katze kratzt an der Tür.|The cat is scratching at the door.|Кошка скребется в дверь.|Die Katze schabt an der Tür.|sich am Kopf kratzen; an der Tür kratzen; im Hals kratzen|'Kratzen' can be used transitively (to scratch someone or something) or intransitively (often with 'an' + dative, e.g., 'an der Tür kratzen'). It also means to itch or to feel rough in the throat ('es kratzt im Hals').
kratzen|abkratzen|C2|62178|to scrape off; to croak (slang for to die)|соскребать; склеить ласты (разг. умереть)|abschaben; entfernen; sterben; verrecken|Du musst die alte Farbe von der Wand abkratzen.|You have to scrape the old paint off the wall.|Тебе нужно соскрести старую краску со стены.|Du musst die alte Farbe von der Wand abschaben.|Farbe abkratzen; Eis von der Windschutzscheibe abkratzen; elend abkratzen|Literally, 'abkratzen' means to scrape off a layer of something from a surface. Colloquially, it is used as a highly informal (and often pejorative or dark-humored) slang word for dying ('to croak').
kratzen|ankratzen|C2|47849|to scratch slightly; to damage (e.g., reputation)|слегка поцарапать; подмочить (репутацию)|beschädigen; ritzen; beeinträchtigen|Der Skandal könnte den Ruf des Politikers ankratzen.|The scandal could damage the politician's reputation.|Этот скандал может подмочить репутацию политика.|Der Skandal könnte den Ruf des Politikers beschädigen.|den Ruf ankratzen; das Image ankratzen; das Selbstbewusstsein ankratzen|Commonly used figuratively in journalism and daily speech to describe damaging or undermining something non-physical, like someone's reputation ('Ruf'), authority ('Autorität'), or self-esteem ('Selbstbewusstsein').
kratzen|aufkratzen|C2|65348|to scratch open (skin); to liven up (colloquial)|расчесать (до крови); расковырять; развеселить (разг.)|aufschürfen; aufreißen; aufheitern|Du solltest die Mückenstiche nicht aufkratzen.|You shouldn't scratch open the mosquito bites.|Тебе не следует расчесывать укусы комаров.|Du solltest die Mückenstiche nicht aufschürfen.|eine Wunde aufkratzen; einen Mückenstich aufkratzen; völlig aufgekratzt sein|Literally refers to scratching open wounds or insect bites on the skin. The past participle 'aufgekratzt' is frequently used as an adjective meaning hyperactive, overly excited, or jittery (e.g., 'die Kinder sind heute sehr aufgekratzt').
kratzen|bekratzen|C2|237189|to scratch at; to scribble on|царапать; разрисовывать царапинами|zerkratzen; bemalen; beschreiben|Jugendliche bekratzten die Fensterscheiben der S-Bahn.|Teenagers scratched the window panes of the suburban train.|Подростки исцарапали оконные стекла в электричке.|Jugendliche zerkratzten die Fensterscheiben der S-Bahn.|Fensterscheiben bekratzen; Wände bekratzen|A relatively rare verb, often used to describe acts of minor vandalism where surfaces (like glass or walls) are deliberately scratched, etched, or scribbled on with sharp objects.
kratzen|einkratzen|C2|155709|to scratch into; to engrave|выцарапывать (на поверхности); гравировать|einritzen; eingravieren; einschneiden|Sie hat ihre Initialen in die Baumrinde eingekratzt.|She scratched her initials into the bark of the tree.|Она выцарапала свои инициалы на коре дерева.|Sie hat ihre Initialen in die Baumrinde eingeritzt.|Initialen einkratzen; ein Muster einkratzen; Namen in die Wand einkratzen|Describes scratching or etching letters, symbols, or patterns into a surface. Similar to 'einritzen', but emphasizes the scratching motion.
kratzen|herauskratzen|C2|95106|to scrape out; to claw out|выскребать; выковыривать|auskratzen; herausholen; herausschaben|Man muss die Reste aus dem Topf herauskratzen.|You have to scrape the leftovers out of the pot.|Нужно выскрести остатки из кастрюли.|Man muss die Reste aus dem Topf herausschaben.|Essensreste herauskratzen; die Kurve herauskratzen; den Schmutz herauskratzen|Used physically for scraping things out of containers or narrow spaces. Colloquially, 'die Kurve herauskratzen' means to barely manage to escape a bad situation or succeed in the nick of time.
kratzen|herunterkratzen|C2|180325|to scrape down; to scrape off|соскребать (сверху вниз); счищать|abkratzen; herabkratzen; herunterschaben|Er musste das Eis von der Windschutzscheibe herunterkratzen.|He had to scrape the ice down from the windshield.|Ему пришлось соскребать лед с лобового стекла.|Er musste das Eis von der Windschutzscheibe herunterschaben.|Eis herunterkratzen; Tapeten herunterkratzen; Schmutz herunterkratzen|Very similar to 'abkratzen', but specifically emphasizes the downward direction ('herunter-') of scraping, or removing something from an elevated surface.
kratzen|runterkratzen|C2|175345|to scrape down (colloquial)|соскребать; счищать (разг.)|herunterkratzen; abkratzen; runterschaben|Kannst du bitte den alten Aufkleber runterkratzen?|Can you please scrape the old sticker off?|Можешь, пожалуйста, соскрести старую наклейку?|Kannst du bitte den alten Aufkleber abkratzen?|Aufkleber runterkratzen; Eis runterkratzen; Farbe runterkratzen|This is the colloquial, shortened spoken variant of 'herunterkratzen'. Grammatically and semantically identical, but preferred in informal contexts.
kratzen|verkratzen|C2|42785|to get scratched; to scratch up|поцарапаться; исцарапать (поверхность)|zerkratzen; beschädigen; schrammen|Auf dem weichen Kunststoff kann man leicht die Oberfläche verkratzen.|You can easily scratch the surface on the soft plastic.|На мягком пластике можно легко поцарапать поверхность.|Auf dem weichen Kunststoff kann man leicht die Oberfläche zerkratzen.|die Oberfläche verkratzen; das Display verkratzen; leicht verkratzen|Can be used transitively (to scratch a surface) or intransitively (to become scratched, e.g., 'das Display verkratzt schnell'). Often implies minor cosmetic damage to smooth surfaces like screens, glasses, or car paint.
