word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
leben|leben|A1|188|to live; to exist|жить; существовать|existieren; verweilen; wohnen|Sie leben seit zehn Jahren in Berlin.|They have been living in Berlin for ten years.|Они живут в Берлине уже десять лет.|Sie wohnen seit zehn Jahren in Berlin.|gesund leben; im Luxus leben; gefährlich leben; lang leben|A highly frequent basic verb. It can be used intransitively (to exist, to be alive) or transitively (e.g., 'ein Leben leben' - to live a life). It is often confused with 'wohnen' (to reside/dwell in a specific house or flat).
leben|Lebedame|C2|125442|socialite; high-living woman|светская львица; женщина, ведущая праздный образ жизни|Lebefrau; Demimondäne; Genussmensch|Sie war als Lebedame in den besten Kreisen der Stadt bekannt.|She was known as a high-living socialite in the city's best circles.|Она была известна как светская львица в лучших кругах города.|Sie war als genussfreudige Frau in den besten Kreisen der Stadt bekannt.|eine elegante Lebedame; als Lebedame bekannt sein; das Leben einer Lebedame führen|A dated or literary term. It describes a woman who leads a luxurious, pleasure-seeking, and fashionable life, often on the fringes of high society. Can sometimes carry slightly pejorative or moralistic undertones depending on the historical context.
leben|Lebehoch|C2|200334|cheers; toast; acclamation|здравица; троекратное «ура»; возглас одобрения|Toast; Hochruf; Beifallsruf|Die Menge brachte dem Jubilar ein begeistertes Lebehoch dar.|The crowd offered an enthusiastic cheer to the jubilee.|Толпа преподнесла юбиляру восторженную здравицу.|Die Menge brachte dem Jubilar einen begeisterten Hochruf dar.|ein Lebehoch ausbringen; ein dreifaches Lebehoch; jemandem ein Lebehoch widmen|An elevated, poetic, or old-fashioned noun, usually neuter or masculine (das or ein Lebehoch). Used almost exclusively with the verb 'ausbringen' (to propose a toast) or 'darbringen'.
leben|Lebemann|C2|43444|bon vivant; playboy; man about town|бонвиван; сибарит; гуляка|Genießer; Bonvivant; Hedonist|Mein Onkel war immer ein Lebemann, der teuren Wein und teure Reisen liebte.|My uncle was always a bon vivant who loved expensive wine and expensive travel.|Мой дядя всегда был сибаритом, любившим дорогое вино и дорогие путешествия.|Mein Onkel war immer ein Genießer, der teuren Wein und teure Reisen liebte.|ein echter Lebemann; das Leben eines Lebemanns führen; als Lebemann gelten|A noun (der Lebemann) used to describe a man who focuses on enjoying life, pleasure, and luxury, often without worrying about the future. It is mostly neutral to slightly critical but often carries a charming, bohemian connotation.
leben|Lebewelt|C2|140361|high society (focused on pleasure); demi-monde|полусвет; бомонд; праздное общество|Schickeria; Halbwelt; Demimonde; High Society|Er verbrachte seine Nächte in den verruchten Clubs der Lebewelt.|He spent his nights in the notorious clubs of the demi-monde.|Он проводил ночи в порочных клубах полусвета.|Er verbrachte seine Nächte in den verruchten Clubs der Halbwelt.|der Pariser Lebewelt angehören; die mondäne Lebewelt; Sitten der Lebewelt|An archaic or highly literary term denoting fashionable, pleasure-seeking society or the demi-monde. Not used in modern everyday speech but found in 19th and early 20th-century literature.
leben|Lebewesen|C1|11433|living being; organism; creature|живое существо; организм|Organismus; Geschöpf; Kreatur|Jedes Lebewesen auf der Erde benötigt Wasser zum Überleben.|Every living being on earth needs water to survive.|Каждому живому существу на Земле нужна вода для выживания.|Jeder Organismus auf der Erde benötigt Wasser zum Überleben.|ein einzelliges Lebewesen; lebende Lebewesen; außerirdische Lebewesen; Schutz der Lebewesen|A standard noun (das Lebewesen) used in biology and everyday language to refer to any living organism, including humans, animals, plants, and microorganisms. Unlike 'Kreatur', it is completely objective and neutral.
leben|Lebewohl|C2|59452|farewell; adieu|прощание; последнее прости|Abschied; Auf Wiedersehen; Adieu|Mit einem traurigen Lebewohl verließ er die Heimat.|With a sad farewell, he left his homeland.|С грустным прощанием он покинул родину.|Mit einem traurigen Abschied verließ er die Heimat.|jemandem Lebewohl sagen; ein schmerzliches Lebewohl; für immer Lebewohl sagen|Noun (das Lebewohl), highly elevated or poetic. Mostly used in the fixed expression 'jemandem/etwas Lebewohl sagen' (to bid farewell to someone/something). Refers to a final or long-term departure.
leben|kurzlebig|C2|32124|short-lived; ephemeral; transient|недолговечный; эфемерный; быстротечный|vergänglich; kurzzeitig; flüchtig; ephemer|Modetrends sind heutzutage äußerst kurzlebig.|Fashion trends are extremely short-lived nowadays.|Модные тенденции в наши дни чрезвычайно недолговечны.|Modetrends sind heutzutage äußerst vergänglich.|eine kurzlebige Erscheinung; kurzlebige Konsumgüter; ein kurzlebiger Trend|Adjective used both in a biological sense (short life span) and, more commonly, metaphorically to describe trends, consumer products, software, or phenomena that quickly disappear or lose value.
leben|langlebig|C1|13135|durable; long-lasting; long-lived|долговечный; прочный; долго живущий|dauerhaft; langlebend; robust; beständig|Diese LED-Lampen sind besonders langlebig und energieeffizient.|These LED bulbs are particularly long-lasting and energy-efficient.|Эти светодиодные лампы особенно долговечны и энергоэффективны.|Diese LED-Lampen sind besonders dauerhaft und energieeffizient.|langlebige Wirtschaftsgüter; langlebige Produkte; langlebige Traditionen|Adjective, antonym of 'kurzlebig'. Used widely for consumer goods (appliances, cars) denoting high quality and durability, as well as biologically (species with high life expectancy).
leben|lebbar|C2|86545|livable; viable|пригодный для жизни; сносный|lebenswert; erträglich; bewohnbar|Durch die neuen Reformen soll der Alltag für Familien lebbar bleiben.|The new reforms are intended to keep daily life livable for families.|Ожидается, что благодаря новым реформам повседневная жизнь семей останется сносной.|Durch die neuen Reformen soll der Alltag für Familien erträglich bleiben.|ein lebbares Leben; kaum lebbar; unter lebbaren Bedingungen|Adjective, less common than 'lebenswert' or 'bewohnbar'. It expresses that a situation, life, or condition is tolerable, manageable, or practically livable. Often used in discussions about work-life balance or societal pressures.
leben|lebhaft|B1|7399|lively; vivid; bustling; active|оживленный; живой; бойкий|munter; agil; lebendig; rege|In der Innenstadt herrschte ein lebhaftes Treiben.|There was a lively bustle in the city center.|В центре города царило оживленное движение.|In der Innenstadt herrschte ein reges Treiben.|eine lebhafte Diskussion; ein lebhaftes Kind; ein lebhafter Verkehr; lebhafte Phantasie|An extremely common B1 adjective. Can describe children (active, energetic), colors (vivid), discussions (spirited), streets (bustling), or imagination (vivid).
leben|schnelllebig|C2|25253|fast-paced; fast-moving|быстро меняющийся; скоротечный; динамичный|dynamisch; rasant; hektisch; kurzlebig|Wir leben in einer sehr schnelllebigen Zeit, in der sich Technologien ständig ändern.|We live in a very fast-paced time in which technologies are constantly changing.|Мы живем в очень быстро меняющееся время, когда технологии постоянно меняются.|Wir leben in einer sehr rasanten Zeit, in der sich Technologien ständig ändern.|eine schnelllebige Welt; unsere schnelllebige Gesellschaft; schnelllebige Trends|Adjective, usually describing modern society, industries (like tech or fashion), or lifestyles where things change rapidly and don't last long. Formed from 'schnell' + 'lebig' (spelled with a triple 'l' under modern orthography rules).
