word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
sparen|sparen|A2|9090|to save (money, energy), to spare|копить, экономить|einsparen; aufsparen; beiseitelegen; zurücklegen|Wir müssen Strom und Wasser sparen.|We must save electricity and water.|Мы должны экономить электричество и воду.|Wir müssen Strom und Wasser einsparen.|Geld sparen; Energie sparen; Zeit sparen; an der falschen Stelle sparen|Can mean saving money (putting it aside, often with 'auf' + Acc for a goal: 'auf ein Auto sparen') or conserving resources/energy. 'Einsparen' is more about cutting costs or reducing consumption.
sparen|energiesparend|C1|19659|energy-saving, energy-efficient|энергосберегающий|energieeffizient; stromsparend|Wir haben uns eine energiesparende Waschmaschine gekauft.|We bought an energy-saving washing machine.|Мы купили энергосберегающую стиральную машину.|Wir haben uns eine energieeffiziente Waschmaschine gekauft.|eine energiesparende Bauweise; energiesparende Lampen; energiesparend heizen|Formed from the noun 'Energie' and the present participle of 'sparen'. Very common in the context of ecology, household appliances, and green technology.
sparen|sparsam|C1|6788|economical, thrifty, sparing|экономный, бережливый, скудный|haushälterisch; wirtschaftlich; karg; rationell|Meine Oma war immer sehr sparsam.|My grandmother was always very thrifty.|Моя бабушка всегда была очень экономной.|Meine Oma war immer sehr haushälterisch.|ein sparsamer Mensch; sparsam mit Ressourcen umgehen; sparsamer Verbrauch|Describes a person who is careful with money, or a process/device that uses few resources. Can sometimes border on stingy ('geizig'), but generally has a positive/neutral connotation.
sparen|Energiesparen|C1|20300|energy saving, energy conservation|энергосбережение, экономия энергии|Energieeinsparung; rationelle Energienutzung|Energiesparen ist ein wichtiger Beitrag zum Klimaschutz.|Saving energy is an important contribution to climate protection.|Энергосбережение — это важный вклад в защиту климата.|Energieeinsparung ist ein wichtiger Beitrag zum Klimaschutz.|aktives Energiesparen; Tipps zum Energiesparen; Energiesparen im Haushalt|Nominalized infinitive compound. Neutral, widely used in media and environmental discussions.
sparen|Ersparnis|C1|10602|saving, savings|сбережения, экономия (денег или времени)|Erspartes; Einsparung; Guthaben|Die Ersparnis bei diesem Angebot beträgt zwanzig Euro.|The savings with this offer is twenty euros.|Экономия при этом предложении составляет двадцать евро.|Die Einsparung bei diesem Angebot beträgt zwanzig Euro.|eine finanzielle Ersparnis; erhebliche Ersparnis; Ersparnisse aufbrauchen|'Die Ersparnis' (singular, fem.) means the amount saved (e.g., through a discount). Often used in plural 'die Ersparnisse' to refer to accumulated savings (money in the bank), which can also be called 'das Ersparte'.
sparen|Sparbrief|C2|62355|savings certificate, savings bond|сберегательный сертификат, накопительный сертификат|Sparschuldverschreibung; Festgeldanlage|Sie legte ihr Geld in einem Sparbrief mit festem Zinssatz an.|She invested her money in a savings certificate with a fixed interest rate.|Она вложила свои деньги в сберегательный сертификат с фиксированной процентной ставкой.|Sie legte ihr Geld in einer Festgeldanlage mit festem Zinssatz an.|einen Sparbrief kaufen; einen Sparbrief zeichnen; langfristiger Sparbrief; Zinsen für den Sparbrief|A banking and financial product. Usually a low-risk, fixed-term, fixed-interest investment offered by German banks.
sparen|Sparbuch|C1|19263|savings book, passbook|сберегательная книжка|Sparkonto; Sparheft|Früher hatte fast jedes Kind ein eigenes Sparbuch.|In the past, almost every child had their own savings book.|Раньше почти у каждого ребенка была своя сберегательная книжка.|Früher hatte fast jedes Kind ein eigenes Sparheft.|Geld auf ein Sparbuch einzahlen; ein Sparbuch eröffnen; Guthaben auf dem Sparbuch|A traditional financial instrument in Germany. Although digital accounts are standard today, 'Sparbuch' remains a culturally significant term for basic personal savings.
sparen|Sparbüchse|C2|83474|money box, piggy bank|копилка|Sparbüchschen; Sparschwein; Spardose|Jede Woche warf er eine Münze in seine Sparbüchse.|Every week he threw a coin into his money box.|Каждую неделю он бросал монетку в свою копилку.|Jede Woche warf er eine Münze in seine Spardose.|eine Sparbüchse leeren; Münzen in die Sparbüchse stecken; Sparbüchse aus Blech|'Sparbüchse' or 'Spardose' are generic terms for any container used for saving coins. 'Sparschwein' is the specific, highly common pig-shaped version.
sparen|Spareinlage|C2|34449|savings deposit|сберегательный вклад, депозит|Spareinlagen; Sparguthaben; Festgeldeinlage|Die Banken garantieren die Sicherheit der Spareinlagen.|The banks guarantee the safety of savings deposits.|Банки гарантируют безопасность сберегательных вкладов.|Die Banken garantieren die Sicherheit der Sparguthaben.|inländische Spareinlagen; gesetzliche Sicherung der Spareinlagen; Spareinlagen verzinsen|Technical financial term used in banking and economic reporting. Often used in the plural ('Spareinlagen').
sparen|Sparer|C1|13268|saver, investor|вкладчик, сберегатель|Anleger; Geldanleger; Sparerin|Die niedrigen Zinsen ärgern viele Sparer.|The low interest rates annoy many savers.|Низкие процентные ставки раздражают многих вкладчиков.|Die niedrigen Zinsen ärgern viele Anleger.|kleine Sparer; Sparer schützen; Freibetrag für Sparer|Standard term for anyone who saves money (mostly in bank accounts). Frequently appears in economic news, particularly in debates about inflation and central bank interest rates.
sparen|Sparförderung|C2|135113|savings subsidy, state promotion of savings|государственная поддержка сбережений, субсидирование накоплений|Sparzulage; staatliche Förderung|Die staatliche Sparförderung soll Geringverdiener unterstützen.|The state savings subsidy is intended to support low-income earners.|Государственная поддержка сбережений призвана поддержать людей с низкими доходами.|Die staatliche Sparzulage soll Geringverdiener unterstützen.|staatliche Sparförderung; Sparförderung beantragen; Richtlinien zur Sparförderung|Formal, bureaucratic and financial term. Relates to German public policies (like 'Arbeitnehmersparzulage') aimed at encouraging citizens to build capital.
sparen|Sparguthaben|C2|47667|savings, credit balance on savings accounts|сберегательный вклад, сумма сбережений|Ersparnisse; Spareinlage; Bankguthaben|Viele Menschen sorgen sich um den Wert ihrer Sparguthaben.|Many people worry about the value of their savings.|Многие люди беспокоятся о стоимости своих сбережений.|Viele Menschen sorgen sich um den Wert ihrer Ersparnisse.|Sparguthaben aufbrauchen; Sparguthaben entwerten; Zinsen auf Sparguthaben|Formal and banking term referring specifically to the actual monetary balance accumulated in savings accounts.
sparen|Sparhaushalt|C2|62695|austerity budget, tight budget|жесткий бюджет, режим строгой экономии бюджета|Sparkurs; Konsolidierungshaushalt|Die Regierung legte einen extremen Sparhaushalt vor.|The government presented an extreme austerity budget.|Правительство представило экстремально жесткий бюджет.|Die Regierung legte einen extremen Konsolidierungshaushalt vor.|einen Sparhaushalt beschließen; Sparhaushalt der Kommune; harter Sparhaushalt|Political and fiscal term used when a government or public entity structures its budget to cut public spending drastically.
sparen|Sparkasse|B2|2527|savings bank|сберегательный банк, сберкасса|Sparinstitut; Geldinstitut; Bank|Ich muss noch schnell zur Sparkasse gehen, um Geld abzuheben.|I still need to quickly go to the savings bank to withdraw money.|Мне еще нужно быстро сходить в сберкассу, чтобы снять деньги.|Ich muss noch schnell zur Bank gehen, um Geld abzuheben.|örtliche Sparkasse; ein Konto bei der Sparkasse haben; Sparkassen und Banken|In Germany, 'Sparkassen' are a specific type of public-law financial institution, distinct from private commercial banks (like Deutsche Bank) or cooperative banks (Volksbanken).
sparen|Sparkonto|C2|38137|savings account|сберегательный счет|Sparbuch; Depositkonto|Sie hat ein Sparkonto für ihre Enkelkinder eingerichtet.|She set up a savings account for her grandchildren.|Она открыла сберегательный счет для своих внуков.|Sie hat ein Sparbuch für ihre Enkelkinder eingerichtet.|ein Sparkonto eröffnen; Geld auf ein Sparkonto einzahlen; Zinsen für das Sparkonto|General term for a dedicated savings account. Unlike a 'Girokonto' (checking account used for daily transactions), it is meant for accumulation of funds and usually yields (low) interest.
sparen|Sparkurs|C1|14190|course of economy, austerity policy|курс на экономию, режим жесткой экономии|Sparpolitik; Konsolidierungskurs|Das Unternehmen muss wegen der Krise einen Sparkurs einschlagen.|The company has to adopt an austerity course due to the crisis.|Из-за кризиса компания вынуждена взять курс на жесткую экономию.|Das Unternehmen muss wegen der Krise eine Sparpolitik betreiben.|ein Sparkurs fahren; einen Sparkurs fortsetzen; radikaler Sparkurs; Sparkurs verordnen|Very common in business and political journalism. Typically used with verbs like 'fahren' (to drive/pursue) or 'einschlagen' (to adopt).
sparen|Sparmaßnahme|C1|12157|austerity measure, cost-saving measure|мера экономии|Einsparungsmaßnahme; Sparschritt|Die neuen Sparmaßnahmen treffen vor allem den Kulturbereich.|The new austerity measures primarily affect the cultural sector.|Новые меры экономии в первую очередь затрагивают сферу культуры.|Die neuen Einsparungsmaßnahmen treffen vor allem den Kulturbereich.|drastische Sparmaßnahmen; Sparmaßnahmen durchsetzen; Sparmaßnahmen beschließen|Usually used in the plural ('Sparmaßnahmen'). Represents concrete actions taken by organizations or governments to reduce expenses.
sparen|Sparpaket|C1|16562|austerity package, savings package|пакет мер по экономии, пакет антикризисных мер|Sparprogramm; Sparbündel|Das Parlament debattiert über ein milliardenschweres Sparpaket.|Parliament is debating a multi-billion austerity package.|Парламент обсуждает многомиллиардный пакет мер по экономии.|Das Parlament debattiert über ein milliardenschweres Sparprogramm.|ein Sparpaket schnüren; Sparpaket beschließen; heftig umstrittenes Sparpaket|Often used in politics. The collocation 'ein Sparpaket schnüren' (to tie/put together an austerity package) is a highly idiomatic journalistic phrase.
sparen|Sparplan|C1|21555|savings plan|план накоплений, программа сбережений|Sparvereinbarung; Ansparplan|Er hat einen Sparplan für ETFs eingerichtet.|He set up a savings plan for ETFs.|Он открыл инвестиционный план накоплений для ETF.|Er hat einen Ansparplan für ETFs eingerichtet.|monatlicher Sparplan; Sparplan einrichten; ETF-Sparplan; Fonds-Sparplan|Commonly associated with modern financial products, especially automatic monthly investments into index funds (ETFs) or stock options.
sparen|Sparpolitik|C2|25166|austerity policy, policy of economy|политика экономии, жесткая бюджетная политика|Sparkurs; Konsolidierungspolitik; Austeritätspolitik|Viele Kritiker sehen in der Sparpolitik die Ursache für den Verfall der Infrastruktur.|Many critics see the austerity policy as the cause of the decay of infrastructure.|Многие критики видят в политике экономии причину упадка инфраструктуры.|Viele Kritiker sehen in der Austeritätspolitik die Ursache für den Verfall der Infrastruktur.|strikte Sparpolitik; Kritik an der Sparpolitik; Sparpolitik betreiben|Often used interchangeably with 'Austeritätspolitik' (austerity policy) in political discourse, particularly regarding the European debt crisis or federal debt brake (Schuldenbremse).
sparen|Sparprogramm|C1|16966|austerity program, cost-cutting program|программа экономии, программа сокращения расходов|Sparpaket; Einsparprogramm; Kostensenkungsprogramm|Der Konzern kündigte ein Sparprogramm in Höhe von mehreren Millionen Euro an.|The corporation announced a cost-cutting program worth several million euros.|Концерн объявил о программе экономии на сумму несколько миллионов евро.|Der Konzern kündigte ein Kostensenkungsprogramm in Höhe von mehreren Millionen Euro an.|ein Sparprogramm auflegen; Sparprogramm verkünden; schmerzhaftes Sparprogramm|Very frequent in business contexts. Companies use 'Sparprogramme' to restructure and improve profitability. Often collocates with 'auflegen' (to launch).
sparen|Sparquote|C2|47977|savings rate, savings ratio|доля сбережений (в доходах), норма сбережений|Sparanteil; Sparrate|Die Sparquote der privaten Haushalte ist im letzten Quartal gestiegen.|The savings rate of private households increased in the last quarter.|Норма сбережений частных домохозяйств выросла в прошлом квартале.|Der Sparanteil der privaten Haushalte ist im letzten Quartal gestiegen.|durchschnittliche Sparquote; inländische Sparquote; Sparquote erhöhen|Economic indicator. It measures the percentage of disposable income that households save instead of spending on consumption.
sparen|Sparrate|C2|69972|savings rate, monthly savings installment|ежемесячный взнос по сбережениям, норма накопления (индивидуальная)|Sparbeitrag; monatliche Sparsumme|Sie hat ihre monatliche Sparrate auf hundert Euro erhöht.|She increased her monthly savings rate to one hundred euros.|Она увеличила свой ежемесячный взнос по сбережениям до ста евро.|Sie hat ihren monatlichen Sparbeitrag auf hundert Euro erhöht.|monatliche Sparrate; Sparrate anpassen; Sparrate aussetzen|Represents the actual regular amount of money (usually monthly) that an individual deposits into a savings plan, investment account, or ETF.
sparen|Sparschwein|B1|32282|piggy bank|копилка (в форме свиньи)|Spardose; Sparbüchse; Sparschweinchen|Der Junge fütterte sein Sparschwein täglich mit Centstücken.|The boy fed his piggy bank daily with cent coins.|Мальчик ежедневно подкармливал свою копилку центовыми монетками.|Der Junge fütterte seine Spardose täglich mit Centstücken.|ein Sparschwein schlachten; Sparschwein füttern; dickes Sparschwein|Culturally rich term. 'Das Sparschwein schlachten' (to slaughter/break the piggy bank) is a common idiom meaning to spend saved money.
sparen|Sparstrumpf|C2|60813|savings hidden at home, money kept in a sock|заначка, деньги под матрасом (букв. сберегательный чулок)|Notgroschen; Bargeldreserve; Sparbüchse|Viele Senioren vertrauen dem Sparstrumpf mehr als der Bank.|Many seniors trust money hidden at home more than the bank.|Многие пожилые люди доверяют заначке под матрасом больше, чем банку.|Viele Senioren vertrauen dem Notgroschen mehr als der Bank.|Geld im Sparstrumpf horten; der klassische Sparstrumpf; Sparstrumpf unter der Matratze|Metaphorical/idiomatic term. Refers to the old-fashioned practice of storing physical cash at home (historically inside a sock/stocking) instead of depositing it in a bank.
