word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
säen|säen|C1|12854|to sow, to seed|сеять, посеять|aussäen; anbauen; pflanzen|Der Bauer muss im Frühling das Getreide säen.|The farmer has to sow the grain in spring.|Фермер должен сеять зерно весной.|Der Bauer muss im Frühling das Getreide aussäen.|Samen säen; Zwietracht säen; Zweifel säen; im Frühling säen|Used literally in agriculture (to sow seeds) and figuratively in expressions like 'Zwietracht säen' (to sow discord) or 'Zweifel säen' (to sow doubt).
säen|ansäen|C2|78990|to sow, to seed|засевать, засаживать|einsäen; besäen; anpflanzen|Wir wollen den neuen Rasen am Wochenende ansäen.|We want to sow the new lawn over the weekend.|Мы хотим засеять новый газон на выходных.|Wir wollen den neuen Rasen am Wochenende einsäen.|den Rasen ansäen; eine Wiese ansäen; im Garten ansäen|Refers to the act of sowing seeds on a specific piece of land, especially lawns or garden patches. It is more common in southern German-speaking areas.
säen|aussäen|C2|34758|to sow, to seed, to disseminate|высевать, сеять, рассеивать|säen; ausstreuen; verbreiten|Gärtner säen die feinen Samen im Gewächshaus aus.|Gardeners sow the fine seeds in the greenhouse.|Садовники высевают мелкие семена в теплице.|Gärtner streuen die feinen Samen im Gewächshaus aus.|Samen aussäen; Blumen aussäen; Gemüse aussäen|Focuses on the distribution or scattering of seeds. Figuratively, it can mean spreading or disseminating ideas, rumors, or discord.
säen|besäen|C2|117745|to sow, to seed|засевать, обсеять|bepflanzen; einsäen; ansäen|Der Landwirt wird das Feld mit Raps besäen.|The farmer will sow the field with rapeseed.|Фермер засеет поле рапсом.|Der Landwirt wird das Feld mit Raps bestellen.|ein Feld besäen; eine Fläche besäen; mit Gras besäen|Takes the ground/area as the direct object (e.g., 'ein Feld besäen mit etwas'). In contrast, 'säen' takes the seed as the direct object ('Samen säen').
säen|besät|C2|174427|studded, strewn, dotted, sown|усеянный, покрытый|übersät; bedeckt; voll von|Der Nachthimmel war mit unzähligen Sternen besät.|The night sky was studded with countless stars.|Ночное небо было усеяно бесчисленными звездами.|Der Nachthimmel war mit unzähligen Sternen übersät.|mit Sternen besät; mit Blumen besät; mit Juwelen besät|Often used as an adjective or past participle in poetic contexts to describe a surface dotted with beautiful things like stars or flowers.
säen|dünngesät|C2|208697|sparse, few and far between, thinly sown|редкий, немногочисленный|rar; selten; spärlich; rar gesät|Gute Gelegenheiten sind heutzutage dünngesät.|Good opportunities are few and far between these days.|Хорошие возможности в наши дни редкость.|Gute Gelegenheiten sind heutzutage rar gesät.|dünngesät sein; Talente sind dünngesät; Fachkräfte sind dünngesät|A figurative expression meaning rare or scarce. Literally translates to 'thinly sown'. Often used as a synonym to 'rar gesät'.
säen|einsäen|C2|60002|to sow, to seed|засевать, сеять|ansäen; besäen; säen|Wir müssen die kahle Stelle im Garten neu einsäen.|We need to re-sow the bare patch in the garden.|Нам нужно заново засеять проплешину в саду.|Wir müssen die kahle Stelle im Garten neu besäen.|Rasen einsäen; eine Fläche einsäen; neu einsäen|Very similar to 'ansäen'. It refers to sowing seeds, usually grass or lawn, specifically into a defined plot or ground area.
säen|Säer|C2|182149|sower|сеятель|Sämann; Säender|Der Säer ging auf das Feld, um die Saat auszubringen.|The sower went into the field to spread the seed.|Сеятель вышел в поле, чтобы посеять семена.|Der Sämann ging auf das Feld, um die Saat auszubringen.|ein fleißiger Säer; der Säer im Gleichnis|An elevated or archaic noun for the person who sows seeds. Often found in literary, historical, biblical, or metaphorical contexts.
säen|Sämann|C2|63434|sower|сеятель|Säer; Landwirt|Das Gemälde zeigt einen Sämann bei der Arbeit im Abendlicht.|The painting shows a sower at work in the evening light.|На картине изображен сеятель за работой в лучах вечернего света.|Das Gemälde zeigt einen Säer bei der Arbeit im Abendlicht.|der Säer; biblischer Sämann; ein Sämann auf dem Feld|A traditional, somewhat poetic term for a sower. It has strong cultural associations in art (e.g., Van Gogh's paintings) and religious parables.
säen|Sämaschine|C2|113691|seed drill, sowing machine, seeder|сеялка|Drillmaschine; Saatmaschine|Der Landwirt hängt die Sämaschine an den Traktor an.|The farmer attaches the seed drill to the tractor.|Фермер прицепляет сеялку к трактору.|Der Landwirt hängt die Drillmaschine an den Traktor an.|eine moderne Sämaschine; die Sämaschine befüllen; mechanische Sämaschine|A technical agricultural term for a machine used to plant seeds. 'Drillmaschine' is a highly common synonym in professional farming.
säen|sternbesät|C2|224100|star-studded, starry|усыпанный звёздами, звёздный|sternenklar; voller Sterne; sternenbesät|Wir blickten in den sternbesäten Nachthimmel.|We looked into the star-studded night sky.|Мы смотрели на усыпанное звездами ночное небо.|Wir blickten in den sternenklaren Nachthimmel.|ein sternbesäter Himmel; sternbesäte Nacht|A highly poetic and literary adjective used almost exclusively to describe the night sky or space. 'sternenbesät' is a very close alternative.
säen|übersäen|C2|27002|to strew, to litter, to oversow, to scatter over|усеивать, осыпать, пересеивать|bedecken; bestreuen; übersäen (mit)|Der Wind wird den Weg mit Blättern übersäen.|The wind will litter the path with leaves.|Ветер усеет дорожку листьями.|Der Wind wird den Weg mit Blättern bedecken.|mit Steinen übersäen; mit Blumen übersäen; ein Feld übersäen|Active verb form, meaning to cover a surface with scattered objects. Most commonly encountered in its past participle form 'übersät'.
säen|übersät|C2|57780|strewn, littered, dotted, covered (with)|усеянный, покрытый|besät; bedeckt; voll|Die Straße war mit Trümmern übersät.|The street was littered with debris.|Улица была усыпана обломками.|Die Straße war mit Trümmern bedeckt.|mit Fehlern übersät; mit Pickeln übersät; mit Kratern übersät; mit Narben übersät|Very common in everyday language. Unlike 'besät' (which often sounds poetic/positive), 'übersät' is frequently used for negative or neutral contexts (littered with trash, riddled with errors, covered in scars/pimples).
