word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
sagen|sagen|A1|62|to say; to tell|сказать; говорить|äußern; mitteilen; sprechen|Kannst du mir die Wahrheit sagen?|Can you tell me the truth?|Ты можешь сказать мне правду?|Kannst du mir die Wahrheit mitteilen?|die Wahrheit sagen; danke sagen; Bescheid sagen; nichts zu sagen haben|Extremely common verb. It is used with a dative object for the person addressed and an accusative object for the content. Contrast with 'sprechen' (to speak, focusing on the act of speech) and 'reden' (to talk, informal).
sagen|sagbar|C2|90106|expressible; utterable|выразимый; то, что можно высказать|aussprechbar; formulierbar; artikulierbar|Nicht jede tiefe Empfindung ist in Worten sagbar.|Not every deep feeling can be expressed in words.|Не всякое глубокое чувство можно выразить словами.|Nicht jede tiefe Empfindung ist in Worten aussprechbar.|schwer sagbar; kaum sagbar; das Sagbare und das Unsagbare|Adjective derived from 'sagen' using the suffix '-bar' (indicating feasibility). It is primarily used in philosophical, literary, or highly formal linguistic discussions. Its opposite is 'unsagbar' (inexpressible).
sagen|sozusagen|C1|4063|so to speak; as it were; virtually|так сказать; в некотором роде|gewissermaßen; gleichsam; quasi|Er ist sozusagen der Kopf der ganzen Operation.|He is, so to speak, the brain of the whole operation.|Он, так сказать, голова всей этой операции.|Er ist gewissermaßen der Kopf der ganzen Operation.|sozusagen über Nacht; sozusagen als Belohnung; sozusagen ein Muss|An adverbial discourse marker used to soften a statement, introduce a metaphor, or show that a term is not to be understood literally. Very frequent in spoken German and academic settings.
sagen|totgesagt|C2|63712|declared dead; pronounced dead; predicted to fail|заживо погребённый; обречённый на гибель; списанный со счетов|abgeschrieben; für tot erklärt; totgeglaubt|Das gedruckte Buch wird oft totgesagt, aber es überlebt.|The printed book is often declared dead, but it survives.|Печатную книгу часто списывают со счетов, но она выживает.|Das gedruckte Buch wird oft für tot erklärt, aber es überlebt.|Totgesagte leben länger; ein totgesagtes Medium; totgesagt sein|Adjective or passive participle. It is most famously used in the German proverb 'Totgesagte leben länger' (Those declared dead live longer). Metaphorically describes ideas, media, or institutions predicted to go extinct but which persevere.
sagen|Saga|C1|22776|saga; epic tale|сага; сказание|Epos; Heldendichtung; Familiengeschichte|Die isländischen Sagas erzählen von den Wikingern.|The Icelandic sagas tell stories of the Vikings.|Исландские саги рассказывают о викингах.|Die isländischen Heldendichtungen erzählen von den Wikingern.|eine altnordische Saga; eine Familiensaga; eine packende Saga|Feminine noun (die Saga, plural: Sagas). Historically, it refers to medieval Icelandic prose narratives. In modern language, it is also applied to long, complex family stories or fantasy series (e.g., 'eine Familiensaga').
sagen|Sage|A2|6593|legend; myth; lore|сказание; легенда; предание|Legende; Mythos; Überlieferung|Kennst du die Sage von der Loreley?|Do you know the legend of the Lorelei?|Ты знаешь легенду о Лорелее?|Kennst du die Legende von der Loreley?|eine alte Sage; eine Sage besagt; laut einer Sage; Sagen und Mythen|Feminine noun (die Sage, plural: Sagen). Historically, a 'Sage' is tied to real geographic locations or historical figures but contains fantasy elements. Compare with 'Märchen' (purely fictional, timeless fairy tale) and 'Legende' (historically focused on holy persons).
sagen|absagen|A2|3313|to cancel; to call off; to decline|отменять; отказывать|stornieren; ablehnen; annullieren|Wir mussten das Konzert wegen des Regens absagen.|We had to cancel the concert because of the rain.|Нам пришлось отменить концерт из-за дождя.|Wir mussten das Konzert wegen des Regens stornieren.|einen Termin absagen; ein Treffen absagen; kurzfristig absagen; eine Einladung absagen|Separable verb (sagt ab, sagte ab, abgesagt). Can be used transitively ('den Termin absagen') or intransitively ('Ich muss leider absagen'). Compare with 'stornieren', which is restricted to formal booking cancellations (tickets, rooms).
sagen|ansagen|B2|3596|to announce; to state; to call out|объявлять; предвещать|ankündigen; bekannt geben; ausrufen|Der Sprecher wird den nächsten Programmpunkt ansagen.|The speaker will announce the next program item.|Диктор объявит следующий пункт программы.|Der Sprecher wird den nächsten Programmpunkt ankündigen.|das Programm ansagen; die nächste Haltestelle ansagen; den Ton ansagen|Separable verb (sagt an, sagte an, angesagt). Used mostly for live announcements (radio, train stations, stage). Its past participle 'angesagt' is also used colloquially as an adjective meaning 'hip' or 'trendy'.
sagen|aufsagen|C2|34987|to recite; to repeat from memory|читать наизусть; декламировать|rezitieren; vortragen; hersagen|Das Kind musste in der Schule ein Gedicht aufsagen.|The child had to recite a poem at school.|Ребёнку пришлось читать стихотворение наизусть в школе.|Das Kind musste in der Schule ein Gedicht vortragen.|ein Gedicht aufsagen; ein Sprüchlein aufsagen; monoton aufsagen|Separable verb (sagt auf, sagte auf, aufgesagt). Specifically means reciting a memorized piece of text, often in an academic context. Unlike 'vortragen', which implies an artistic delivery, 'aufsagen' can sound mechanical or monotonous.
sagen|aussagen|B2|7684|to testify; to state; to express|давать показания; свидетельствовать; выражать|bezeugen; bekunden; deklarieren|Der Zeuge wird morgen vor Gericht aussagen.|The witness will testify in court tomorrow.|Свидетель будет завтра давать показания в суде.|Der Zeuge wird morgen vor Gericht seine Aussage machen.|vor Gericht aussagen; als Zeuge aussagen; über den Tathergang aussagen; viel über jemanden aussagen|Separable verb (sagt aus, sagte aus, ausgesagt). Highly common in legal contexts (to make a official statement). In general context, it means 'to express' or 'reveal' (e.g., 'Das Bild sagt viel über ihn aus').
sagen|besagen|B2|8317|to state; to mean; to signify|гласить; означать; свидетельствовать|bedeuten; ausdrücken; beinhalten|Das Gesetz besagt, dass Diebstahl strafbar ist.|The law states that theft is punishable.|Закон гласит, что кража наказуема.|Das Gesetz legt fest, dass Diebstahl strafbar ist.|die Statistik besagt; eine alte Regel besagt; wie das Sprichwort besagt|Inseparable weak verb. The subject is almost always an abstract concept, text, document, rule, or statistic (never a person). It describes the content or meaning of that source.
sagen|dahinsagen|C2|106004|to say something thoughtlessly; to say idly|ляпнуть; сказать не подумав; бросить фразу|unüberlegt sagen; dahinschwatzen; plappern|Er meinte es nicht böse, er hat das nur so dahingesagt.|He didn't mean any harm, he just said it without thinking.|Он не хотел ничего плохого, он просто сболтнул это не подумав.|Er meinte es nicht böse, er hat das nur unüberlegt geäußert.|nur so dahingesagt; unüberlegt dahinsagen; Worte dahinsagen|Separable verb (sagt dahin, sagte dahin, dahingesagt). Mostly used in the past participle form as a qualifier ('Das war nur so dahingesagt') to denote that a comment was not meant seriously or was uttered without reflection.
sagen|danksagen|C2|158467|to return thanks; to offer thanks|выражать благодарность; благодарить|danken; sich bedanken; Dank aussprechen|Wir wollen Gott für die Ernte danksagen.|We want to give thanks to God for the harvest.|Мы хотим возблагодарить Бога за урожай.|Wir wollen Gott für die Ernte danken.|feierlich danksagen; Gott danksagen; für die Hilfe danksagen|Highly formal, literary or archaic verb, often written as two words ('Dank sagen'). Requires dative. It is largely restricted to religious, liturgical, or ceremonious contexts. Standard language uses 'danken' or 'sich bedanken'.
