word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
lassen|lassen|B1|81991|to let; to leave; to allow; to have something done|позволять; оставлять; велеть; давать возможность|erlauben; übriglassen; zulassen; veranlassen; aufhören|Ich lasse mein Auto heute in der Garage stehen.|I am leaving my car in the garage today.|Я оставляю сегодня свою машину стоять в гараже.|Ich stelle mein Auto heute in der Garage ab.|jemanden gehen lassen; die Haare schneiden lassen; das bleiben lassen|Extremely versatile verb. It can function as a full verb meaning 'to leave behind' or as an auxiliary-like modal verb meaning 'to allow' or 'to cause/command something to be done'. In reflexive construction 'sich lassen' + infinitive, it expresses a passive possibility (e.g., 'Das lässt sich machen' = That can be done).
lassen|alleinlassen|C2|37172|to leave alone; to abandon|оставлять одного; покидать|verlassen; im Stich lassen; einsam lassen; im Stich lassen|Bitte lass mich mit meinen Sorgen jetzt nicht alleinlassen.|Please do not leave me alone with my worries now.|Пожалуйста, не оставляй меня сейчас одного с моими заботами.|Bitte verlass mich mit meinen Sorgen jetzt nicht.|ein Kind alleinlassen; jemanden im Stich lassen; jemanden mit Problemen alleinlassen|Can be written as one word (alleinlassen) or two (allein lassen). Often refers to abandoning someone emotionally or leaving them in a difficult situation.
lassen|belassen|B1|8271|to leave as is; to keep; to let remain|оставлять (как есть); сохранять (состояние)|beibehalten; so lassen; lassen; belassen|Wir sollten es bei der jetzigen Vereinbarung belassen.|We should leave it at the current agreement.|Нам следует оставить всё на нынешнем соглашении.|Wir sollten die jetzige Vereinbarung beibehalten.|es dabei belassen; alles beim Alten belassen; im Amt belassen|Mainly used in the idiomatic expression 'es bei etwas (Dativ) belassen' meaning 'to decide not to change or pursue something further'.
lassen|hierlassen|C2|116730|to leave here; to leave behind|оставлять здесь|dalassen; zurücklassen; hier lassen|Du kannst deinen schweren Rucksack einfach hierlassen.|You can just leave your heavy backpack here.|Ты можешь просто оставить свой тяжелый рюкзак здесь.|Du kannst deinen schweren Rucksack einfach dalassen.|eine Nachricht hierlassen; den Schlüssel hierlassen; Dokumente hierlassen|Colloquial but standard. Split in main clauses: 'Ich lasse meinen Mantel hier.' Means leaving something in the speaker's current location.
lassen|laufen lassen|C2|104732|to let go; to release; to keep running|отпускать; позволять бежать; не выключать|freilassen; entlassen; laufenlassen; anlassen|Die Polizei musste den Tatverdächtigen mangels Beweisen laufen lassen.|The police had to let the suspect go due to lack of evidence.|Полиции пришлось отпустить подозреваемого из-за нехватки улик.|Die Polizei musste den Tatverdächtigen mangels Beweisen freilassen.|den Motor laufen lassen; das Wasser laufen lassen; jemanden laufen lassen|Can literally mean letting water or an engine run, or figuratively letting a person go free without punishment/arrest.
lassen|laufenlassen|C2|104732|to let go; to release; to keep running|отпускать; позволять бежать; не выключать|freilassen; entlassen; laufen lassen; anlassen|Er ließ das warme Wasser in die Badewanne laufenlassen.|He let the warm water run into the bathtub.|Он пустил теплую воду в ванну.|Er füllte die Badewanne mit warmem Wasser.|den Motor laufenlassen; das Wasser laufenlassen|Spelling variant of 'laufen lassen'. Under current spelling rules, both the separated and combined spelling are acceptable, though two-word spelling is more common.
lassen|liegen lassen|C2|36304|to leave behind; to forget; to neglect|оставлять лежать; забывать; забрасывать|vergessen; zurücklassen; liegenlassen; vernachlässigen|Ich habe mein Portemonnaie im Restaurant liegen lassen.|I left my wallet behind at the restaurant.|Я оставил свой кошелек в ресторане.|Ich habe mein Portemonnaie im Restaurant vergessen.|die Arbeit liegen lassen; den Schlüssel liegen lassen; Sachen liegen lassen|Literally means leaving an object lying somewhere, or figuratively leaving tasks unfinished/neglected.
lassen|liegenlassen|C2|36304|to leave behind; to forget; to neglect|оставлять лежать; забывать; забрасывать|vergessen; zurücklassen; liegen lassen; vernachlässigen|Du solltest deine Hausaufgaben nicht bis Sonntag liegenlassen.|You shouldn't leave your homework untouched until Sunday.|Тебе не следует забрасывать домашнее задание до воскресенья.|Du solltest deine Hausaufgaben nicht bis Sonntag aufschieben.|Briefe liegenlassen; Arbeit liegenlassen; Sachen liegenlassen|Spelling variant of 'liegen lassen'.
lassen|ruhen lassen|C2|162520|to let rest; to put on hold; to leave alone|оставить в покое; приостановить; дать постоять (тесту)|pausieren; ruhenlassen; aufschieben; in Ruhe lassen|Wir sollten dieses schwierige Thema für heute ruhen lassen.|We should let this difficult topic rest for today.|Нам следует оставить эту сложную тему в покое на сегодня.|Wir sollten dieses schwierige Thema heute nicht weiter besprechen.|den Teig ruhen lassen; ein Projekt ruhen lassen; den Streit ruhen lassen|Used in cooking (letting dough rise/rest) or metaphorically for putting an argument or project on hold.
lassen|ruhenlassen|C2|162520|to let rest; to put on hold; to leave alone|оставить в покое; приостановить; дать постоять|pausieren; ruhen lassen; aufschieben; in Ruhe lassen|Man muss den Hefeteig an einem warmen Ort ruhenlassen.|You have to let the yeast dough rest in a warm place.|Дрожжевому тесту нужно дать постоять в теплом месте.|Man muss den Hefeteig an einem warmen Ort gehen lassen.|die Angelegenheit ruhenlassen; Arbeit ruhenlassen|Spelling variant of 'ruhen lassen'.
