word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
tragen|tragen|A1|323|to wear; to carry|носить; нести|anhaben; schleppen; befördern; stützen|Er trägt heute einen schweren Rucksack und einen blauen Mantel.|He is carrying a heavy backpack and wearing a blue coat today.|Сегодня он несёт тяжёлый рюкзак и одет в синее пальто.|Er hat heute einen blauen Mantel an und schleppt einen schweren Rucksack.|Kleidung tragen; Verantwortung tragen; die Kosten tragen; Früchte tragen|tragen is highly versatile. It means 'to carry' (physically) or 'to wear' (clothes, accessories). Figuratively, it is used in idioms like 'Verantwortung tragen' (to bear responsibility) or 'Früchte tragen' (to bear fruit). It is a strong verb (trägt, trug, hat getragen).
tragen|abtragen|C1|13850|to pay off (debts); to erode; to wear out (clothes)|выплачивать (долг); сносить; изнашивать (одежду)|abbezahlen; abnutzen; abräumen; abbrechen|Sie müssen den Kredit in monatlichen Raten abtragen.|They have to pay off the loan in monthly installments.|Они должны выплачивать кредит ежемесячными платежами.|Sie müssen den Kredit in monatlichen Raten abbezahlen.|Schulden abtragen; den Tisch abtragen; Gestein abtragen; Kleidung abtragen|abtragen has several distinct meanings. In financial contexts, it means paying off a debt (synonym: abbezahlen). In geology, it means erosion or excavation (Gestein/Boden abtragen). It can also mean clearing dishes (den Tisch abtragen) or wearing out clothes.
tragen|antragen|C2|40983|to offer; to propose|предлагать|anbieten; vorschlagen; herantragen|Er trug ihr die Partnerschaft in der Firma an.|He offered her partnership in the company.|Он предложил ей партнерство в компании.|Er bot ihr die Partnerschaft in der Firma an.|jemandem ein Amt antragen; eine Ehe antragen; die Bitte antragen|antragen is a formal or literary verb meaning 'to offer' or 'to propose' something to someone. It is typically constructed as 'jemandem (Dat) etwas (Akk) antragen' (e.g., 'jemandem die Ehe antragen' - to propose marriage).
tragen|auftragen|B2|6499|to apply (makeup/paint); to serve (food); to instruct/commission|наносить (макияж, краску); подавать (на стол); поручать|aufbringen; servieren; beauftragen; anweisen|Sie trägt eine dünne Schicht Make-up auf das Gesicht auf.|She applies a thin layer of makeup to her face.|Она наносит тонкий слой макияжа на лицо.|Sie bringt eine dünne Schicht Make-up auf das Gesicht auf.|Creme auftragen; Farbe auftragen; das Essen auftragen; jemandem eine Aufgabe auftragen|auftragen has three main uses: 1) applying substances (cream, paint, makeup), 2) serving food/dishes (formal/dated), and 3) commissioning someone with a task ('jemandem auftragen, etwas zu tun').
tragen|austragen|B2|3463|to deliver (mail); to host (a tournament); to carry to term (pregnancy)|разносить (почту); проводить (соревнование); вынашивать (ребенка)|ausliefern; veranstalten; beilegen|Der Briefträger trägt morgens die Post aus.|The mail carrier delivers the mail in the morning.|Почтальон разносит почту по утрам.|Der Briefträger liefert morgens die Post aus.|Zeitungen austragen; ein Turnier austragen; ein Kind austragen; einen Konflikt austragen|austragen is widely used for: 1) delivering printed materials (Zeitungen/Post austragen), 2) hosting sports events (ein Turnier/Spiel austragen), 3) carrying a pregnancy to term, and 4) settling or fighting out a conflict ('einen Streit austragen').
tragen|beantragen|B2|1788|to apply for; to request officially|подавать заявление; запрашивать|anfordern; fordern; einen Antrag stellen auf|Ich muss morgen ein neues Visum bei der Botschaft beantragen.|I have to apply for a new visa at the embassy tomorrow.|Завтра мне нужно подать заявление на новую визу в посольстве.|Ich muss morgen einen Antrag auf ein neues Visum bei der Botschaft stellen.|ein Visum beantragen; Arbeitslosengeld beantragen; einen Pass beantragen; Fördermittel beantragen|beantragen means to apply for something official, like a visa, passport, or subsidy. It takes a direct accusative object (e.g., 'ein Visum beantragen'), unlike the construction 'einen Antrag stellen auf + Akk'.
tragen|beitragen|B2|1886|to contribute|способствовать; вносить вклад|mitwirken; beisteuern; helfen bei|Jeder Mitarbeiter sollte zum Erfolg des Projekts beitragen.|Every employee should contribute to the success of the project.|Каждый сотрудник должен внести свой вклад в успех проекта.|Jeder Mitarbeiter sollte zum Erfolg des Projekts beisteuern.|zu etwas beitragen; wesentlich beitragen; einen Beitrag leisten|beitragen is always paired with the preposition 'zu' + Dative ('zu etwas beitragen'). It is commonly used both for abstract concepts (success, solution) and material contributions.
tragen|betragen|B1|58037|to amount to; to behave (oneself)|составлять (сумму); вести себя|sich belaufen auf; ausmachen; sich verhalten; sich benehmen|Die Wartezeit am Flughafen beträgt derzeit zwei Stunden.|The waiting time at the airport is currently two hours.|Время ожидания в аэропорту в настоящее время составляет два часа.|Die Wartezeit am Flughafen beläuft sich derzeit auf zwei Stunden.|die Kosten betragen; die Gebühr beträgt; sich gut betragen|In its non-reflexive form, 'betragen' means 'to amount to' and takes an accusative showing the number/value. In its reflexive form ('sich betragen'), it means 'to behave' (mostly formal/literary, 'sich gut betragen').
tragen|davontragen|C1|20933|to carry away; to suffer (injuries); to win (victory)|уносить; получить (травму); одержать (победу)|wegbringen; erleiden; erringen; davonschleppen|Der Boxer trug im Kampf schwere Verletzungen davon.|The boxer suffered severe injuries in the fight.|Боксёр получил тяжёлые травмы в бою.|Der Boxer erlitt im Kampf schwere Verletzungen.|Verletzungen davontragen; den Sieg davontragen; Schäden davontragen|davontragen is mostly used in figurative collocations: 'den Sieg davontragen' (to carry off the victory/win) or 'Verletzungen/Schäden davontragen' (to sustain/suffer injuries or damage).
tragen|eintragen|B2|3921|to enter; to register; to yield (profit)|вносить (в список); регистрировать; приносить (доход)|registrieren; aufschreiben; einbringen; vermerken|Bitte tragen Sie Ihren Namen in die Liste ein.|Please enter your name in the list.|Пожалуйста, внесите своё имя в список.|Bitte schreiben Sie Ihren Namen in die Liste auf.|sich in eine Liste eintragen; Daten eintragen; Gewinn eintragen; ein Patent eintragen lassen|eintragen is commonly used reflexively ('sich eintragen') meaning 'to sign in / register'. Figuratively, it can also mean to yield a profit or result ('Gewinn eintragen').
