word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
rufen|rufen|B1|818|to call; to shout|звать; кричать|schreien; laut sprechen; rufen|Sie rief laut meinen Namen.|She called my name out loud.|Она громко выкрикнула мое имя.|Sie schrie laut meinen Namen.|um Hilfe rufen; ein Taxi rufen; einen Arzt rufen; nach jemandem rufen|'rufen' can be used transitively with an accusative object ('jemanden rufen' = to call/summon someone) or intransitively ('rufen' = to shout/yell). It is a strong verb (rief, gerufen).
rufen|abrufen|B2|5766|to retrieve; to recall; to fetch (data)|запрашивать (данные); вызывать; отзывать|abfragen; herbeiholen; abbestellen|Man kann die E-Mails jederzeit abrufen.|You can retrieve the emails at any time.|Вы можете запросить/проверить электронную почту в любое время.|Man kann die E-Mails jederzeit abfragen.|Daten abrufen; E-Mails abrufen; Informationen abrufen; Geld abrufen|Highly used in technology/IT contexts (retrieving data from a server) and finance (calling up funds or loans). It is a separable verb (ruft ab, rief ab, abgerufen).
rufen|anrufen|A2|3697|to call (on the phone); to appeal to|звонить (по телефону); взывать (к кому-то)|telefonieren mit; anfonen; appellieren an|Ich werde dich heute Abend anrufen.|I will call you tonight.|Я позвоню тебе сегодня вечером.|Ich werde heute Abend mit dir telefonieren.|jemanden auf dem Handy anrufen; eine Hotline anrufen; vergeblich anrufen|This separable verb requires an accusative object (jemanden anrufen), whereas 'telefonieren' requires 'mit' + dative. It can also mean 'to appeal to' in high-register or legal contexts (e.g., das Gericht anrufen).
rufen|aufrufen|B2|3006|to call up; to summon; to call (e.g., a website, patient); to appeal|призывать; вызывать (пациента); открывать (сайт, программу)|auffordern; aufbieten; öffnen|Der Arzt ruft den nächsten Patienten auf.|The doctor is calling the next patient.|Врач вызывает следующего пациента.|Der Arzt bittet den nächsten Patienten herein.|eine Website aufrufen; zu Protesten aufrufen; einen Namen aufrufen; ein Programm aufrufen|Multi-purpose separable verb: digital context (opening a URL/program), medical/administrative (calling a name in a waiting room), or political (to appeal to action: 'zu etwas aufrufen' + dative).
rufen|ausrufen|B2|9129|to exclaim; to proclaim; to declare (e.g., state of emergency)|восклицать; провозглашать; объявлять (чрезвычайное положение)|verkünden; proklamieren; herausschreien|Der Präsident hat den Ausnahmezustand ausgerufen.|The president declared a state of emergency.|Президент объявил чрезвычайное положение.|Der Präsident hat den Ausnahmezustand verkündet.|den Notstand ausrufen; die Republik ausrufen; laut ausrufen; einen Streik ausrufen|Often used in political or official contexts for formal proclamations. In literature or general descriptions, it means to cry out suddenly in emotion. Separable verb.
rufen|berufen|B2|2993|to appoint; to refer to (reflexive)|назначать (на должность); ссылаться (на что-то/кого-то) (возвратный)|ernennen; einsetzen; sich beziehen auf|Er beruft sich auf das Gesetz.|He refers to the law.|Он ссылается на закон.|Er bezieht sich auf das Gesetz.|in ein Amt berufen; sich auf ein Recht berufen; sich auf Zeugen berufen; einen Experten berufen|An inseparable verb. Non-reflexive 'berufen' means 'to appoint' (e.g., to a committee or professorship). Reflexive 'sich berufen auf' (+ accusative) means 'to appeal to' or 'to cite/refer to' as authority.
rufen|herausrufen|C2|127360|to call out (from inside to outside)|вызывать (наружу); кричать изнутри наружу|rausrufen; nach draußen rufen|Der Lehrer musste das Kind aus dem Klassenzimmer herausrufen.|The teacher had to call the child out of the classroom.|Учителю пришлось вызвать ребенка из класса на улицу/в коридор.|Der Lehrer musste das Kind aus dem Klassenzimmer nach draußen rufen.|jemanden aus dem Haus herausrufen; laut herausrufen|A separable verb indicating calling someone so they leave a room or building. Often shortened colloquially to 'rausrufen'.
rufen|herbeirufen|C2|52240|to summon; to call over; to call for (help/police)|подзывать; призывать на помощь; вызвать (полицию, врача)|holen; herbeiholen; rufen|Sie mussten sofort einen Arzt herbeirufen.|They had to summon a doctor immediately.|Им пришлось немедленно вызвать врача.|Sie mussten sofort einen Arzt holen.|die Polizei herbeirufen; Hilfe herbeirufen; einen Krankenwagen herbeirufen|A separable verb meaning to summon someone to a specific scene, usually in emergencies. In spoken German, it is often replaced by simply 'rufen' or 'holen'.
rufen|hereinrufen|C2|136005|to call in; to shout inside|звать вовнутрь; приглашать войти криком|reinrufen; hereinbitten; hineinrufen|Sie öffnete das Fenster, um die Kinder hereinzurufen.|She opened the window to call the children inside.|Она открыла окно, чтобы позвать детей домой.|Sie öffnete das Fenster, um die Kinder reinzurufen.|jemanden von der Straße hereinrufen; ins Zimmer hereinrufen; laut hereinrufen|A separable verb used when calling someone to enter a house, flat, or room. Often shortened colloquially to 'reinrufen'.
rufen|herunterrufen|C2|184879|to call down; to shout down|кричать вниз; звать вниз (из окна, с балкона)|runterrufen; hinabrufen|Er stand am Fenster und wollte mir etwas herunterrufen.|He stood at the window and wanted to call down something to me.|Он стоял у окна и хотел крикнуть мне что-то вниз.|Er stood am Fenster und wollte mir etwas runterrufen.|vom Balkon herunterrufen; aus dem Fenster herunterrufen|A separable verb referring to yelling or shouting downwards from a higher level (e.g. window, attic, balcony). Colloquial form: 'runterrufen'.
