word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
treffen|treffen|A1|956|to meet; to hit (a target); to make (e.g., a decision)|встречать; попадать (в цель); принимать (решение)|begegnen; zusammenkommen; erwischen; fällen|Wir treffen uns morgen um acht Uhr vor dem Kino.|We are meeting tomorrow at eight o'clock in front of the cinema.|Мы встречаемся завтра в восемь часов перед кинотеатром.|Wir kommen morgen um acht Uhr vor dem Kino zusammen.|sich mit Freunden treffen; eine Entscheidung treffen; ins Schwarze treffen; Vorkehrungen treffen|Can be used reflexively ('sich treffen mit' + dative) to mean meeting by arrangement, or transitively ('jemanden treffen') to mean meeting someone by chance or hitting a target. It is also used in light verb constructions like 'eine Entscheidung treffen' (to make a decision).
treffen|antreffen|B2|7243|to find; to encounter; to meet (someone somewhere)|заставать; находить; встречать (кого-то где-то)|vorfinden; begegnen; auffinden|Ich habe ihn gestern in seinem Büro nicht angetroffen.|I did not find him in his office yesterday.|Я не застал его вчера в его кабинете.|Ich habe ihn gestern in seinem Büro nicht vorgefunden.|jemanden zu Hause antreffen; jemanden bei der Arbeit antreffen; im Büro antreffen|Means finding someone (or sometimes something) in a specific place, often unexpectedly or when looking for them. It is highly used in the passive voice or in the past participle form ('angetroffen').
treffen|aufeinandertreffen|C1|24156|to clash; to meet; to collide|сталкиваться; сходиться; встречаться друг с другом|zusammenstoßen; kollidieren; aufeinanderprallen|Im Finale treffen die beiden besten Mannschaften aufeinander.|In the final, the two best teams clash.|В финале сталкиваются две лучшие команды.|Im Finale prallen die beiden besten Mannschaften aufeinander.|im Finale aufeinandertreffen; zwei Welten treffen aufeinander; Gegner treffen aufeinander|A separable verb describing two opposing parties, views, or sports teams meeting or clashing. It is often used in sports, politics, and discussions.
treffen|auftreffen|C2|92558|to hit; to impact; to strike|ударяться; сталкиваться (о поверхность); падать на что-то|aufprallen; aufschlagen; treffen|Der Regentropfen ist laut auf das Fensterbrett aufgetroffen.|The raindrop hit the windowsill loudly.|Капля дождя с шумом упала на подоконник.|Der Regentropfen ist laut auf das Fensterbrett aufgeprallt.|hart auftreffen; auf den Boden auftreffen; mit Wucht auftreffen|Describes the physical action of an object hitting a surface. It is usually intransitive and is used with the preposition 'auf' + accusative. It is common in physics, mechanics, or descriptive prose.
treffen|danebentreffen|C2|191314|to miss the target; to miss|промахнуться; не попасть в цель|vorbeischießen; verfehlen; danebenhauen|Der Schütze hat leider völlig danebengetroffen.|Unfortunately, the marksman completely missed the target.|Стрелок, к сожалению, полностью промахнулся.|Der Schütze hat leider die Scheibe völlig verfehlt.|völlig danebentreffen; mit dem Schuss danebentreffen|The literal or figurative antonym of 'treffen' (to hit the target). It is a separable verb, mostly used in literal contexts of shooting/throwing, or figuratively when a guess or prediction is wrong.
treffen|eintreffen|B2|4561|to arrive; to come true; to happen|прибывать; сбываться; наступать|ankommen; sich bewahrheiten; eintreten|Der Zug wird voraussichtlich mit Verspätung eintreffen.|The train is expected to arrive late.|Ожидается, что поезд прибудет с опозданием.|Der Zug wird voraussichtlich mit Verspätung ankommen.|am Bahnhof eintreffen; eine Vorhersage trifft ein; die Nachricht trifft ein|A separable verb with two main meanings: physical arrival (more formal than 'ankommen') of people, shipments, or news; and the realization of a prediction, hope, or fear ('sich bewahrheiten' or 'in Erfüllung gehen').
treffen|übereintreffen|C2|223517|to coincide; to agree; to match|совпадать; соответствовать; согласовываться|übereinstimmen; übereinkommen; harmonieren|Ihre Aussagen über den Vorfall treffen in fast allen Details überein.|Their statements about the incident coincide in almost all details.|Их показания о происшествии совпадают почти во всех деталях.|Ihre Aussagen über den Vorfall stimmen in fast allen Details überein.|in allen Punkten übereintreffen; mit der Wahrheit übereintreffen|An elevated and relatively rare separable verb that is synonymous with 'übereinstimmen' (to agree/coincide). It is usually used with 'in' + dative or 'mit' + dative.
treffen|übertreffen|B1|4702|to exceed; to surpass; to outperform|превосходить; превышать|überbieten; überragen; toppen|Die Qualität des neuen Modells übertrifft alle Erwartungen.|The quality of the new model exceeds all expectations.|Качество новой модели превосходит все ожидания.|Die Qualität des neuen Modells überbietet alle Erwartungen.|Erwartungen übertreffen; Rekorde übertreffen; sich selbst übertreffen|An inseparable verb. It is highly common in professional and personal contexts when comparing achievements, expectations, or quantities to previous benchmarks.
treffen|vorbeitreffen|C2|214732|to miss (the target)|промахнуться; пройти мимо цели|verfehlen; danebentreffen; vorbeischießen|Er wollte den Ball ins Tor schießen, hat aber vorbeitroffen.|He wanted to kick the ball into the goal, but missed.|Он хотел забить мяч в ворота, но промахнулся.|Er wollte den Ball ins Tor schießen, hat aber vorbeigeschossen.|knapp vorbeitreffen; am Ziel vorbeitreffen|A rare, colloquial, or regional separable verb meaning to miss the target by hitting next to it. 'Danebentreffen' or 'vorbeischießen' are much more commonly used in standard German.
treffen|wiedertreffen|C2|153864|to meet again; to encounter again|встретить снова; вновь увидеться|wiedersehen; erneut treffen|Ich hoffe, dass wir uns bald unter besseren Umständen wiedertreffen.|I hope we will meet again soon under better circumstances.|Надеюсь, мы скоро снова встретимся при более благоприятных обстоятельствах.|Ich hoffe, dass wir uns bald unter besseren Umständen wiedersehen.|sich nach Jahren wiedertreffen; jemanden zufällig wiedertreffen|A separable verb. It is very similar to 'wiedersehen', but 'wiedertreffen' emphasizes the act of meeting up (either by chance or planned) rather than just seeing each other again.
