word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
blinken|blinken|C1|17461|to blink; to flash; to indicate (turn signal)|мигать; сверкать; мерцать; включать поворотник|blinken; blitzen; flackern; signalisieren|Er vergaß zu blinken, als er an der Kreuzung abbog.|He forgot to use his turn signal when he turned at the intersection.|Он забыл включить поворотник, когда поворачивал на перекрестке.|Er vergaß, ein Signal zu geben, als er an der Kreuzung abbog.|beim Abbiegen blinken; hektisch blinken; grün blinken; der Blinker blinkt|Commonly used in daily life, especially in driving contexts where it means to indicate a turn. It is an intransitive verb. When referring to lights (like stars, screens, or beacons), it denotes intermittent flashing or gleaming.
blinken|anblinken|C2|162911|to flash one's headlights at|мигнуть фарами; подмигнуть кому-либо фарами|anblenden; die Lichthupe geben; signalisieren|Der ungeduldige Autofahrer hinter mir blinkte mich unaufhörlich an.|The impatient driver behind me kept flashing his headlights at me.|Терпеливый водитель сзади непрерывно мигал мне фарами.|Der ungeduldige Autofahrer hinter mir gab mir unaufhörlich die Lichthupe.|jemanden von hinten anblinken; mit der Lichthupe anblinken; wütend anblinken|This is a transitive verb (jemanden anblinken) used almost exclusively in road traffic. It refers to flashing high beams at a vehicle ahead, usually to signal them to move aside or to warn of danger.
blinken|aufblinken|C2|103629|to flash; to light up briefly|вспыхнуть; замигать; коротко загореться|aufleuchten; kurz aufblitzen; erleuchten|Eine kleine rote Kontrollleuchte begann auf dem Armaturenbrett aufzublinken.|A small red indicator light started to flash on the dashboard.|На приборной панели начала мигать маленькая красная контрольная лампочка.|Eine kleine rote Kontrollleuchte begann auf dem Armaturenbrett aufzuleuchten.|kurz aufblinken; rot aufblinken; ein Warnsignal blinkt auf; am Himmel aufblinken|An intransitive verb conjugated with 'sein' (ist aufgeblinkt). It indicates a sudden, brief flash of light, very common with technical screens, signals, and dashboard elements.
blinken|Blink|C2|65025|blink; brief flash of light; gleam|вспышка; миг; проблеск|Aufblitzen; Schimmer; Glanz; Lichtblick|Beim ersten Blink des Leuchtturms wussten wir, dass wir sicher waren.|At the first flash of the lighthouse, we knew we were safe.|При первой же вспышке маяка мы поняли, что в безопасности.|Beim ersten Aufblitzen des Leuchtturms wussten wir, dass wir sicher waren.|ein kurzer Blink; der erste Blink; Blink des Scheinwerfers|A rather rare, poetic, or highly specific noun (der Blink, masculine). Not to be confused with the English noun 'blink' of an eye, which is translated as 'Wimpernschlag' or 'Blinzeln'.
blinken|Blinker|C2|29967|turn signal; indicator; blinker|поворотник; указатель поворота|Fahrtrichtungsanzeiger; Blinklicht|Bitte setze rechtzeitig den Blinker, bevor du die Spur wechselst.|Please use your turn signal in good time before you change lanes.|Пожалуйста, включи поворотник заблаговременно перед сменой полосы движения.|Bitte benutze rechtzeitig den Fahrtrichtungsanzeiger, bevor du die Spur wechselst.|den Blinker setzen; den Blinker links/rechts betätigen; den Blinker vergessen; der Blinker klackt|'Der Blinker' (masculine) is the standard colloquial and general German term for a vehicle's turn signal. In official legal contexts, 'Fahrtrichtungsanzeiger' is used. The idiomatic verb collocation is 'den Blinker setzen' (to indicate/signal).
blinken|Blinkfeuer|C2|145889|intermittent light; flashing beacon|проблесковый огонь; мигающий маяк|Leuchtfeuer; Blinklicht; Orientierungsfeuer|Die Einfahrt in den Hafen wird durch ein rotes Blinkfeuer markiert.|The entrance to the harbor is marked by a red flashing beacon.|Вход в порт обозначен красным проблесковым огнем.|Die Einfahrt in den Hafen wird durch ein rotes Leuchtfeuer markiert.|ein Blinkfeuer wahrnehmen; automatisches Blinkfeuer; Blinkfeuer der Landebahn|'Das Blinkfeuer' (neuter) is a technical nautical and aviation term. It refers specifically to signal lights that blink at regular intervals for navigation.
blinken|Blinkgeber|C2|170931|flasher unit; flasher relay|реле указателей поворота; прерыватель поворотников|Blinkrelais; Taktgeber|Wenn das Klicken ausbleibt, könnte der Blinkgeber defekt sein.|If there is no clicking sound, the flasher unit might be defective.|Если щелканья не слышно, возможно, неисправно реле указателей поворота.|Wenn das Klicken ausbleibt, könnte das Blinkrelais defekt sein.|den Blinkgeber austauschen; elektronischer Blinkgeber; defekter Blinkgeber|'Der Blinkgeber' (masculine) is a technical term used in automotive engineering. It is the component or relay responsible for causing the indicators to pulse or blink.
blinken|Blinkgerät|C2|228370|flashing device; optical signaling apparatus|проблесковый прибор; светосигнальный аппарат|Signalgerät; Blinkapparat; Lichtsignalgerät|Im Ersten Weltkrieg diente das Blinkgerät zur Übermittlung von Morsezeichen.|In the First World War, the flashing device was used to transmit Morse code.|В Первую мировую войну светосигнальный прибор использовался для передачи азбуки Морзе.|Im Ersten Weltkrieg diente das Signalgerät zur Übermittlung von Morsezeichen.|optisches Blinkgerät; tragbares Blinkgerät; ein Blinkgerät bedienen|'Das Blinkgerät' (neuter) is an older or specialized term. It usually refers to military or historical optical signal tools that communication teams used to send messages via light pulses.
blinken|Blinkkomparator|C2|227063|blink comparator|блинк-компаратор|Blinkmikroskop; Komparator|Der Astronom verbrachte Stunden am Blinkkomparator, um nach Asteroiden zu suchen.|The astronomer spent hours at the blink comparator searching for asteroids.|Астроном провел часы за блинк-компаратором в поисках астероидов.|Der Astronom verbrachte Stunden am Blinkmikroskop, um nach Asteroiden zu suchen.|den Blinkkomparator benutzen; astronomischer Blinkkomparator; Entdeckung mit dem Blinkkomparator|'Der Blinkkomparator' (masculine) is a highly specialized scientific term in astronomy. It refers to an optical instrument that allows astronomers to quickly alternate between two photos of the sky to spot moving or variable objects.
blinken|Blinkleuchte|C2|104115|flashing light; beacon; indicator lamp|проблесковый маячок; мигающий фонарь; мигалка|Blinklicht; Warnleuchte; Signalleuchte; Rundumleuchte|Eine gelbe Blinkleuchte sicherte die Baustelle auf der Autobahn ab.|A yellow flashing light secured the construction site on the highway.|Желтый проблесковый фонарь обеспечивал безопасность на строительной площадке на автобане.|Eine gelbe Warnleuchte sicherte die Baustelle auf der Autobahn ab.|gelbe Blinkleuchte; blaue Blinkleuchte; eine Blinkleuchte montieren|'Die Blinkleuchte' (feminine) refers to the physical lamp or fixture that emits flashing lights. It is very common on emergency vehicles, construction barriers, and safety installations.
