word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
decken|decken|B1|2749|to cover; to set (a table); to meet (needs)|покрывать; накрывать (на стол); обеспечивать|abdecken; zudecken; befriedigen; sichern|Wir müssen heute noch den Tisch decken.|We still have to set the table today.|Нам сегодня еще нужно накрыть на стол.|Wir müssen heute noch den Tisch vorbereiten.|den Tisch decken; den Bedarf decken; die Kosten decken; sich mit etwas decken|Decken is a highly versatile verb. In daily life, 'den Tisch decken' means to set the table. In finance/business, 'Kosten/Bedarf decken' means to cover costs or demands. Grammatically, it is a regular transitive verb.
decken|bedecktsamig|C2|194435|angiospermous; angiosperm|покрытосеменной|angiosperm|Die meisten heute lebenden Pflanzenarten sind bedecktsamig.|Most plant species living today are angiospermous.|Большинство современных видов растений являются покрытосеменными.|Die meisten heutigen Pflanzen gehören zu den Angiospermen.|bedecktsamige Pflanzen; bedecktsamige Gewächse|A highly specific scientific botanical term. In non-scientific contexts, it is rarely used. It refers to flowering plants whose seeds are enclosed within an ovary.
decken|gedeckt|C1|14578|covered; muted (colors); set (table)|покрытый; приглушенный (о цвете); накрытый (о столе)|abgedeckt; unauffällig; gedämpft; bescheiden|Sie bevorzugt gedeckte Farben wie Grau und Dunkelblau.|She prefers muted colors like grey and dark blue.|Она предпочитает приглушенные цвета, такие как серый и темно-синий.|Sie bevorzugt unauffällige Farben wie Grau und Dunkelblau.|gedeckte Farben; ein gedeckter Tisch; gedeckter Apfelkuchen|Gedeckt is the past participle of 'decken' used as an adjective. When referring to colors, it means subtle, muted, or matte. When referring to a table ('gedeckter Tisch'), it means fully prepared for a meal.
decken|ungedeckt|C2|31990|uncovered; unsecured (financial); unbacked|непокрытый; необеспеченный (финансово); незащищенный|blanko; ungesichert; ungeschützt|Ein ungedeckter Scheck kann nicht eingelöst werden.|An uncovered check cannot be cashed.|Необеспеченный чек не может быть обналичен.|Ein ungesicherter Scheck kann nicht eingelöst werden.|ein ungedeckter Scheck; ungedeckte Kosten; ungedeckter Bedarf; ein ungedeckter Tisch|Mainly used in finance and economics ('ungedeckter Scheck' = bounced or unbacked check, 'ungedeckte Kosten' = uncovered expenses). It can also be used in sports (e.g., in football, 'ein ungedeckter Spieler' means an unmarked player).
decken|Dachdecker|C1|16935|roofer|кровельщик|Dachleger|Der Dachdecker repariert die Ziegel nach dem Sturm.|The roofer is repairing the tiles after the storm.|Кровельщик ремонтирует черепицу после шторма.|Der Handwerker repariert das Dach nach dem Sturm.|als Dachdecker arbeiten; ein erfahrener Dachdecker; den Dachdecker rufen|An occupational noun built from 'Dach' (roof) + 'Decker' (one who covers). It refers to the skilled craftsman who builds or repairs roofs.
decken|Deck|A2|11019|deck (of a ship)|палуба|Schiffsdeck; Bord|Die Passagiere stehen auf dem Deck und schauen aufs Meer.|The passengers are standing on the deck and looking at the sea.|Пассажиры стоят на палубе и смотрят на море.|Die Passagiere stehen auf dem Schiffsdeck und schauen aufs Meer.|auf dem Deck; das obere Deck; an Deck gehen|Neuter noun ('das Deck'). It is borrowed from Low German/English and primarily refers to the deck of a ship. The fixed phrase 'an Deck' means on board / on deck.
decken|Deckadresse|C2|133711|cover address; accommodation address (esp. in espionage)|подставной адрес; адрес для прикрытия|Tarnadresse; Scheinadresse|Der Agent nutzte eine Deckadresse für geheime Briefe.|The agent used a cover address for secret letters.|Агент использовал адрес прикрытия для секретных писем.|Der Agent nutzte eine Tarnadresse für geheime Briefe.|eine Deckadresse verwenden; Post an eine Deckadresse schicken|A compound feminine noun ('die Deckadresse'). Used mostly in espionage, investigative, or shady contexts where someone uses an alternative, safe address to hide their real identity.
decken|Deckbett|C2|153120|duvet; upper bed; coverlet|теплое одеяло; перина|Bettdecke; Steppbett; Oberbett|Im Winter bevorzuge ich ein dickes Deckbett.|In winter, I prefer a thick duvet.|Зимой я предпочитаю толстое одеяло.|Im Winter bevorzuge ich eine dicke Bettdecke.|ein warmes Deckbett; das Deckbett aufschütteln|Neuter noun ('das Deckbett'). A slightly regional or formal word for 'Bettdecke', referring specifically to the top cover or heavy duvet on a bed.
decken|Decke|A2|3920|ceiling; blanket|потолок; одеяло; покрывало|Zimmerdecke; Wolldecke; Abdeckung|Er liegt auf dem Sofa unter einer warmen Decke.|He is lying on the sofa under a warm blanket.|Он лежит на диване под теплым одеялом.|Er liegt auf dem Sofa unter einer warmen Wolldecke.|eine Decke über den Kopf ziehen; die Decke streichen; an der Decke hängen|Feminine noun ('die Decke'). It has two very common, distinct meanings: 'ceiling' (top of a room) and 'blanket' (bedding or cover). Idiom: 'an die Decke gehen' means to fly off the handle / get extremely angry.
decken|Deckel|B2|7173|lid; cap; cover|крышка|Kappe; Verschluss; Abdeckung|Setze bitte den Deckel auf den Topf, damit das Wasser schneller kocht.|Please put the lid on the pot so the water boils faster.|Пожалуйста, закрой кастрюлю крышкой, чтобы вода закипела быстрее.|Setze bitte die Abdeckung auf den Topf, damit das Wasser schneller kocht.|den Deckel schließen; einen Deckel aufsetzen; Bierdeckel; auf den Deckel bekommen|Masculine noun ('der Deckel'). In colloquial German, 'auf jemandes Deckel schreiben' means to put on someone's tab, and 'einen auf den Deckel bekommen' is an idiom meaning to get scolded.
