word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
reisen|reisen|A2|2151|to travel; to journey|путешествовать|herumreisen; fahren; wandern|Wir reisen im Sommer nach Italien.|We are traveling to Italy in the summer.|Летом мы едем в Италию.|Wir fahren im Sommer nach Italien.|gern reisen; geschäftlich reisen; in die Ferne reisen; per Anhalter reisen|General verb for traveling. Intransitive, conjugated with 'sein' (in standard German). It usually takes a directional preposition like 'nach', 'in', or 'zu'.
reisen|abreisen|C1|19224|to depart; to leave (on a trip)|уезжать; отправляться в путь|abfahren; wegfahren; aufbrechen|Die Delegation reist morgen früh ab.|The delegation departs tomorrow morning.|Делегация уезжает завтра утром.|Die Delegation fährt morgen früh weg.|morgen abreisen; überstürzt abreisen; pünktlich abreisen; von einem Ort abreisen|Separable verb ('reist ab', 'abgereist'), auxiliary 'sein'. It emphasizes starting a journey from a specific starting point. Antonym is 'anreisen'.
reisen|anreisen|B2|5812|to arrive (for a trip/event); to travel to a place|приезжать; прибывать|ankommen; eintreffen; herbeireisen|Die meisten Gäste reisen mit dem Zug an.|Most of the guests are arriving by train.|Большинство гостей приезжают на поезде.|Die meisten Gäste kommen mit dem Zug an.|mit dem Auto anreisen; verspätet anreisen; am Vortag anreisen; individuell anreisen|Separable verb, auxiliary 'sein'. Highlights the journey toward the destination of an event, hotel stay, or meeting. Antonym is 'abreisen'.
reisen|ausreisen|C1|22805|to leave a country; to emigrate|выезжать (из страны)|emigrieren; auswandern; verlassen|Er durfte damals nicht aus der DDR ausreisen.|At that time, he was not allowed to leave the GDR.|В то время ему не разрешалось выезжать из ГДР.|Er durfte damals die DDR nicht verlassen.|legal ausreisen; illegal ausreisen; ins Ausland ausreisen; die Erlaubnis zur Ausreise erhalten|Separable verb, auxiliary 'sein'. Used specifically in official, legal, or administrative contexts regarding leaving a country or crossing a national border. Antonym is 'einreisen'.
reisen|bereisen|C1|12323|to travel through; to tour (a country/region)|объездить; путешествовать по|besichtigen; erkunden; durchreisen|Sie hat fast alle Länder in Südamerika bereist.|She has traveled through almost all countries in South America.|Она объездила почти все страны Южной Америки.|Sie hat fast alle Länder in Südamerika erkundet.|die Welt bereisen; ein Land bereisen; beruflich bereisen|Inseparable verb, auxiliary 'haben' (unlike most other movement verbs derived from 'reisen'). It is transitive, taking a direct accusative object (e.g., 'ein Land bereisen').
reisen|durchreisen|C2|91628|to travel through; to pass through|проезжать проездом; путешествовать насквозь|durchqueren; passieren; durchfahren|Wir haben das Land nur durchreist, ohne anzuhalten.|We only traveled through the country without stopping.|Мы проехали через страну только транзитом, без остановок.|Wir haben das Land nur durchquert, ohne anzuhalten.|ein Land durchreisen; ohne Aufenthalt durchreisen; im Transit durchreisen|Can be inseparable (durchreisen - 'durchreiste', 'hat durchreist', meaning to travel all through, takes accusative, auxiliary 'haben') or separable (durchreisen - 'reiste durch', 'ist durchgereist', meaning to transit through, auxiliary 'sein').
reisen|einreisen|C1|14040|to enter (a country)|въезжать (в страну)|betreten; ankommen|Touristen dürfen ohne Visum in das Land einreisen.|Tourists are allowed to enter the country without a visa.|Туристам разрешено въезжать в страну без визы.|Touristen dürfen ohne Visum in das Land kommen.|illegal einreisen; mit einem Visum einreisen; in die USA einreisen; ohne Papiere einreisen|Separable verb, auxiliary 'sein'. Used for crossing a national border to enter a state. Associated with passport control and immigration. Antonym is 'ausreisen'.
reisen|fortreisen|C2|197958|to travel away; to depart|уезжать; отправляться в путь|wegreisen; abreisen; davonreisen|Er beschloss, auf unbestimmte Zeit fortzureisen.|He decided to travel away for an indefinite period.|Он решил уехать на неопределенный срок.|Er beschloss, auf unbestimmte Zeit wegzureisen.|für immer fortreisen; heimlich fortreisen|Separable verb, auxiliary 'sein'. Elevated style or literary register. It means to travel away, often implying a long distance or permanent departure.
reisen|heimreisen|C2|99343|to travel home; to return home|возвращаться домой (из поездки)|nach Hause reisen; heimkehren; zurückfahren|Nach dem Urlaub mussten alle wieder heimreisen.|After the vacation, everyone had to travel back home.|После отпуска всем пришлось возвращаться домой.|Nach dem Urlaub mussten alle wieder heimkehren.|vorzeitig heimreisen; glücklich heimreisen|Separable verb, auxiliary 'sein'. Highlights the return journey to one's homeland or place of residence after a trip.
reisen|herreisen|C2|128866|to travel here|приезжать сюда|herkommen; anreisen|Warum bist du extra deswegen hergereist?|Why did you travel all the way here just for that?|Почему ты специально ради этого приехал сюда?|Warum bist du extra deswegen hergekommen?|extra herreisen; von weit herreisen|Separable verb, auxiliary 'sein'. Refers to traveling to the speaker's current location (her-). Usually used when talking to someone who just arrived.
