word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
regeln|regeln|B2|2556|to regulate; to control; to settle|регулировать; улаживать; настраивать|steuern; ordnen; klären; einstellen|Wir müssen diese Angelegenheit so schnell wie möglich regeln.|We must settle this matter as quickly as possible.|Мы должны уладить это дело как можно скорее.|Wir müssen diese Angelegenheit so schnell wie möglich klären.|eine Angelegenheit regeln; den Verkehr regeln; die Heizung regeln; gesetzlich geregelt|'regeln' means to control/adjust a process or to settle/resolve a matter. In technical contexts, it means automatically maintaining a state (unlike 'steuern', which is open-loop control). In daily life, it often means 'to sort out' or 'to take care of' a problem.
regeln|regelbar|C2|46737|adjustable; controllable; regulable|регулируемый; поддающийся регулировке|einstellbar; regulierbar; steuerbar|Die Helligkeit des Bildschirms ist stufenlos regelbar.|The brightness of the screen is continuously adjustable.|Яркость экрана плавно регулируется.|Die Helligkeit des Bildschirms ist stufenlos einstellbar.|stufenlos regelbar; elektronisch regelbar; leicht regelbar|An adjective ending in '-bar' (equivalent to '-able' in English). Used primarily in technical contexts to describe devices, currents, temperature, or mechanisms that can be adjusted.
regeln|geregelt|C1|9438|regulated; orderly; structured|отрегулированный; упорядоченный; урегулированный|geordnet; strukturiert; planmäßig|Sie wünscht sich ein geregeltes Leben mit festen Arbeitszeiten.|She wishes for an orderly life with fixed working hours.|Она хочет упорядоченной жизни с фиксированным рабочим временем.|Sie wünscht sich ein geordnetes Leben mit festen Arbeitszeiten.|ein geregeltes Leben; ein geregelter Tagesablauf; gesetzlich geregelt; in geregelten Bahnen verlaufen|Participle of 'regeln' used as an adjective. It means structured, orderly, or legally established. In social contexts, 'ein geregeltes Einkommen' means a steady or regular income.
regeln|Regel|A2|803|rule; regulation; norm|правило; норма; менструация|Vorschrift; Richtlinie; Gesetz; Norm|Du musst dich an die Regeln des Spiels halten.|You have to stick to the rules of the game.|Ты должен придерживаться правил игры.|Du musst dich an die Vorschriften des Spiels halten.|eine Regel befolgen; gegen eine Regel verstoßen; im Allgemeinen; in der Regel|A fundamental noun in German. The idiom 'in der Regel' is extremely common, meaning 'as a rule' or 'usually'. In medical or colloquial contexts, 'die Regel' or 'ihre Regel' can also mean menstruation.
regeln|Regelanlage|C2|144321|control system; regulating equipment; control installation|регулирующая установка; система автоматического регулирования|Steuerungsanlage; Regelsystem; Steuerungseinrichtung|Die neue Regelanlage sorgt für eine optimale Temperatur im Gebäude.|The new control system ensures an optimal temperature in the building.|Новая регулирующая установка обеспечивает оптимальную температуру в здании.|Das neue Regelsystem sorgt für eine optimale Temperatur im Gebäude.|automatische Regelanlage; eine Regelanlage installieren; moderne Regelanlage|A compound noun ('Regel' + 'Anlage') used in engineering and facility management. It refers to a physical, industrial setup or system designed to automatically regulate physical quantities like temperature, pressure, or flow.
regeln|Regeleinrichtung|C2|124441|control device; regulating device; control mechanism|регулирующее устройство; орган регулирования|Regelorgan; Regelvorrichtung; Steuereinheit|Jede Heizung verfügt über eine mechanische Regeleinrichtung.|Every heater has a mechanical control device.|Каждое отопительное устройство оснащено механическим регулирующим органом.|Jede Heizung verfügt über eine mechanische Regelvorrichtung.|elektronische Regeleinrichtung; eingebaute Regeleinrichtung; automatische Regeleinrichtung|A technical term. It refers to the physical component or mechanism within a machine that performs the regulation/control task. It is slightly more specific and smaller in scale than a 'Regelanlage'.
regeln|Regelgröße|C2|152153|controlled variable; process variable|регулируемая величина|Steuergröße; Istwert; Regelungsparameter|In dieser Schaltung ist die Temperatur die wichtigste Regelgröße.|In this circuit, temperature is the most important controlled variable.|В этой схеме температура является важнейшей регулируемой величиной.|In dieser Schaltung ist die Temperatur der wichtigste Regelungsparameter.|die Regelgröße messen; konstante Regelgröße; Regelgröße bestimmen|A specialized term from control engineering (Regelungstechnik). It refers to the physical quantity (e.g., temperature, speed, pressure) that is being monitored and adjusted to match a target value (Sollwert).
regeln|Regelkreis|C2|81939|control loop; feedback loop|контур регулирования; замкнутая система автоматического управления|Regelungssystem; Rückkopplungsschleife|Der menschliche Körper nutzt biologische Regelkreise, um das Gleichgewicht zu halten.|The human body uses biological feedback loops to maintain balance.|Человеческий организм использует биологические регуляторные контуры для поддержания баланса.|Der menschliche Körper nutzt biologische Regelungssysteme, um das Gleichgewicht zu halten.|geschlossener Regelkreis; biologischer Regelkreis; einen Regelkreis aufbauen|A technical and scientific concept. It represents a closed system where the output is fed back as input (feedback loop) to regulate a process. Used widely in cybernetics, biology, economics, and engineering.
regeln|Regelleistung|C2|36513|balancing power; control reserve; standard benefit (social security)|балансирующая мощность; базовое пособие|Reserveleistung; Regelleistungsvolumen; Grundleistung|Um das Stromnetz stabil zu halten, wird kurzfristig Regelleistung benötigt.|To keep the power grid stable, balancing power is required at short notice.|Для поддержания стабильности электросети в краткосрочной перспективе требуется балансирующая мощность.|Um das Stromnetz stabil zu halten, wird kurzfristig Reserveleistung benötigt.|positive Regelleistung; negative Regelleistung; Regelleistung erbringen; gesetzliche Regelleistung|This word has two highly distinct meanings: 1) In energy markets, it refers to the standby power used to balance electrical grids ('balancing power'). 2) In German social law, it refers to the standard monthly allowance paid to cover basic living costs (e.g., Bürgergeld).
regeln|Regelmechanismus|C2|126847|control mechanism; regulatory mechanism|регулирующий механизм; механизм регулирования|Regulationsmechanismus; Steuermechanismus|Der Markt verfügt über einen internen Regelmechanismus von Angebot und Nachfrage.|The market has an internal regulatory mechanism of supply and demand.|Рыночная система обладает внутренним механизмом регулирования спроса и предложения.|Der Markt verfügt über einen internen Regulationsmechanismus von Angebot und Nachfrage.|biologischer Regelmechanismus; komplexer Regelmechanismus; körpereigener Regelmechanismus|A versatile word used in economics, biology, politics, and sociology to describe processes that self-regulate or maintain equilibrium according to specific rules.
