word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
nehmen|nehmen|A1|127|to take; to grab|брать; взять|ergreifen; greifen; packen|Ich nehme ein Buch aus dem Regal.|I take a book from the shelf.|Я беру книгу с полки.|Ich greife nach einem Buch aus dem Regal.|Abschied nehmen; Rücksicht nehmen; Platz nehmen; ein Bad nehmen|A basic, highly versatile verb. Often used in idiomatic functional verb constructions (Funktionsverbgefüge) like 'Abschied nehmen' (to say goodbye). Takes an accusative object.
nehmen|genehm|C2|29674|agreeable; acceptable; welcome|угодный; приятный; подходящий|passend; recht; willkommen; akzeptabel|Ist Ihnen dieser Termin genehm?|Is this appointment acceptable to you?|Удобно ли вам это время встречи?|Ist Ihnen dieser Termin recht?|jemandem genehm sein; wie es Ihnen genehm ist; ein genehmer Zeitpunkt|Formal, slightly old-fashioned or ironical. Frequently used with a dative object (jemandem genehm sein) to ask if something is convenient or acceptable.
nehmen|Mitnahme|C2|26176|taking along; removal; takeaway|взятие с собой; провоз; вынос (еды)|Mitführen; Mitbringen; Mitnehmen|Die Mitnahme von Hunden ist in der U-Bahn erlaubt.|Taking dogs along in the subway is permitted.|Провоз собак в метро разрешен.|Das Mitnehmen von Hunden ist in der U-Bahn gestattet.|die Mitnahme von Speisen; kostenlose Mitnahme; Mitnahme von Gepäck|Noun derived from the verb 'mitnehmen'. Often used in rules, regulations, or commercial offers. Feminine noun (die).
nehmen|Nehmer|C2|61703|taker; recipient|берущий; получатель; принимающая сторона|Empfänger; Akzeptant|In diesem Vertrag gibt es einen Geber und einen Nehmer.|In this contract, there is a giver and a taker.|В этом договоре есть дающая и принимающая сторона.|In diesem Vertrag gibt es einen Schenker und einen Empfänger.|Geber und Nehmer; Arbeitnehmer; Nehmerqualitäten haben|Masculine noun. Mostly used in abstract contexts or paired with 'Geber' (giver). In modern German, highly common in compound words like 'Arbeitnehmer' (employee).
nehmen|Nehmerland|C2|82214|recipient country; aid-receiving country|страна-получатель; страна-импортер помощи|Empfängerland; Empfängerstaat|Das Nehmerland muss die Hilfsgüter gerecht verteilen.|The recipient country must distribute the aid goods fairly.|Страна-получатель должна справедливо распределить гуманитарную помощь.|Der Empfängerstaat muss die Hilfsgüter gerecht verteilen.|Geberland und Nehmerland; finanzschwaches Nehmerland|Neuter noun (das). Political and economic term, usually contrasted with 'Geberland' (donor country) in international aid or federal financial equalization contexts.
nehmen|Rücknahme|C1|13092|withdrawal; revocation; taking back; return|возврат; отзыв; аннулирование|Widerruf; Rückzug; Zurücknahme; Stornierung|Die Rücknahme der Ware ist nur mit Kassenbon möglich.|Returning the goods is only possible with a receipt.|Возврат товара возможен только при наличии кассового чека.|Die Zurücknahme der Ware ist nur mit Kassenbon möglich.|die Rücknahme von Gesetzen; Rücknahme von Altgeräten; kostenlose Rücknahme; Rücknahme der Klage|Feminine noun (die). Frequently used in legal contexts (withdrawal of a lawsuit or decree) and retail contexts (product returns/refunds).
nehmen|abnehmen|B1|3344|to lose weight; to decrease; to take from someone|худеть; уменьшаться; забирать; принимать работу|an Gewicht verlieren; sinken; schrumpfen; abnehmen|Sie möchte im Sommer pfünf Kilo abnehmen.|She wants to lose five kilos in the summer.|Она хочет похудеть на пять килограмм летом.|Sie möchte im Sommer fünf Kilo an Gewicht verlieren.|an Gewicht abnehmen; die Schmerzen nehmen ab; jemandem die Arbeit abnehmen|Highly versatile verb. Intransitive for 'to lose weight' or 'to decline/decrease'. Transitive with dative and accusative: 'jemandem eine Last abnehmen' (to relieve someone of a burden).
nehmen|annehmen|B2|1204|to accept; to assume; to adopt|принимать; предполагать; усыновлять|akzeptieren; vermuten; adoptieren; billigen|Ich nehme Ihr freundliches Angebot gerne an.|I gladly accept your kind offer.|Я с удовольствием принимаю ваше любезное предложение.|Ich akzeptiere Ihr freundliches Angebot gerne.|ein Angebot annehmen; ein Paket annehmen; ein Gesetz annehmen; ein Kind annehmen; eine Haltung annehmen|Transitive, separable verb. Notice the shift in meaning from 'accepting' physical items (Paket) to 'assuming' (Ich nehme an, dass...) or 'adopting' (ein Kind annehmen).
nehmen|aufnehmen|B1|770|to record; to absorb; to admit; to start|записывать (звук/видео); принимать (гостей); начинать; поднимать|registrieren; aufzeichnen; empfangen; einquartieren; beginnen|Die Band wird nächste Woche ein neues Album aufnehmen.|The band will record a new album next week.|На следующей неделе группа запишет новый альбом.|Die Band wird nächste Woche ein neues Album aufzeichnen.|Kontakt aufnehmen; Verhandlungen aufnehmen; Flüchtlinge aufnehmen; einen Kredit aufnehmen; ein Video aufnehmen|Extremely polysemous, separable verb. Common collocations include 'Kontakt aufnehmen' (to establish contact) and 'einen Kredit aufnehmen' (to take out a loan).
nehmen|auseinandernehmen|C2|36007|to disassemble; to take apart; to criticize harshly|разбирать на части; демонтировать; подвергнуть жесткой критике|zerlegen; demontieren; zerpflücken; kritisieren|Der Mechaniker musste den ganzen Motor auseinandernehmen.|The mechanic had to take the entire engine apart.|Механику пришлось полностью разобрать весь двигатель.|Der Mechaniker musste den ganzen Motor zerlegen.|eine Maschine auseinandernehmen; ein Argument auseinandernehmen; den Gegner auseinandernehmen|Separable verb. Literally means to dismantle physical structures. Figuratively used in debates, media, or sports to mean thoroughly criticizing or defeating an opponent.
