word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
zwingen|zwingen|B2|1980|to force; to compel|заставлять; принуждать|nötigen; drängen; erzwingen|Niemand kann dich zwingen, diese Entscheidung zu treffen.|No one can force you to make this decision.|Никто не может заставить тебя принять это решение.|Niemand kann dich nötigen, diese Entscheidung zu treffen.|jemanden zu etwas zwingen; sich gezwungen sehen; jemanden in die Knie zwingen|The verb 'zwingen' takes an accusative object ('jemanden') followed by 'zu' + dative noun or an infinitive clause with 'zu'. It implies using authority, pressure, or physical power.
zwingen|gezwungen|C2|231650|forced; unnatural; constrained|вынужденный; неестественный; натянутый|unnatürlich; gekünstelt; verkrampft|Sie schenkte uns ein gezwungenes Lächeln.|She gave us a forced smile.|Она выдавила нам натянутую улыбку.|Sie schenkte uns ein gekünsteltes Lächeln.|gezwungenes Lächeln; gezwungenes Verhalten; gezwungen wirken|Used as an adjective, 'gezwungen' describes behavior or expressions that are not spontaneous or genuine. It is also the past participle of 'zwingen' used in passive structures like 'ich sehe mich gezwungen, zu handeln'.
zwingen|zwingend|B2|3916|imperative; compelling; mandatory|обязательный; убедительный; крайне необходимый|unerlässlich; obligatorisch; zwingend erforderlich; überzeugend|Ein Visum ist für die Einreise zwingend erforderlich.|A visa is strictly required for entry.|Виза обязательно требуется для въезда.|Ein Visum ist für die Einreise unerlässlich.|zwingend erforderlich; ein zwingender Grund; zwingende Beweise|'zwingend' can act as an adjective or adverb. It either denotes absolute logical necessity ('zwingender Grund') or mandatory requirements, often paired with 'erforderlich'.
zwingen|Zwang|B1|6832|force; compulsion; coercion|принуждение; давление; насилие|Druck; Verpflichtung; Nötigung|Ich tat es ganz freiwillig, ohne jeden Zwang.|I did it completely voluntarily, without any compulsion.|Я сделал это абсолютно добровольно, безо всякого принуждения.|Ich tat es ganz freiwillig, ohne jeden Druck.|unter Zwang; keinem Zwang unterliegen; sozialer Zwang; innerer Zwang|Masculine noun ('der Zwang'). Frequently used in prepositional phrases such as 'unter Zwang' (under duress) or 'ohne Zwang' (without pressure/coercion).
zwingen|Zwingburg|C2|120967|coercive castle; stronghold of tyranny|замок-крепость (символ угнетения); оплот деспотизма|Trutzburg; Festung; Zwingfeste|Die alte Zwingburg beherrschte das ganze Tal.|The old coercive castle dominated the entire valley.|Старый оплот деспотизма возвышался над всей долиной.|Die alte Trutzburg beherrschte das ganze Tal.|eine mittelalterliche Zwingburg; die Zwingburg des Tyrannen|A historical and literary term for a castle built by a ruler to oppress and exert force over the surrounding regional population.
zwingen|Zwinge|C2|35749|clamp; ferrule|струбцина; зажим; обоймица|Schraubzwinge; Klammer; Halterung|Der Tischler befestigte das Holz mit einer Zwinge.|The carpenter secured the wood with a clamp.|Плотник закрепил дерево с помощью струбцины.|Der Tischler befestigte das Holz mit einer Schraubzwinge.|eine Zwinge ansetzen; hölzerne Zwinge; Schraubzwinge|Feminine noun ('die Zwinge'). Typically refers to a technical clamping tool used in crafts and woodworking to press components together tightly.
zwingen|Zwinger|C1|22534|kennel; cage; keep (historical castle yard)|вольер (для собак); псарня; цвингер (пространство между крепостными стенами)|Gehege; Hundezwinger; Auslauf|Der Hund wurde nachts im Zwinger eingesperrt.|The dog was locked in the kennel at night.|Собаку на ночь заперли в вольере.|Der Hund wurde nachts im Gehege eingesperrt.|Dresdner Zwinger; den Hund in den Zwinger sperren; Bärenzwinger|Masculine noun ('der Zwinger'). It can refer either to a strong outdoor cage/kennel for animals, or historically to the defensive open space between castle walls (such as the famous 'Dresdner Zwinger').
zwingen|Zwingherr|C2|158176|tyrant; despot; oppressor|тиран; деспот; угнетатель|Tyrann; Despot; Gewaltherrscher|Die Bevölkerung erhob sich gegen den grausamen Zwingherrn.|The population rose up against the cruel tyrant.|Население восстало против жестокого тирана.|Die Bevölkerung erhob sich gegen den grausamen Tyrannen.|ein grausamer Zwingherr; die Herrschaft des Zwingherrn|An archaic or literary masculine noun ('der Zwingherr') describing a ruler who governs solely by force, suppression, and tyranny.
zwingen|abzwingen|C2|126726|to extort; to force out; to wrest|вынуждать; вымогать; вырывать (силой)|abpressen; abnötigen; entlocken|Er wollte ihr ein Geständnis abzwingen.|He wanted to force a confession out of her.|Он хотел выпытать у неё признание.|Er wollte ihr ein Geständnis abnötigen.|jemandem ein Geständnis abzwingen; jemandem Respekt abzwingen; ein Lächeln abzwingen|Separable verb 'abzwingen' requires a dative object ('jemandem') and an accusative object ('etwas'). It means to wrest or extract something (like respect, secrets, or an effort) from someone with difficulty.
zwingen|aufzwingen|C1|16398|to impose; to force upon|навязывать; заставлять принять|aufbürden; oktroyieren; aufdrängen|Man sollte anderen seine Meinung nicht aufzwingen.|One should not force one's opinion on others.|Не следует навязывать своё мнение другим.|Man sollte anderen seine Meinung nicht aufdrängen.|jemandem seinen Willen aufzwingen; Regeln aufzwingen; Bedingungen aufzwingen|Separable verb with prefix 'auf-'. Constructed as 'jemandem etwas aufzwingen'. It describes forcing values, ideas, or strict conditions upon a person who has no choice but to accept.
