word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
wohnen|wohnen|A1|1571|to live, to reside|жить, проживать|leben; residieren; hausen|Ich wohne seit fünf Jahren in Berlin.|I have been living in Berlin for five years.|Я живу в Берлине уже пять лет.|Ich lebe seit fünf Jahren in Berlin.|in einer Wohnung wohnen; zur Miete wohnen; gemütlich wohnen|'wohnen' specifically denotes living in a particular house, flat, or location. It contrasts with 'leben', which has a broader meaning of being alive or living a certain lifestyle. Grammatically, it usually requires a local preposition (in, auf, bei).
wohnen|bewohnbar|C2|29829|habitable, livable|жилой, пригодный для жилья|nutzbar; lebbar|Nach der Renovierung ist das alte Haus wieder bewohnbar.|After the renovation, the old house is habitable again.|После ремонта старый дом снова пригоден для жилья.|Nach der Renovierung kann man in dem alten Haus wieder leben.|wieder bewohnbar sein; kaum bewohnbar; bewohnbar machen|Adjective describing whether a place is in a suitable state to be lived in. Often used with 'machen' (to make habitable) or 'sein'.
wohnen|wohnhaft|C1|14918|resident, residing|проживающий, имеющий местожительство|ansässig; gemeldet; wohnend|Er ist in Hamburg wohnhaft.|He is resident in Hamburg.|Он проживает в Гамбурге.|Er wohnt in Hamburg.|wohnhaft in; polizeilich gemeldet und wohnhaft; derzeit wohnhaft|Official and administrative term. Usually followed by the preposition 'in' + dative. Less common in everyday conversation, where 'wohnen' is preferred.
wohnen|wohnlich|C2|30852|cozy, comfortable, homely|уютный, жилой (о комнате)|gemütlich; behaglich; einladend|Mit ein paar Pflanzen wirkt das Zimmer gleich viel wohnlicher.|With a few plants, the room immediately feels much cozier.|С несколькими растениями комната сразу кажется гораздо уютнее.|Mit ein paar Pflanzen wirkt das Zimmer gleich viel gemütlicher.|ein Zimmer wohnlich einrichten; wohnliche Atmosphäre; wohnlich gestalten|Describes a space that feels comfortable, inviting, and suitable for living. Synonymous with 'gemütlich' but specifically relates to living spaces.
wohnen|Wohnanlage|C1|16008|residential complex, housing estate|жилой комплекс|Wohnkomplex; Siedlung; Wohnpark|Die neue Wohnanlage verfügt über einen eigenen Spielplatz.|The new residential complex has its own playground.|Новый жилой комплекс имеет собственную детскую площадку.|Der neue Wohnkomplex verfügt über einen eigenen Spielplatz.|eine moderne Wohnanlage; in einer Wohnanlage leben; eine gepflegte Wohnanlage|A feminine noun referring to a group of residential buildings managed or planned as a single unit. Very common in modern urban planning.
wohnen|Wohnbau|C1|17071|residential construction, house building|жилищное строительство|Wohnungsbau; Hausbau|Der Staat fördert den sozialen Wohnbau.|The state subsidizes social housing construction.|Государство субсидирует социальное жилищное строительство.|Der Staat fördert den sozialen Wohnungsbau.|sozialer Wohnbau; privater Wohnbau; im Wohnbau tätig sein|Masculine noun, often used in political or economic contexts. In Germany, 'Wohnungsbau' is more common, whereas 'Wohnbau' is highly frequent in Austria.
wohnen|Wohnbebauung|C1|19060|residential development, residential housing|жилая застройка|Wohngebiet; Besiedlung|Diese Fläche ist für die zukünftige Wohnbebauung vorgesehen.|This area is designated for future residential development.|Эта территория предназначена для будущей жилой застройки.|Diese Fläche ist für zukünftige Wohnhäuser vorgesehen.|dichte Wohnbebauung; aufgelockerte Wohnbebauung; Fläche für Wohnbebauung|Feminine noun, formal/technical term used in urban planning and zoning regulations.
wohnen|wohnberechtigt|C2|177495|entitled to housing, eligible for public housing|имеющий право на получение жилья|anspruchsberechtigt|Nur wer wohnberechtigt ist, erhält einen Wohnberechtigungsschein.|Only those who are eligible for public housing will receive a housing eligibility certificate.|Только тот, кто имеет право на жилье, получает свидетельство о праве на получение жилья.|Nur wer ein Anrecht auf eine Wohnung hat, erhält einen Wohnberechtigungsschein.|wohnberechtigt sein; wohnberechtigte Personen|Administrative adjective. Refers mostly to eligibility for state-subsidized social housing (Sozialwohnungen) in Germany.
wohnen|Wohnbereich|C1|18683|living area, residential area|жилая зона, гостиная|Wohnzone; Wohnraum; Wohnteil|Küche und Wohnbereich gehen fließend ineinander über.|The kitchen and living area flow smoothly into each other.|Кухня и жилая зона плавно переходят друг в друга.|Küche und Wohnraum gehen fließend ineinander über.|der gesamte Wohnbereich; im Wohnbereich arbeiten; offener Wohnbereich|Masculine noun. Can refer to the specific living section of an apartment (open-plan layout) or a section in an institution (e.g., retirement home).
wohnen|Wohnbevölkerung|C2|47640|resident population|постоянное население|Einwohnerschaft; ortsansässige Bevölkerung|Die amtliche Wohnbevölkerung der Stadt hat zugenommen.|The official resident population of the city has increased.|Численность постоянного населения города увеличилась.|Die amtliche Einwohnerschaft der Stadt hat zugenommen.|ständige Wohnbevölkerung; Statistik der Wohnbevölkerung|Feminine noun. Statistical and demographic term. Refers strictly to people registered as residing in a specific area.
