word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
fliegen|fliegen|B1|66613|to fly|летать, лететь|gleiten; schweben; reisen|Vögel können hoch am Himmel fliegen.|Birds can fly high in the sky.|Птицы могут летать высоко в небе.|Vögel können hoch am Himmel schweben.|in den Urlaub fliegen; hoch fliegen; mit dem Flugzeug fliegen|Can be used intransitively (the act of flight) or transitively (e.g., 'ein Flugzeug fliegen' - to pilot a plane). Usually takes 'sein' as auxiliary in perfect tense ('ich bin geflogen'), but 'haben' is used when piloting transitively ('ich habe das Flugzeug geflogen').
fliegen|abfliegen|C2|43020|to depart (by plane), to take off|вылетать, отправляться (о самолете)|starten; abheben; losfliegen|Das Flugzeug wird pünktlich um zehn Uhr abfliegen.|The plane will depart on time at ten o'clock.|Самолет вылетит вовремя в десять часов.|Das Flugzeug wird pünktlich um zehn Uhr starten.|pünktlich abfliegen; vom Flughafen abfliegen; planmäßig abfliegen|Separable verb. Commonly used for scheduled airline departures. Often contrasted with 'ankommen' (to arrive) or 'landen' (to land). Takes 'sein' as auxiliary verb.
fliegen|anfliegen|C2|24027|to fly towards, to approach (an airfield), to head for|подлетать, направляться (к аэропорту), делать заход на посадку|ansteuern; zusteuern; herannahen|Wir werden in Kürze den Flughafen Frankfurt anfliegen.|We will be approaching Frankfurt airport shortly.|В скором времени мы будем подлетать к аэропорту Франкфурта.|Wir werden in Kürze den Flughafen Frankfurt ansteuern.|einen Flughafen anfliegen; ein Ziel anfliegen; direkt anfliegen|Separable verb. Used in aviation contexts to describe heading toward a destination or approaching a runway. Usually transitive and takes 'haben'.
fliegen|auffliegen|C1|18959|to blow up (be exposed/revealed), to fly upwards (birds), to be blown open|взлетать (вверх), раскрываться (об обмане/заговоре), распахиваться|aufflattern; enttarnt werden; hochfliegen|Der geheime Plan der Spione ist schließlich aufgeflogen.|The spies' secret plan was finally exposed.|Секретный план шпионов в конце концов был раскрыт.|Der geheime Plan der Spione ist schließlich enttarnt worden.|eine Verschwörung fliegt auf; die Spione fliegen auf; mit lautem Knall auffliegen|Separable verb. Frequently used metaphorically to mean a secret, conspiracy, or crime being uncovered or exposed. In physical sense, it describes birds suddenly taking flight. Takes 'sein'.
fliegen|ausfliegen|C2|27753|to fly out, to evacuate (by air), to leave the nest|вылетать (из гнезда), эвакуировать по воздуху, совершать экскурсию|evakuieren; ausschwärmen; fortfliegen|Die verletzten Wanderer mussten mit dem Hubschrauber ausgeflogen werden.|The injured hikers had to be evacuated by helicopter.|Раненых туристов пришлось эвакуировать на вертолете.|Die verletzten Wanderer mussten mit dem Hubschrauber abtransportiert werden.|Kranke ausfliegen; aus dem Nest ausfliegen; per Hubschrauber ausfliegen|Separable verb. Transitive ('haben') when evacuating or transporting people/goods out of a region via aircraft. Intransitive ('sein') when young birds leave the nest or colloquially when people go out on an excursion.
fliegen|befliegen|C2|94543|to fly over, to operate flights on (a route)|совершать рейсы (по маршруту), летать над|bedienen; überfliegen; kreuzen|Die Fluggesellschaft wird ab nächstem Jahr neue Routen befliegen.|The airline will operate flights on new routes starting next year.|Со следующего года авиакомпания будет осуществлять рейсы по новым маршрутам.|Die Fluggesellschaft wird ab nächstem Jahr neue Routen bedienen.|eine Strecke befliegen; regelmäßig befliegen; den Luftraum befliegen|Inseparable transitive verb. Primarily used in commercial aviation or geography to describe running flights on a scheduled route. Takes 'haben'.
fliegen|blindfliegen|C2|257169|to fly blind, to fly by instruments only|лететь вслепую (по приборам)|nach Instrumenten fliegen; ohne Sicht fliegen|Wegen des dichten Nebels musste der Pilot blindfliegen.|Because of the thick fog, the pilot had to fly blind.|Из-за густого тумана пилоту пришлось лететь вслепую.|Wegen des dichten Nebels musste der Pilot nach Instrumenten fliegen.|im Nebel blindfliegen; sicher blindfliegen; nachts blindfliegen|Separable verb (often written as 'blind fliegen'). Literally flying without external visual references. Can also be used metaphorically to mean acting without a clear plan or understanding. Takes 'sein'.
fliegen|daherfliegen|C2|182430|to fly along, to sweep along|проноситься, лететь мимо (неторопливо или небрежно)|dahingleiten; vorbeirauschen; herbeifliegen|Eine Wolke kam am blauen Himmel dahergeflogen.|A cloud came drifting along in the blue sky.|По синему небу проплывало облако.|Eine Wolke kam am blauen Himmel dahingeglitten.|lässig daherfliegen; am Himmel daherfliegen|Separable verb. Often implies a casual, steady, or incidental movement along a path. Used in narrative contexts to emphasize the visual appearance of flight. Takes 'sein'.
fliegen|dahinfliegen|C2|139509|to fly away, to pass quickly (time)|улетать, пролетать (о времени)|vergehen; verstreichen; dahingleiten|Die Jahre fliegen so schnell dahin, wenn man älter wird.|The years fly by so quickly as you get older.|Годы пролетают так быстро, когда ты стареешь.|Die Jahre vergehen so schnell, wenn man älter wird.|die Zeit fliegt dahin; die Jahre fliegen dahin; wie im Flug dahinfliegen|Separable verb. Highly common in literary and figurative contexts to describe time, youth, or sweet moments flying past. Takes 'sein'.
fliegen|davonfliegen|C2|74132|to fly away, to escape by flying|улетать (прочь), спасаться бегством (по воздуху)|wegfliegen; entfliehen; fortfliegen|Der Vogel erschrak und ist sofort davongeflogen.|The bird was startled and flew away immediately.|Птица испугалась и тут же улетела.|Der Vogel erschrak und ist sofort weggeflogen.|in den Süden davonfliegen; schnell davonfliegen; mit dem Wind davonfliegen|Separable verb. Emphasizes the flight as a departure or escape from a specific starting point. Takes 'sein'.
