word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
würzen|würzen|B2|9871|to season; to spice|приправлять; сдабривать специями|abschmecken; verfeinern; würzig machen|Du solltest die Suppe noch etwas mit Salz und Pfeffer würzen.|You should season the soup a bit more with salt and pepper.|Тебе следует еще немного приправить суп солью и перцем.|Du solltest die Suppe noch etwas mit Salz und Pfeffer abschmecken.|kräftig würzen; mit Salz und Pfeffer würzen; eine Speise würzen|würzen is a transitive verb meaning to add spices to food. It is frequently used with the preposition 'mit' (dative) to specify the spice. Often contrasted with 'salzen' (to salt) or 'abschmecken' (to taste and adjust seasoning).
würzen|würzig|C1|14995|spicy; savory; aromatic|пряный; ароматный; пикантный|pikant; aromatisch; herzhaft|Der Käse hat einen sehr würzigen Geschmack.|The cheese has a very savory taste.|У этого сыра очень пикантный вкус.|Der Käse hat einen sehr pikanten Geschmack.|ein würziger Käse; ein würziger Duft; würziger Kräutertee|würzig describes food or smells that are rich in herbs, spices, or have a strong, pleasant flavor. Unlike 'scharf' (hot/spicy), 'würzig' does not necessarily imply burning heat, but rather a rich, savory aroma.
würzen|Gewürz|B2|8493|spice; condiment|специя; пряность; приправа|Gewürzmittel; Würzstoff; Aroma|Zimt ist ein sehr beliebtes Gewürz für Weihnachtsgebäck.|Cinnamon is a very popular spice for Christmas baking.|Корица — очень популярная пряность для рождественской выпечки.|Zimt ist ein sehr beliebtes Gewürzmittel für Weihnachtsgebäck.|erlesene Gewürze; Gewürze hinzufügen; frische Gewürze|das Gewürz (plural: Gewürze) is the standard noun for any seasoning, spice, or herb used in cooking. It is a neuter noun.
würzen|Würze|C1|19131|spice; spiciness; tang; zest|острота; пикантность; приправа|Schärfe; Würzigkeit; Pepp|In der Kürze liegt die Würze.|Brevity is the soul of wit. (lit. In brevity lies the spice.)|Краткость — сестра таланта.|In der Kürze liegt die Kraft.|dem Leben Würze verleihen; die nötige Würze fehlen; eine angenehme Würze|die Würze is more abstract than 'Gewürz'. It can mean the quality of being spicy/tangy, or metaphorically a 'zest' or 'kick' added to life, a conversation, etc. Famous proverb: 'In der Kürze liegt die Würze'.
würzen|Würzfleisch|C2|135327|seasoned meat dish|вюрцфляйш (немецкое мясное блюдо с соусом)|Ragout fin; Fleischgericht|Im Osten Deutschlands ist Würzfleisch eine beliebte Vorspeise.|In Eastern Germany, Würzfleisch is a popular appetizer.|На востоке Германии вюрцфляйш является популярной закуской.|Im Osten Deutschlands ist Ragout fin eine beliebte Vorspeise.|klassisches Würzfleisch; Würzfleisch zubereiten; heißes Würzfleisch|das Würzfleisch is a specific culinary specialty, especially popular in East Germany, consisting of finely diced pork or poultry in a seasoned white sauce, often baked with cheese.
würzen|Würzmischung|C2|90812|spice mix; seasoning blend|смесь специй; приправа|Gewürzmischung; Kräutermischung|Für das Barbecue verwendet er eine geheime Würzmischung.|He uses a secret seasoning blend for the barbecue.|Для барбекю он использует секретную смесь специй.|Für das Barbecue verwendet er eine geheime Gewürzmischung.|fertige Würzmischung; eine eigene Würzmischung kreieren|die Würzmischung is a feminine compound noun referring to a pre-packaged or self-made mix of spices and herbs. Synonym 'Gewürzmischung' is more common in everyday speech.
würzen|Würzmittel|C2|91311|condiment; seasoning agent|приправа; вкусовое вещество|Gewürz; Würzstoff|Sojasoße ist ein unverzichtbares Würzmittel in der asiatischen Küche.|Soy sauce is an indispensable condiment in Asian cuisine.|Соевый соус — незаменимая приправа в азиатской кухне.|Sojasoße ist ein unverzichtbares Gewürz in der asiatischen Küche.|flüssiges Würzmittel; natürliche Würzmittel|das Würzmittel is a broader term than 'Gewürz', including non-dry condiments like soy sauce, mustard, vinegar, or yeast extracts.
würzen|Würzsoße|C2|150742|condiment sauce; seasoned sauce|пряный соус; острый соус|Würzsauce; Dip; Soße|Die englische Würzsoße passt hervorragend zu Fleisch.|The English condiment sauce pairs excellently with meat.|Английский пряный соус отлично подходит к мясу.|Die englische Würzsauce passt hervorragend zu Fleisch.|scharfe Würzsoße; asiatische Würzsoße|die Würzsoße (spelled with 'ß') is a compound noun. Note the alternative spelling 'Würzsauce' which is also common. It refers to highly flavorful sauces used in small amounts to season food.
würzen|Würzsauce|C2|132722|condiment sauce; seasoned sauce|пряный соус; пикантный соус|Würzsoße; Dip; Sauce|Reichen Sie die Würzsauce bitte separat zum Essen.|Please serve the seasoned sauce separately with the meal.|Пожалуйста, подайте пряный соус отдельно к блюду.|Reichen Sie die Würzsoße bitte separat zum Essen.|pikante Würzsauce; Würzsauce auf Sojabasis|die Würzsauce (spelled with 'ss'/'c') is the French-influenced spelling variant of 'Würzsoße'. Both are correct, though 'Sauce' is often preferred in Swiss German or formal contexts.
würzen|Würzstoff|C2|179902|flavoring; seasoning substance|вкусовая добавка; ароматическое вещество|Aromastoff; Würzmittel; Geschmacksstoff|Glutamat wird in der Lebensmittelindustrie häufig als Würzstoff eingesetzt.|Glutamate is frequently used as a flavoring substance in the food industry.|Глутамат часто используется в пищевой промышленности в качестве вкусовой добавки.|Glutamat wird in der Lebensmittelindustrie häufig als Geschmacksstoff eingesetzt.|künstlicher Würzstoff; natürliche Würzstoffe|der Würzstoff is a more technical or chemical term (masculine) for substances that impart flavor, often used in food industry and production contexts.
