word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
messen|messen|B1|230709|to measure; to compete|измерять; мериться|abmessen; vermessen; vergleichen; konkurrieren|Der Arzt muss das Fieber des Patienten messen.|The doctor has to measure the patient's temperature.|Врач должен измерить температуру пациента.|Der Arzt muss die Temperatur des Patienten ermitteln.|Fieber messen; die Temperatur messen; Kräfte messen; eine Länge messen|'messen' can mean literally to measure physical qualities (conjugated with 'hat gemessen') or figuratively to compete/compare. In the figurative sense, it is often used reflexively: 'sich mit jemandem messen' (to measure oneself against someone, taking 'mit' + dative).
messen|gemessen|C2|235967|measured; moderate; compared to|измеренный; умеренный; соразмерный (в сравнении с)|verhältnismäßig; bedacht; ruhig; moderat|Gemessen an seinem Alter ist er schon sehr reif.|Compared to his age, he is already very mature.|Судя по его возрасту, он уже очень зрел.|Im Vergleich zu seinem Alter ist er schon sehr reif.|gemessen an; gemessenen Schrittes; gemessene Werte|Apart from being the past participle of 'messen', 'gemessen' functions as an adjective meaning dignified/slow ('mit gemessenen Schritten') or as part of a prepositional phrase ('gemessen an' + dative) meaning 'compared to' or 'judged by'.
messen|Messband|C2|255813|tape measure|рулетка; измерительная лента|Maßband|Der Schneider benutzt ein Messband, um die Armlänge zu bestimmen.|The tailor uses a tape measure to determine the arm length.|Портной использует рулетку, чтобы определить длину рукава.|Der Schneider benutzt ein Maßband, um die Armlänge zu bestimmen.|ein flexibles Messband; das Messband anlegen; ein Messband ausrollen|Neuter noun (das Messband). 'Maßband' is much more commonly used in daily contexts (like tailoring and sewing), while 'Messband' can sound slightly more technical, industrial, or professional.
messen|messbar|C1|229596|measurable|измеримый; ощутимый|quantifizierbar; nachweisbar; spürbar|Der Erfolg dieser Werbekampagne ist kaum messbar.|The success of this advertising campaign is hardly measurable.|Успех этой рекламной кампании едва ли измерим.|Der Erfolg dieser Werbekampagne ist kaum quantifizierbar.|messbare Erfolge; messbare Ergebnisse; kaum messbar; messbare Fortschritte|Adjective. Used in scientific contexts (measurable physical quantities) as well as abstract daily contexts (measurable success, measurable improvement).
messen|Messbecher|C2|218696|measuring cup|мерный стакан|Messzylinder; Maßeinteilungsbecher|Gieße die Milch zuerst in den Messbecher.|Pour the milk into the measuring cup first.|Сначала налей молоко в мерный стакан.|Gieße die Milch zuerst in das Gefäß mit Maßeinteilung.|einen Messbecher benutzen; Mehl in den Messbecher füllen; Messbecher aus Plastik|Masculine noun (der Messbecher). Extremely common in household, culinary, baking, and basic laboratory contexts.
messen|Messbereich|C2|256638|measuring range; span of measurement|диапазон измерений|Messspanne; Messintervall|Das Thermometer hat einen Messbereich von minus zwanzig bis plus fünfzig Grad.|The thermometer has a measuring range of minus twenty to plus fifty degrees.|Термометр имеет диапазон измерений от минус двадцати до плюс пятидесяти градусов.|Das Thermometer hat ein Messintervall von minus zwanzig bis plus fünfzig Grad.|den Messbereich überschreiten; ein weiter Messbereich; Messbereich einstellen|Masculine noun (der Messbereich). Technical term describing the exact limits of values that a specific sensor or measuring instrument can process correctly.
messen|Messbild|C2|261235|photogrammetric image; photogram; metric photograph|измерительный снимок; фотограмма|Fotogramm; Messaufnahme|Das Messbild zeigt die genauen Umrisse der historischen Fassade.|The metric photograph shows the exact outlines of the historical facade.|Измерительный снимок показывает точные очертания исторического фасада.|Die Messaufnahme zeigt die genauen Umrisse der historischen Fassade.|photogrammetrisches Messbild; ein Messbild auswerten; Messbilder erstellen|Neuter noun (das Messbild). A specialized term used in surveying, geophysics, photogrammetry, and architecture to refer to an image containing precise scale coordinates.
messen|Messbrief|C2|245340|tonnage certificate; surveyor's certificate|мерительное свидетельство (судна); кадастровый план|Schiffsmessbrief; Vermessungsschreiben|Für das neue Boot muss ein amtlicher Messbrief ausgestellt werden.|An official tonnage certificate must be issued for the new boat.|На новую лодку должно быть выдано официальное мерительное свидетельство.|Für das neue Boot muss eine amtliche Vermessungsurkunde ausgestellt werden.|einen Messbrief ausstellen; der amtliche Messbrief; Messbrief für Yachten|Masculine noun (der Messbrief). A specialized legal and shipping term documenting a vessel's calculated capacity and weight, or historically in land surveying denoting property border documentation.
messen|Messdaten|C2|222676|measurement data; measured data|результаты измерений; измерительные данные|Messergebnisse; Messwerte|Die Forscher werteten die gesammelten Messdaten aus.|The researchers analyzed the collected measurement data.|Исследователи проанализировали собранные результаты измерений.|Die Forscher werteten die gesammelten Messergebnisse aus.|Messdaten erfassen; Messdaten auswerten; Messdaten übertragen; fehlerhafte Messdaten|Plural noun (die Messdaten). Very common in physics, engineering, computer sciences, and meteorological analysis.
messen|Messer|A2|3940|knife|нож|Klinge; Schneidwerkzeug|Bitte lege das Messer rechts neben den Teller.|Please place the knife to the right of the plate.|Пожалуйста, положи нож справа от тарелки.|Bitte lege das Schneidwerkzeug rechts neben den Teller.|Messer und Gabel; scharfes Messer; ein Messer schleifen; mit dem Messer schneiden|Neuter noun (das Messer). Note: While 'der Messer' (masculine) can theoretically mean 'one who measures', the high frequency and level A2 designation exclusively refer to 'das Messer' (the knife).
messen|Messfühler|C2|248919|sensor; probe|датчик; измерительный щуп|Sensor; Sonde; Messsonde|Der Messfühler registriert jede Temperaturänderung im Ofen.|The sensor detects every temperature change in the oven.|Датчик регистрирует любое изменение температуры в печи.|Der Sensor registriert jede Temperaturänderung im Ofen.|ein elektronischer Messfühler; den Messfühler austauschen; Messfühler für Feuchtigkeit|Masculine noun (der Messfühler). Often used interchangeably with 'Sensor', but 'Messfühler' suggests a physical physical probe, rod, or tip directly interacting with the material being monitored.
messen|Messgerät|C1|209739|measuring instrument; measuring device|измерительный прибор|Messinstrument; Messapparat|Dieses Messgerät bestimmt die Luftfeuchtigkeit im Raum.|This measuring device determines the humidity in the room.|Этот измерительный прибор определяет влажность воздуха в помещении.|Dieses Messinstrument bestimmt die Luftfeuchtigkeit im Raum.|ein präzises Messgerät; Messgerät kalibrieren; elektronisches Messgerät|Neuter noun (das Messgerät). This is the standard German word for any hardware tool or technical device used to determine physical dimensions or states.
messen|Messglas|C2|210822|measuring glass; graduated beaker|мерный стакан (стеклянный); мензурка|Mensur; Messbecher|Er füllte die chemische Lösung vorsichtig in das Messglas.|He carefully poured the chemical solution into the measuring glass.|Он осторожно перелил химический раствор в мерный стакан.|Er füllte die chemische Lösung vorsichtig in die Mensur.|ein skaliertes Messglas; Messglas aus Laborglas; ins Messglas füllen|Neuter noun (das Messglas). Primarily used in scientific laboratories, clinics, or pharmacies, representing high-quality chemical-resistant glass marked with a precise volume scale.
