word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
nennen|nennen|B1|401|to name; to call; to mention|называть; звать; упоминать|bezeichnen; rufen; erwähnen; taufen|Er wollte seinen Namen nicht nennen.|He did not want to state his name.|Он не захотел называть своего имени.|Er wollte seinen Namen nicht äußern.|einen Namen nennen; Beispiele nennen; Gründe nennen; sich nennen|Nennen can take a double accusative (jemanden etwas nennen), e.g., 'Er nannte mich einen Freund'. When used as 'to mention', it takes a single accusative object, e.g., 'Beispiele nennen'. It differs from 'heißen' in that 'nennen' is active (to call/name someone), whereas 'heißen' is passive/stative (to be named).
nennen|erstgenannt|C2|41144|first-mentioned; former|первый из упомянутых; вышеуказанный (первым)|erstere; erstaufgeführt|Die erstgenannte Option ist deutlich günstiger.|The first-mentioned option is significantly cheaper.|Первый из упомянутых вариантов значительно дешевле.|Die erstere Option ist deutlich günstiger.|der erstgenannte Punkt; die erstgenannte Person; der erstgenannte Vorschlag|Erstgenannt is an adjective used to refer back to the first of two or more previously mentioned items or persons. Often contrasted with 'letztgenannt' (the latter). It is formal and common in academic, legal, or formal writing.
nennen|nennbar|C2|151321|nameable; mentionable|заслуживающий упоминания; тот, кого можно назвать|erwähnenswert; nennenswert|Es gab keine nennbaren Fortschritte bei den Verhandlungen.|There were no mentionable achievements in the negotiations.|В переговорах не было никаких заслуживающих упоминания успехов.|Es gab keine erwähnenswerten Fortschritte bei den Verhandlungen.|kaum nennbar; nennbarer Fortschritt; nennbarer Erfolg|Nennbar is relatively rare and formal, meaning 'capable of being named or mentioned'. It is most frequently used in the negative ('kaum nennbar' - barely worth mentioning). The synonym 'nennenswert' is much more common in everyday speech and writing.
nennen|genannt|C2|179252|called; named; above-mentioned|названный; упомянутый; так называемый|bezeichnet; oben genannt; besagt|Der oben genannte Herr hat sich nicht mehr gemeldet.|The above-mentioned gentleman has not gotten back in touch.|Вышеупомянутый господин больше не выходил на связь.|Der besagte Herr hat sich nicht mehr gemeldet.|oben genannt; unten genannt; so genannt; auch genannt|Genannt is the past participle of 'nennen'. When used as an adjective before nouns, it translates to 'above-mentioned' (often abbreviated as 'o. g.'). When placed between a name and an alias, it means 'alias' or 'also known as' (e.g., Müller, genannt Meier).
nennen|Nennbetrag|C2|71072|nominal amount; face value|номинальная стоимость; номинал|Nominalwert; Nennwert|Der Nennbetrag der Aktie beträgt fünf Euro.|The nominal value of the share is five euros.|Номинальная стоимость акции составляет пять евро.|Der Nominalwert der Aktie beträgt fünf Euro.|den Nennbetrag zurückzahlen; voller Nennbetrag; Nennbetrag einer Aktie|A technical financial term denoting the value printed on a security, stock certificate, bill, or coin, as opposed to its market value (Kurswert). It is largely synonymous with 'Nennwert' but is preferred when referring specifically to monetary sums.
nennen|nennenswert|B2|7932|noteworthy; significant; worth mentioning|заслуживающий внимания; существенный; ощутимый|beachtlich; signifikant; erwähnenswert; beträchtlich|Es gab keine nennenswerten Probleme während der Reise.|There were no noteworthy problems during the trip.|Во время поездки не было никаких заслуживающих внимания проблем.|Es gab keine erwähnenswerten Probleme während der Reise.|ohne nennenswerte Schwierigkeiten; kein nennenswerter Unterschied; ohne nennenswerten Erfolg|Nennenswert is highly common and frequently used in negative sentences (e.g., 'kein nennenswerter...', 'ohne nennenswerte...'). It describes something that is of high enough quantity, quality, or impact to warrant mentioning.
nennen|Nenner|C1|15139|denominator|знаменатель|gemeinsame Basis; Divisor|Wir müssen uns auf einen gemeinsamen Nenner einigen.|We have to agree on a common denominator.|Мы должны прийти к общему знаменателю.|Wir müssen uns auf eine gemeinsame Basis einigen.|gemeinsamer Nenner; auf einen Nenner bringen; kleinster gemeinsamer Nenner|Literally used in mathematics as the bottom number in a fraction (opposed to 'Zähler', the numerator). In everyday speech, it is overwhelmingly used in the figurative expression 'auf einen gemeinsamen Nenner bringen' (to find common ground/reach an agreement).
nennen|Nenngeld|C2|84904|entry fee; registration fee (competitions)|стартовый взнос; плата за участие|Startgeld; Teilnahmegebühr|Das Nenngeld muss vor dem Turnier bezahlt werden.|The entry fee must be paid before the tournament.|Стартовый взнос должен быть оплачен до начала турнира.|Das Startgeld muss vor dem Turnier bezahlt werden.|das Nenngeld überweisen; fälliges Nenngeld; Nenngeld zurückerstatten|Nenngeld is specifically used in sports, races (especially horse racing), and tournaments where submitting an entry is called 'Nennung'. It is equivalent to 'Startgeld', but has a slightly more formal, official tone.
nennen|Nennleistung|C2|52628|rated power; nominal output|номинальная мощность|Nominalleistung; Standardleistung|Die Nennleistung des Motors beträgt 100 Kilowatt.|The rated output of the engine is 100 kilowatts.|Номинальная мощность двигателя составляет 100 киловатт.|Die Nominalleistung des Motors beträgt 100 Kilowatt.|maximale Nennleistung; Nennleistung in Kilowatt; die Nennleistung erreichen|A technical terms used in engineering, physics, and manufacturing. It denotes the maximum continuous power output for which an electrical device, generator, or engine is officially rated and designed to safely operate.
nennen|Nennonkel|C2|199093|honorary uncle; nominal uncle (not related by blood)|«дядя» (неродной дядя, близкий друг семьи)|Wahlonkel; Scheinnonkel|Er ist kein echter Verwandter, sondern nur mein Nennonkel.|He is not a real relative, just my honorary uncle.|Он не настоящий родственник, а просто мой названый дядя.|Er ist kein echter Verwandter, sondern nur mein Wahlonkel.|ein liebevoller Nennonkel; der Nennonkel der Kinder|An informal colloquial term used to describe a close adult male friend of the family whom children call 'uncle' (Onkel) out of affection and custom, despite having no blood or legal relationship.
