word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
bitten|bitten|B1|814|to ask, to request, to beg|просить, вежливо обращаться с просьбой|ersuchen; auffordern; anflehen; betteln|Ich möchte dich um einen Gefallen bitten.|I would like to ask you for a favor.|Я хотел бы попросить тебя об услуге.|Ich möchte dich ersuchen, mir einen Gefallen zu tun.|um Hilfe bitten; um Entschuldigung bitten; zu Tisch bitten; höflich bitten|Commonly takes an accusative object for the person being asked and 'um' + accusative for the thing requested. Do not confuse with 'fragen' (to ask a question). Used in various social formulas of politeness.
bitten|abbitten|C2|171911|to apologize for, to beg pardon, to make amends|просить прощения, извиняться (за что-л.)|sich entschuldigen; Abbitte leisten; bereuen|Er musste sein Verhalten öffentlich abbitten.|He had to publicly apologize for his behavior.|Ему пришлось публично извиниться за свое поведение.|Er musste für sein Verhalten öffentlich Abbitte leisten.|eine Schuld abbitten; demütig abbitten; öffentlich abbitten|Mainly used in formal or literary contexts. Often occurs as 'jemandem etwas abbitten' (to apologize to someone for something) or in the nominalized phrase 'Abbitte leisten'.
bitten|ausbitten|C2|117352|to request, to demand, to insist on|выговаривать себе, настоятельно требовать|verlangen; einfordern; beanspruchen|Ich muss mir hierzu etwas Bedenkzeit ausbitten.|I must request some time to think this over.|Я должен попросить некоторое время на размышление по этому поводу.|Ich muss mir hierzu etwas Bedenkzeit verlangen.|sich Bedenkzeit ausbitten; sich Ruhe ausbitten; sich Respekt ausbitten|Almost exclusively used in the reflexive form 'sich (Dative) etwas (Accusative) ausbitten'. It carries a strong, assertive tone of demanding or insisting on a condition as a right.
bitten|erbitten|B2|6183|to request, to ask for, to solicit|просить, испрашивать, вымаливать|anfordern; ersuchen; beantragen|Wir erbitten Ihre Rückmeldung bis morgen.|We request your feedback by tomorrow.|Мы просим вас дать ответ до завтра.|Wir ersuchen Sie um Rückmeldung bis morgen.|eine Antwort erbitten; Spenden erbitten; Aufklärung erbitten; umgehend erbitten|A formal, high-register transitive verb that takes a direct accusative object. Frequently used in written correspondence and administrative German (e.g., 'Wir erbitten Ihre geschätzte Rückmeldung').
bitten|fehlbitten|C2|249161|to make a request in vain, to ask the wrong person|обратиться с напрасной просьбой, обратиться не к тому человеку|sich vergeblich bemühen; umsonst bitten; fehlgreifen|Da hast du bei mir fehlgebeten, ich habe selbst kein Geld.|You asked the wrong person, I don't have any money myself.|Тут ты обратился не по адресу, у меня у самого нет денег.|Da hast du mich umsonst gebeten, ich habe selbst kein Geld.|bei jemandem fehlbitten; kläglich fehlbitten|An archaic and rare verb. Mostly found in the past participle 'fehlgebeten' in the idiomatic expression 'bei jemandem fehlgebeten haben' (to have asked the wrong person or asked in vain).
bitten|freibitten|C2|226250|to plead for someone's release, to beg off|выпросить освобождение, отпросить|freibekommen; lossprechen; begnadigen lassen|Die Mutter konnte ihren Sohn beim König freibitten.|The mother was able to plead with the king for her son's release.|Мать смогла выпросить у короля освобождение для своего сына.|Die Mutter konnte ihren Sohn beim König freibekommen.|einen Gefangenen freibitten; jemanden beim König freibitten|A highly formal or historical term. Means to successfully plead for someone's release, pardon, or exemption from a duty by requesting it.
bitten|fürbitten|C2|176670|to intercede, to plead for someone|ходатайствовать, молить за кого-либо|eintreten; vermitteln; Fürbitte einlegen|Sie wollte für den Angeklagten beim Richter fürbitten.|She wanted to intercede for the accused with the judge.|Она хотела заступиться за подсудимого перед судьей.|Sie wollte für den Angeklagten beim Richter Fürbitte einlegen.|für jemanden fürbitten; beim Richter fürbitten|An archaic or ecclesiastical verb meaning to pray or intercede on behalf of someone else. In modern German, the nominal phrase 'Fürbitte einlegen' is much more common.
bitten|heraufbitten|C2|217693|to ask/invite someone to come up|попросить подняться (наверх, к говорящему)|heraufrufen; nach oben bitten|Kannst du den Gast bitte zu mir heraufbitten?|Could you please ask the guest to come up to my room?|Не мог бы ты попросить гостя подняться ко мне наверх?|Kannst du den Gast bitte bitten, nach oben zu kommen?|jemanden in die Wohnung heraufbitten; den Gast heraufbitten|A separable verb. It indicates asking someone to come upstairs to where the speaker is. The prefix 'her-' indicates movement toward the speaker.
bitten|herausbitten|C2|176982|to ask someone to come out|попросить выйти (наружу, к говорящему)|herausrufen; nach draußen bitten|Der Lehrer musste den Schüler aus dem Klassenzimmer herausbitten.|The teacher had to ask the student to step out of the classroom.|Учителю пришлось попросить ученика выйти из класса.|Der Lehrer musste den Schüler aus dem Klassenzimmer herausrufen.|jemanden vor die Tür herausbitten; aus dem Saal herausbitten|A separable verb. Used when the speaker is outside and asks someone who is inside to come out to them.
bitten|herbitten|C2|153340|to ask someone to come here|пригласить сюда, попросить подойти|herbeirufen; herbestellen|Warum hast du mich so dringend hergebeten?|Why did you ask me to come here so urgently?|Зачем ты так срочно позвал меня сюда?|Warum hast du mich so dringend herbestellt?|jemanden dringend herbitten; jemanden zu sich herbitten|A separable verb. Means asking someone to come to the speaker's location ('her'). It emphasizes the arrival at the speaker's current place.
bitten|hereinbitten|C2|109437|to ask someone in, to invite someone to enter|попросить войти, пригласить войти|einlassen; hineinbitten; empfangen|Sie öffnete die Tür, um den Gast hereinzubitten.|She opened the door to invite the guest inside.|Она открыла дверь, чтобы пригласить гостя войти.|Sie öffnete die Tür, um den Gast einzulassen.|den Gast hereinbitten; jemanden freundlich hereinbitten|A separable verb. A very common polite expression used when opening the door to let a guest or visitor enter the room or house where the speaker is.
bitten|herüberbitten|C2|219684|to ask someone to come over|попросить подойти/перейти (на эту сторону, к говорящему)|herüberrufen; einladen|Wir sollten den Nachbarn kurz zu uns herüberbitten.|We should ask the neighbor to come over to us for a moment.|Нам следует ненадолго пригласить соседа к нам.|Wir sollten den Nachbarn einladen, kurz zu uns herüberzukommen.|jemanden zu sich herüberbitten; an den Tisch herüberbitten|A separable verb. Indicates asking someone to come over to the speaker's side (e.g., across a room, garden, street, or from another table).
bitten|herunterbitten|C2|213100|to ask someone to come down|попросить спуститься (вниз, к говорящему)|herunterrufen; herabbitten|Kannst du den Chef bitte aus seinem Büro herunterbitten?|Can you please ask the boss to come down from his office?|Не мог бы ты попросить начальника спуститься из своего кабинета?|Kannst du den Chef bitten, aus seinem Büro herunterzukommen?|jemanden aus dem Büro herunterbitten; den Nachbarn herunterbitten|A separable verb. Used when the speaker is downstairs and asks someone upstairs to come down.
bitten|hinaufbitten|C2|216916|to ask someone to go up|попросить подняться (наверх, в направлении от говорящего)|hinaufschicken; nach oben bitten|Der Portier wird Sie gleich hinaufbitten.|The doorman will ask you to go up shortly.|Портье скоро попросит вас подняться наверх.|Der Portier wird Sie gleich bitten, nach oben zu gehen.|jemanden in die obere Etage hinaufbitten|A separable verb. The speaker asks someone to go upstairs. Unlike 'heraufbitten', the speaker is not necessarily upstairs, or emphasizes the movement away from the current position.
bitten|hinausbitten|C2|167706|to ask someone to step out/leave|попросить выйти (наружу, от говорящего)|hinausschicken; hinausweisen|Der Richter musste die störenden Zuschauer hinausbitten.|The judge had to ask the disruptive spectators to leave.|Судье пришлось попросить шумных зрителей выйти.|Der Richter musste die störenden Zuschauer hinausweisen.|jemanden aus dem Raum hinausbitten; höflich hinausbitten|A separable verb. Used to politely or firmly ask someone to leave a room or building (movement away from the interior).
bitten|hineinbitten|C2|156245|to ask someone to enter/go in|попросить войти (внутрь, от говорящего)|hereinbitten; einlassen; hineinführen|Die Sekretärin wird Sie gleich in das Büro hineinbitten.|The secretary will ask you into the office shortly.|Секретарь скоро пригласит вас войти в кабинет.|Die Sekretärin wird Sie gleich in das Büro hineinführen.|jemanden in die Stube hineinbitten; ins Arbeitszimmer hineinbitten|A separable verb. Used when asking someone to enter a space. Often interchangeable with 'hereinbitten', but focuses on directing someone into a space away from the current external position.
bitten|hinüberbitten|C2|238786|to ask someone to go over|попросить пройти/перейти (на ту сторону, от говорящего)|hinüberschicken; hinüberweisen|Wir sollten die Gäste an den anderen Tisch hinüberbitten.|We should ask the guests to move over to the other table.|Нам следует попросить гостей пересесть за другой стол.|Wir sollten die Gäste bitten, an den anderen Tisch herüberzugehen.|den Gast an den anderen Tisch hinüberbitten|A separable verb. Used to ask someone to go over to another side or area (away from the speaker's immediate spot).
bitten|hinunterbitten|C2|240987|to ask someone to go down|попросить спуститься (вниз, в направлении от говорящего)|hinunterschicken; nach unten bitten|Sie wollte den Gast in den Keller hinunterbitten.|She wanted to ask the guest to go down into the cellar.|Она хотела попросить гостя спуститься в подвал.|Sie wollte den Gast bitten, in den Keller hinunterzugehen.|jemanden in den Keller hinunterbitten; in den Garten hinunterbitten|A separable verb. Used to ask someone to go downstairs, emphasizing the downward movement away from the speaker's position.
bitten|verbitten|C2|33228|to not tolerate, to forbid, to object to|не потерпеть, категорически запретить (себе что-либо)|sich verwehren; untersagen; ablehnen; sich verwahren gegen|Ich verbitte mir diesen unhöflichen Ton!|I will not tolerate this rude tone!|Я не потерплю такого грубого тона!|Ich verwahre mich gegen diesen unhöflichen Ton!|sich jeden Eingriff verbitten; sich Unverschämtheiten verbitten; sich Einmischung verbitten|Always reflexive as 'sich (Dative) etwas (Accusative) verbitten'. A strong, formal way to declare that one will not tolerate or accept a specific behavior, tone, or interference.
