word,category_id,category_name_de,category_name_en,category_name_ru
antworten,communication,Kommunikation,Communication,Коммуникация
arbeiten,work,Arbeit und Produktion,Work & Production,Работа и производство
backen,work,Arbeit und Produktion,Work & Production,Работа и производство
bauen,work,Arbeit und Produktion,Work & Production,Работа и производство
beginnen,time,Zeit,Time,Время и протекание
bergen,manipulation,Handlung,Manipulation,Манипуляции и действие
bilden,manipulation,Handlung,Manipulation,Манипуляции и действие
binden,manipulation,Handlung,Manipulation,Манипуляции и действие
bitten,communication,Kommunikation,Communication,Коммуникация
blasen,manipulation,Handlung,Manipulation,Манипуляции и действие
bleiben,placement,Positionierung,Placement,Положение и размещение
blinken,manipulation,Handlung,Manipulation,Манипуляции и действие
blühen,nature,Natur,Nature,Природа и явления
bohren,work,Arbeit und Produktion,Work & Production,Работа и производство
brechen,manipulation,Handlung,Manipulation,Манипуляции и действие
bringen,manipulation,Handlung,Manipulation,Манипуляции и действие
dauern,time,Zeit,Time,Время и протекание
decken,manipulation,Handlung,Manipulation,Манипуляции и действие
denken,cognition,Denken,Cognition,Когниция и мышление
dienen,social,Soziale Interaktion,Social Interaction,Социальное взаимодействие
drehen,manipulation,Handlung,Manipulation,Манипуляции и действие
dringen,movement,Bewegung,Movement,Движение и перемещение
drohen,manipulation,Handlung,Manipulation,Манипуляции и действие
drücken,manipulation,Handlung,Manipulation,Манипуляции и действие
enden,time,Zeit,Time,Время и протекание
fahren,movement,Bewegung,Movement,Движение и перемещение
fallen,manipulation,Handlung,Manipulation,Манипуляции и действие
fangen,manipulation,Handlung,Manipulation,Манипуляции и действие
fassen,manipulation,Handlung,Manipulation,Манипуляции и действие
fechten,manipulation,Handlung,Manipulation,Манипуляции и действие
fegen,manipulation,Handlung,Manipulation,Манипуляции и действие
fehlen,perception,Wahrnehmung,Perception,Восприятие и ощущения
feilen,work,Arbeit und Produktion,Work & Production,Работа и производство
feuchten,manipulation,Handlung,Manipulation,Манипуляции и действие
feuern,manipulation,Handlung,Manipulation,Манипуляции и действие
filtern,work,Arbeit und Produktion,Work & Production,Работа и производство
finden,cognition,Denken,Cognition,Когниция и мышление
fliegen,movement,Bewegung,Movement,Движение и перемещение
fliehen,movement,Bewegung,Movement,Движение и перемещение
fließen,movement,Bewegung,Movement,Движение и перемещение
formen,work,Arbeit und Produktion,Work & Production,Работа и производство
fragen,communication,Kommunikation,Communication,Коммуникация
frieren,perception,Wahrnehmung,Perception,Восприятие и ощущения
fühlen,perception,Wahrnehmung,Perception,Восприятие и ощущения
führen,control,Steuerung,Control,Управление и организация
füllen,manipulation,Handlung,Manipulation,Манипуляции и действие
geben,manipulation,Handlung,Manipulation,Манипуляции и действие
gehen,movement,Bewegung,Movement,Движение и перемещение
gelingen,state,Zustand und Veränderung,State & Change,Состояние и изменение
gelten,state,Zustand und Veränderung,State & Change,Состояние и изменение
gewinnen,state,Zustand und Veränderung,State & Change,Состояние и изменение
gießen,work,Arbeit und Produktion,Work & Production,Работа и производство
gleichen,manipulation,Handlung,Manipulation,Манипуляции и действие
gleiten,movement,Bewegung,Movement,Движение и перемещение
graben,work,Arbeit und Produktion,Work & Production,Работа и производство
greifen,manipulation,Handlung,Manipulation,Манипуляции и действие
gründen,work,Arbeit und Produktion,Work & Production,Работа и производство
halten,control,Steuerung,Control,Управление и организация
handeln,social,Soziale Interaktion,Social Interaction,Социальное взаимодействие
heben,manipulation,Handlung,Manipulation,Манипуляции и действие
heilen,state,Zustand und Veränderung,State & Change,Состояние и изменение
heizen,work,Arbeit und Produktion,Work & Production,Работа и производство
helfen,social,Soziale Interaktion,Social Interaction,Социальное взаимодействие
heulen,nature,Natur,Nature,Природа и явления
hocken,manipulation,Handlung,Manipulation,Манипуляции и действие
holen,manipulation,Handlung,Manipulation,Манипуляции и действие
hängen,placement,Positionierung,Placement,Положение и размещение
hören,perception,Wahrnehmung,Perception,Восприятие и ощущения
hüten,manipulation,Handlung,Manipulation,Манипуляции и действие
irren,manipulation,Handlung,Manipulation,Манипуляции и действие
kaufen,manipulation,Handlung,Manipulation,Манипуляции и действие
kehren,manipulation,Handlung,Manipulation,Манипуляции и действие
kennen,cognition,Denken,Cognition,Когниция и мышление
kleben,manipulation,Handlung,Manipulation,Манипуляции и действие
klettern,movement,Bewegung,Movement,Движение и перемещение
klingeln,communication,Kommunikation,Communication,Коммуникация
klopfen,manipulation,Handlung,Manipulation,Манипуляции и действие
klären,cognition,Denken,Cognition,Когниция и мышление
knüpfen,manipulation,Handlung,Manipulation,Манипуляции и действие
kochen,work,Arbeit und Produktion,Work & Production,Работа и производство
kommen,movement,Bewegung,Movement,Движение и перемещение
koppeln,manipulation,Handlung,Manipulation,Манипуляции и действие
kosten,state,Zustand und Veränderung,State & Change,Состояние и изменение
kratzen,manipulation,Handlung,Manipulation,Манипуляции и действие
kreisen,movement,Bewegung,Movement,Движение и перемещение
kreuzen,manipulation,Handlung,Manipulation,Манипуляции и действие
kümmern,social,Soziale Interaktion,Social Interaction,Социальное взаимодействие
küssen,social,Soziale Interaktion,Social Interaction,Социальное взаимодействие
lachen,manipulation,Handlung,Manipulation,Манипуляции и действие
laden,control,Steuerung,Control,Управление и организация
landen,movement,Bewegung,Movement,Движение и перемещение
lassen,manipulation,Handlung,Manipulation,Манипуляции и действие
laufen,movement,Bewegung,Movement,Движение и перемещение
leben,manipulation,Handlung,Manipulation,Манипуляции и действие
legen,placement,Positionierung,Placement,Положение и размещение
lehnen,placement,Positionierung,Placement,Положение и размещение
leiten,control,Steuerung,Control,Управление и организация
lenken,control,Steuerung,Control,Управление и организация
lernen,cognition,Denken,Cognition,Когниция и мышление
lesen,cognition,Denken,Cognition,Когниция и мышление
leuchten,perception,Wahrnehmung,Perception,Восприятие и ощущения
liefern,manipulation,Handlung,Manipulation,Манипуляции и действие
liegen,placement,Positionierung,Placement,Положение и размещение
löschen,manipulation,Handlung,Manipulation,Манипуляции и действие
lösen,state,Zustand und Veränderung,State & Change,Состояние и изменение
machen,manipulation,Handlung,Manipulation,Манипуляции и действие
malen,work,Arbeit und Produktion,Work & Production,Работа и производство
melden,communication,Kommunikation,Communication,Коммуникация
merken,cognition,Denken,Cognition,Когниция и мышление
messen,manipulation,Handlung,Manipulation,Манипуляции и действие
mischen,manipulation,Handlung,Manipulation,Манипуляции и действие
münden,movement,Bewegung,Movement,Движение и перемещение
nehmen,manipulation,Handlung,Manipulation,Манипуляции и действие
nennen,communication,Kommunikation,Communication,Коммуникация
nutzen,manipulation,Handlung,Manipulation,Манипуляции и действие
ordnen,control,Steuerung,Control,Управление и организация
passen,state,Zustand und Veränderung,State & Change,Состояние и изменение
pflanzen,work,Arbeit und Produktion,Work & Production,Работа и производство
pflegen,social,Soziale Interaktion,Social Interaction,Социальное взаимодействие
planen,cognition,Denken,Cognition,Когниция и мышление
prägen,manipulation,Handlung,Manipulation,Манипуляции и действие
prüfen,cognition,Denken,Cognition,Когниция и мышление
putzen,work,Arbeit und Produktion,Work & Production,Работа и производство
raten,cognition,Denken,Cognition,Когниция и мышление
rechnen,cognition,Denken,Cognition,Когниция и мышление
reden,communication,Kommunikation,Communication,Коммуникация
regen,nature,Natur,Nature,Природа и явления
regeln,control,Steuerung,Control,Управление и организация
reichen,control,Steuerung,Control,Управление и организация
reinigen,work,Arbeit und Produktion,Work & Production,Работа и производство
reisen,movement,Bewegung,Movement,Движение и перемещение
reiten,movement,Bewegung,Movement,Движение и перемещение
reißen,manipulation,Handlung,Manipulation,Манипуляции и действие
rennen,movement,Bewegung,Movement,Движение и перемещение
retten,social,Soziale Interaktion,Social Interaction,Социальное взаимодействие
richten,control,Steuerung,Control,Управление и организация
riechen,perception,Wahrnehmung,Perception,Восприятие и ощущения
riegeln,manipulation,Handlung,Manipulation,Манипуляции и действие
ringen,manipulation,Handlung,Manipulation,Манипуляции и действие
rollen,movement,Bewegung,Movement,Движение и перемещение
rufen,communication,Kommunikation,Communication,Коммуникация
rühren,manipulation,Handlung,Manipulation,Манипуляции и действие
sagen,communication,Kommunikation,Communication,Коммуникация
sammeln,manipulation,Handlung,Manipulation,Манипуляции и действие
schaffen,work,Arbeit und Produktion,Work & Production,Работа и производство
schalten,control,Steuerung,Control,Управление и организация
scheiden,manipulation,Handlung,Manipulation,Манипуляции и действие
scheinen,perception,Wahrnehmung,Perception,Восприятие и ощущения
schicken,manipulation,Handlung,Manipulation,Манипуляции и действие
schieben,manipulation,Handlung,Manipulation,Манипуляции и действие
schießen,manipulation,Handlung,Manipulation,Манипуляции и действие
schirmen,manipulation,Handlung,Manipulation,Манипуляции и действие
schlagen,manipulation,Handlung,Manipulation,Манипуляции и действие
schleichen,movement,Bewegung,Movement,Движение и перемещение
schließen,control,Steuerung,Control,Управление и организация
schneiden,work,Arbeit und Produktion,Work & Production,Работа и производство
schreiben,communication,Kommunikation,Communication,Коммуникация
schreien,communication,Kommunikation,Communication,Коммуникация
schwimmen,movement,Bewegung,Movement,Движение и перемещение
schöpfen,manipulation,Handlung,Manipulation,Манипуляции и действие
schützen,social,Soziale Interaktion,Social Interaction,Социальное взаимодействие
segeln,movement,Bewegung,Movement,Движение и перемещение
sehen,perception,Wahrnehmung,Perception,Восприятие и ощущения
senden,communication,Kommunikation,Communication,Коммуникация
senken,manipulation,Handlung,Manipulation,Манипуляции и действие
setzen,placement,Positionierung,Placement,Положение и размещение
sichern,control,Steuerung,Control,Управление и организация
singen,manipulation,Handlung,Manipulation,Манипуляции и действие
sinken,manipulation,Handlung,Manipulation,Манипуляции и действие
sitzen,placement,Positionierung,Placement,Положение и размещение
sorgen,manipulation,Handlung,Manipulation,Манипуляции и действие
spannen,manipulation,Handlung,Manipulation,Манипуляции и действие
sparen,manipulation,Handlung,Manipulation,Манипуляции и действие
speichern,control,Steuerung,Control,Управление и организация
spielen,manipulation,Handlung,Manipulation,Манипуляции и действие
sprechen,communication,Kommunikation,Communication,Коммуникация
springen,movement,Bewegung,Movement,Движение и перемещение
spülen,work,Arbeit und Produktion,Work & Production,Работа и производство
starten,time,Zeit,Time,Время и протекание
stecken,placement,Positionierung,Placement,Положение и размещение
stehen,placement,Positionierung,Placement,Положение и размещение
steigen,movement,Bewegung,Movement,Движение и перемещение
stellen,placement,Positionierung,Placement,Положение и размещение
steuern,control,Steuerung,Control,Управление и организация
