word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
laufen|laufen|A1|4213|to run; to walk; to function|бежать; идти пешком; функционировать|rennen; gehen; funktionieren|Er läuft jeden Morgen im Park.|He runs in the park every morning.|Он бегает в парке каждое утро.|Er rennt jeden Morgen im Park.|Ski laufen; Gefahr laufen; auf Hochtouren laufen; im Fernsehen laufen|One of the most versatile German verbs. In Southern Germany and Austria, it often simply means 'to walk' (zu Fuß gehen) rather than 'to run quickly' (rennen). Forms: läuft, lief, ist gelaufen.
laufen|ablaufen|B2|4499|to expire; to take place; to run down|истекать (о сроке); протекать (о процессе)|enden; vorgehen; stattfinden; vonstattengehen|Die Frist läuft morgen ab.|The deadline expires tomorrow.|Срок действия истекает завтра.|Die Frist endet morgen.|ein Visum läuft ab; ein Prozess läuft reibungslos ab; wie geplant ablaufen|Separable verb. Conjugated with 'sein' when describing processes or the expiration of validity. Can also mean 'to drain' (water).
laufen|anlaufen|B2|8594|to start up; to tarnish; to approach (port)|начинаться (о производстве); тускнеть (о стекле); заходить (в порт)|beginnen; starten; beschlagen; ansteuern|Die Produktion des neuen Modells läuft bald an.|Production of the new model will start soon.|Производство новой модели скоро запустится.|Die Produktion des neuen Modells startet bald.|einen Hafen anlaufen; eine Scheibe läuft an; ein Geschäft läuft gut an|Separable verb. Intransitive uses (processes starting, windows fogging up) require 'sein'. Transitive use (e.g., ships approaching a port) typically takes 'haben' in maritime contexts.
laufen|auflaufen|B2|7341|to accumulate; to run aground; to swell up|накапливаться; сесть на мель; набухать|sich ansammeln; stranden; anschwellen|Über die Jahre sind viele Schulden aufgelaufen.|Over the years, a lot of debt has accumulated.|За эти годы накопилось много долгов.|Über die Jahre haben sich viele Schulden angesammelt.|Schulden auflaufen lassen; auf ein Riff auflaufen; im Halbfinale auflaufen|Separable verb. Conjugated with 'sein'. Commonly used in financial contexts (accumulating debts/interests) and in sports ('auflaufen' - to run out onto the pitch/field).
laufen|auseinanderlaufen|C2|107946|to diverge; to disperse; to run apart|расходиться; разбегаться; расходиться во мнениях|auseinandergehen; sich zerstreuen; divergieren|Nach dem Konzert lief die Menge auseinander.|After the concert, the crowd dispersed.|После концерта толпа разошлась.|Nach dem Konzert zerstreute sich die Menge.|Meinungen laufen auseinander; im Streit auseinanderlaufen; die Wege laufen auseinander|Separable verb. Conjugated with 'sein'. Highly common in the abstract sense of diverging opinions ('die Meinungen laufen auseinander') or paths.
laufen|auslaufen|B2|17804|to leak; to expire (contract); to set sail|вытекать; истекать (о договоре); выходить в море|ausfließen; enden; in See stechen|Die Milch ist aus der Flasche ausgelaufen.|The milk leaked out of the bottle.|Молоко вытекло из бутылки.|Die Milch ist aus der Flasche ausgetreten.|ein Vertrag läuft aus; das Schiff läuft aus dem Hafen aus; eine Flüssigkeit läuft aus|Separable verb. Conjugated with 'sein'. Frequently used for liquid leaks, contracts reaching their natural end, or vessels leaving port.
laufen|belaufen|B2|3681|to amount to; to walk on (rare)|составлять (сумму); равняться|betragen; sich beziffern auf|Die Gesamtkosten belaufen sich auf hundert Euro.|The total costs amount to one hundred euros.|Общая стоимость составляет сто евро.|Die Gesamtkosten betragen einhundert Euro.|sich auf eine Summe belaufen; sich auf die Höhe von belaufen|Inseparable verb. Almost exclusively used reflexively ('sich belaufen auf' + accusative) to state monetary amounts, costs, or statistical figures.
laufen|davonlaufen|C2|28170|to run away; to escape|убегать; удирать; избегать (проблем)|weglaufen; fliehen; entfliehen|Er wollte einfach vor seinen Problemen davonlaufen.|He just wanted to run away from his problems.|Он просто хотел убежать от своих проблем.|Er wollte einfach vor seinen Problemen fliehen.|vor der Realität davonlaufen; jemandem davonlaufen|Separable verb. Conjugated with 'sein'. Very close in meaning to 'weglaufen', but carries a slightly stronger focus on escaping a specific source of trouble or person.
laufen|durcheinanderlaufen|C2|162426|to run about in confusion; to intermingle|бегать в беспорядке; перепутываться|wild umherrennen; durcheinandergehen|Die Kinder liefen auf dem Spielplatz wild durcheinander.|The children ran around in confusion on the playground.|Дети беспорядочно бегали по игровой площадке.|Die Kinder rannten auf dem Spielplatz wild umher.|wild durcheinanderlaufen; Linien laufen durcheinander|Separable verb. Conjugated with 'sein'. Describes chaotic, uncoordinated movements of people, animals, or objects.
laufen|durchlaufen|B2|7879|to pass through; to complete (a process); to leak through|пробегать; проходить (процесс, обучение); протекать насквозь|absolvieren; durchmachen; durchfließen|Sie hat alle Abteilungen der Firma durchlaufen.|She has gone through all departments of the company.|Она прошла все отделы компании.|Sie hat alle Abteilungen der Firma absolviert.|eine Ausbildung durchlaufen; eine Krise durchlaufen; ununterbrochen durchlaufen|Can be inseparable (durchlaufen, hat durchlaufen - to go through/complete a training or process) or separable (durchlaufen, ist durchgelaufen - to run/flow through, e.g., coffee in a machine, or a computer program running to the end).
laufen|einlaufen|C1|22703|to shrink (in wash); to enter (port/station); to run in (shoes)|сесть (после стирки); прибывать (в порт); разнашивать (обувь)|schrumpfen; eintreffen; einlaufen|Der Pullover ist beim Waschen eingelaufen.|The sweater shrank during washing.|Свитер сел при стирке.|Der Pullover ist beim Waschen geschrumpft.|neue Schuhe einlaufen; in den Hafen einlaufen; ein Zug läuft ein|Separable verb. Takes 'sein' for shrinking or arriving. Takes 'haben' when used transitively to break in shoes ('ich habe meine neuen Schuhe eingelaufen').
laufen|einwärtslaufen|C2|256682|to walk with toes turned inward|косолапить; ходить носками внутрь|einwärtsgehen; die Zehen nach innen drehen|Kinder laufen manchmal einwärts, wenn sie müde sind.|Children sometimes walk with their toes turned inward when they are tired.|Дети иногда ходят носками внутрь, когда устают.|Kinder gehen manchmal einwärts, wenn sie müde sind.|mit den Füßen einwärtslaufen; leicht einwärtslaufen|Separable verb. Conjugated with 'sein'. Primarily a medical or descriptive physical term describing gait.
laufen|eislaufen|C2|115147|to ice skate|кататься на коньках|Schlittschuh laufen|Im Winter gehen wir oft auf dem See eislaufen.|In winter we often go ice skating on the lake.|Зимой мы часто ходим кататься на коньках на озеро.|Im Winter gehen wir oft auf dem See Schlittschuh laufen.|gerne eislaufen gehen; auf gefrorenen Seen eislaufen|Conjugated with 'sein'. While 'Schlittschuh laufen' is more common in spoken German, 'eislaufen' is widely used as a single concept. Conjugation: wir laufen eis / wir sind eisgelaufen.
laufen|entgegenlaufen|C2|81090|to run to meet; to run contrary to|бежать навстречу; противоречить|entgegenkommen; widersprechen; entgegenstehen|Die Kinder liefen ihrer Mutter freudig entgegen.|The children ran joyfully to meet their mother.|Дети радостно побежали навстречу матери.|Die Kinder kamen ihrer Mutter freudig entgegengelaufen.|den Interessen entgegenlaufen; jemandem mit offenen Armen entgegenlaufen|Separable verb. Requires the dative case. Conjugated with 'sein'. Figuratively, it means to conflict with or go against rules/goals.
