word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
hängen|hängen|B2|1055|to hang; to be suspended|висеть; вешать|befestigen; baumeln; schweben|Das Bild hängt an der Wand.|The picture is hanging on the wall.|Картина висит на стене.|Das Bild ist an der Wand befestigt.|an der Wand hängen; am Haken hängen; an der Decke hängen; eng zusammenhängen|Can be intransitive (strong verb: hing, gehangen, taking 'haben' or 'sein' in Southern German, describing location/state) or transitive (weak verb: hängte, gehängt, taking 'haben' and accusative object, describing motion). Colloquially, these two are often mixed up.
hängen|anhängen|C1|14013|to attach; to append; to add|прикреплять; добавлять; прицепить|beifügen; hinzufügen; anheften; ankuppeln|Ich werde das Dokument an meine E-Mail anhängen.|I will attach the document to my email.|Я прикреплю документ к своему электронному письму.|Ich werde das Dokument meiner E-Mail beifügen.|ein Dokument anhängen; eine Datei anhängen; einen Anhänger anhängen|Separable verb. Highly common in digital contexts for email attachments. Can also mean to attach a trailer to a vehicle, or colloquially to tag along with someone.
hängen|aushängen|C2|32532|to post (a notice); to unhinge (a door)|вывешивать (объявление); снимать с петель (дверь)|anschlagen; bekanntmachen; ausheben; aushaken|Der Lehrer wird den Prüfungsplan in der Schule aushängen.|The teacher will post the exam schedule at school.|Учитель вывесит расписание экзаменов в школе.|Der Lehrer wird den Prüfungsplan in der Schule bekanntmachen.|ein Plakat aushängen; eine Bekanntmachung aushängen; die Tür aushängen|Separable verb. Has two distinct meanings: displaying information publicly (where 'aushängen' can also be used intransitively, e.g., 'das Plakat hängt aus') or physically removing a door, window, or gate from its hinges.
hängen|behängen|C2|40348|to drape; to cover; to decorate (by hanging)|обвешивать; украшать навесным декором|schmücken; bedecken; dekorieren|Sie behängen den Weihnachtsbaum mit bunten Kugeln.|They are decorating the Christmas tree with colorful baubles.|Они украшают рождественскую елку разноцветными шарами.|Sie schmücken den Weihnachtsbaum mit bunten Kugeln.|einen Baum behängen; sich mit Schmuck behängen; die Wände mit Bildern behängen|Inseparable verb. Typically takes a direct accusative object and is used with the preposition 'mit' (to cover/decorate something with hanging objects). Often implies putting too many hanging items on something.
hängen|dranhängen|C2|33819|to append; to add on; to attach (colloquial)|прицепить; добавить в конце; продлить (разг.)|anhängen; hinzufügen; anschließen|Er möchte noch ein Jahr an sein Studium dranhängen.|He wants to add another year to his studies.|Он хочет добавить еще один год к своей учебе.|Er möchte noch ein Jahr an sein Studium anschließen.|ein Jahr dranhängen; noch etwas dranhängen; sich an jemanden dranhängen|Colloquial contraction of 'daran hängen'. Highly informal. Mostly used to mean adding an extra period of time to an activity (studies, vacation) or physically following someone around ('sich an jemanden dranhängen').
hängen|einhängen|C2|45651|to hang up (phone); to hook in; to link arms|повесить трубку; зацепить; идти под руку|auflegen; einhaken; einpassen|Bitte nicht einhängen, ich verbinde Sie sofort.|Please don't hang up, I will connect you immediately.|Пожалуйста, не вешайте трубку, я вас сейчас соединю.|Bitte nicht auflegen, ich verbinde Sie sofort.|den Hörer einhängen; das Fenster einhängen; sich bei jemandem einhängen|Separable verb. The expression 'den Hörer einhängen' (to hang up the telephone) originates from landline phones but is still universally understood. 'Sich bei jemandem einhängen' means to link arms with someone while walking.
hängen|herabhängen|C2|90095|to hang down; to dangle downwards|свисать; свешиваться|herunterhängen; herabbaumeln; herabhängen lassen|Die Zweige des Baumes hängen tief herab.|The branches of the tree hang down low.|Ветки дерева низко свисают.|Die Zweige des Baumes baumeln tief herunter.|von der Decke herabhängen; schlaff herabhängen; tief herabhängen|Separable intransitive verb. Focuses on the state of something dangling downwards from a high point. 'Herab-' indicates direction down towards the speaker/viewpoint.
hängen|heraushängen|C2|80323|to hang out; to lean out; to flaunt (colloquial)|высовываться; вывешивать наружу; выставлять напоказ (разг.)|raushängen; herausstrecken; zur Schau stellen|Du solltest nicht so weit aus dem Fenster heraushängen.|You shouldn't lean so far out of the window.|Тебе не стоит так сильно высовываться из окна.|Du solltest dich nicht so weit aus dem Fenster lehnen.|den Chef heraushängen lassen; aus dem Fenster heraushängen; die Zunge heraushängen lassen|Separable verb. Often used in the highly popular idiomatic colloquial expression 'den [noun] heraushängen lassen' (to behave bossy, cool, intellectual, etc., e.g., 'den Chef heraushängen lassen' means acting overly authoritative).
hängen|herunterhängen|C2|87105|to hang down; to dangle down|свисать вниз; свешиваться вниз|herabhängen; hängen; herabbaumeln|Seine Haare hängen ihm wild im Gesicht herunter.|His hair hangs down wildly in his face.|Его волосы дико свисают ему на лицо.|Seine Haare hängen ihm wild im Gesicht herab.|schlaff herunterhängen; über die Schultern herunterhängen; lose herunterhängen|Intransitive separable verb. Extremely close in meaning and usage to 'herabhängen', often fully interchangeable. 'Herunter-' places a bit more physical emphasis on going straight down towards the ground.
hängen|hinaushängen|C2|172579|to hang out (outside); to lean out|вывешивать наружу; высовываться|raushängen; hinausstrecken; raushängen lassen|Sie hängte die feuchte Wäsche zum Fenster hinaus.|She hung the damp laundry out of the window.|Она вывесила влажное белье из окна.|Sie hängte die feuchte Wäsche aus dem Fenster heraus.|zum Fenster hinaushängen; weit hinaushängen|Separable verb. Indicates hanging something out of a room or window into the open air ('hinaus-' indicates moving away from the inside perspective).
