word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
werfen|werfen|B2|837|to throw; to cast; to fling|бросать; кидать; метать|schmeißen; schleudern; werfen|Er wirft den Ball weit über den Zaun.|He throws the ball far over the fence.|Он бросает мяч далеко за забор.|Er schleudert den Ball weit über den Zaun.|einen Ball werfen; einen Blick werfen; Fragen aufwerfen; Schatten werfen|Irregular verb (wirft, warf, hat geworfen). Commonly used with prepositions like 'auf' + accusative or 'in' + accusative. In colloquial speech, 'schmeißen' is often preferred.
werfen|abwerfen|C1|13700|to drop (bombs); to yield (profit); to throw off (a rider)|сбрасывать; приносить (прибыль); сбрасывать (всадника)|abwerfen; absetzen; fallen lassen; einbringen; erbringen|Das neue Projekt soll bald Gewinn abwerfen.|The new project should yield profit soon.|Новый проект должен скоро принести прибыль.|Das neue Projekt soll bald Gewinn einbringen.|Gewinn abwerfen; Profit abwerfen; Bomben abwerfen; den Reiter abwerfen|Separable verb. Has two main senses: literal (dropping physically, e.g., bombs, or a horse throwing off a rider) and financial (generating yield or profit).
werfen|anwerfen|C2|29938|to start (an engine); to turn on (a machine)|запускать; заводить (двигатель); включать|starten; anschmeißen; einschalten; in Gang setzen|Er wirft den Motor des alten Autos an.|He starts the engine of the old car.|Он заводит мотор старого автомобиля.|Er startet den Motor des alten Autos.|den Motor anwerfen; die Maschine anwerfen; den Computer anwerfen|Separable verb. Primarily used in informal contexts for starting machines, engines, or systems (comparable to 'anschmeißen').
werfen|aufwerfen|C1|13072|to raise (a question); to throw open (doors); to heap up|поднимать (вопрос); широко открывать; набрасывать (землю)|aufwerfen; aufbringen; stellen (Frage); öffnen|Seine Bemerkung wirft viele neue Fragen auf.|His remark raises many new questions.|Его замечание поднимает много новых вопросов.|Seine Bemerkung stellt viele neue Fragen.|eine Frage aufwerfen; Probleme aufwerfen; einen Erdhügel aufwerfen|Separable verb. Most frequently used in abstract figurative contexts like 'eine Frage aufwerfen' (to raise a question).
werfen|auswerfen|C2|39758|to eject; to spit out; to cast (a net); to award (a prize)|выбрасывать; извергать; закидывать (удочку, сеть); выделять (сумму)|ausstoßen; ausspucken; auswerfen; ausschütten; festsetzen|Der Vulkan wirft glühende Lava aus.|The volcano ejects glowing lava.|Вулкан извергает раскаленную лаву.|Der Vulkan stößt glühende Lava aus.|das Netz auswerfen; Lava auswerfen; eine Belohnung auswerfen|Separable verb. Used physically (fishing nets, volcanic matter, spit) or administratively and financially (disbursing or assigning funds/prizes).
werfen|bewerfen|C1|15841|to pelt (with); to throw at; to plaster (a wall)|забрасывать; обкидывать; штукатурить|bewerfen; beschmeißen; bepflastern; bespritzen|Die Kinder bewerfen sich im Winter mit Schneebällen.|The children pelt each other with snowballs in winter.|Дети зимой бросаются друг в друга снежками.|Die Kinder beschmeißen sich im Winter mit Schneebällen.|mit Schmutz bewerfen; mit Steinen bewerfen; mit Schneebällen bewerfen; eine Wand bewerfen|Inseparable verb. Always transitive, requiring an accusative object (the target) and usually 'mit' + dative (the objects thrown). Figuratively: 'mit Schmutz bewerfen' means to sling mud or slander.
werfen|dazwischenwerfen|C2|163595|to interject; to throw in between|вставлять (реплику); бросать между|dazwischenrufen; einwerfen; unterbrechen; einbringen|Er musste immer wieder eine Bemerkung dazwischenwerfen.|He had to keep interjecting a remark.|Ему постоянно приходилось вставлять свои замечания.|Er musste immer wieder eine Bemerkung einwerfen.|eine Bemerkung dazwischenwerfen; ein Wort dazwischenwerfen|Separable verb. Often used colloquially for throwing in comments or interruptions during a conversation.
werfen|durcheinanderwerfen|C2|112939|to jumble up; to mix up; to muddle up|перепутывать; перемешивать; валить в кучу|verwechseln; durcheinanderbringen; vermischen; durcheinanderwirbeln|Du darfst die verschiedenen Begriffe nicht durcheinanderwerfen.|You must not mix up the different terms.|Нельзя путать разные понятия.|Du darfst die verschiedenen Begriffe nicht verwechseln.|Begriffe durcheinanderwerfen; Fakten durcheinanderwerfen; Sachen durcheinanderwerfen|Separable verb. Used physically (jumbling objects together) or mentally/linguistically (confusing ideas, facts, names).
werfen|einwerfen|C1|17540|to drop in (a letter); to interject (a comment); to smash (a window)|бросать (письмо); вставлять (реплику); разбивать (окно)|einwerfen; einwerfen; einbringen; einschlagen|Vergiss nicht, den Brief am Bahnhof einzuwerfen.|Do not forget to mail the letter at the station.|Не забудь бросить письмо в почтовый ящик на вокзале.|Vergiss nicht, den Brief am Bahnhof in den Briefkasten zu stecken.|einen Brief einwerfen; eine Münze einwerfen; eine Scheibe einwerfen; eine Bemerkung einwerfen|Separable verb. Highly polysemous: putting a coin/letter into a slot, smashing windows (e.g., during protests), or breaking into a discussion with a quick comment.
werfen|entgegenwerfen|C2|101392|to throw towards (someone); to counter (an argument); to oppose|бросать навстречу; противопоставлять|entgegensetzen; erwidern; entgegenhalten; entgegenschleudern|Sie wollte seinen Argumenten eigene Zweifel entgegenwerfen.|She wanted to counter his arguments with her own doubts.|Она хотела противопоставить его аргументам собственные сомнения.|Sie wollte seinen Argumenten eigene Zweifel entgegensetzen.|Einwände entgegenwerfen; Argumente entgegenwerfen; einen Blick entgegenwerfen|Separable verb. Takes a dative object (the person or thing opposed) and an accusative object (what is thrown/countered).
