word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
schneiden|schneiden|B1|2434|to cut; to slice|резать; нарезать; стричь|zerteilen; kürzen; säbeln|Sie schneidet das Brot in dicke Scheiben.|She cuts the bread into thick slices.|Она режет хлеб на толстые ломтики.|Sie zerteilt das Brot in dicke Scheiben.|Brot schneiden; Haare schneiden; Gemüse schneiden; sich in den Finger schneiden|The base verb. Takes 'haben' in perfect tenses. Note the reflexive 'sich schneiden' which can mean to cut oneself, or colloquially 'to be mistaken' (e.g., 'Da hast du dich aber geschnitten!').
schneiden|abschneiden|B2|5403|to cut off; to perform (in an exam/test)|отрезать; срезать; справиться (показать результат)|abtrennen; wegnehmen; abschließen (fig.)|Er schneidet ein Stück Seil ab.|He cuts off a piece of rope.|Он отрезает кусок верёвки.|Er trennt ein Stück Seil ab.|Haare abschneiden; ein Stück abschneiden; gut abschneiden; schlecht abschneiden|Separable prefix verb. It has two completely different main meanings: the literal cutting off of something, and the highly common figurative meaning 'to perform / fare' in a test, comparison, or study (used with adverbs like 'gut', 'schlecht', 'hervorragend').
schneiden|anschneiden|C2|26405|to make the first cut; to broach (a topic)|надрезать; затронуть (тему)|anbrechen; ansprechen; thematisieren|Wir sollten dieses heikle Thema heute nicht anschneiden.|We should not broach this sensitive topic today.|Нам не следует затрагивать эту деликатную тему сегодня.|Wir sollten dieses heikle Thema heute nicht ansprechen.|ein Thema anschneiden; ein Problem anschneiden; Brot anschneiden|Separable prefix verb. Literally means to make the first cut into a whole loaf of bread or cheese. Far more common in its figurative usage: to broach or bring up a topic or issue for discussion.
schneiden|auseinanderschneiden|C2|127844|to cut apart; to cut in half|разрезать на части; разрезать пополам|zerteilen; durchschneiden; entzweischneiden|Er musste das Seil auseinanderschneiden, um es zu teilen.|He had to cut the rope apart to divide it.|Ему пришлось разрезать веревку, чтобы разделить её.|Er musste das Seil durchschneiden, um es zu teilen.|ein Tischtuch auseinanderschneiden; ein Blatt Papier auseinanderschneiden|Separable prefix verb. Emphasizes separating a single item into two or more distinct pieces using a cutting tool. Mostly used in literal physical contexts.
schneiden|ausschneiden|C1|19943|to cut out; to clip|вырезать|herausschneiden; ausschälen|Kinder lieben es, Bilder aus Zeitschriften auszuschneiden.|Children love to cut out pictures from magazines.|Дети любят вырезать картинки из журналов.|Kinder lieben es, Bilder aus Zeitschriften herauszuschneiden.|ein Bild ausschneiden; Gutscheine ausschneiden; Formen ausschneiden|Separable prefix verb. Used for cutting something along a boundary to remove it from a larger surrounding sheet (like paper or fabric). Also used in computer software for 'cut' (Ctrl+X).
schneiden|beschneiden|C1|12337|to trim; to circumcise; to curtail (rights)|обрезать; делать обрезание; урезать (права)|kürzen; einschränken; stutzen|Der Staat will die Bürgerrechte weiter beschneiden.|The state wants to further curtail civil rights.|Государство хочет ещё больше ограничить гражданские права.|Der Staat will die Bürgerrechte weiter einschränken.|Bäume beschneiden; Rechte beschneiden; das Budget beschneiden|Inseparable prefix verb. Often used in administrative, financial, or political contexts to mean 'to curtail' or 'restrict' abstract concepts like budgets, freedom, or rights. Also means to trim plants/hedges, or medically to circumcise.
schneiden|durchschneiden|C1|19241|to cut through; to sever|разрезать; перерезать; прорезать|trennen; zerteilen; zerschneiden|Der Schiedsrichter musste das Band durchschneiden.|The referee had to cut through the ribbon.|Судья должен был перерезать ленточку.|Der Schiedsrichter musste das Band trennen.|ein Seil durchschneiden; das Band durchschneiden; die Kehle durchschneiden|Usually functions as a separable verb ('schnitt durch, durchgeschnitten') when it means to physically cut through something. Represents complete severance of a long, thin item (like ribbon, thread, or throat).
schneiden|einschneiden|C2|32034|to make a cut into; to cut into; to have a drastic effect|надрезать; врезаться; существенно повлиять|einritzen; einkerben; einschränken|Die neuen Sparmaßnahmen schneiden tief in das Budget ein.|The new austerity measures cut deep into the budget.|Новые меры экономии глубоко затрагивают бюджет.|Die neuen Sparmaßnahmen greifen tief in das Budget ein.|tief einschneiden; ein Muster einschneiden; in die Haut einschneiden|Separable prefix verb. Literally: to make an incision or partial cut into an object (like bread dough or tree bark). Figuratively: to have a profound, restrictive, or negative impact (typically with the preposition 'in' + Accusative).
schneiden|entzweischneiden|C2|161608|to cut in two; to sever|разрезать надвое; разрезать пополам|durchschneiden; auseinanderschneiden|Sie schnitt den Apfel entzwei, um eine Hälfte abzugeben.|She cut the apple in two to give half away.|Она разрезала яблоко пополам, чтобы отдать половину.|Sie schnitt den Apfel auseinander, um eine Hälfte abzugeben.|einen Faden entzweischneiden; ein Stück Papier entzweischneiden|Separable prefix verb utilizing 'entzwei' (in two). It is highly descriptive and literally means to divide an object into exactly two pieces by cutting.
schneiden|herausschneiden|C2|32153|to cut out; to excise|вырезать; удалять хирургически|ausschneiden; entfernen; heraustrennen|Der Chirurg musste den Tumor herausschneiden.|The surgeon had to cut out the tumor.|Хирургу пришлось вырезать опухоль.|Der Chirurg musste den Tumor entfernen.|einen Artikel herausschneiden; eine Szene herausschneiden; einen Tumor herausschneiden|Separable prefix verb. Focuses on the act of removing something from the interior of another entity (like a tumor from a body, or editing out a scene from a movie) by cutting.
