word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
rennen|rennen|A2|1405|to run|бежать|laufen; eilen; flitzen; rasen|Die Kinder rennen glücklich über den Spielplatz.|The children are running happily across the playground.|Дети счастливо бегают по игровой площадке.|Die Kinder laufen glücklich über den Spielplatz.|schnell rennen; um die Wette rennen; kopflos rennen; weg von etwas rennen|The verb 'rennen' implies high speed, haste, or urgency, contrasting with the more neutral 'laufen' (which can also mean 'to walk' in some dialects). It forms its perfect tense with 'sein'.
rennen|wetzen|C2|44667|to dash; to scurry; to sharpen|мчаться; нестись; точить|flitzen; sausen; rennen; flitzen|Die Katze wetzte blitzschnell hinter der Maus her.|The cat dashed after the mouse at lightning speed.|Кошка молниеносно помчалась за мышкой.|Die Katze flitzte blitzschnell hinter der Maus her.|um die Ecke wetzen; durch den Garten wetzen; wie wild wetzen|Primarily means 'to sharpen' (e.g., knives), but colloquially refers to fast, wild running, especially by children or animals. Forms perfect tense with 'sein' in the movement sense.
rennen|wieseln|C2|94600|to scurry; to dart|шнырять; проворно бегать|flitzen; huschen; wuseln; flitzen|Der Kellner wieselte flink durch die engen Tischreihen.|The waiter scurried nimbly through the narrow rows of tables.|Официант проворно шнырял сквозь узкие ряды столов.|Der Kellner huschte flink durch die engen Tischreihen.|flink wieseln; geschäftig wieseln; durch die Gänge wieseln|Derived from 'Wiesel' (weasel), describing rapid, agile, and busy movements, usually in a confined space. Intransitive, conjugated with 'sein'.
rennen|abrennen|C2|141702|to run one's feet off; to wear out by running|сбивать ноги; избегаться|sich abhetzen; sich verausgaben; ablaufen|Ich musste mir die Hacken abrennen, um alle Stempel rechtzeitig zu bekommen.|I had to run my feet off to get all the stamps in time.|Мне пришлось сбить все ноги, чтобы вовремя получить все печати.|Ich musste mich abhetzen, um alle Stempel rechtzeitig zu bekommen.|sich die Hacken abrennen; sich die Beine abrennen; sich die Sohlen abrennen|Almost exclusively used in the reflexive idiomatic expressions 'sich die Hacken/Beine abrennen' (to make exhaustive efforts running around for official tasks). Converted with 'haben'.
rennen|anrennen|C2|46570|to run against; to storm; to clash|налетать; наталкиваться с разбегу; штурмовать|anstürmen; prallen; anrennen; prallen gegen|Die Wellen rannten unaufhörlich gegen die steile Felsküste an.|The waves ran incessantly against the steep rocky coast.|Волны непрестанно бились о крутой скалистый берег.|Die Wellen stürmten unaufhörlich gegen die steile Felsküste an.|gegen eine Mauer anrennen; vergeblich anrennen; gegen Vorurteile anrennen|Usually paired with 'gegen' + accusative. Often used figuratively, meaning to make futile attempts to overcome opposition or difficulties. Conjugated with 'sein'.
rennen|berennen|C2|79045|to storm; to besiege|штурмовать; осаждать|stürmen; belagern; angreifen|Im Mittelalter berannten die Truppen die feindliche Festung.|In the Middle Ages, the troops stormed the enemy fortress.|В Средние века войска штурмовали вражескую крепость.|Im Mittelalter stürmten die Truppen die feindliche Festung.|eine Festung berennen; die Stadtmauern berennen|A highly elevated, military, and archaic term. It is transitive (takes direct accusative object) and conjugates with 'haben'.
rennen|davonrennen|C2|70360|to run away; to flee|убегать; спасаться бегством|wegrennen; flüchten; entfliehen; weglaufen|Als das Gewitter losbrach, rannten alle eilig davon.|When the thunderstorm broke, everyone ran away quickly.|Когда разразилась гроза, все спешно убежали.|Als das Gewitter losbrach, flüchteten alle eilig.|vor der Verantwortung davonrennen; schnell davonrennen; kopflos davonrennen|Separable verb. Often used metaphorically for avoiding responsibilities or truth ('vor Problemen davonrennen'). Takes 'sein' in the perfect tense.
rennen|durchrennen|C2|132215|to run through; to dash through|пробегать насквозь|durcheilen; hindurchlaufen|Wir mussten schnell durch den dichten Wald durchrennen.|We had to run quickly through the dense forest.|Нам пришлось быстро пробежать сквозь густой лес.|Wir mussten schnell durch den dichten Wald durcheilen.|durch den Regen durchrennen; durch das Zimmer rennen|Typically separable when referring to physical movement through a space (conjugated with 'sein'). Inseparable usage is rare.
rennen|einrennen|C2|50323|to knock down; to break open|выбивать; выламывать; сносить|einstoßen; einrammen; niederreißen|Mit diesem Angebot wirst du bei ihnen offene Türen einrennen.|With this offer, you will be preaching to the choir (literally: knocking down open doors).|С этим предложением ты будешь ломиться к ним в открытые двери.|Mit diesem Angebot wirst du bei ihnen offene Türen einstoßen.|offene Türen einrennen; dem Nachbarn das Tor einrennen|Highly idiomatic in the phrase 'offene Türen einrennen' (to demand something already agreed upon). Transitive, separable, conjugated with 'haben'.
rennen|entgegenrennen|C2|155214|to run towards; to run to meet|бежать навстречу|entgegenlaufen; entgegenstürzen|Das Kind rannte seinem Vater freudig entgegen.|The child ran joyfully towards his father.|Ребенок радостно побежал навстречу отцу.|Das Kind lief seinem Vater freudig entgegen.|jemandem mit offenen Armen entgegenrennen; freudig entgegenrennen|Separable verb requiring the dative case of the target object/person. Conjugates with 'sein'.
rennen|festrennen|C2|137683|to get bogged down; to reach a deadlock|зайти в тупик; увязнуть|festfahren; steckenbleiben; blockieren|Die Verhandlungen haben sich in unwichtigen Details festgerannt.|The negotiations got bogged down in unimportant details.|Переговоры зашли в тупик из-за несущественных деталей.|Die Verhandlungen haben sich in unwichtigen Details festgefahren.|sich völlig festrennen; sich in Widersprüchen festrennen|Used reflexively ('sich festrennen') and almost exclusively figuratively in politics, business, or arguments to describe a gridlock. Perfect with 'haben'.
