word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
greifen|greifen|B1|1108|to grab; to grasp; to reach (for)|хватать; браться; тянуться (к чему-то)|packen; fassen; ergreifen|Er greift nach dem Glas Wasser.|He reaches for the glass of water.|Он тянется за стаканом воды.|Er fasst nach dem Glas Wasser.|nach etwas greifen; zur Feder greifen; tief in die Tasche greifen|Commonly used with the preposition 'nach' plus dative to mean reaching out to grab something. 'Tief in die Tasche greifen' is a popular idiomatic expression meaning to spend a lot of money.
greifen|abgreifen|C2|25436|to skim off; to pocket; to wear out (by handling)|прикарманить; перехватить; изнашивать (частым ощупыванием)|einstreichen; abstauben; abnutzen|Er versuchte, billige Gewinne abzugreifen.|He tried to pocket cheap profits.|Он пытался прикарманить легкую прибыль.|Er versuchte, billige Gewinne einzustreichen.|Stimmen abgreifen; Gewinne abgreifen; Informationen abgreifen|Often used in informal contexts to mean obtaining or grabbing something (such as profit, votes, or signals) easily, quickly, or sneakily. It can also mean physically wearing down an object (e.g. a book) by excessive touching.
greifen|angreifen|B2|3457|to attack; to corrode; to affect (health)|атаковать; нападать; разъедать; пагубно влиять|attackieren; anfallen; beschädigen|Die Armee wird die Stadt morgen angreifen.|The army will attack the city tomorrow.|Армия нападет на город завтра.|Die Armee wird die Stadt morgen attackieren.|den Gegner angreifen; die Gesundheit angreifen; ein Problem angreifen|A highly versatile verb. It covers physical and military attacks, verbal criticism, chemical processes (e.g. acid attacking metal), and health impacts (e.g. stress wearing down nerves).
greifen|ausgreifen|C2|90656|to expand; to reach out; to stride out|расширяться; распространяться; делать широкие шаги|expandieren; sich ausbreiten; weit ausgreifen|Das Unternehmen will auf neue Märkte ausgreifen.|The company wants to expand into new markets.|Компания хочет выйти на новые рынки.|Das Unternehmen will auf neue Märkte expandieren.|weit ausgreifen; räumlich ausgreifen; mit den Armen ausgreifen|Used in spatial, historical, or physical contexts. It can mean taking long, sweeping strides or expanding influence and operations. It has a formal, slightly literary register.
greifen|begreifen|B2|3592|to understand; to comprehend; to conceive|понимать; постигать; осознавать|verstehen; erfassen; nachvollziehen|Ich kann sein Verhalten einfach nicht begreifen.|I simply cannot comprehend his behavior.|Я просто не могу понять его поведение.|Ich kann sein Verhalten einfach nicht verstehen.|schnell begreifen; eine Chance begreifen; schwer zu begreifen|'Begreifen' implies a deeper cognitive grasp or comprehension of a concept, context, or truth, whereas 'verstehen' is more general and can cover simple acoustic or literal understanding.
greifen|danebengreifen|C2|102178|to miss; to make a mistake; to reach for the wrong thing|промахнуться; сделать неудачный выбор; ошибиться|fehlgreifen; sich vergreifen; danebenhauen|Bei der Farbwahl hat er völlig danebengegriffen.|He completely missed the mark with his choice of colors.|С выбором цвета он совершенно промахнулся.|Bei der Farbwahl hat er sich völlig vergriffen.|völlig danebengreifen; im Ton danebengreifen; bei der Auswahl danebengreifen|Often used figuratively to denote a failure in judgment, selection, or tone. It is slightly informal and visually describes reaching blindly next to the target.
greifen|durchgreifen|C2|42932|to crack down; to take decisive action; to reach through|принимать решительные меры; наводить порядок; протискивать руку сквозь|einschreiten; hart durchgreifen; durchgreifend handeln|Die Polizei muss bei Unruhen hart durchgreifen.|The police must crack down hard during riots.|Полиция должна жестко наводить порядок во время беспорядков.|Die Polizei muss bei Unruhen hart einschreiten.|hart durchgreifen; konsequent durchgreifen; gegen Kriminalität durchgreifen|Most frequently used in political, legal, or administrative contexts to mean taking severe, energetic, or authoritative measures to stop misconduct.
greifen|fehlgreifen|C2|167701|to make a mistake; to err; to misjudge|ошибиться; сделать неверный выбор|sich irren; fehlgehen; einen Fehler machen|Der Historiker ist mit dieser Annahme fehlgegriffen.|The historian made a mistake with this assumption.|Историк ошибся в этом предположении.|Der Historiker hat sich mit dieser Annahme geirrt.|gründlich fehlgreifen; in der Beurteilung fehlgreifen|A highly elevated and formal verb, almost exclusively literary. In daily life, German speakers prefer 'sich irren' or 'danebengreifen'.
greifen|herausgreifen|C2|37811|to single out; to select; to pick out|выхватывать; отбирать; выделять (из множества)|auswählen; heraussuchen; selektieren|Ich möchte ein Beispiel aus dem Bericht herausgreifen.|I would like to single out one example from the report.|Я хотел бы выделить один пример из отчета.|Ich möchte ein Beispiel aus dem Bericht auswählen.|ein Beispiel herausgreifen; willkürlich herausgreifen; einzelne Aspekte herausgreifen|Used when selecting specific ideas, items, or individuals from a larger group for detailed discussion or special attention.
greifen|herumgreifen|C2|189760|to reach around; to grope about|шарить вокруг; обхватывать руками вокруг|umhertasten; herumfühlen|Er musste im Dunkeln nach dem Schalter herumgreifen.|He had to grope around in the dark for the switch.|Ему пришлось шарить в темноте в поисках выключателя.|Er musste im Dunkeln nach dem Schalter umhertasten.|im Dunkeln herumgreifen; mit den Händen herumgreifen|Primarily physical and literal. Describes moving one's hands in different directions to locate an object or to wrap around something. Somewhat informal.
greifen|hinausgreifen|C2|116925|to reach out; to extend beyond; to transcend|выходить за пределы; простираться за; тянуться наружу|überschreiten; hinausreichen; übertreffen|Seine Interessen greifen weit über sein Fachgebiet hinaus.|His interests extend far beyond his field of study.|Его интересы выходят далеко за рамки его специальности.|Seine Interessen reichen weit über sein Fachgebiet hinaus.|über etwas hinausgreifen; zeitlich hinausgreifen; räumlich hinausgreifen|Usually paired with the preposition 'über' plus accusative. It describes going beyond boundaries, whether physical, conceptual, or temporal. Belongs to a higher register.
