word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
ziehen|ziehen|B1|116864|to pull, draw, move (house)|тянуть, тащить, переезжать|zerren; schleppen; umziehen; rücken|Wir ziehen am Wochenende in eine neue Wohnung.|We are moving into a new apartment this weekend.|В выходные мы переезжаем в новую квартиру.|Wir siedeln am Wochenende in eine neue Wohnung um.|an der Leine ziehen; Konsequenzen ziehen; Bilanz ziehen; in Erwägung ziehen|'ziehen' is highly versatile. It requires 'haben' as auxiliary when meaning to pull (e.g., 'Ich habe den Wagen gezogen') and 'sein' when meaning to move, travel, or migrate (e.g., 'Wir sind nach Berlin gezogen').
ziehen|abziehen|B2|5154|to deduct, withdraw, peel off|вычитать, снимать, выводить (войска)|subtrahieren; entfernen; ablassen; abnehmen|Der Verkäufer hat den Rabatt direkt vom Preis abgezogen.|The seller deducted the discount directly from the price.|Продавец вычел скидку прямо из цены.|Der Verkäufer hat den Rabatt direkt vom Preis subtrahiert.|Steuern abziehen; Truppen abziehen; das Bett abziehen; die Folie abziehen|The meaning of 'abziehen' varies from mathematical and financial contexts (to deduct: 'Steuern abziehen') to physical removal (to peel off, strip: 'das Bett abziehen') and military actions (to withdraw troops). It conjugates with 'haben'.
ziehen|anziehen|A2|3834|to put on (clothes), attract, tighten|надевать (одежду), привлекать, затягивать|ankleiden; anlocken; festziehen; anziehen|Du solltest dir eine warme Jacke anziehen.|You should put on a warm jacket.|Тебе следует надеть теплую куртку.|Du solltest dich mit einer warmen Jacke ankleiden.|sich eine Jacke anziehen; Touristen anziehen; die Bremse anziehen; Schrauben anziehen|The reflexive construction 'sich (Dat.) etwas (Akk.) anziehen' means to put clothes on oneself. It is also used transitively for attraction (e.g., gravity or magnet) or tightening (e.g., screws or brakes). Conjugates with 'haben'.
ziehen|aufziehen|B2|9422|to raise (child/animal), wind up, tease|выращивать, заводить (часы), дразнить|großziehen; necken; aufziehen|Sie hat ihre drei Kinder ganz alleine aufgezogen.|She raised her three children all by herself.|Она вырастила своих троих детей совершенно одна.|Sie hat ihre drei Kinder ganz alleine großgezogen.|Kinder aufziehen; eine Uhr aufziehen; jemanden mit einem Witz aufziehen; Pflanzen aufziehen|A multi-faceted separable verb. It is used for raising children, animals, or plants; winding up clocks or toys; and colloquially teasing someone ('jemanden aufziehen mit...'). Conjugates with 'haben'.
ziehen|auseinanderziehen|C2|66078|to pull apart, stretch, move apart|растягивать, раздвигать, разъезжаться|auseinanderdehnen; trennen; entzerren|Die Spieler mussten das dicke Seil kräftig auseinanderziehen.|The players had to pull the thick rope apart with force.|Игрокам пришлось с силой растягивать толстую веревку.|Die Spieler mussten das dicke Seil kräftig auseinanderdehnen.|ein Seil auseinanderziehen; sich auseinanderziehen|Separable verb. It can be transitive (to pull things apart, uses 'haben') or intransitive/reflexive (a group of people dispersing or spacing out, uses 'sein').
ziehen|ausziehen|A2|8031|to undress, move out, extract|раздеваться, выезжать (из квартиры), вытягивать|entkleiden; ausquartieren; herausholen|Er ist gestern aus seiner alten Wohnung ausgezogen.|He moved out of his old apartment yesterday.|Вчера он выехал из своей старой квартиры.|Er hat gestern seine alte Wohnung verlassen.|Schuhe ausziehen; aus der Wohnung ausziehen; sich ausziehen; einen Zahn ausziehen|Conjugates with 'sein' when it means to move out ('Er ist ausgezogen'). Conjugates with 'haben' when it means to take off clothes ('Er hat die Schuhe ausgezogen') or reflexively to undress ('sich ausziehen').
ziehen|beiziehen|C2|33231|to consult, call in, summon (experts/documents)|привлекать, призывать (экспертов), приобщать (документы)|hinzuziehen; heranziehen; herbeiholen; konsultieren|Für das Gutachten mussten wir einen Experten beiziehen.|We had to consult an expert for the assessment.|Для экспертизы нам пришлось привлечь специалиста.|Für das Gutachten mussten wir einen Experten hinzuziehen.|Akten beiziehen; einen Experten beiziehen; Zeugen beiziehen|This separable verb is mostly used in Swiss German and administrative or legal contexts in Germany, meaning to consult files or bring in external experts. Conjugates with 'haben'.
ziehen|beziehen|B2|1201|to refer to, obtain, move into (new home)|ссылаться (на), получать (доход), въезжать (в дом)|erhalten; einziehen in; sich berufen auf; beziehen|Wir beziehen unsere Produkte direkt vom Hersteller.|We obtain our products directly from the manufacturer.|Мы получаем наши продукты напрямую от производителя.|Wir erhalten unsere Produkte direkt vom Hersteller.|Stellung beziehen; ein Bett beziehen; ein Gehalt beziehen; sich beziehen auf|Highly versatile inseparable verb. In its reflexive form, 'sich beziehen auf (+ Akk.)' means 'to refer to'. Non-reflexively, it means to cover (a bed), move into (a building), or regularly receive (income/goods). Conjugates with 'haben'.
ziehen|blankziehen|C2|145118|to draw a sword, bare one's sword|обнажать (оружие, шпагу)|die Waffe ziehen; entblößen|Der Ritter musste im Duell sein Schwert blankziehen.|The knight had to draw his sword in the duel.|Рыцарю пришлось обнажить свой меч на дуэли.|Der Ritter musste im Duell sein Schwert ziehen.|die Klinge blankziehen; das Schwert blankziehen|A literary and historical term where 'blank' refers to the bare, shining metal of the blade. It is a separable verb and conjugates with 'haben'.
ziehen|dahinziehen|C2|118109|to drift away, pass by, drag on|тянуться (о времени), плыть (о облаках), уходить|vergehen; vorbeiziehen; dahingleiten|Die weißen Wolken ziehen langsam am Himmel dahin.|The white clouds slowly drift across the sky.|Белые облака медленно плывут по небу.|Die weißen Wolken gleiten langsam am Himmel vorbei.|Wolken ziehen dahin; die Jahre ziehen dahin; der Fluss zieht dahin|A poetic or literary separable verb. It describes the slow, continuous, almost peaceful movement of clouds, time, or thoughts. Conjugates with 'sein'.
ziehen|darunterziehen|C2|159831|to pull under, draw underneath|подтягивать под что-то, протаскивать снизу|darunterdrücken; unterschieben|Du kannst die Decke einfach darunterziehen, um den Boden zu schützen.|You can just pull the blanket underneath to protect the floor.|Ты можешь просто подстелить одеяло под низ, чтобы защитить пол.|Du kannst die Decke einfach unterschieben, um den Boden zu schützen.|eine Decke darunterziehen; ein Blatt Papier darunterziehen|A literal compound meaning to pull or tuck something underneath something else. It is a separable verb and conjugates with 'haben'.
ziehen|davonziehen|C2|31042|to move away, pull ahead, run away|убегать вперед, уноситься, удаляться|weglaufen; enteilen; vorspringen|Der Läufer konnte der Konkurrenz im Finale leicht davonziehen.|The runner was able to easily pull ahead of the competition in the final.|Бегун смог легко оторваться от соперников в финале.|Der Läufer konnte der Konkurrenz im Finale leicht enteilen.|dem Feld davonziehen; den Verfolgern davonziehen; Wolken ziehen davon|Often used in sports or competitions to mean pulling ahead or gaining a lead, or physically moving away from a location. Separable; conjugates with 'sein'.
ziehen|durchziehen|B2|6745|to pull through, carry out, go through with|осуществлять, проводить до конца, пронизывать|durchführen; durchhalten; vollenden; durchdringen|Wir müssen diesen Plan jetzt bis zum Ende durchziehen.|We have to carry out this plan to the end now.|Теперь мы должны довести этот план до конца.|Wir müssen diesen Plan jetzt bis zum Ende durchführen.|ein Projekt durchziehen; eine Diät durchziehen; eine kalte Brise zieht durch|It is separable when meaning to carry out a plan stubbornly or colloquially (uses 'haben'). It is inseparable when meaning to permeate or crisscross (e.g., 'Adern durchziehen das Gewebe'). Conjugates with 'haben' (or 'sein' if a draft passes through a room).
ziehen|einziehen|A2|3642|to move in, collect, draft (military)|въезжать (в квартиру), втягивать, призывать (в армию)|einquartieren; einsaugen; einberufen; einholen|Meine Schwester wird nächste Woche in ihre neue Wohnung einziehen.|My sister will move into her new apartment next week.|Моя сестра заедет в свою новую квартиру на следующей неделе.|Meine Schwester wird nächste Woche ihre neue Wohnung beziehen.|in eine Wohnung einziehen; Steuern einziehen; zum Militärdienst einziehen; die Krallen einziehen|Separable verb. Conjugates with 'sein' for moving in. Conjugates with 'haben' when meaning to collect money/debts, to draft soldiers, or to physically pull in (e.g., 'den Kopf einziehen' = to duck one's head).
ziehen|emporziehen|C2|133636|to pull up, hoist, elevate|тянуть вверх, поднимать|hochziehen; heraufziehen; anheben|Die Arbeiter mussten die schweren Kisten mit einem Seil emporziehen.|The workers had to pull the heavy boxes up with a rope.|Рабочим пришлось поднимать тяжелые ящики вверх с помощью веревки.|Die Arbeiter mussten die schweren Kisten mit einem Seil hochziehen.|die Segel emporziehen; Lasten emporziehen|A formal and elevating separable verb. 'Empor-' is a literary prefix meaning upward. Conjugates with 'haben'.
ziehen|entgegenziehen|C2|166452|to move towards, march towards|двигаться навстречу, идти навстречу|entgegengehen; zukommen auf|Die Truppen begannen, dem Feind mutig entgegenzuziehen.|The troops began to courageously march towards the enemy.|Войска начали мужественно выдвигаться навстречу врагу.|Die Truppen begannen, auf den Feind mutig zuzugehen.|dem Sonnenuntergang entgegenziehen; der Gefahr entgegenziehen|A separable literary verb describing a group of people marching or moving toward a physical destination or abstract situation. Governs the dative case. Conjugates with 'sein'.
ziehen|entlangziehen|C2|99967|to move along, drag along|тянуться вдоль, двигаться вдоль|entlanggehen; entlangstreifen; säumen|Der Wanderweg lässt uns direkt am Fluss entlangziehen.|The hiking trail lets us walk directly along the river.|Тропа ведет нас прямо вдоль реки.|Der Wanderweg lässt uns direkt am Fluss entlanggehen.|an der Küste entlangziehen; eine Linie entlangziehen|Separable verb. Often used with the preposition 'an... entlang'. When describing moving along something (e.g., paths, storms), it conjugates with 'sein'. If pulling something along, it conjugates with 'haben'.
ziehen|entziehen|B2|3710|to withdraw, deprive, escape|лишать, отнимать, избегать (чему-то)|wegnehmen; entfremden; entgehen; entziehen|Die Behörden wollten ihm die Lizenz entziehen.|The authorities wanted to withdraw his license.|Власти хотели лишить его лицензии.|Die Behörden wollten ihm die Lizenz wegnehmen.|die Fahrerlaubnis entziehen; sich der Verantwortung entziehen; die Aufmerksamkeit entziehen; das Sorgerecht entziehen|Inseparable. Requires dative for the person being deprived and accusative for the thing taken. In its reflexive form 'sich (Dat.) entziehen', it means to elude or escape something (e.g., responsibility). Conjugates with 'haben'.
ziehen|festziehen|C2|77756|to tighten (screws/knots)|затягивать (болты, узлы)|anziehen; festmachen; festdrehen|Du musst die Schrauben am Fahrrad jetzt festziehen.|You must tighten the screws on the bicycle now.|Тебе нужно затянуть винты на велосипеде сейчас.|Du musst die Schrauben am Fahrrad jetzt festdrehen.|Schrau-ben festziehen; einen Knoten festziehen; die Leine festziehen|A separable verb used primarily for screws, bolts, knots, or ropes. It is highly similar to 'anziehen' in physical contexts. Conjugates with 'haben'.
ziehen|fortziehen|C2|78748|to move away, migrate, pull away|уезжать, уходить, оттаскивать|wegziehen; auswandern; weggehen|Viele Vögel beginnen im Herbst, nach Süden fortzuziehen.|Many birds begin to migrate south in autumn.|Многие птицы осенью начинают улетать на юг.|Viele Vögel beginnen im Herbst, nach Süden wegzuziehen.|in ein anderes Land fortziehen; Vögel ziehen fort|Separable verb. When referring to migration or moving away, it takes 'sein'. When referring to physically dragging something away, it takes 'haben'.
ziehen|glattziehen|C2|138463|to smooth out, straighten, settle (accounts/issues)|разглаживать, улаживать, выравнивать|glätten; bereinigen; ausgleichen|Lass uns die Unstimmigkeiten schnell glattziehen.|Let's quickly smooth out the disagreements.|Давай быстро уладим эти разногласия.|Lass uns die Unstimmigkeiten schnell bereinigen.|Falten glattziehen; die Konten glattziehen; Missverständnisse glattziehen|Separable verb. Beside its literal meaning of smoothing out fabric or surfaces, it is used colloquially as a business metaphor for resolving issues, balancing accounts, or clearing up misunderstandings. Conjugates with 'haben'.
ziehen|gleichziehen|C2|26564|to catch up, draw level, equal|сравнивать счет, догонять, сравняться|aufholen; ausgleichen; gleichkommen|Nach dem Rückstand konnte unsere Mannschaft endlich gleichziehen.|After falling behind, our team was finally able to draw level.|После отставания наша команда наконец смогла сравнять счет.|Nach dem Rückstand konnte unsere Mannschaft endlich ausgleichen.|mit der Konkurrenz gleichziehen; im Ergebnis gleichziehen; nach Punkten gleichziehen|Separable verb commonly used in sports and business, typically accompanied by the preposition 'mit' (+ Dat.). Conjugates with 'sein'.
ziehen|heimziehen|C2|181761|to return home, go home|возвращаться домой, отправляться восвояси|heimkehren; nach Hause gehen|Spät in der Nacht beschlossen die Wanderer, heimzuziehen.|Late at night, the hikers decided to head home.|Поздно ночью путешественники решили отправиться домой.|Spät in der Nacht beschlossen die Wanderer, heimzukehren.|müde heimziehen; nach dem Fest heimziehen|A separable, somewhat poetic or regional verb for returning home after an event, journey, or work. Conjugates with 'sein'.
ziehen|herabziehen|C2|122529|to pull down, lower, degrade|стягивать вниз, опускать, принижать|herunterziehen; herablassen; erniedrigen|Sie wollte seine Leistung nicht vor allen herabziehen.|She didn't want to degrade his achievement in front of everyone.|Она не хотела принижать его достижение перед всеми.|Sie wollte seine Leistung nicht vor allen herablassen.|jemanden herabziehen; die Äste herabziehen; das Niveau herabziehen|Separable verb. Can be literal (pulling something down towards the speaker) or figurative (degrading, lowering standards or dignity). Conjugates with 'haben'.
ziehen|heranziehen|B2|7349|to pull close, bring in, consult, raise|притягивать, привлекать (к ответственности), выращивать|einbeziehen; herbeiholen; aufziehen; benutzen|Der Lehrer wollte historische Quellen zur Erklärung heranziehen.|The teacher wanted to use historical sources for the explanation.|Учитель хотел привлечь исторические источники для объяснения.|Der Lehrer wollte historische Quellen zur Erklärung einbeziehen.|Beweise heranziehen; eine neue Generation heranziehen; zur Verantwortung heranziehen; Quellen heranziehen|Separable. Highly common in academic or legal contexts ('Beweise/Quellen heranziehen' = to consult/cite proofs/sources) and for training or raising youngsters. Conjugates with 'haben'.
ziehen|heraufziehen|C2|61366|to pull up, approach (storm/darkness), rise|поднимать наверх, надвигаться (о грозе), назревать|aufziehen; heranziehen; nahen|Ein schweres Unwetter beginnt am Horizont heraufzuziehen.|A heavy storm is starting to approach on the horizon.|На горизонте начинает надвигаться сильная гроза.|Ein schweres Unwetter beginnt am Horizont aufzuziehen.|ein Gewitter zieht herauf; die Nacht zieht herauf; eine Krise zieht herauf|Separable. Often used intransitively with 'sein' to describe incoming weather, night, or an abstract looming event (like a crisis). When physically pulling something up, it conjugates with 'haben'.
ziehen|herausziehen|C2|24676|to pull out, extract, drag out|вытаскивать, извлекать|rausziehen; herausnehmen; extrahieren|Er konnte den Splitter vorsichtig aus dem Finger herausziehen.|He was able to carefully pull the splinter out of his finger.|Он смог осторожно вытащить занозу из пальца.|Er konnte den Splitter vorsichtig aus dem Finger herausnehmen.|einen Nagel herausziehen; den Stecker herausziehen; sich aus der Affäre herausziehen|Separable verb. Literally refers to pulling something out of a container or space. Figuratively used in 'sich herausziehen' (to extricate oneself from a tricky situation). Conjugates with 'haben'.
ziehen|herbeiziehen|C2|46263|to pull close, fetch, bring in (by the hair)|притягивать, притаскивать, притягивать за уши|heranziehen; herbeiholen; herbeischaffen|Dieses Argument ist wirklich an den Haaren herbeigezogen.|This argument is really far-fetched.|Этот аргумент действительно притянут за уши.|Dieses Argument ist wirklich unpassend und weit hergeholt.|an den Haaren herbeigezogen; Hilfe herbeiziehen|Separable verb. Most frequently encountered in the idiomatic passive participle form 'an den Haaren herbeigezogen' meaning 'far-fetched' or 'implausible'. Conjugates with 'haben'.
ziehen|hereinziehen|C2|118493|to pull in, drag inside, involve|втягивать внутрь, вовлекать|hineinziehen; hereinholen|Du solltest mich nicht in eure privaten Probleme hereinziehen.|You shouldn't drag me into your private problems.|Тебе не стоит втягивать меня в ваши личные проблемы.|Du solltest mich nicht in eure privaten Probleme hineinziehen.|jemanden in einen Streit hereinziehen; den Kopf hereinziehen; ein Schiff in den Hafen hereinziehen|Separable. 'herein-' indicates pulling towards the speaker's internal location. Often used metaphorically for dragging someone into a dispute or scandal. Conjugates with 'haben'.
ziehen|herüberziehen|C2|111884|to pull over, attract to one's side|перетягивать (на свою сторону), притягивать к себе|herüberholen; rüberziehen|Sie versuchten, den Abgeordneten auf ihre Seite herüberzuziehen.|They tried to win the MP over to their side.|Они пытались перетянуть депутата на свою сторону.|Sie versuchten, den Abgeordneten auf ihre Seite herüberzuholen.|jemanden auf seine Seite herüberziehen; ein Seil herüberziehen|Separable. Indicates pulling something across a boundary towards the speaker's side (figurative or literal). Conjugates with 'haben'.
ziehen|herumziehen|C2|99676|to pull around, drag around, wander about|таскать повсюду, бродить вокруг|umherziehen; umherschweifen; herumschleppen|Sie wollte nicht den ganzen Tag diese schweren Taschen herumziehen.|She didn't want to drag these heavy bags around all day.|Она не хотела таскать эти тяжелые сумки с собой целый день.|Sie wollte nicht den ganzen Tag diese schweren Taschen herumschleppen.|in der Gegend herumziehen; Sachen herumziehen|Separable. Can be transitive (to drag something around, auxiliary 'haben') or intransitive (to wander around, auxiliary 'sein', although 'umherziehen' is more common for this).
ziehen|herunterziehen|C2|59544|to pull down, drag down, depress|тянуть вниз, портить настроение, скачивать|runterziehen; deprimieren; herabziehen|Diese traurige Musik zieht mich total herunter.|This sad music is really dragging me down.|Эта грустная музыка меня совершенно угнетает.|Diese traurige Musik deprimiert mich total.|jemanden emotional herunterziehen; Rollos herunterziehen; Dateien herunterziehen|Separable. Very common colloquially for depressing someone emotionally ('jemanden herunterziehen') or downloading files from the internet. Conjugates with 'haben'.
ziehen|hervorziehen|C2|77393|to pull out, produce, extract (from hiding)|вытаскивать, вынимать (из кармана/тайника)|herausziehen; herausholen; zücken|Plötzlich zog der Zauberer ein Kaninchen aus dem Hut hervor.|Suddenly, the magician pulled a rabbit out of the hat.|Вдруг фокусник достал кролика из шляпы.|Plötzlich holte der Zauberer ein Kaninchen aus dem Hut heraus.|ein Dokument hervorziehen; eine Waffe hervorziehen; etwas aus der Tasche hervorziehen|Separable. Used when bringing something out from a hidden or enclosed space (like a pocket, drawer, or hat) to make it visible. Conjugates with 'haben'.
ziehen|herziehen|C2|26868|to move here, pull here, badmouth|переезжать сюда, притаскивать, злословить (о ком-то)|herkommen; lästern; umziehen|Sie sind erst vor wenigen Monaten in diese Stadt hergezogen.|They only moved to this city a few months ago.|Они переехали в этот город всего несколько месяцев назад.|Sie sind erst vor wenigen Monaten in diese Stadt umgezogen.|über jemanden herziehen; hierher herziehen|Separable. Intransitive 'herziehen' (to move to this place) uses 'sein'. The highly common figurative idiom 'über jemanden herziehen' (to gossip about/badmouth someone) uses 'haben' and requires 'über' (+ Akk.).
ziehen|hinaufziehen|C2|88567|to pull up, drag upwards, ascend|тащить наверх, подниматься вверх|hochziehen; heraufziehen|Wir mussten das schwere Sofa die Treppe hinaufziehen.|We had to pull the heavy sofa up the stairs.|Нам пришлось тащить тяжелый диван вверх по лестнице.|Wir mussten das schwere Sofa die Treppe hochziehen.|Lasten hinaufziehen; den Berg hinaufziehen; Nebel zieht hinauf|Separable. 'hinauf-' describes pulling away from the speaker, upwards. Uses 'haben' when pulling an object, and 'sein' when moving upwards oneself (e.g., fog or travelers).
ziehen|hinausziehen|C2|76200|to drag out, delay, pull outside|вытягивать наружу, затягивать (время), откладывать|verzögern; herausschieben; aufschieben|Wir sollten die Entscheidung nicht unnötig in die Länge hinausziehen.|We shouldn't drag out the decision unnecessarily.|Нам не следует излишне затягивать принятие решения.|Wir sollten die Entscheidung nicht unnötig aufschieben.|eine Entscheidung hinausziehen; den Prozess hinausziehen; in die Länge hinausziehen|Separable. Highly common in the idiom 'in die Länge hinausziehen' (to drag out, prolong in time). Conjugates with 'haben'.
