word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
lernen|lernen|A1|3769|to learn; to study|учить; учиться; изучать|studieren; sich aneignen; einprägen|Ich lerne jeden Tag Deutsch.|I learn German every day.|Я учу немецкий каждый день.|Ich studiere jeden Tag Deutsch.|eine Sprache lernen; fleißig lernen; auswendig lernen|'lernen' is used for acquiring skills, habits, or academic knowledge. Unlike 'studieren' (which usually implies formal, higher education/university studies), 'lernen' can be used for any level of education, subject, or skill.
lernen|lernbar|C2|94623|learnable; teachable|поддающийся изучению; усваиваемый|erlernbar; erfassbar|Diese Programmiersprache ist leicht lernbar.|This programming language is easily learnable.|Этот язык программирования легко поддается изучению.|Diese Programmiersprache ist leicht erlernbar.|leicht lernbar; schwer lernbar; schnell lernbar|Formed with the suffix '-bar' (equivalent to English '-able'). It describes a subject, skill, or fact that can be acquired through learning. It is often used interchangeably with 'erlernbar'.
lernen|lernbegierig|C2|95548|eager to learn; inquisitive|любознательный; жаждущий знаний|lerneifrig; wissbegierig; neugierig|Die lernbegierigen Schüler stellten viele Fragen.|The eager-to-learn students asked many questions.|Жаждущие знаний ученики задавали много вопросов.|Die wissbegierigen Schüler stellten viele Fragen.|ein lernbegieriges Kind; äußerst lernbegierig sein|Composed of 'lernen' and 'Begierde' (desire/lust). It has a very positive connotation, highlighting a strong intrinsic motivation or natural curiosity to acquire new knowledge.
lernen|lernbehindert|C2|75334|learning-disabled|с трудностями в обучении; отстающий в развитии|lernschwach; entwicklungsverzögert|Für lernbehinderte Kinder gibt es spezielle Schulen.|There are special schools for learning-disabled children.|Для детей с трудностями в обучении существуют специальные школы.|Für lernschwache Kinder gibt es spezielle Schulen.|ein lernbehindertes Kind; lernbehinderte Schüler|A pedagogical and psychological term used to describe individuals who experience significant difficulties in cognitive and academic progress. Increasingly, more inclusive terms like 'mit besonderem Förderbedarf' are used in schools.
lernen|lerneifrig|C2|153028|eager to learn; studious; zealous|прилежный; усердный в учебе|lernbegierig; fleißig; strebsam|Er ist ein sehr lerneifriger Student.|He is a very studious student.|Он очень усердный в учебе студент.|Er ist ein sehr fleißiger Student.|lerneifrige Schüler; lerneifrig lernen|Composed of 'lernen' and 'eifrig' (eager/zealous). It suggests diligent and active engagement in study, emphasizing the effort and hard work put into learning rather than just curiosity.
lernen|lernfähig|C2|35703|capable of learning; adaptive|способный к обучению; обучаемый|bildungsfähig; anpassungsfähig|Auch ältere Menschen sind durchaus lernfähig.|Older people are also definitely capable of learning.|Пожилые люди тоже вполне способны к обучению.|Auch ältere Menschen sind durchaus bildungsfähig.|geistig lernfähig; lernfähige Software; lernfähig bleiben|Used for humans, animals, and technology (e.g., machine learning systems/AI: 'lernfähige Systeme'). It denotes the general intellectual capacity or technical design to absorb and adapt to new information.
lernen|lerngestört|C2|189708|learning-impaired; having a learning disorder|с расстройствами обучения|lernbehindert; verhaltensgestört|Das lerngestörte Kind benötigt eine gezielte Förderung.|The learning-impaired child requires targeted support.|Ребенок с расстройством обучения нуждается в целенаправленной поддержке.|Das lernbehinderte Kind benötigt eine gezielte Förderung.|lerngestörte Jugendliche; therapeutische Hilfe für Lerngestörte|A clinical/pedagogical term indicating that the natural learning process is actively disrupted or blocked by emotional, psychological, or neurological factors. Slightly different from 'lernbehindert', which denotes a broader developmental limitation.
lernen|lernschwach|C2|77722|slow-learning; weak at learning|неуспевающий; слабоуспевающий|lernbehindert; leistungsschwach|Wir müssen lernschwache Schüler besser unterstützen.|We must support slow-learning students better.|Нам нужно лучше поддерживать слабоуспевающих учеников.|Wir müssen leistungsschwache Schüler besser unterstützen.|lernschwache Kinder; eine Klasse für Lernschwache|A milder, often school-specific term for students who struggle to keep up with the curriculum, focusing on actual academic performance rather than clinical diagnoses.
lernen|lernwillig|C2|62170|willing to learn|готовый учиться; желающий учиться|lernbereit; lerneifrig; motiviert|Das Unternehmen sucht lernwillige Auszubildende.|The company is looking for apprentices who are willing to learn.|Компания ищет готовых учиться стажеров.|Das Unternehmen sucht lernbereit Auszubildende.|lernwillige Mitarbeiter; sich lernwillig zeigen|Emphasizes the active willpower, attitude, and intrinsic motivation of the learner. Highly valued in job applications and corporate contexts where adaptability is crucial.
lernen|gelernt|B2|5674|skilled; trained; learned|квалифицированный; обученный; профессиональный|ausgebildet; qualifiziert; fachkundig|Er ist ein gelernter Koch.|He is a trained chef.|Он обученный повар.|Er ist ein ausgebildeter Koch.|gelernter Handwerker; gelernt ist gelernt; gelernt haben|Primarily used as an adjective meaning that someone has completed official, certified vocational training. Also functions as the past participle (Partizip II) of the verb 'lernen'.
lernen|Lernaktiv|C2|145016|study group; learner active group|учебный актив; учебная группа|Lerngruppe; Arbeitskreis|Im Lernaktiv halfen sich die Schüler gegenseitig.|In the study group, the students helped each other.|В учебной группе ученики помогали друг другу.|In der Lerngruppe halfen sich die Schüler gegenseitig.|ein Lernaktiv gründen; Arbeit im Lernaktiv|Historically used in the German Democratic Republic (GDR) to refer to a self-organized, collaborative group of pupils or workers studying together. In modern contexts, 'Lerngruppe' is almost exclusively used instead.
lernen|Lernaktivität|C2|140923|learning activity|учебная деятельность; учебная активность|Lernhandlung; Lernprozess|Die Schüler zeigten eine hohe Lernaktivität.|The students showed a high level of learning activity.|Ученики проявили высокую учебную активность.|Die Schüler zeigten großen Lerneifer.|schulische Lernaktivitäten; Lernaktivitäten fördern|A formal, technical term used in pedagogy and educational psychology, denoting any targeted behavior aimed at gaining knowledge. Usually used in the plural ('Lernaktivitäten').
lernen|Lernbegier|C2|204889|eagerness to learn; thirst for knowledge|жажда знаний; любознательность|Lernbegierde; Lerneifer; Wissbegier|Seine Lernbegier war kaum zu bremsen.|His eagerness to learn could hardly be stopped.|Его жажду знаний было трудно остановить.|Seine Wissbegier war kaum zu bremsen.|brennende Lernbegier; Lernbegier zeigen|A slightly more literary, poetic, or older variant of 'Lernbegierde'. It is rarely used in everyday conversation, where 'Lernbegierde' or 'Wissbegierde' is preferred.
lernen|Lernbegierde|C2|179074|eagerness to learn; thirst for knowledge|жажда знаний; любознательность|Wissbegierde; Lernbegier; Lerneifer|Die Lernbegierde der Kinder ist natürlich.|Children's eagerness to learn is natural.|Жажда знаний у детей естественна.|Die Wissbegierde der Kinder ist natürlich.|große Lernbegierde; die Lernbegierde wecken|Standard noun used to describe an intense, positive drive to learn. Highly common in parenting and educational texts.
lernen|Lernbehinderung|C2|87301|learning disability; learning impairment|трудности в обучении; отставание в учебе|Lernstörung; Entwicklungsstörung|Bei einer Lernbehinderung ist eine individuelle Förderung wichtig.|In the case of a learning disability, individual support is important.|При трудностях в обучении важна индивидуальная поддержка.|Bei einer Lernstörung ist eine individuelle Förderung wichtig.|schwere Lernbehinderung; Diagnose einer Lernbehinderung|A formal, institutional, and medical/educational term. It defines broad, long-term cognitive barriers to learning that require special-needs pedagogy.
lernen|Lerneifer|C2|98860|eagerness to learn; studiousness; diligence|рвение к учебе; прилежание|Fleiß; Lernbegierde; Strebsamkeit|Der Lehrer lobte den Lerneifer der Klasse.|The teacher praised the class's eagerness to learn.|Учитель похвалил рвение класса к учебе.|Der Lehrer lobte den Fleiß der Klasse.|jugendlicher Lerneifer; den Lerneifer anspornen|Formed from 'lernen' and 'Eifer' (zeal). It represents the active, visible diligence and systematic effort a student applies to studying.
lernen|Lerner|C2|36947|learner; student|учащийся; ученик|Lernender; Schüler; Student|Jeder Lerner hat ein anderes Tempo.|Every learner has a different pace.|У каждого учащегося свой темп.|Jeder Lernende hat ein anderes Tempo.|autonomer Lerner; erwachsene Lerner; Lerner einer Fremdsprache|Most commonly used in pedagogical, didactic, and linguistic contexts (e.g., 'Deutschlerner'). In everyday social speech, 'Schüler' or 'Student' is far more common.
