word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
mischen|mischen|B2|3318|to mix; to blend; to shuffle (cards)|смешивать; мешать (карты)|vermengen; vermischen; durcheinanderbringen|Er mischt die Zutaten in einer großen Schüssel.|He mixes the ingredients in a large bowl.|Он смешивает ингредиенты в большой миске.|Er vermengt die Zutaten in einer großen Schüssel.|Karten mischen; Zutaten mischen; Farben mischen; sich unter die Leute mischen|mischen is the general German verb for mixing. It can be used transitively (to mix things together), reflexively (sich mischen - to mingle), or specifically in card games (to shuffle cards).
mischen|mischbar|C2|111164|miscible; mixable|смешиваемый; способный смешиваться|vermischbar; kombinierbar; löslich|Wasser und Alkohol sind in jedem Verhältnis mischbar.|Water and alcohol are miscible in any ratio.|Вода и алкоголь смешиваются в любых пропорциях.|Wasser und Alkohol lassen sich in jedem Verhältnis vermengen.|gut mischbar; miteinander mischbar; nicht mischbar|mischbar is predominantly a technical or chemical term indicating that two or more liquids or substances can be blended to form a homogeneous phase.
mischen|Mischbatterie|C2|108098|mixer tap; mixing faucet|смеситель (для воды)|Einhandmischer; Mischhahn; Wasserhahn|Der Klempner installierte eine neue Mischbatterie im Badezimmer.|The plumber installed a new mixer tap in the bathroom.|Сантехник установил новый смеситель в ванной.|Der Klempner installierte einen neuen Mischhahn im Badezimmer.|eine Einhand-Mischbatterie; die Mischbatterie austauschen; defekte Mischbatterie|Mischbatterie is the technical and standard German term for a plumbing fixture that mixes hot and cold water. Very common in home construction and DIY contexts.
mischen|Mischer|C2|59727|mixer; blender; mixing console (short)|смеситель; миксер; бетономешалка|Mixer; Mischgerät; Betonmischer|Der Beton wird direkt im Mischer zubereitet.|The concrete is prepared directly in the mixer.|Бетон готовится непосредственно в бетономешалке.|Der Beton wird direkt in der Mischmaschine zubereitet.|elektrischer Mischer; Beton im Mischer; Mischer für Mörtel|Mischer can refer to industrial or chemical mixing devices, as well as concrete mixers. For kitchen devices, the loanword Mixer is preferred, and for audio, Mischpult is standard.
mischen|Mischehe|C2|75557|mixed marriage; intermarriage|смешанный брак|interkonfessionelle Ehe; interkulturelle Ehe|Im 19. Jahrhundert war eine Mischehe zwischen Protestanten und Katholiken oft problematisch.|In the 19th century, a mixed marriage between Protestants and Catholics was often problematic.|В 19 веке смешанный брак между протестантами и католиками часто был проблематичным.|Im 19. Jahrhundert war eine interkonfessionelle Ehe zwischen Protestanten und Katholiken oft problematisch.|eine Mischehe schließen; konfessionelle Mischehe; binationale Mischehe|Historically used for marriages across different religious denominations (especially Catholic and Protestant). Today, terms like binationale Ehe or interkulturelle Ehe are more common and neutral.
mischen|Mischfonds|C2|66635|balanced fund; mixed fund|смешанный фонд (акций и облигаций)|gemischter Investmentfonds; Portfolio|Viele Anleger investieren in einen Mischfonds, um das Risiko zu streuen.|Many investors invest in a balanced fund to spread the risk.|Многие инвесторы вкладывают средства в смешанный фонд, чтобы распределить риски.|Viele Anleger investieren in einen gemischten Investmentfonds, um das Risiko zu streuen.|in Mischfonds investieren; globaler Mischfonds; flexibler Mischfonds|A financial term. It refers to an investment fund containing a combination of different asset classes, typically equities (stocks) and fixed-income securities (bonds).
mischen|Mischform|C2|43651|hybrid; mixed form; compromise form|смешанная форма; гибрид|Hybrid; Kombination; Mischung; Zwitterform|Diese Regierungsweise ist eine Mischform aus Demokratie und Monarchie.|This form of government is a hybrid of democracy and monarchy.|Эта форма правления представляет собой смешанную форму демократии и монархии.|Diese Regierungsweise ist eine Kombination aus Demokratie und Monarchie.|eine interessante Mischform; Mischform aus verschiedenen Elementen; sprachliche Mischform|Used in general, academic, and scientific contexts to describe something that displays characteristics of two or more distinct types or categories.
mischen|Mischkonzern|C2|31495|conglomerate; diversified group|конгломерат; многоотраслевой концерн|Konglomerat; diversifiziertes Unternehmen|Der Mischkonzern ist in den Bereichen Energie, Transport und Finanzen tätig.|The conglomerate operates in the fields of energy, transport, and finance.|Конгломерат работает в сферах энергетики, транспорта и финансов.|Das Konglomerat ist in den Bereichen Energie, Transport und Finanzen tätig.|internationaler Mischkonzern; riesiger Mischkonzern; ein diversifizierter Mischkonzern|A business term. Unlike specialized corporations, a Mischkonzern operates in completely unrelated business sectors to hedge economic risks.
mischen|Mischmaschine|C2|119627|mixing machine; cement mixer|бетономешалка; растворосмеситель|Betonmischer; Mischer; Mischgerät|Auf der Baustelle drehte sich ununterbrochen die Mischmaschine.|On the construction site, the cement mixer spun continuously.|На строительной площадке непрерывно крутилась бетономешалка.|Auf der Baustelle drehte sich ununterbrochen der Betonmischer.|laute Mischmaschine; Mischmaschine für Mörtel; die Trommel der Mischmaschine|Although technically any mechanical mixer, in everyday German Mischmaschine almost always refers to a concrete or cement mixer used on building sites.
mischen|Mischpult|C2|35020|mixing console; mixing desk; soundboard|микшерный пульт|Mischkonsole; Tonmischpult|Der Tontechniker regelt die Lautstärke am Mischpult.|The sound engineer adjusts the volume on the mixing console.|Звукорежиссер регулирует громкость на микшерном пульте.|Der Tontechniker regelt die Lautstärke an der Mischkonsole.|am Mischpult sitzen; digitales Mischpult; Kanäle am Mischpult|Specifically refers to the hardware unit or software interface used in music, television, and film production to combine and adjust audio signals.
mischen|Mischsprache|C2|153960|mixed language; creole (loosely)|смешанный язык|Kontaktsprache; Kreolsprache|Viele Linguisten untersuchen, wie eine Mischsprache im Grenzgebiet entsteht.|Many linguists study how a mixed language emerges in border regions.|Многие лингвисты изучают, как возникает смешанный язык в приграничных регионах.|Viele Linguisten untersuchen, wie eine Kontaktsprache im Grenzgebiet entsteht.|eine historische Mischsprache; Entstehung einer Mischsprache; kreolische Mischsprache|A linguistic term describing a language that arises through the deep mixture of two or more source languages. It is more specific than simply borrowing vocabulary.
mischen|Mischung|B2|2669|mixture; blend; mix|смесь|Gemisch; Kombination; Mix; Melange|Seine Musik ist eine gelungene Mischung aus Jazz und Pop.|His music is a successful blend of jazz and pop.|Его музыка — это удачное сочетание джаза и поп-музыки.|Seine Musik ist ein gelungener Mix aus Jazz und Pop.|bunte Mischung; explosive Mischung; richtige Mischung; Mischung aus Alt und Neu|Mischung is a very versatile noun. It can refer to physical mixtures (e.g., Gewürzmischung - spice mix) or figurative blends of abstract concepts like styles, feelings, or ideas.
mischen|Mischwald|C2|38370|mixed forest|смешанный лес|gemischter Wald|Im Herbst färben sich die Blätter im Mischwald bunt.|In autumn, the leaves in the mixed forest turn colorful.|Осенью листья в смешанном лесу становятся разноцветными.|Im Herbst färben sich die Blätter im gemischten Wald bunt.|heimischer Mischwald; durch den Mischwald wandern; gesunder Mischwald|A geographical and ecological term for a forest consisting of both broadleaf (deciduous) and coniferous trees. Contrasts with Laubwald and Nadelwald.
