word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
wandern|wandern|A2|6706|to hike; to wander; to migrate|совершать пешие прогулки, ходить в поход, мигрировать|marschieren; wandeln; pilgern; reisen|Wir wandern am Wochenende in den Bergen.|We are hiking in the mountains this weekend.|В выходные мы идем в поход в горы.|Wir marschieren am Wochenende in den Bergen.|in den Bergen wandern; gerne wandern gehen; stundenlang wandern|Generally refers to active recreational hiking. In technical contexts, it can describe slow, gradual movements of non-living things (e.g. dunes, focus) or seasonal animal migration.
wandern|wanderfreudig|C2|95128|fond of hiking|любящий пешие прогулки|wanderlustig|Die wanderfreudige Familie verbringt jeden Sommer in den Alpen.|The family, fond of hiking, spends every summer in the Alps.|Любящая походы семья проводит каждое лето в Альпах.|Die wanderlustige Familie verbringt jeden Sommer in den Alpen.|eine wanderfreudige Gruppe; wanderfreudige Touristen; wanderfreudiges Volk|An adjective describing groups or individuals who genuinely enjoy hiking. Usually positive and highly descriptive.
wandern|wanderlustig|C2|115928|wanderlustful; eager to hike/travel|любящий путешествовать; охваченный жаждой странствий|wanderfreudig; reiselustig|Wanderlustige Studenten erkunden den Schwarzwald.|Students eager to travel explore the Black Forest.|Студенты, любящие походы, исследуют Шварцвальд.|Wanderfreudige Studenten erkunden den Schwarzwald.|wanderlustige Jugend; wanderlustige Gesellen; wanderlustige Wanderer|While closely related to 'wanderfreudig', 'wanderlustig' carries a more romantic, adventurous undertone of wanting to see the world, rather than just physical exercise.
wandern|Wanderameise|C2|169089|army ant; nomadic ant|бродячий муравей|Treiberameise|Die Wanderameise baut keine permanenten Nester.|The army ant does not build permanent nests.|Бродячий муравей не строит постоянных гнезд.|Die Treiberameise baut keine permanenten Nester.|Kolonie von Wanderameisen; Raubzug der Wanderameisen|A biological term for various nomadic ant species known for aggressive group foraging. Strictly used in entomology or natural documentaries.
wandern|Wanderarbeiter|C2|45419|migrant worker|рабочий-мигрант; сезонный рабочий|Migrant; Saisonarbeiter|Viele Wanderarbeiter arbeiten auf den Feldern in Südspanien.|Many migrant workers work in the fields in southern Spain.|Многие рабочие-мигранты работают на полях на юге Испании.|Viele Saisonarbeiter arbeiten auf den Feldern in Südspanien.|ausländische Wanderarbeiter; Rechte der Wanderarbeiter; chinesische Wanderarbeiter|Refers to workers who move from place to place, especially for seasonal agricultural, construction, or manufacturing jobs. Often used in social and political analyses.
wandern|Wanderausstellung|C1|16696|travelling exhibition|передвижная выставка|Wandererausstellung|Die Wanderausstellung macht nächste Woche im Stadtmuseum Station.|The travelling exhibition will stop at the city museum next week.|Передвижная выставка на следующей неделе остановится в городском музее.|Die mobile Ausstellung macht nächste Woche im Stadtmuseum Station.|eine Wanderausstellung zeigen; Wanderausstellung durch Europa; multimediale Wanderausstellung|Common term for cultural, educational, or artistic exhibitions that tour through different museums or cities.
wandern|Wanderbewegung|C2|84301|migration; migratory movement|миграционное движение; миграция населения|Migration; Migrationsbewegung; Wanderung|Die Wanderbewegung vom Land in die Stadt hält unvermindert an.|The migratory movement from the countryside to the city continues unabated.|Миграция из сельской местности в города продолжается в прежнем темпе.|Die Migrationsbewegung vom Land in die Stadt hält unvermindert an.|demografische Wanderbewegung; weltweite Wanderbewegungen; Wanderbewegung steuern|A formal demographic and sociological term describing human or animal migrations on a large scale.
wandern|Wanderbücherei|C2|215443|mobile library; travelling library|передвижная библиотека|Fahrbibliothek; Wanderbibliothek; Bücherbus|Einmal im Monat besucht die Wanderbücherei unser kleines Dorf.|Once a month, the travelling library visits our small village.|Раз в месяц передвижная библиотека посещает нашу маленькую деревню.|Einmal im Monat besucht der Bücherbus unser kleines Dorf.|die Wanderbücherei nutzen; Bestand der Wanderbücherei|Somewhat nostalgic or rural. While 'Bücherbus' or 'Fahrbibliothek' is more common today, 'Wanderbücherei' is historically relevant.
wandern|Wanderbühne|C2|102147|travelling theatre company|бродячий театр; передвижная сцена|Wandertheater|Im Mittelalter zogen Wanderbühnen von Stadt zu Stadt.|In the Middle Ages, travelling theatre companies moved from town to town.|В Средние века бродячие театры переезжали из города в город.|Im Mittelalter zogen Wandertheater von Stadt zu Stadt.|historische Wanderbühne; Aufführung einer Wanderbühne|Refers to independent theatrical troupes traveling without a fixed home theater. Often carries historical or romanticized cultural value.
wandern|Wanderbursche|C2|130819|travelling journeyman; hiking lad|странствующий подмастерье; молодой путник|Wandergeselle; Handwerksbursche|Der junge Wanderbursche sucht eine Herberge für die Nacht.|The young travelling journeyman is looking for lodging for the night.|Молодой странствующий подмастерье ищет ночлег на ночь.|Der junge Wandergeselle sucht eine Herberge für die Nacht.|ein fröhlicher Wanderbursche; Wanderbursche auf der Walz|Often romanticized or found in folk songs, closely linked to the German tradition of 'die Walz' (years of travel before becoming a master craftsman).
wandern|Wanderdüne|C2|83657|shifting dune; wandering dune|кочующая дюна; блуждающая дюна|Wanderungsdüne|Die Wanderdüne bedroht den nahegelegenen Kiefernwald.|The shifting dune threatens the nearby pine forest.|Движущаяся дюна угрожает близлежащему сосновому бору.|Die bewegliche Düne bedroht den nahegelegenen Kiefernwald.|eine Wanderdüne bepflanzen; Bewegung einer Wanderdüne; berühmte Wanderdüne|Geographical term. Refers to coastal or desert sand dunes that shift locations due to dominant wind directions.
wandern|Wanderer|B1|4780|hiker; wanderer; traveler|пешеход; путник; походник|Wanderfreund; Fußgänger; Spaziergänger|Ein müder Wanderer rastete im Schatten einer alten Eiche.|A tired hiker rested in the shade of an old oak.|Усталый путник отдыхал в тени старого дуба.|Ein müder Fußgänger rastete im Schatten einer alten Eiche.|müder Wanderer; einsamer Wanderer; Wanderer im Nebel|A key noun in German culture. It can represent a modern outdoor athlete or evoke the poetic romanticism of self-discovery through nature.
wandern|Wanderfahne|C2|85125|travelling banner; challenge banner|переходящее знамя|Wanderpreis; Wanderbanner|Die Siegergruppe darf die Wanderfahne mit nach Hause nehmen.|The winning group is allowed to take the challenge banner home.|Группе-победителю разрешено забрать переходящее знамя с собой.|Die Siegergruppe darf das Wanderbanner mit nach Hause nehmen.|eine Wanderfahne überreichen; Wanderfahne erringen; historische Wanderfahne|An award flag or banner that is temporarily held by a winning club or group until the next competition.
wandern|Wanderfahrt|C2|62654|touring trip; multi-day outdoor excursion|многодневный поход (на лодках, велосипедах)|Rundfahrt; Ausflug; Wandertour|Der Ruderverein plant eine einwöchige Wanderfahrt auf der Donau.|The rowing club is planning a one-week touring trip on the Danube.|Гребной клуб планирует недельный поход по Дунаю.|Der Ruderverein plant einen einwöchigen Ausflug auf der Donau.|Wanderfahrt mit dem Faltboot; Wanderfahrt der Radfahrer|Most frequently used in water sports (rowing/kayaking) or cycling, describing a multi-day journey where travelers stay at different spots along the route.
wandern|Wanderfalke|C2|47950|peregrine falcon|сапсан|Falke|Der Wanderfalke ist das schnellste Tier der Welt im Sturzflug.|The peregrine falcon is the fastest animal in the world in a stoop.|Сапсан — самое быстрое животное в мире в пикирующем полете.|Der Falke ist das schnellste Tier der Welt im Sturzflug.|Schutz des Wanderfalken; Wanderfalke nistet; Wanderfalke jagt|Ornithological term. The 'Wander-' prefix refers to its wide distribution and long-distance migratory routes.
wandern|Wanderfisch|C2|102092|migratory fish|проходная рыба|Migrationsfisch|Lachse sind bekannte Wanderfische, die zum Laichen zurückkehren.|Salmon are well-known migratory fish that return to spawn.|Лососи — известные проходные рыбы, которые возвращаются для нереста.|Lachse sind bekannte Migrationsfische, die zum Laichen zurückkehren.|Schutz von Wanderfischen; Wanderfische wie Lachs und Aal|Ecological term for fish that travel between fresh and salt water for breeding purposes.
