word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
treiben|treiben|B1|6412|to drive, float, do (sport), drift, push|гнать, заниматься (спортом), дрейфовать, приводить в движение|antreiben; driften; betreiben; tun; machen|Im Urlaub möchte ich viel Sport treiben.|On vacation, I want to do a lot of sports.|В отпуске я хочу много заниматься спортом.|Im Urlaub möchte ich viel Sport machen.|Sport treiben; Handel treiben; Blüten treiben; auf dem Wasser treiben|A highly versatile verb with three main contexts: 1) physical driving/pushing (cattle, engines), 2) drifting or floating on water, and 3) conducting activities (such as sports, trade, or mischief). It is often used in fixed collocations.
treiben|durchtrieben|C2|58036|cunning, sly, crafty|хитрый, коварный, пронырливый|hinterhältig; gerissen; schlau; listig|Er schmiedete einen durchtriebenen Plan.|He forged a cunning plan.|Он разработал хитрый план.|Er schmiedete einen gerissenen Plan.|ein durchtriebener Kerl; durchtriebenes Lächeln; ein durchtriebener Plan|An adjective derived historically from the past participle of 'durchtreiben', but now used exclusively to describe cunning, deceitful, or highly manipulative people or actions.
treiben|getrieben|C2|246175|driven, restless, chased|гонимый, движимый, беспокойный|rastlos; gejagt; gedrängt; unruhig|Er wirkte wie ein Getriebener, der niemals zur Ruhe kommt.|He seemed like a driven man who never finds peace.|Он казался гонимым человеком, который никогда не находит покоя.|Er wirkte wie ein Rastloser, der niemals zur Ruhe kommt.|von Ehrgeiz getrieben; ein Getriebener sein; innerlich getrieben|Past participle of 'treiben'. It is very commonly used as an adjective or nominalized noun ('der/die Getriebene') to describe someone driven by external pressure, inner anxieties, or extreme ambition.
treiben|Getriebe|C1|12144|gearbox, gear, transmission, hustle and bustle|коробка передач, привод, суета|Getriebekasten; Schaltung; Trubel; Gewimmel|Das Getriebe des Autos muss repariert werden.|The car's gearbox needs to be repaired.|Коробку передач автомобиля нужно отремонтировать.|Die Schaltung des Autos muss repariert werden.|automatisches Getriebe; manuelles Getriebe; das Getriebe des Alltags; buntes Getriebe|A neuter noun (das Getriebe). It has two major meanings: 1) technical: the transmission or gearbox in a vehicle/machine, 2) figurative: the active, noisy hustle and bustle of daily life or a crowded place (e.g., 'das Getriebe der Großstadt').
treiben|Treibeis|C2|98875|drift ice, pack ice|битый лед, дрейфующий лед|Packeis; Drifteis|Das Schiff musste dem dichten Treibeis ausweichen.|The ship had to avoid the dense drift ice.|Кораблю пришлось обходить плотный дрейфующий лед.|Das Schiff musste dem dichten Packeis ausweichen.|arktisches Treibeis; dem Treibeis ausweichen; Treibeis auf dem Fluss|A neuter compound noun (das Treibeis) composed of the root of 'treiben' (to drift) and 'Eis'. Used mainly in geographical, polar, or marine navigation contexts.
treiben|Treiber|C1|10438|driver (software), drover, driving force|драйвер, погонщик, движущая сила|Triebkraft; Motor; Softwaretreiber; Viehtreiber|Sie müssen den neuesten Treiber für die Grafikkarte installieren.|You need to install the latest driver for the graphics card.|Вам нужно установить последний драйвер для видеокарты.|Sie müssen die neueste Software für die Grafikkarte installieren.|einen Treiber installieren; ein wichtiger Treiber für das Wirtschaftswachstum; Viehtreiber|A masculine noun (der Treiber). Today, it is most commonly used in computing (software drivers) or business/sociology to denote a primary motivator/driving force ('Treiber der Entwicklung'). Historically, it referred to a livestock drover.
treiben|Treibgut|C2|56478|flotsam, floating debris|плывущие обломки, наносный хлам, плавник|Schwemmgut; Treibholz; Spülicht|Am Strand lag viel Treibgut nach dem Sturm.|There was a lot of flotsam on the beach after the storm.|На пляже после шторма было много прибитого к берегу мусора.|Am Strand lag viel Schwemmgut nach dem Sturm.|maritimes Treibgut; Treibgut anschwemmen; menschliches Treibgut|A neuter noun (das Treibgut). Literally, items floating in water or washed ashore. Figuratively, it can describe marginalized, aimlessly drifting people in society ('menschliches Treibgut').
treiben|Treibhaus|C2|38643|greenhouse, hothouse|теплица, оранжерея|Gewächshaus; Glashaus|Tomaten wachsen im Treibhaus besonders gut.|Tomatoes grow particularly well in the greenhouse.|Помидоры особенно хорошо растут в теплице.|Tomaten wachsen im Gewächshaus besonders gut.|Treibhausgase; Treibhauseffekt; Pflanzen im Treibhaus züchten|A neuter noun (das Treibhaus). While 'Gewächshaus' is often preferred for physical plant nurseries, 'Treibhaus' remains essential due to standard environmental compounds like 'Treibhauseffekt' (greenhouse effect).
treiben|Treibholz|C2|59969|driftwood|плавник (древесина), сплавной лес|Schwemmholz|Sie sammelten Treibholz am Flussufer, um ein Feuer zu machen.|They collected driftwood on the riverbank to make a fire.|Они собирали плавник на берегу реки, чтобы развести костер.|Sie sammelten Schwemmholz am Flussufer, um ein Feuer zu machen.|Treibholz sammeln; angeschwemmtes Treibholz; Kunst aus Treibholz|A neuter compound noun (das Treibholz). Specifically designates wood carried by water or washed onto a beach/riverbank.
treiben|Treibjagd|C2|44576|battue, driven hunt, witch hunt|облавная охота, травля, облава|Drückjagd; Hetzjagd; Treiben|Im Herbst wird oft eine Treibjagd auf Wildschweine veranstaltet.|A driven hunt for wild boars is often organized in autumn.|Осенью часто устраивают облавную охоту на кабанов.|Im Herbst wird oft eine Drückjagd auf Wildschweine veranstaltet.|eine Treibjagd veranstalten; eine regelrechte Treibjagd auf jemanden eröffnen|A feminine noun (die Treibjagd). In its literal sense, it refers to a hunt where animals are driven towards hunters by beaters. Figuratively, it refers to public campaigns of persecution, modernly equivalent to a 'witch hunt'.
treiben|Treibladung|C2|136002|propellant charge, powder charge|метательный заряд, вышибной заряд|Treibmittel; Pulverladung|Die Treibladung explodiert im Inneren der Patrone.|The propellant charge explodes inside the cartridge.|Метательный заряд взрывается внутри патрона.|Die Pulverladung explodiert im Inneren der Patrone.|die Treibladung einer Patrone; Treibladung zünden|A feminine noun (die Treibladung). A highly specialized technical, chemical, or military term describing the explosive powder driving a bullet or rocket forward.
treiben|Treibriemen|C2|120461|drive belt, transmission belt|приводной ремень|Antriebsriemen; Keilriemen|Der Treibriemen der alten Maschine ist gerissen.|The drive belt of the old machine has snapped.|Приводной ремень старой машины порвался.|Der Antriebsriemen der alten Maschine ist gerissen.|den Treibriemen wechseln; lederner Treibriemen; Treibriemen für Maschinen|A masculine noun (der Treibriemen). A mechanical term. In modern contexts (such as automotive engineering), the more precise terms 'Antriebsriemen' or 'Keilriemen' are usually preferred.
treiben|Treibsand|C2|71432|quicksand|зыбучий песок|Mahlsand; Schwimmsand|Der Wanderer geriet im Moor in gefährlichen Treibsand.|The hiker got caught in dangerous quicksand in the moor.|Походник попал в опасный зыбучий песок на болоте.|Der Wanderer geriet im Moor in gefährlichen Schwimmsand.|im Treibsand versinken; gefährlicher Treibsand; Treibsand warnung|A masculine noun (der Treibsand). Used literally in nature, but occasionally employed metaphorically to describe a treacherous situation that slowly pulls someone in.
treiben|Trieb|C1|12553|urge, instinct, drive, sprout (botany)|инстинкт, влечение, побег (бот.), росток|Drang; Instinkt; Spross; Schössling|Der Mensch wird oft von seinen natürlichen Trieben gesteuert.|Humans are often controlled by their natural instincts.|Человек часто управляется своими природными инстинктами.|Der Mensch wird oft von seinen natürlichen Instinkten gesteuert.|sexueller Trieb; innerer Trieb; neue Triebe entwickeln; den Trieb unterdrücken|A masculine noun (der Trieb, plural: die Triebe). It has two main domains: 1) psychology/biology, referring to natural impulses or subconscious drives, and 2) botany, referring to young shoots or sprouts of plants.
treiben|abtreiben|C2|31938|to abort (pregnancy), drift away, exhaust, clear|делать аборт, сносить ветром/течением, изнурять|Schwangerschaft abbrechen; abdriften; wegtreiben|Das Boot ist durch den starken Wind weit abgetrieben.|The boat drifted far away due to the strong wind.|Лодку сильно унесло ветром.|Das Boot ist durch den starken Wind weit abgedriftet.|ein Kind abtreiben; vom Kurs abtreiben; ein Boot treibt ab|A separable verb. It takes 'haben' when transitive ('eine Schwangerschaft abtreiben' - to perform an abortion) and 'sein' when intransitive ('vom Kurs abtreiben' - to drift off-course due to wind/currents).
treiben|antreiben|B2|8175|to drive, power, urge on, prompt, motivate|приводить в движение, подгонять, побуждать|anspornen; motivieren; bewegen; antreiben|Der Trainer versucht, seine Mannschaft zu Höchstleistungen anzutreiben.|The coach tries to urge his team on to peak performances.|Тренер пытается побудить свою команду к максимальным достижениям.|Der Trainer versucht, seine Mannschaft zu Höchstleistungen anzuspornen.|jemanden zur Eile antreiben; ein Motor treibt das Boot an; sich angetrieben fühlen|A separable, transitive verb. Covers physical drive (an engine propelling a car) as well as psychological pressure/motivation (prodding someone to act faster or work harder).
treiben|auftreiben|C1|17188|to track down, raise (money), find/procure|раздобыть, откопать, доставать|besorgen; auftun; herbeischaffen; finden|Es war schwierig, mitten in der Nacht noch ein Taxi aufzutreiben.|It was difficult to track down a taxi in the middle of the night.|Посреди ночи было трудно раздобыть такси.|Es war schwierig, mitten in der Nacht noch ein Taxi zu besorgen.|Geld auftreiben; eine Unterkunft auftreiben; Informationen auftreiben|A separable, transitive verb. Mostly colloquial in register, meaning to acquire or locate something that is rare, scarce, or difficult to obtain at that moment.
