exercise_id,type,word_base,word,word_level,word_freq,question,correct_answer,accepted_answers,option_1,option_2,option_3,option_4,sentence_example,sentence_example_translation_en,sentence_example_translation_ru,extra,explanation
weisen_001,multiple_choice_de_en,weisen,weisen,B1,807,Как переводится немецкое слово «weisen» на английский?,"to point, show","to point, show",to identify; expel,to refer; expel,"to point, show",to reject,Alle Schilder weisen nach links.,All signs point to the left.,Все указатели указывают налево.,,Выберите английский перевод слова.
weisen_002,multiple_choice_ru_de,weisen,weisen,B1,807,"Как будет по-немецки: «указывать, показывать»?",weisen,weisen,beweisen,ausweisen,weisen,aufweisen,Alle Schilder weisen nach links.,All signs point to the left.,Все указатели указывают налево.,,Выберите немецкое слово по русскому переводу.
weisen_003,multiple_choice_synonym,weisen,weisen,B1,807,Выберите немецкий синоним или близкое по смыслу слово для «weisen».,zeigen,zeigen|hindeuten,besitzen,identifizieren,aufmerksam machen,zeigen,Alle Schilder weisen nach links.,All signs point to the left.,Все указатели указывают налево.,,Синонимы могут зависеть от контекста; здесь используется значение из примера.
weisen_004,sentence_translation_de_en,weisen,weisen,B1,807,Переведите предложение на английский: «Alle Schilder weisen nach links.»,All signs point to the left.,All signs point to the left.,,,,,Alle Schilder weisen nach links.,All signs point to the left.,Все указатели указывают налево.,,Открытый перевод предложения.
weisen_005,sentence_translation_de_ru,weisen,weisen,B1,807,Переведите предложение на русский: «Alle Schilder weisen nach links.»,Все указатели указывают налево.,Все указатели указывают налево.,,,,,Alle Schilder weisen nach links.,All signs point to the left.,Все указатели указывают налево.,,Открытый перевод предложения.
weisen_006,sentence_order,weisen,weisen,B1,807,Соберите немецкое предложение из слов.,Alle Schilder weisen nach links.,Alle Schilder weisen nach links.,,,,,Alle Schilder weisen nach links.,All signs point to the left.,Все указатели указывают налево.,weisen | Schilder | Alle | nach | links.,Поле extra содержит слова в перемешанном порядке.
weisen_007,multiple_choice_sentence_paraphrase,weisen,weisen,B1,807,Выберите перефразированное предложение для: «Alle Schilder weisen nach links.»,Alle Schilder zeigen nach links.,Alle Schilder zeigen nach links.,Alle Schilder zeigen nach links.,Das Gericht lehnte die Klage ab.,Er kann alles belegen.,Der Arzt nimmt ihn auf.,Alle Schilder weisen nach links.,All signs point to the left.,Все указатели указывают налево.,,Правильный вариант передаёт тот же смысл другими словами или синонимом.
weisen_008,multiple_choice_de_en,weisen,abweisen,B2,4853,Как переводится немецкое слово «abweisen» на английский?,to reject,to reject,to prove,to present,to reject,to prove; show,Das Gericht wies die Klage ab.,The court rejected the lawsuit.,Суд отклонил иск.,,Выберите английский перевод слова.
weisen_009,multiple_choice_ru_de,weisen,abweisen,B2,4853,Как будет по-немецки: «отклонять»?,abweisen,abweisen,abweisen,vorweisen,verweisen,ausweisen,Das Gericht wies die Klage ab.,The court rejected the lawsuit.,Суд отклонил иск.,,Выберите немецкое слово по русскому переводу.
weisen_010,multiple_choice_synonym,weisen,abweisen,B2,4853,Выберите немецкий синоним или близкое по смыслу слово для «abweisen».,zurückweisen,zurückweisen|ablehnen,zuteilen,transferieren,beauftragen,zurückweisen,Das Gericht wies die Klage ab.,The court rejected the lawsuit.,Суд отклонил иск.,,Синонимы могут зависеть от контекста; здесь используется значение из примера.
weisen_011,sentence_translation_de_en,weisen,abweisen,B2,4853,Переведите предложение на английский: «Das Gericht wies die Klage ab.»,The court rejected the lawsuit.,The court rejected the lawsuit.,,,,,Das Gericht wies die Klage ab.,The court rejected the lawsuit.,Суд отклонил иск.,,Открытый перевод предложения.
weisen_012,sentence_translation_de_ru,weisen,abweisen,B2,4853,Переведите предложение на русский: «Das Gericht wies die Klage ab.»,Суд отклонил иск.,Суд отклонил иск.,,,,,Das Gericht wies die Klage ab.,The court rejected the lawsuit.,Суд отклонил иск.,,Открытый перевод предложения.
weisen_013,sentence_order,weisen,abweisen,B2,4853,Соберите немецкое предложение из слов.,Das Gericht wies die Klage ab.,Das Gericht wies die Klage ab.,,,,,Das Gericht wies die Klage ab.,The court rejected the lawsuit.,Суд отклонил иск.,Gericht | Das | die | ab. | wies | Klage,Поле extra содержит слова в перемешанном порядке.
weisen_014,multiple_choice_sentence_paraphrase,weisen,abweisen,B2,4853,Выберите перефразированное предложение для: «Das Gericht wies die Klage ab.»,Das Gericht lehnte die Klage ab.,Das Gericht lehnte die Klage ab.,Das Haus hat Mängel.,Sie macht auf den Fehler aufmerksam.,Das Gericht lehnte die Klage ab.,Der Chef beauftragt das Team.,Das Gericht wies die Klage ab.,The court rejected the lawsuit.,Суд отклонил иск.,,Правильный вариант передаёт тот же смысл другими словами или синонимом.
weisen_015,word_family_base,weisen,abweisen,B2,4853,От какого базового слова образовано «abweisen»?,weisen,weisen,weisen,anweisen,verweisen,erweisen,Das Gericht wies die Klage ab.,The court rejected the lawsuit.,Суд отклонил иск.,,Упражнение на словообразование.
weisen_016,multiple_choice_de_en,weisen,anweisen,B2,3358,Как переводится немецкое слово «anweisen» на английский?,to instruct; transfer,to instruct; transfer,to instruct; transfer,to reprimand,to refer; expel,to admit; instruct,Der Chef weist das Team an.,The boss instructs the team.,Начальник инструктирует команду.,,Выберите английский перевод слова.
weisen_017,multiple_choice_ru_de,weisen,anweisen,B2,3358,Как будет по-немецки: «инструктировать; перечислять»?,anweisen,anweisen,anweisen,einweisen,hinweisen,aufweisen,Der Chef weist das Team an.,The boss instructs the team.,Начальник инструктирует команду.,,Выберите немецкое слово по русскому переводу.
weisen_018,multiple_choice_synonym,weisen,anweisen,B2,3358,Выберите немецкий синоним или близкое по смыслу слово для «anweisen».,beauftragen,beauftragen|anordnen,transferieren,hinweisen,beauftragen,belegen,Der Chef weist das Team an.,The boss instructs the team.,Начальник инструктирует команду.,,Синонимы могут зависеть от контекста; здесь используется значение из примера.
weisen_019,sentence_translation_de_en,weisen,anweisen,B2,3358,Переведите предложение на английский: «Der Chef weist das Team an.»,The boss instructs the team.,The boss instructs the team.,,,,,Der Chef weist das Team an.,The boss instructs the team.,Начальник инструктирует команду.,,Открытый перевод предложения.
weisen_020,sentence_translation_de_ru,weisen,anweisen,B2,3358,Переведите предложение на русский: «Der Chef weist das Team an.»,Начальник инструктирует команду.,Начальник инструктирует команду.,,,,,Der Chef weist das Team an.,The boss instructs the team.,Начальник инструктирует команду.,,Открытый перевод предложения.
weisen_021,sentence_order,weisen,anweisen,B2,3358,Соберите немецкое предложение из слов.,Der Chef weist das Team an.,Der Chef weist das Team an.,,,,,Der Chef weist das Team an.,The boss instructs the team.,Начальник инструктирует команду.,Team | an. | Chef | das | weist | Der,Поле extra содержит слова в перемешанном порядке.
