word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
streiten|streiten|B2|3371|to argue; to fight; to quarrel|спорить; ссориться|sich zanken; sich auseinandersetzen; debattieren; kämpfen|Die Geschwister streiten sich oft um das Spielzeug.|The siblings often fight over the toy.|Братья и сестры часто спорят из-за игрушки.|Die Geschwister zanken sich oft wegen des Spielzeugs.|sich mit jemandem streiten; über ein Thema streiten; heftig streiten; um etwas streiten|'streiten' is typically used reflexively ('sich streiten') when referring to personal quarrels, meaning 'to argue' or 'to bicker'. When used non-reflexively, it often means 'to fight for' or 'to struggle' (e.g., 'für die Gerechtigkeit streiten'). Prepositions: 'mit' (with someone) and 'über' (about something, accusative) or 'um' (for/over something, accusative).
streiten|streitbar|C1|20152|argumentative; combative; disputatious|любящий спорить; воинственный; спорный|kampflustig; streitlustig; streitsüchtig; diskussionsfreudig|Er ist als streitbarer Politiker bekannt, der keinem Konflikt aus dem Weg geht.|He is known as a combative politician who does not avoid any conflict.|Он известен как любящий поспорить политик, который не избегает конфликтов.|Er ist als streitlustiger Politiker bekannt, der keinem Konflikt aus dem Weg geht.|ein streitbarer Geist; ein streitbarer Politiker; streitbare Thesen|'streitbar' can have both a positive connotation (meaning intellectually combative, ready to defend one's opinion, 'diskussionsfreudig') and a slightly negative one (meaning quick to argue). In modern German, it is frequently used to describe public figures, intellectuals, or politicians.
streiten|streitig|B2|8906|contentious; in dispute; contested|спорный; оспариваемый|strittig; umstritten; fraglich|Die Eigentumsrechte an dem Grundstück sind weiterhin streitig.|The ownership rights to the property are still in dispute.|Права собственности на земельный участок по-прежнему остаются спорными.|Die Eigentumsrechte an dem Grundstück sind weiterhin umstritten.|jemandem etwas streitig machen; eine streitige Angelegenheit; streitige Punkte|'streitig' is highly common in legal contexts ('eine streitige Verhandlung'). A very common idiomatic expression is 'jemandem etwas streitig machen', which means to challenge someone's claim to something or compete with them for it.
streiten|strittig|C1|10553|controversial; disputable; issue in question|спорный; дискуссионный|umstritten; kontrovers; fraglich; streitig|Es ist noch strittig, ob die Reform am Montag verabschiedet wird.|It is still disputable whether the reform will be passed on Monday.|Пока ещё спорно, будет ли реформа принята в понедельник.|Es ist noch unklar, ob die Reform am Montag verabschiedet wird.|ein strittiges Thema; eine strittige Frage; strittige Punkte klären|While 'streitig' has a stronger legal flavor, 'strittig' is widely used in everyday and political contexts to describe issues, questions, or points of view that are not yet agreed upon ('eine strittige Frage').
streiten|Streit|B2|1530|argument; dispute; fight; quarrel|спор; ссора; конфликт|Zwist; Konflikt; Auseinandersetzung; Zank; Krach|Der heftige Streit führte schließlich zum Abbruch der Verhandlungen.|The fierce argument eventually led to the termination of the negotiations.|Яростный спор в конце концов привёл к прекращению переговоров.|Die heftige Auseinandersetzung führte schließlich zum Abbruch der Verhandlungen.|einen Streit anfangen; im Streit liegen; Streit schlichten; heftiger Streit|'der Streit' is the standard noun for any kind of argument or conflict, ranging from domestic bickering to official, political, or legal disputes. Often combined with verbs like 'suchen' (to look for trouble), 'schlichten' (to mediate/settle), or 'vermeiden' (to avoid).
streiten|Streitaxt|C2|101969|battle-axe|боевой топор; секира|Kriegsbeil|Die Wikinger benutzten oft eine schwere Streitaxt im Kampf.|The Vikings often used a heavy battle-axe in battle.|Викинги часто использовали в бою тяжёлый боевой топор.|Die Wikinger benutzten oft ein schweres Kriegsbeil im Kampf.|die Streitaxt schwingen; historische Streitaxt; die Streitaxt begraben|Literally, a 'Streitaxt' is a historical weapon. In modern language, the phrase 'die Streitaxt begraben' (to bury the hatchet) is sometimes used, although 'das Kriegsbeil begraben' is much more common. Figuratively, 'Streitaxt' can refer pejoratively to a domineering, sharp-tongued woman (similar to English 'battle-axe').
streiten|Streiter|C2|35671|champion; fighter; warrior; advocate|боец; борец; поборник|Kämpfer; Verfechter; Vorkämpfer; Krieger|Er galt zeit seines Lebens als unermüdlicher Streiter für die Menschenrechte.|Throughout his life, he was considered a tireless champion for human rights.|Всю свою жизнь он считался неутомимым борцом за права человека.|Er galt zeit seines Lebens als unermüdlicher Verfechter der Menschenrechte.|ein unermüdlicher Streiter; ein Streiter für die Gerechtigkeit; ein mutiger Streiter|'Streiter' (masculine noun) is an elevated or literary term. It is rarely used to mean a literal soldier nowadays; instead, it is used figuratively to denote someone who passionately advocates for a cause, ideal, or principle ('ein Streiter für die Freiheit').
streiten|Streiterei|C1|21541|bickering; squabble; hassle|перебранка; ссора; пустяковый спор|Zank; Zankerei; Gezänk; Reiberei; Disput|Ich habe keine Lust mehr auf diese ständigen Streitereien im Büro.|I have no interest in these constant bickerings in the office anymore.|Мне больше не хочется участвовать в этих постоянных перебранках в офисе.|Ich habe keine Lust mehr auf dieses ständige Gezänk im Büro.|ständige Streitereien; kindische Streitereien; alltägliche Streitereien|'Streiterei' (usually plural: 'Streitereien') is a pejorative or informal term. It refers to petty, annoying, and ongoing arguments or squabbles, rather than serious intellectual or legal conflicts.
streiten|Streitgespräch|C2|29256|debate; dispute; discussion|дискуссия; словесный поединок; спор|Debatte; Disput; Diskussion; Wortgefecht|Die beiden Politiker lieferten sich ein hitziges Streitgespräch im Fernsehen.|The two politicians engaged in a heated debate on television.|Оба политика вели горячий спор на телевидении.|Die beiden Politiker lieferten sich eine hitzige Debatte im Fernsehen.|ein hitziges Streitgespräch; ein öffentliches Streitgespräch; ein Streitgespräch führen|'Streitgespräch' is a formal, intellectual, or political debate or discussion where opposing views are systematically exchanged. It does not mean a vulgar fight, but rather an organized verbal contest or structured debate.
streiten|Streitigkeit|C1|10957|dispute; controversy; litigation|спор; распря; тяжба|Auseinandersetzung; Zwistigkeit; Konflikt; Streit; Zwist|Die gerichtlichen Streitigkeiten zwischen den Nachbarn dauern schon Jahre an.|The legal disputes between the neighbors have been going on for years.|Судебные споры между соседями длятся уже много лет.|Die gerichtlichen Auseinandersetzungen zwischen den Nachbarn dauern schon Jahre an.|juristische Streitigkeiten; vertragliche Streitigkeiten; Streitigkeiten beilegen|'Streitigkeit' (frequently plural: 'Streitigkeiten') is a formal, administrative, or legal term for formal disputes, conflicts, or litigation. It is less emotional than 'Streit' and refers to the matter or the legal conflict itself.
