word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
finden|finden|A1|84|to find; to think/deem|находить; считать|entdecken; stoßen auf; meinen; halten für|Ich kann meinen Schlüssel nicht finden.|I cannot find my key.|Я не могу найти свой ключ.|Ich kann meinen Schlüssel nicht entdecken.|eine Lösung finden; den Weg finden; Beachtung finden; Anwendung finden|A highly versatile verb. In its physical sense, it means 'to find' (something lost or sought). In its opinion sense, it is used with an object and an adjective (e.g., 'Ich finde das gut') or with 'dass'. Grammatical note: 'finden' can form passive-like nominal structures (e.g., 'Unterstützung finden' meaning 'to be supported').
finden|auffinden|B2|9550|to locate; to discover; to track down|обнаруживать; находить (после поисков)|aufspüren; entdecken; ausfindig machen|Die Polizei konnte den vermissten Jungen unversehrt auffinden.|The police were able to locate the missing boy unharmed.|Полиция смогла обнаружить пропавшего мальчика целым и невредимым.|Die Polizei konnte den vermissten Jungen unversehrt ausfindig machen.|eine Leiche auffinden; Spuren auffinden; jemanden bewusstlos auffinden|Mostly used in formal, official, or police contexts. Unlike the general 'finden', 'auffinden' strongly implies a systematic search or the specific discovery of something hidden or lost. Often used in the passive voice.
finden|erfinden|B2|3485|to invent; to make up (a story)|изобретать; выдумывать|ausdenken; kreieren; erdichten; konzipieren|Wer hat das Rad erfunden?|Who invented the wheel?|Кто изобрел колесо?|Wer hat das Rad konzipiert?|eine Ausrede erfinden; ein Gerät erfinden; eine Geschichte erfinden|Refers both to technical/scientific inventions ('ein Gerät erfinden') and to creative or deceptive fabrications ('eine Ausrede erfinden'). It cannot be used to mean 'to discover' existing physical things (which is 'entdecken').
finden|wiederfinden|B2|8133|to find again; to recover|находить снова; возвращать себе|wiederbekommen; zurückerhalten; auffinden|Ich hoffe, dass ich meine verlorene Brieftasche wiederfinde.|I hope I find my lost wallet again.|Надеюсь, я снова найду свой потерянный кошелек.|Ich hoffe, dass ich meine verlorene Brieftasche wiederbekomme.|sich selbst wiederfinden; verlorene Gegenstände wiederfinden|A separable verb ('findet wieder', 'wiedergefunden'). Used physically for finding lost items, and reflexively ('sich wiederfinden') to mean 'to find oneself in a certain situation' or 'to recognize oneself' in a description or character.
finden|anfinden|C2|90987|to turn up; to be found|находиться; отыскиваться|auftauchen; sich einfinden; zum Vorschein kommen|Der verloren geglaubte Schlüssel hat sich im Garten wieder angefunden.|The key that was thought to be lost turned up in the garden.|Ключ, считавшийся потерянным, нашелся в саду.|Der verloren geglaubte Schlüssel ist im Garten wieder aufgetaucht.|sich wieder anfinden; ein vermisster Gegenstand findet sich an|Very often used reflexively ('sich anfinden') and typically in the sense of lost objects or sometimes people turning up again. It is somewhat old-fashioned, poetic, or regional, and relatively rare in modern everyday speech compared to 'auftauchen'.
finden|einfinden|B2|8636|to arrive; to show up; to assemble|являться; прибывать; собираться|erscheinen; eintreffen; herkommen; versammeln|Die Gäste fanden sich pünktlich zum Abendessen ein.|The guests arrived on time for dinner.|Гости вовремя явились к ужину.|Die Gäste erschienen pünktlich zum Abendessen.|sich pünktlich einfinden; sich zahlreich einfinden; am Treffpunkt einfinden|Always reflexive ('sich einfinden'). Used in a slightly formal register to describe people arriving at a scheduled event, gathering, or location.
finden|befinden|B1|24815|to be located; to feel (in a state); to deem|находиться; чувствовать себя; находить (каким-либо)|sich aufhalten; liegen; beurteilen; erachten|Das Hotel befindet sich direkt am Strand.|The hotel is located right on the beach.|Отель находится прямо на пляже.|Das Hotel liegt direkt am Strand.|sich in einer schwierigen Lage befinden; sich im Bau befinden; etwas für gut befinden|Most commonly reflexive ('sich befinden') to denote location (a formal equivalent of 'sein') or a state ('sich in Gefahr befinden'). Non-reflexively, it means 'to judge/deem' ('etwas für gut befinden'), which is highly formal and bureaucratic.
finden|stattfinden|B1|987|to take place; to happen|проходить; состояться; происходить|vorgehen; ablaufen; geschehen; über die Bühne gehen|Das Konzert wird heute Abend im Park stattfinden.|The concert will take place in the park tonight.|Концерт состоится сегодня вечером в парке.|Das Konzert wird heute Abend im Park ablaufen.|regelmäßig stattfinden; nicht stattfinden; im Freien stattfinden|A very common separable verb ('findet statt', 'stattgefunden'). It refers to planned events, meetings, or processes. It does not mean 'to find' anything and should not be confused with 'passieren' (unplanned occurrences).
finden|vorfinden|B2|9336|to find; to come across (something in a particular state)|заставать; находить (в определенном состоянии)|antreffen; stoßen auf; vorliegen|Als er nach Hause kam, fand er die Tür unverschlossen vor.|When he came home, he found the door unlocked.|Когда он пришел домой, он застал дверь незапертой.|Als er nach Hause kam, traf er die Tür unverschlossen an.|Bedingungen vorfinden; jemanden schlafend vorfinden; eine leere Wohnung vorfinden|Separable verb ('findet vor', 'vorgefunden'). It is used to describe finding a person, object, or situation in a specific, already existing state upon arrival or inspection.
finden|herausfinden|B2|3603|to find out; to discover; to find the way out|выяснять; разузнавать; находить выход|erfahren; ermitteln; entdecken; herausexpedieren|Wir müssen herausfinden, wer die Wahrheit sagt.|We must find out who is telling the truth.|Мы должны выяснить, кто говорит правду.|Wir müssen erfahren, wer die Wahrheit sagt.|die Wahrheit herausfinden; die Ursache herausfinden; einen Weg aus dem Labyrinth herausfinden|Separable verb ('findet heraus', 'herausgefunden'). Translates to 'to figure out' or 'to solve' a problem, discover a fact, or literally 'to find the way out' of a physical space. Commonly used with an 'ob-' or 'wer/wie/was' clause.
