word_base|word|word_level|word_freq|word_translation_en|word_translation_ru|word_synonyms|sentence_example|sentence_example_translation_en|sentence_example_translation_ru|sentence_synonym|typical_collocations|usage_comments_en
setzen|setzen|B1|175|to put; to place; to set|ставить; сажать; помещать|stellen; legen; platzieren|Bitte setzen Sie sich auf den Stuhl.|Please sit down on the chair.|Пожалуйста, присядьте на стул.|Bitte nehmen Sie Platz auf dem Stuhl.|sich setzen; Prioritäten setzen; Segel setzen; auf ein Pferd setzen|Often used reflexively as 'sich setzen' meaning to sit down. As a transitive verb, it implies moving something into a sitting position and requires an accusative object and a direction (preposition with accusative).
setzen|untersetzt|C2|45490|stocky; thickset|коренастый; приземистый|gedrungen; stämmig; kräftig gebaut|Der Mann war klein und untersetzt.|The man was short and stocky.|Мужчина был невысоким и коренастым.|Der Mann war klein und gedrungen.|ein untersetzter Mann; eine untersetzte Figur; klein und untersetzt|An adjective describing a physical build. It typically refers to a person who is short but solidly built and robust.
setzen|Absatz|B2|3120|paragraph; sales; heel (of a shoe)|абзац; сбыт; каблук|Textabschnitt; Vertrieb; Schuhabsatz|Bitte lesen Sie den zweiten Absatz vor.|Please read the second paragraph aloud.|Пожалуйста, прочитайте второй абзац вслух.|Bitte lesen Sie den zweiten Textabschnitt vor.|reißenden Absatz finden; hohen Absatz haben; neuen Absatz beginnen; Absatz finden|A highly polysemous noun. In reading and writing, it refers to a paragraph. In commerce, it relates to the sales volume or turnover. In fashion, it is the heel of a shoe.
setzen|Gesetz|A2|896|law; statute|закон|Vorschrift; Regelung; Recht|Das Parlament hat ein neues Gesetz beschlossen.|Parliament has passed a new law.|Парламент принял новый закон.|Das Parlament hat eine neue Regelung beschlossen.|ein Gesetz verabschieden; gegen das Gesetz verstoßen; Gesetz einhalten; ein Gesetz brechen|The primary word for a legal statute. Common verb collocations include 'erlassen' (to enact), 'verabschieden' (to pass/adopt), and 'verstoßen gegen' (to violate/break).
setzen|Satz|B1|624|sentence; set; jump; rate|предложение; набор; прыжок; тариф|Satzgefüge; Garnitur; Sprung; Tarif|Schreiben Sie bitte einen vollständigen Satz.|Please write a complete sentence.|Напишите, пожалуйста, полное предложение.|Schreiben Sie bitte eine vollständige Aussage.|einen Satz bilden; ein ganzer Satz; mit einem Satz; Satz von Daten|A versatile noun. Mostly known in language learning as 'sentence'. However, it can also mean a physical 'set' (e.g., 'ein Satz Reifen' - a set of tires), a leap/jump, or a financial rate (e.g., 'Zinssatz' - interest rate).
setzen|Setzei|C2|164128|poached egg; fried egg|яйцо-пашот; глазунья|Spiegelei; verlorenes Ei|Zum Frühstück isst er gerne ein Setzei.|He likes to eat a poached egg for breakfast.|На завтрак он любит есть яйцо-пашот.|Zum Frühstück isst er gerne ein Spiegelei.|ein Setzei zubereiten; frisches Setzei; Setzei mit Speck|A slightly regional or older culinary term. While it officially designates a poached egg, in some dialects it is used interchangeably with 'Spiegelei' (fried egg).
setzen|Setzer|C2|50374|typesetter; compositor|наборщик|Schriftsetzer; Typograf|Früher war der Beruf des Setzers sehr wichtig.|In the past, the profession of typesetter was very important.|Раньше профессия наборщика была очень важной.|Früher war der Beruf des Schriftsetzers sehr wichtig.|gelernter Setzer; Beruf des Setzers; der Setzer in der Druckerei|A historical profession referring to the person who manually arranged metal letters for printing. Today, this role has transitioned to digital design fields like 'Mediengestalter'.
setzen|Setzerei|C2|125986|composing room; typesetting workshop|наборный цех; словолитня|Druckereiabteilung; Schriftsetzerei|Der Lehrling arbeitet heute in der Setzerei.|The apprentice is working in the composing room today.|Ученик сегодня работает в наборном цеху.|Der Lehrling arbeitet heute in der Schriftsetzerei.|in der Setzerei arbeiten; die Setzerei einer Zeitung; historische Setzerei|Refers to the physical workshop where typesetting was conducted. It is used mostly in historical or industrial printing contexts.
setzen|Setzfehler|C2|170439|typographical error; misprint|опечатка|Druckfehler; Tippfehler; Satzfehler|In diesem Buch gibt es leider einige Setzfehler.|Unfortunately, there are some typographical errors in this book.|К сожалению, в этой книге есть несколько опечаток.|In diesem Buch gibt es leider einige Druckfehler.|einen Setzfehler korrigieren; störende Setzfehler; Setzfehler im Text|A very specific term for errors occurring during the manual or mechanical typesetting process. In modern times, 'Tippfehler' (typo) or 'Druckfehler' (misprint) are much more common.
setzen|Setzkasten|C2|78277|type case; display case (for miniatures)|касса для шрифта; витрина для мелких фигурок|Sortierkasten; Sammelkasten|Sie bewahrt ihre kleinen Figuren in einem Setzkasten auf.|She keeps her small figurines in a display case.|Она хранит свои маленькие фигурки в настенной витрине с ячейками.|Sie bewahrt ihre kleinen Figuren in einem Sammelkasten auf.|ein alter Setzkasten; Figuren für den Setzkasten; Setzkasten aus Holz|Historically, this was the compartmented wooden tray used by typesetters. Today, it is popular as a decorative wall-mounted shelf used to display tiny collectible objects.
